,Unnamed: 0,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Padma Shri State Tel,Padma Shri Field Tel,Padma Shri Awarded By Tel
2683,2683,2683,Sharafat Hussain Khan,"Uttar Pradesh, India",Arts,Zail Singh,,,,,,,"ఉత్తరప్రదేశ్, భారత్",ఆర్ట్స్,జైల్ సింగ్
2684,2684,2684,Sharan Rani Backliwal,Delhi,Arts,Zakir Husain (politician),Delhi,Arts,K. R. Narayanan,,,,ఢిల్లీ,ఆర్ట్స్,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
2685,2685,2685,Sharath Kamal,"Tamil Nadu, India",Sports,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",క్రీడలు,రామ్ నాథ్ కోవింద్
2686,2686,2686,Sharayu Daftary,"Maharashtra, India",Trade and Industry,A. P. J. Abdul Kalam,,,,,,,"మహారాష్ట్ర, భారత్",వాణిజ్యం మరియు పరిశ్రమ,ఎ. పి. జె. అబ్దుల్ కలాం
2687,2687,2687,Sharda Sinha,Bihar,Arts,R. Venkataraman,Bihar,Arts,Ram Nath Kovind,,,,బీహార్,ఆర్ట్స్,ఆర్. వెంకటరమణ
2688,2688,2688,Sharmila Tagore,,,,Delhi/India,Arts,Pranab Mukherjee,,,,,,
2689,2689,2689,Shashadhar Acharya,"Jharkhand, India",Arts,Ram Nath Kovind,,,,,,,"జార్ఖండ్, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
2690,2690,2690,Shashank R. Joshi,"Maharashtra, India",Medicine,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",మెడిసిన్,ప్రణబ్ ముఖర్జీ
2691,2691,2691,Shashi Bhushan,,,,Delhi/India,Public Affairs,A. P. J. Abdul Kalam,,,,,,
2692,2692,2692,Shashi Deshpande,"Karnataka, India",Literature and Education,Pratibha Patil,,,,,,,"కర్ణాటక, భారత్",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
2693,2693,2693,Shashi Kapoor,,,,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
2694,2694,2694,Shashikala,"Maharashtra, India",Arts,A. P. J. Abdul Kalam,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
2695,2695,2695,Shashikumar Chitre,,,,"Maharashtra, India",Science and Engineering,Pratibha Patil,,,,,,
2696,2696,2696,Shayama Chona,Delhi,Literature and Education,K. R. Narayanan,Delhi,Literature and Education,Pratibha Patil,,,,ఢిల్లీ,సాహిత్యం మరియు విద్య,కె. ఆర్. నారాయణన్
2697,2697,2697,Sheela Borthakur,"Assam, India",Social Work,Pratibha Patil,,,,,,,"అసోం, ఇండియా",సామాజిక పని,ప్రతిభా పాటిల్
2698,2698,2698,Sheela Patel,"Maharashtra, India",Social Work,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",సామాజిక పని,ప్రతిభా పాటిల్
2699,2699,2699,Sheik Chinna Moulana,"Tamil Nadu, India",Arts,Fakhruddin Ali Ahmed,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
2700,2700,2700,Sheikh Abdullah,,,,"Uttar Pradesh, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,
2701,2701,2701,Sheila Bhatia,Delhi/India,Literature and Education,V. V. Giri,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,వి. వి. గిరి
2702,2702,2702,Shekhar Gupta,,,,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
2703,2703,2703,Shekhar Kapur,"Maharashtra, India",Arts,K. R. Narayanan,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,కె. ఆర్. నారాయణన్
2704,2704,2704,Shekhar Naik,"Karnataka, India",Sports,Pranab Mukherjee,,,,,,,"కర్ణాటక, భారత్",క్రీడలు,ప్రణబ్ ముఖర్జీ
2705,2705,2705,Shekhar Pathak,"Uttarakhand, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,,"ఉత్తరాఖండ్, భారత్",సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
2706,2706,2706,Shekhar Sen,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
2707,2707,2707,Sheldon Pollock,United States,Literature and Education,Pratibha Patil,,,,,,,యునైటెడ్ స్టేట్స్,సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
2708,2708,2708,Sheo Bhagwan Tibrewal,United Arab Emirates,Medicine,A. P. J. Abdul Kalam,,,,,,,యునైటెడ్ అరబ్ ఎమిరేట్స్,మెడిసిన్,ఎ. పి. జె. అబ్దుల్ కలాం
2709,2709,2709,Shiba P. Chatterjee,,,,"West Bengal, India",Literature and Education,Zail Singh,,,,,,
2710,2710,2710,Shiela Mehra,Delhi/India,Medicine,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ఆర్. వెంకటరమణ
2711,2711,2711,Shiny Abraham,"Kerala, India",Sports,K. R. Narayanan,,,,,,,"కేరళ, భారత్",క్రీడలు,కె. ఆర్. నారాయణన్
2712,2712,2712,Shinzo Abe,,,,,,,,Public Affairs,Ram Nath Kovind,,,
2713,2713,2713,Shishupal Ram,"Bihar, India",Medicine,Zail Singh,,,,,,,"బీహార్, భారత్",మెడిసిన్,జైల్ సింగ్
2714,2714,2714,Shital Mahajan,"Maharashtra, India",Sports,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",క్రీడలు,ప్రతిభా పాటిల్
2715,2715,2715,Shiv Dutt Upadhyaya,Delhi/India,Social Work,Neelam Sanjiva Reddy,,,,,,,ఢిల్లీ/ఇండియా,సామాజిక పని,నీలం సంజీవ రెడ్డి
2716,2716,2716,Shiv K. Kumar,,,,"Andhra Pradesh, India",Literature and Education,K. R. Narayanan,,,,,,
2717,2717,2717,Shiv Kumar Sarin,,,,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,,,,
2718,2718,2718,Shiv Nadar,,,,"Tamil Nadu, India",Trade and Industry,Pratibha Patil,,,,,,
2719,2719,2719,Shiv Narain Kureel,"Uttar Pradesh, India",Medicine,Pranab Mukherjee,,,,,,,"ఉత్తరప్రదేశ్, భారత్",మెడిసిన్,ప్రణబ్ ముఖర్జీ
2720,2720,2720,Shivajirao Girdhar Patil,,,,"Maharashtra, India",Public Affairs,Pranab Mukherjee,,,,,,
2721,2721,2721,Shivakumara Swami,,,,"Karnataka, India",Others,Pranab Mukherjee,,,,,,
2722,2722,2722,Shivkumar Sharma,Maharashtra,Arts,R. Venkataraman,,,,Maharashtra,Arts,K. R. Narayanan,మహారాష్ట్ర,ఆర్ట్స్,ఆర్. వెంకటరమణ
2723,2723,2723,Shivmangal Singh Suman,Madhya Pradesh,Literature and Education,V. V. Giri,Madhya Pradesh,Literature and Education,K. R. Narayanan,,,,మధ్యప్రదేశ్,సాహిత్యం మరియు విద్య,వి. వి. గిరి
2724,2724,2724,Shivram Bhoje,"Maharashtra, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,,"మహారాష్ట్ర, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ఎ. పి. జె. అబ్దుల్ కలాం
2725,2725,2725,Shobana,"Kerala, India",Arts,A. P. J. Abdul Kalam,,,,,,,"కేరళ, భారత్",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
2726,2726,2726,Shobha Deepak Singh,Delhi/India,Arts,K. R. Narayanan,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,కె. ఆర్. నారాయణన్
2727,2727,2727,Shobha Gurtu,,,,"Maharashtra, India",Arts,K. R. Narayanan,,,,,,
2728,2728,2728,Shobha Naidu,"Andhra Pradesh, India",Arts,K. R. Narayanan,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",ఆర్ట్స్,కె. ఆర్. నారాయణన్
2729,2729,2729,Shobha Raju,"Andhra Pradesh, India",Arts,Pratibha Patil,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",ఆర్ట్స్,ప్రతిభా పాటిల్
2730,2730,2730,Shobhana Bhartia,Delhi/India,Literature and Education,A. P. J. Abdul Kalam,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
2731,2731,2731,Shobhana Ranade,,,,"Maharashtra, India",Social Work,Pratibha Patil,,,,,,
2732,2732,2732,Shoji Shiba,Japan,Trade and Industry,Pratibha Patil,,,,,,,జపాన్,వాణిజ్యం మరియు పరిశ్రమ,ప్రతిభా పాటిల్
2733,2733,2733,Shovana Narayan,Delhi/India,Literature and Education,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
2734,2734,2734,Shree Lal Joshi,"Rajasthan, India",Arts,A. P. J. Abdul Kalam,,,,,,,"రాజస్థాన్, భారత్",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
2735,2735,2735,Shreyans Prasad Jain,,,,"Maharashtra, India",Social Work,R. Venkataraman,,,,,,
2736,2736,2736,Shri Krishna Joshi,,,,"Haryana, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
2737,2737,2737,Shrikrishna N. Ratanjankar,,,,"Uttar Pradesh, India",Arts,Rajendra Prasad,,,,,,
2738,2738,2738,Shrinivas Khale,,,,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
2739,2739,2739,Shrinivas S. Vaishya,Daman & Diu/India,Medicine,Pratibha Patil,,,,,,,డామన్ & డియా / ఇండియా,మెడిసిన్,ప్రతిభా పాటిల్
2740,2740,2740,Shripad Damodar Satwalekar,,,,"Maharashtra, India",Literature and Education,Zakir Husain (politician),,,,,,
2741,2741,2741,Shriram Lagoo,"Maharashtra, India",Arts,V. V. Giri,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,వి. వి. గిరి
2742,2742,2742,Shubha Mudgal,Delhi/India,Arts,K. R. Narayanan,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,కె. ఆర్. నారాయణన్
2743,2743,2743,Shyam Benegal,Maharashtra,Arts,Fakhruddin Ali Ahmed,Maharashtra,Arts,R. Venkataraman,,,,మహారాష్ట్ర,ఆర్ట్స్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
2744,2744,2744,Shyam Nandan Sahay,,,,"Bihar, India",Literature and Education,Rajendra Prasad,,,,,,
2745,2745,2745,Shyam Narayan Arya,"Bihar, India",Medicine,Pratibha Patil,,,,,,,"బీహార్, భారత్",మెడిసిన్,ప్రతిభా పాటిల్
2746,2746,2746,Shyam Saran,,,,Delhi/India,Civil Service,Pratibha Patil,,,,,,
2747,2747,2747,Shyam Singh Shashi,Delhi/India,Literature and Education,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
2748,2748,2748,Shyama Charan Pati,"Jharkhand, India",Arts,A. P. J. Abdul Kalam,,,,,,,"జార్ఖండ్, భారత్",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
2749,2749,2749,Shyama Prasad Mandal,Delhi/India,Medicine,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ప్రతిభా పాటిల్
2750,2750,2750,Shyamala Pappu,Delhi/India,Public Affairs,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,ప్రజా వ్యవహారాలు,ప్రతిభా పాటిల్
2751,2751,2751,Shyamlal Chaturvedi,"Chhattisgarh, India",Literature and Education,Ram Nath Kovind,,,,,,,"ఛత్తీస్ గఢ్, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
2752,2752,2752,Sibte Hasan Zaidi,"Uttar Pradesh, India",Science and Engineering,Fakhruddin Ali Ahmed,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
2753,2753,2753,Siddhartha Mukherjee,United States,Medicine,Pranab Mukherjee,,,,,,,యునైటెడ్ స్టేట్స్,మెడిసిన్,ప్రణబ్ ముఖర్జీ
2754,2754,2754,Siddheshwar Shastri Chitrav,"Maharashtra, India",Literature and Education,V. V. Giri,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,వి. వి. గిరి
2755,2755,2755,Siddheshwar Varma,,,,Chandigarh/India,Literature and Education,Rajendra Prasad,,,,,,
2756,2756,2756,Siddheshwari Devi,Delhi/India,Arts,Sarvepalli Radhakrishnan,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,సర్వేపల్లి రాధాకృష్ణన్
2757,2757,2757,Sidney Dillon Ripley,,,,,Science and Engineering,Zail Singh,,,,,,
2758,2758,2758,Sikandar Ali Wajd,"Maharashtra, India",Literature and Education,V. V. Giri,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,వి. వి. గిరి
2759,2759,2759,Sikander Bakht,,,,,,,Delhi/India,Public Affairs,K. R. Narayanan,,,
2760,2760,2760,Sikkil Sisters – Kunjumani & Neela,"Tamil Nadu, India",Arts,A. P. J. Abdul Kalam,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
2761,2761,2761,Silverine Swer,"Meghalaya, India",Social Work,R. Venkataraman,,,,,,,"మేఘాలయ, భారతదేశం",సామాజిక పని,ఆర్. వెంకటరమణ
2762,2762,2762,Simon Oraon,"Jharkhand, India",Others,Pranab Mukherjee,,,,,,,"జార్ఖండ్, భారత్",మరికొందరు,ప్రణబ్ ముఖర్జీ
2763,2763,2763,Siramdasu Venkata Rama Rao,"Andhra Pradesh, India",Arts,K. R. Narayanan,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",ఆర్ట్స్,కె. ఆర్. నారాయణన్
2764,2764,2764,Sirivennela Seetharama Sastry,"Telangana, India",Arts,Ram Nath Kovind,,,,,,,"తెలంగాణ, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
2765,2765,2765,Sirkazhi G. Sivachidambaram,"Tamil Nadu, India",Arts,Pratibha Patil,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,ప్రతిభా పాటిల్
2766,2766,2766,Sirkazhi Govindarajan,"Tamil Nadu, India",Arts,Zail Singh,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,జైల్ సింగ్
2767,2767,2767,Sis Ram Ola,"Rajasthan, India",Social Work,Zakir Husain (politician),,,,,,,"రాజస్థాన్, భారత్",సామాజిక పని,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
2768,2768,2768,Sisir Kumar Bhaduri,,,,"West Bengal, India",Arts,Rajendra Prasad,,,,,,
2769,2769,2769,Sisir Kumar Mitra,,,,"West Bengal, India",Literature and Education,Rajendra Prasad,,,,,,
2770,2770,2770,Sisir Mishra,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
2771,2771,2771,Sister Nirmala,,,,,,,"West Bengal, India",Social Work,Pratibha Patil,,,
2772,2772,2772,Sitakant Mahapatra,,,,Odisha,Literature and Education,A. P. J. Abdul Kalam,Odisha,Literature and Education,Pratibha Patil,,,
2773,2773,2773,Sitanshu Yashaschandra,"Gujarat, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,,"గుజరాత్, భారత్",సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
2774,2774,2774,Sitara Devi,"Maharashtra, India",Arts,V. V. Giri,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,వి. వి. గిరి
2775,2775,2775,Sitaram Rao Valluri,"Karnataka, India",Science and Engineering,V. V. Giri,,,,,,,"కర్ణాటక, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,వి. వి. గిరి
2776,2776,2776,Sitaram Seksaria,,,,"Assam, India",Social Work,Rajendra Prasad,,,,,,
2777,2777,2777,Sitavva Joddati,"Karnataka, India",Social work,Ram Nath Kovind,,,,,,,"కర్ణాటక, భారత్",సామాజిక పని,రామ్ నాథ్ కోవింద్
2778,2778,2778,Sivaji Ganesan,Tamil Nadu,Arts,Sarvepalli Radhakrishnan,Tamil Nadu,Arts,Zail Singh,,,,తమిళనాడు,ఆర్ట్స్,సర్వేపల్లి రాధాకృష్ణన్
2779,2779,2779,Sivamani,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
2780,2780,2780,Sivananda Rajaram,"Tamil Nadu, India",Social Work,K. R. Narayanan,,,,,,,"తమిళనాడు, భారతదేశం",సామాజిక పని,కె. ఆర్. నారాయణన్
2781,2781,2781,Sivanthi Adithan,"Tamil Nadu, India",Literature and Education,Pratibha Patil,,,,,,,"తమిళనాడు, భారతదేశం",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
2782,2782,2782,Sivapatham Vittal,"Tamil Nadu, India",Medicine,Pratibha Patil,,,,,,,"తమిళనాడు, భారతదేశం",మెడిసిన్,ప్రతిభా పాటిల్
2783,2783,2783,Sivaraj Ramseshan,,,,"Karnataka, India",Science and Engineering,Zail Singh,,,,,,
2784,2784,2784,Sivaramakrishna Chandrasekhar,,,,"Karnataka, India",Science and Engineering,K. R. Narayanan,,,,,,
2785,2785,2785,Siyaram Tiwari,"Bihar, India",Arts,V. V. Giri,,,,,,,"బీహార్, భారత్",ఆర్ట్స్,వి. వి. గిరి
2786,2786,2786,Skendrowell Syiemlieh,"Meghalaya, India",Arts,Pratibha Patil,,,,,,,"మేఘాలయ, భారతదేశం",ఆర్ట్స్,ప్రతిభా పాటిల్
2787,2787,2787,Smita Patil,"Maharashtra, India",Arts,Zail Singh,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,జైల్ సింగ్
2788,2788,2788,Sneh Bhargava,Delhi/India,Medicine,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ఆర్. వెంకటరమణ
2789,2789,2789,Sobha Singh,"Haryana, India",Arts,Zail Singh,,,,,,,"హర్యానా, భారతదేశం",ఆర్ట్స్,జైల్ సింగ్
2790,2790,2790,Sohan Lal Dwivedi,"Uttar Pradesh, India",Literature and Education,V. V. Giri,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,వి. వి. గిరి
2791,2791,2791,Sohan Singh Bhakna,"Punjab, India",Medicine,Rajendra Prasad,,,,,,,"పంజాబ్, భారత్",మెడిసిన్,రాజేంద్ర ప్రసాద్
2792,2792,2792,Sohrab Pirojsha Godrej,,,,"Maharashtra, India",Trade and Industry,K. R. Narayanan,,,,,,
2793,2793,2793,Soli Sorabjee,,,,,,,Delhi/India,Public Affairs,K. R. Narayanan,,,
2794,2794,2794,Solomon Pappaiah,"Tamil Nadu, India",Literature and Education and Journalism,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",సాహిత్యం మరియు విద్య మరియు జర్నలిజం,రామ్ నాథ్ కోవింద్
2795,2795,2795,Som Nath Sadhu,Jammu & Kashmir/India,Arts,V. V. Giri,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,ఆర్ట్స్,వి. వి. గిరి
2796,2796,2796,Sombhu Mitra,,,,"West Bengal, India",Arts,V. V. Giri,,,,,,
2797,2797,2797,Somdet Phra Maha Muniwong,,Others,Ram Nath Kovind,,,,,,,,మరికొందరు,రామ్ నాథ్ కోవింద్
2798,2798,2798,Somdev Devvarman,"Tripura, India",Sports,Ram Nath Kovind,,,,,,,"త్రిపుర, భారత్",క్రీడలు,రామ్ నాథ్ కోవింద్
2799,2799,2799,Somnath Hore,,,,"West Bengal, India",Arts,A. P. J. Abdul Kalam,,,,,,
2800,2800,2800,Sonal Mansingh,,,,Delhi,Arts,R. Venkataraman,Delhi,Arts,A. P. J. Abdul Kalam,,,
2801,2801,2801,Sonam Gyatso (mountaineer),Sikkim,Sports,Rajendra Prasad,Sikkim,Sports,Sarvepalli Radhakrishnan,,,,సిక్కిం,క్రీడలు,రాజేంద్ర ప్రసాద్
2802,2802,2802,Sonam Tshering Lepcha,"Sikkim, India",Arts,A. P. J. Abdul Kalam,,,,,,,"సిక్కిం, భారత్",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
2803,2803,2803,Sonam Wangyal,"Sikkim, India",Sports,Sarvepalli Radhakrishnan,,,,,,,"సిక్కిం, భారత్",క్రీడలు,సర్వేపల్లి రాధాకృష్ణన్
2804,2804,2804,Sooni Taraporevala,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
2805,2805,2805,Sooranad Kunjan Pillai,"Kerala, India",Literature and Education,Zail Singh,,,,,,,"కేరళ, భారత్",సాహిత్యం మరియు విద్య,జైల్ సింగ్
2806,2806,2806,Sophia Wadia,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,"మహారాష్ట్ర, భారత్",సామాజిక పని,రాజేంద్ర ప్రసాద్
2807,2807,2807,Sougaijam Thanil Singh,"Manipur, India",Arts,A. P. J. Abdul Kalam,,,,,,,"మణిపూర్, భారత్",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
2808,2808,2808,Soumitra Chatterjee,,,,"West Bengal, India",Arts,A. P. J. Abdul Kalam,,,,,,
2809,2809,2809,Sourav Ganguly,"West Bengal, India",Sports,A. P. J. Abdul Kalam,,,,,,,"పశ్చిమ బెంగాల్, భారత్",క్రీడలు,ఎ. పి. జె. అబ్దుల్ కలాం
2810,2810,2810,Sourendra Nath Kohli,,,,"Punjab, India",Civil Service,V. V. Giri,,,,,,
2811,2811,2811,Sri M,,,,"Kerala, India",Others,Ram Nath Kovind,,,,,,
2812,2812,2812,Sri Prakasa,,,,,,,"Andhra Pradesh, India",Public Affairs,Rajendra Prasad,,,
2813,2813,2813,Sri Sri Ravi Shankar,,,,,,,"Karnataka, India",Others,Pranab Mukherjee,,,
2814,2814,2814,Sridevi,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ప్రణబ్ ముఖర్జీ
2815,2815,2815,Sridhar Vembu,"Tamil Nadu, India",Trade and Industry,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",వాణిజ్యం మరియు పరిశ్రమ,రామ్ నాథ్ కోవింద్
2816,2816,2816,Srikanth Kidambi,"Andhra Pradesh, India",Sports,Ram Nath Kovind,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",క్రీడలు,రామ్ నాథ్ కోవింద్
2817,2817,2817,Srikumar Banerjee,"Maharashtra, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,,"మహారాష్ట్ర, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ఎ. పి. జె. అబ్దుల్ కలాం
2818,2818,2818,Srinibash Udgata,"Odisha, India",Literature and Education,Pratibha Patil,,,,,,,"ఒడిశా, భారత్",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
2819,2819,2819,Srinivasa Ambujammal,"Tamil Nadu, India",Social Work,Sarvepalli Radhakrishnan,,,,,,,"తమిళనాడు, భారతదేశం",సామాజిక పని,సర్వేపల్లి రాధాకృష్ణన్
2820,2820,2820,Srinivasan Varadarajan,,,,Delhi/India,Civil Service,Zail Singh,,,,,,
2821,2821,2821,Srinivasaraghavan Venkataraghavan,"Tamil Nadu, India",Sports,A. P. J. Abdul Kalam,,,,,,,"తమిళనాడు, భారతదేశం",క్రీడలు,ఎ. పి. జె. అబ్దుల్ కలాం
2822,2822,2822,Sripada Pinakapani,,,,"Andhra Pradesh, India",Arts,Zail Singh,,,,,,
2823,2823,2823,Sriram Singh,Delhi/India,Sports,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,క్రీడలు,ఆర్. వెంకటరమణ
2824,2824,2824,Srirangam Gopalaratnam,"Andhra Pradesh, India",Arts,R. Venkataraman,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",ఆర్ట్స్,ఆర్. వెంకటరమణ
2825,2825,2825,Stanley John,"Karnataka, India",Medicine,Fakhruddin Ali Ahmed,,,,,,,"కర్ణాటక, భారత్",మెడిసిన్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
2826,2826,2826,Stella Kramrisch,,,,,Literature and Education,Neelam Sanjiva Reddy,,,,,,
2827,2827,2827,Sthanam Narasimha Rao,"Andhra Pradesh, India",Arts,Rajendra Prasad,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",ఆర్ట్స్,రాజేంద్ర ప్రసాద్
2828,2828,2828,Subbiah Arunan,"Karnataka, India",Science and Engineering,Pranab Mukherjee,,,,,,,"కర్ణాటక, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ప్రణబ్ ముఖర్జీ
2829,2829,2829,Subbu Arumugam,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
2830,2830,2830,Subhash C. Kashyap,,,,Delhi/India,Public Affairs,Pranab Mukherjee,,,,,,
2831,2831,2831,Subhash Kak,Jammu and Kashmir/India,Science and Engineering,Ram Nath Kovind,,,,,,,జమ్మూకశ్మీర్/ఇండియా,సైన్స్ అండ్ ఇంజినీరింగ్,రామ్ నాథ్ కోవింద్
2832,2832,2832,Subhash Mukhopadhyay,,,,"West Bengal, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
2833,2833,2833,Subhash Palekar,"Maharashtra, India",Others,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",మరికొందరు,ప్రణబ్ ముఖర్జీ
2834,2834,2834,Subhasini Mistry,"West Bengal, India",Social work,Ram Nath Kovind,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సామాజిక పని,రామ్ నాథ్ కోవింద్
2835,2835,2835,Subodh Chandra Sengupta,,,,"West Bengal, India",Literature and Education,Zail Singh,,,,,,
2836,2836,2836,Subra Suresh,United States,Science and Engineering,Pratibha Patil,,,,,,,యునైటెడ్ స్టేట్స్,సైన్స్ అండ్ ఇంజినీరింగ్,ప్రతిభా పాటిల్
2837,2837,2837,Subrahmanyan Chandrasekhar,,,,,,,,Science and Engineering,Zakir Husain (politician),,,
2838,2838,2838,Subramaniam Ramadorai,,,,"Maharashtra, India",Trade and Industry,A. P. J. Abdul Kalam,,,,,,
2839,2839,2839,Subrat Kumar Acharya,Delhi/India,Medicine,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ప్రణబ్ ముఖర్జీ
2840,2840,2840,Subrata Mitra,"West Bengal, India",Arts,Zail Singh,,,,,,,"పశ్చిమ బెంగాల్, భారత్",ఆర్ట్స్,జైల్ సింగ్
2841,2841,2841,Sucheta Dalal,"Maharashtra, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
2842,2842,2842,Suchitra Mitra,"West Bengal, India",Science and Engineering,V. V. Giri,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,వి. వి. గిరి
