,Recipients,philanthropy,philanthropy Telugu
1423,Jagdish Mitra Pahwa,,
1424,Jagdish Prasad Parikh,,
1425,Jagdish Prasad Singh,,
1426,Jagdish Sheth,,
1427,Jaggayya,,
1428,Jaggi Vasudev,,
1429,Jagjit Singh,,
1430,Jagjit Singh Aurora,,
1431,Jagjit Singh Chopra,,
1432,Jagjit Singh Hara,,
1433,Jagmohan,,
1434,Jagmohan Lal Karoli,,
1435,Jagmohan Sursagar,,
1436,Jahnu Barua,,
1437,Jai Bhagwan Chaudhary,,
1438,Jai Bhagwan Goyal,,
1439,Jai Hormusjee Vakil,,
1440,Jai Krishna,,
1441,Jai Pal Mittal,,
1442,Jai Pal Singh,,
1443,Jai Prakash Agarwal,,
1444,Jai Prakash Lekhiwal,,
1445,Jai Rattan Bhalla,,
1446,Jai Singh Pal Yadav,,
1447,Jaikishan Dahyabhai Panchal,,
1448,Jainendra Kumar Jain,,
1449,Jaishankar Bhojak,,
1450,Jaiveer Agarwal,,
1451,Jal Gawashaw Paymaster,,
1452,Jal Minocher Mehta,,
1453,Jal R. Patel,,
1454,Jalakantapuram Ramaswamy Krishnamoorthy,,
1455,Jaman Lal Sharma,,
1456,Jamesh Dokhuma,,
1457,Jamini Roy,,
1458,Jamshed Jiji Irani,,
1459,Jamshed Vazifdar,,
1460,Jamshyd Godrej,,
1461,Jamuna Tudu,,
1462,Janak Palta McGilligan,,
1463,Janaki Ammal,,
1464,Janaky Athi Nahappan,,
1465,Jankibai Bajaj,,
1466,Jasbir Singh Bajaj,,
1467,Jasdev Singh,,
1468,Jashbhai Shankarbhaiu Patel,,
1469,Jasjit Singh,,
1470,Jaspal Bhatti,,
1471,Jaspal Rana,,
1472,Jasraj,,
1473,Jasraj Motiram,,
1474,Jasu Patel,,
1475,Jaswantrai Jayantilal Anjaria,,
1476,Jatin Das,,
1477,Jatin Goswami,,
1478,Jatindra Mohan Dutta,,
1479,Jatish Chandra Bhattacharyya,,
1480,Javare Gowda,,
1481,Javed Ahmed Tak,,
1482,Javed Akhtar,,
1483,Jawahar Lal Kaul,,
1484,Jawahar Wattal,,
1485,Jaya Arunachalam,,
1486,Jaya Bachchan,,
1487,Jayakanthan,,
1488,Jayakumari Chikkala,,
1489,Jayalakhshmi K. S.,,
1490,Jayant Narlikar,,
1491,Jayant Pandurang Naik,,
1492,Jayanta Kumar Ghosh,,
1493,Jayanta Mahapatra,,
1494,Jayantha Kumar Bagchi,,
1495,Jayanto Nath Chaudhuri,,
1496,Jayaram,,
1497,Jayaraman Gowrishankar,,
1498,Jaymala Shiledar,,
1499,Jeahangir Ghandy,,
1500,Jean Riboud,,
1501,Jean-Claude Carrière,,
1502,Jeelani Bano,,
1503,Jeev Milkha Singh,,
1504,Jeffrey Sachs,,
1505,Jehangir Sabavala,,
1506,Jehangir Shapurji Bhownagary,,
1507,Jerusha Jhirad,,
1508,Jhabarmal Sharma,,
1509,Jharna Dhara Chowdhury,,
1510,Jhulan Goswami,,
1511,Ji Xianlin,,
1512,Jigme Dorji Wangchuck,,
1513,Jinvijay,,
1514,Jitender Singh Shunty,,
1515,Jitendra Abhisheki,,
1516,Jitendra Haripal,,
1517,Jitendra Kumar Singh,,
1518,Jitendra Mohan Hans,,
1519,Jitendra Nath Goswami,,
1520,Jitendra Udhampuri,,
1521,Jitu Rai,,
1522,Jivanlal Moti Lal Thakore,,
1523,Jivraj Narayan Mehta,,
1524,Jivya Soma Mashe,,
1525,Jiwan Lal Jairamdas,,
1526,Jiwan Singh Umranangal,,
1527,Jnan Chandra Ghosh,,
1528,Jnan Prakash Ghosh,,
1529,Jnanendra Nath Mukherjee,,
1530,Jockin Arputham,,
1531,Jodh Singh,,
1532,Jogendra Nath Phukan,,
1533,Jogesh Chandra Banerjee,,
1534,Jogesh Chandra De,,
1535,Jogesh Pati,,
1536,Joginder Paul Birdi,,
1537,Joginder Singh,,
1538,Joginder Singh Dhillon,,
1539,Jogindra Lal Gupta,,
1540,John Arthur King Martyn,,
1541,John Ebnezar,,
1542,John Kenneth Galbraith,,
1543,John Martin Nelson,,
1544,John Mathai,,
1545,John Ralston Marr,,
1546,John Richardson (bishop of Car Nicobar),,
1547,John T. Chambers,,
1548,Jonnalagadda Gurappa Chetty,,
1549,Joravarsinh Jadav,,
1550,Jose Chacko Periappuram,,
1551,Jose Ma Joey Concepcion III,,
1552,Joseph Allen Stein,,
1553,Joseph Durai Raj,,
1554,Joseph H. Hulse,,
1555,Joseph H. Pereira,,
1556,Joseph Harold,,
1557,Josh Malihabadi,,
1558,Josh Malsiyani,,
1559,José Pereira,,
1560,Jothi Venkatachalam,,
1561,Joy Michael,,
1562,Joyasree Goswami Mahanta,,
1563,Jugal Kishore,,
1564,Jugal Kishore Choudhury,,
1565,Julio Ribeiro,,
1566,Julius Silverman,,
1567,Juthika Roy,,
1568,Jyeshtharaj Joshi,,
1569,Jyoti Bhatt,,
1570,Jyoti Bhushan Banerji,,
1571,Jyoti Kumar Sinha,,
1572,Jyotindra Nath Dixit,,
1573,Jyotirmoyee Sikdar,,
1574,Jyotish Chandra Ray,,
1575,K K Ramachandra Pulavar,,
1576,K Kesavasamy,,
1577,K. A. Abraham,,
1578,K. A. Nilakanta Sastri,,
1579,K. Asungba Sangtam,,
1580,K. B. Lall,,
1581,K. B. Sundarambal,,
1582,K. Balachander,,
1583,K. C. Banerjee,,
1584,K. C. Johorey,,
1585,K. C. Reddy,,
1586,K. C. Sengupta,,
1587,K. C. Sivasankaran,,
1588,K. Covilagam Kutti Ettan Raja,,
1589,K. G. Jayan,,
1590,K. G. Ramanathan,,
1591,K. G. Subramanyan,,
1592,K. I. Varaprasad Reddy,,
1593,K. Ibomcha Sharma,,
1594,K. J. Yesudas,,
1595,K. K. Aggarwal,,
1596,K. K. Muhammed,,
1597,K. K. Talwar,,
1598,K. K. Venugopal,,
1599,K. Kripal Singh,,
1600,K. M. Beenamol,,
1601,K. M. Cherian,,
1602,K. M. Cherian (journalist),,
1603,K. M. George,,
1604,K. M. Mammen Mappillai,,
1605,K. M. Mathew,,
1606,K. N. Dandayudhapani Pillai,,
1607,K. N. Raj,,
1608,K. N. Shankara,,
1609,K. Narayanan,,
1610,K. P. Haridas,,
1611,K. P. Kesava Menon,,
1612,K. P. Mathur,,
1613,K. P. P. Nambiar,,
1614,K. P. Saxena,,
1615,K. P. Udayabhanu,,
1616,K. Paddayya,,
1617,K. Padmanabhaiah,,
1618,K. Parasaran,,
1619,K. R. Chakravorty,,
1620,K. R. Palaniswamy,,
1621,K. R. Ramanathan,,
1622,K. Radhakrishnan,,
1623,K. Raghavan,,
1624,K. S. Chandrasekharan,,
1625,K. S. Chithra,"Chithra, along with a Kerala-based satellite channel, Asianet Cable Vision (ACV), jointly launched a fundraising organisation, Sneha Nandana, to raise funds for the welfare of retired musicians who have lost their careers due to changes in the music industry. She launched this organisation on the occasion of her completion of three decades in the music playback industry. She said that the fund would provide help to the musicians with financial impediments and those suffering from health problems. A cultural event called Chithra Pournami was held on 15 February 2011 at Thiruvananthapuram to celebrate the 30th year of her career and also to launch this organisation.","చిత్ర, కేరళకు చెందిన శాటిలైట్ ఛానల్, ఏషియానెట్ కేబుల్ విజన్ (ACV)తో కలిసి సంగీత పరిశ్రమలో వచ్చిన మార్పుల కారణంగా కెరీర్ను కోల్పోయిన రిటైర్డ్ సంగీతకారుల సంక్షేమం కోసం నిధుల సేకరణ కోసం స్నేహ నందన అనే నిధుల సేకరణ సంస్థను సంయుక్తంగా ప్రారంభించింది. మ్యూజిక్ ప్లేబ్యాక్ పరిశ్రమలో మూడు దశాబ్దాలు పూర్తి చేసుకున్న సందర్భంగా ఈమె ఈ సంస్థను ప్రారంభించారు. ఆర్థిక అవరోధాలు ఉన్న సంగీత కళాకారులకు, అనారోగ్య సమస్యలతో బాధపడుతున్న వారికి ఈ నిధి సహాయం అందజేస్తుందని ఈమె తెలిపారు. ఈమె కెరీర్లో 30 ఏళ్లు పూర్తయిన సందర్భంగా చిత్ర పౌర్ణమి అనే సాంస్కృతిక కార్యక్రమం 15 ఫిబ్రవరి 2011న తిరువనంతపురంలో నిర్వహించబడింది, ఈ సంస్థను ప్రారంభించింది. "
1626,K. S. Narayanaswamy,,
1627,K. S. Nissar Ahmed,,
1628,K. Sankaran Nair,,
1629,K. Shankar Pillai,,
1630,K. Shivaram Karanth,,
1631,K. Srinath Reddy,,
1632,K. Sukumaran,,
1633,K. T. Dholakia,,
1634,K. T. Thomas,,
1635,K. Ullas Karanth,,
1636,K. V. Kamath,,
1637,K. V. Narayanaswamy,,
1638,K. V. S. J. Peter,,
1639,K. V. Sampath Kumar,,
1640,K. Vardachari Thiruvengadam,,
1641,K. Venkatalakshamma,,
1642,K. Venkataraman,,
1643,K. VijayRaghavan,,
1644,K. Viswanath,,
1645,K. Y. Venkatesh,,
1646,K.S.A. Khader Ghulam Mohideen,,
1647,Kader Khan,,
1648,Kadiyala Ramachandra,,
1649,Kadri Gopalnath,,
1650,Kaifi Azmi,,
1651,Kaikhushru Ruttonji Shroff,,
1652,Kailas Nath Kaul,,
1653,Kailasam Raghavendra Rao,,
1654,Kailash Chand,,
1655,Kailash Chandra Agrawal,,
1656,Kailash Chandra Meher,,
1657,Kailash Kher,,
1658,Kailash Madbaiya,,
1659,Kailash Sankhala,,
1660,Kaithapram Damodaran Namboothiri,,
1661,Kajol,,
1662,Kaka Hathrasi,,
1663,Kakarla Subba Rao,,
1664,Kalabati Devi,,
1665,Kalamandalam Gopi,,
1666,Kalamandalam Krishnan Nair,,
1667,Kalamandalam Kshemavathy,,
1668,Kalamandalam Satyabhama,,
1669,Kalamandalam Sivan Namboodiri,,
1670,Kalanidhi Narayanan,,
1671,Kalbe Sadiq,,
1672,Kalee Shabi Mahaboob,,
1673,Kaleem Ullah Khan,,
1674,Kalidas Gupta Riza,,
1675,Kalim Aajiz,,
1676,Kalindi Charan Panigrahi,,
1677,Kallam Anji Reddy,,
1678,Kallur Subba Rao,,
1679,Kalluri Gopal Rao,,
1680,Kaloji Narayana Rao,,
1681,Kalpana Saroj,,
1682,Kalpathy Ram Iyer Doraiswamy,,
1683,Kalu Lal Shrimali,,
1684,Kalyan Banerjee,,
1685,Kalyan Dev,,
1686,Kalyan Singh Gupta,,
1687,Kalyan Singh Rawat,,
1688,Kalyan Sundaram,,
1689,Kalyanam Raghuramaiah,,
1690,Kalyanji Virji Shah,,
1691,Kalyanji Vithalbhai Mehta,,
1692,Kamal Haasan,,
1693,Kamal Krishna Sinha,,
1694,Kamal Kumar Sethi,,
1695,Kamal Manti Naskar,,
1696,Kamal Ranadive,,
1697,Kamala Pujhari,,
1698,Kamalabai Hospet,,
1699,Kamaladevi Chattopadhyay,,
1700,Kamalendumati Shah,,
1701,Kamaljit Sandhu,,
1702,Kamaljit Singh Paul,,
1703,Kameshwar Brahma,,
1704,Kameshwar Prasad,,
1705,Kamini A. Rao,,
1706,Kamleshwar,,
1707,Kanak Rele,,
1708,Kanaka Raju,,
1709,Kanaka Srinivasan,,
1710,Kandathil Mammen Philip,,
1711,Kangana Ranaut,,
1712,Kanhai Chitrakar,,
1713,Kanhaiya Lal Nandan,,
1714,Kanhaiyalal Sethia,,
1715,Kanhaya Lal Pokhriyal,,
1716,Kanhiyalal Prabhakar Mishra,,
1717,Kanika Banerjee,,
1718,Kankanhalli Vasudevachary,,
1719,Kanta Saroop Krishen,,
1720,Kanta Tyagi,,
1721,Kantibhai Baldevbhai Patel,,
1722,Kantilal Hastimal Sancheti,,
1723,Kanubhai Hasmukhbhai Tailor,,
1724,Kanuri Lakshmana Rao,,
1725,Kanwal Sibal,,
1726,Kanwal Singh Chauhan,,
1727,Kanwaljit Singh Bains,,
1728,Kanwar Natwar Singh,,
1729,Kanwar Pal Singh Gill,,
1730,Kanwar Sain,,
1731,Kapil Dev,,
1732,Kapil Deva Dvivedi,,
1733,Kapil Mohan,,
1734,Kapil Tiwari,,
1735,Kapila Vatsyayan,,
1736,Karachur Lingappa Nanjappa,,
1737,Karamshi Jethabhai Somaiya,,
1738,Karan Johar,,
1739,Karan Singh,,
1740,Kariamanickam Srinivasa Krishnan,,
1741,Karim Al Hussaini Aga Khan,,
1742,Karimpat Mathangi Ramakrishnan,,
1743,Karimpumannil Mathai George,,
1744,Karimul Haque,,
1745,Kariya Munda,,
1746,Karl Harrington Potter,,
1747,Karl Jamshed Khandalavala,,
1748,Karnam Malleswari,,
1749,Karsanbhai Patel,,
1750,Kartar Paras Ram Singh,,
1751,Kartar Singh Dewana,,
1752,Kartar Singh Duggal,,
1753,Kartikeya V. Sarabhai,,
1754,Karuna Mary Braganza,,
1755,Kashi Nath Pandita,,
1756,Kashi Prasad Pandey,,
1757,Kashmir Singh Katoch,,
1758,Kashmiri Lal Zakir,,
1759,Kasturbhai Lalbhai,,
1760,Kasturi Lal Chopra,,
1761,Kasturi Lal Vij,,
1762,Kasturi Srinivasan,,
1763,Kasturiswami Sreenivasan,,
1764,Kattingeri Krishna Hebbar,,
1765,Kattungal Subramaniam Manilal,,
1766,Katty Venkataswami Naidu,,
1767,Katuru Narayana,,
1768,Kaur Singh,,
1769,Kaushik Basu,,
1770,Kavalam Narayana Panicker,,
1771,Kaviraj Ashuthosh Majumdar,,
1772,Kavita Krishnamurthy,,
1773,Kavungal Chathunni Panicker,,
1774,Kayalath Pothen Philip,,
1775,Kazi Lhendup Dorjee,,
1776,Kazi Masum Akhtar,,
1777,Kazi Nazrul Islam,,
1778,Kedar Ghosh,,
1779,Kedar Gurung,,
1780,Kedar Nath Mookerjee,,
1781,Kedar Nath Sahoo,,
1782,Keepu Tsering Lepcha,,
1783,Keezhpadam Kumaran Nair,,
1784,Keiki R. Mehta,,
1785,Keki Byramjee Grant[i]#,,
1786,Keki Hormusji Gharda,,
1787,Keki N. Daruwalla,,
1788,Kekoo Gandhy,,
1789,Kelucharan Mohapatra,,
1790,Kershasp Tehmurasp Satarawala,,
1791,Kesarbai Kerkar,,
1792,Keshav Malik,,
1793,Keshav Prasad Goenka,,
1794,Keshav Rao Musalgaonkar,,
1795,Keshavram Kashiram Shastri,,
1796,Keshavrao Krishnarao Datey,,
1797,Keshubhai Patel,,
1798,Ketayun Ardeshir Dinshaw,,
1799,Kewal Singh Choudhary,,
1800,Khadg Singh Valdiya,,
1801,Khadim Hussain Khan,,
1802,Khailshanker Durlabhji,,
1803,Khaled Choudhury,,
1804,Khalid A. H. Ansari,,
1805,"Khalid Hameed, Baron Hameed",,
1806,Khalid Zaheer,,
1807,Khangembam Mangi Singh,,
1808,Kharag Singh Valdiya,,
1809,Khawlkungi,,
1810,Khem Karan Singh,,
1811,Khem Singh Gill,,
1812,Khushdeva Singh,,
1813,Khushwant Lal Wig,,
1814,Khushwant Singh,,
1815,Khusro Faramurz Rustamji,,
1816,Khwaja Ahmad Abbas,,
1817,Khwaja Ghulam Saiyidain,,
1818,Kim Yang-shik,,
1819,Kiran Karnik,,
1820,Kiran Martin,,
1821,Kiran Mazumdar,,
1822,Kiran Mazumdar-Shaw,,
1823,Kiran Segal,,
1824,Kiran Seth,,
1825,Kirit Parikh,,
1826,Kiritkumar Mansukhlal Acharya,,
1827,Kirpal Singh,,
1828,Kirpal Singh Chugh,,
1829,Kirpal Singh Narang,,
1830,Kishan Lal,,
1831,Kishan Maharaj,,
1832,Kishandas Bhagwandas Kapadia,,
1833,Kishorebhai Ratilal Zaveri,,
1834,Kishori Amonkar,,
1835,Kodaganur S. Gopinath,,
1836,Kodandera Subayya Thimayya,,
1837,Koka Simhadri Babu,,
1838,Kolakaluri Enoch,,
1839,Komal Kothari,,
1840,Komala Varadan,,
1841,Koneru Ramakrishna Rao,,
1842,Kooram Chakravarthy Kannan,,
1843,Kota Harinarayana,,
1844,Kota Srinivasa Rao,,
1845,Kotha Satchidananda Murthy,,
1846,Kotha Satchidanda Murthy,,
1847,Kothamangalam Subbu,,
1848,Kotti Narasimha Udupa,,
1849,Kranti Shah,,
1850,Kripal Singh Shekhawat,,
1851,Kris Gopalakrishnan,,
1852,Krishan Dev Bali,,
1853,Krishan Dev Dewan,,
1854,Krishan Dutta Bharadwaj,,
1855,Krishan Swarup Pathak,,
1856,Krishen Khanna,,
1857,Krishn Kanhai,,
1858,Krishna Bihari Mishra,,
1859,Krishna Chaithanya,,
1860,Krishna Chandar,,
1861,Krishna Chandra Chunekar,,
1862,Krishna Chandra Panigrahi,,
1863,Krishna Chandra Shukla,,
1864,Krishna Gopal Saxena,,
1865,Krishna Joshi,,
1866,Krishna Kanta Handique,,
1867,Krishna Kumar,,
1868,Krishna Lal Chadha,,
1869,Krishna Murari Tiwari,,
1870,Krishna Pai Pai,,
1871,Krishna Poonia,,
1872,Krishna Prasad Dar,,
1873,Krishna Prasad Singh Varma,,
1874,Krishna Ram Chaudhary,,
1875,Krishna Ramchand Kriplani,,
1876,Krishna Reddy,,
1877,Krishna Srinivas,,
1878,Krishna Swaroop Mullick,,
1879,Krishnammal Jagannathan,,
1880,Krishnamurthy Santhanam,,
1881,Krishnan Raghavachari,,
1882,Krishnarao Phulambrikar,,
1883,Krishnarao Shankar Pandit,,
1884,Krishnarao Shripat Mhaskar,,
1885,Krishnaswami Balasubramania Iyer,,
1886,Krishnaswami Ramiah,,
1887,Krishnaswami Srinivas Sanjivi,,
1888,Krishnaswami Swaminathan,,
1889,Krishnaswamy Kasturirangan,,
1890,Kruthartha Acharya,,
1891,Kshama Metre,,
1892,Kshem Suman Chandra,,
1893,Kshetrimayum Ongbi Thouranisabi Devi,,
1894,Kudrat Singh,,
1895,Kuldip Nayar,,
1896,Kuldip Singh Virk,,
1897,Kum Subasini Jhunu Dasgupta,,
1898,Kum Uma Sharma,,
1899,Kumar Gandharva,,
1900,Kumar Ketkar,,
1901,Kumar Nandan Prasad,,
1902,Kumar Padma Siva Shankara Menon,,
1903,Kumar Sanu,,
1904,Kumari Codanda Rohini Poovaiah,,
1905,Kumari Kamala,,
1906,Kumarpal Desai,,
1907,Kumkum Mohanty,,
1908,Kumud Ranjan Mullick,,
1909,Kumudini Lakhia,,
1910,Kundal Lal Bery,,
1911,Kunhiraman Palat Candeth,,
1912,Kunja Bihari Meher,,
1913,Kunjarani Devi,,
1914,Kunji Lal Dubey,,
1915,Kunnakudi Vaidyanathan,,
1916,Kunnenkeril K. Jacob,,
1917,Kunwar Digvijai Singh,,
1918,Kunwar Narayan,,
1919,Kunwar Singh Negi,,
1920,Kuppali Venkatappagowda Puttappa,,
1921,Kurian John Melamparambil,"He entered into business in order to generate funds for carrying out charitable activities.All applicants for medical assistance from the Melam foundation are met and interviewed before disbursement of any assistance. He personally meets each patient/relative, however large the turnout is. He also provides food on those days to the patients and their relatives.It is a wholly private activity with no Government funds or public funds or involvement. 48 MP's (both Lok Sabha and Rajya Sabha) from the State of Kerala, 138 MLA's out of 140 from the Kerala Legislative Assembly, and from the border district of Tamil Nadu and Karnataka, and around 18,000 Councilors/Panchayath members in Kerala have already participated in the selection process.Kurian John Melamparambil's work has resulted in establishing a network of more than 1025 hospitals across the state for providing specialized treatment to the sponsored patients within a 30 days credit period for reimbursement from him.","ధార్మిక కార్యకలాపాల కోసం నిధులను సంపాదించడానికి ఇతను వ్యాపారంలోకి ప్రవేశించాడు. మేళం ఫౌండేషన్ నుండి వైద్య సహాయం కోసం దరఖాస్తు చేసుకున్న వారందరూ ఏదైనా సహాయం పంపిణీ చేయడానికి ముందు కలుసుకుంటారు, ఇంటర్వ్యూ చేస్తారు. ఇతను వ్యక్తిగతంగా ప్రతి రోగి/బంధువును కలుస్తాడు, అయితే పోలింగ్ శాతం ఎంత పెద్దదైనా. రోగులకు, వారి బంధువులకు ఆ రోజుల్లో ఆహారం కూడా అందజేస్తాడు. ఇది ప్రభుత్వ నిధులు లేదా పబ్లిక్ నిధులు లేదా ప్రమేయం లేని పూర్తిగా ప్రైవేట్ కార్యకలాపం. కేరళ రాష్ట్రం నుండి 48 మంది ఎంపీలు (లోక్ సభ, రాజ్యసభ రెండూ), కేరళ శాసనసభ నుండి 140 మందిలో 138 మంది ఎమ్మెల్యేలు, తమిళనాడు, కర్ణాటక సరిహద్దు జిల్లా నుండి, కేరళలోని దాదాపు 18, 000 మంది కౌన్సిలర్లు/పంచాయత్ సభ్యులు ఇప్పటికే పాల్గొన్నారు. ఎంపిక ప్రక్రియలో. కురియన్ జాన్ మేలంపరంబిల్, కృషి ఫలితంగా అతని నుండి రీయింబర్స్మెంట్ కోసం 30 రోజుల క్రెడిట్ వ్యవధిలో స్పాన్సర్ చేయబడిన రోగులకు ప్రత్యేక చికిత్స అందించడానికి రాష్ట్రవ్యాప్తంగా 1025 కంటే ఎక్కువ ఆసుపత్రుల నెట్వర్క్ను ఏర్పాటు చేసింది. "
1922,Kushal Konwar Sarma,,
1923,Kushal Pal Singh,,
1924,Kushok Bakula,,
1925,Kuthur Ramakrishnan Srinivasan,,
1926,Kutikuppala Surya Rao,,
1927,Kuvempu,,
1928,Kuzhivelil Mathew,,
1929,Kuzhur Narayana Marar,,
1930,L. A. Krishna Iyer,,
1931,L. K. Advani,,
1932,L. K. Doraiswamy,,
1933,L. Kijungluba AO,,
1934,L. S. N. Prasad,,
1935,L. Subramaniam,,
1936,L. Venkatakrishna Iyer,,
1937,L. Z. Sailo,,
1938,Laila Tyabji,,
1939,Laishram Birendrakumar Singh,,
1940,Laishram Nabakishore Singh,,
1941,Lakha Khan,,
1942,Lakhimi Baruah,,
1943,Lakhumal Hiranand Hiranandani,,
1944,Lakshman Dev,,
1945,Lakshman Shastri Joshi,,
1946,Lakshman Singh,,
1947,Lakshman Singh Jangpangi,,
1948,Lakshman Swarup Darbari,,
1949,Lakshmi Kumari Chundawat,,
1950,Lakshmi Mazumdar,,
1951,Lakshmi Menon,,
1952,Lakshmi Mittal,,
1953,Lakshmi Nandan Bora,,
1954,Lakshmi Sahgal,,
1955,Lakshmikutty,,
1956,Lakshminarayana Pulram Ananthakrishnan Ramdas,,
1957,Lal Bahadur Singh Chauhan,,
1958,Lal Singh,,
1959,Lala Amarnath,,
1960,Lala Chand Verman,,
1961,Lala Hansraj Gupta,,
1962,Lalchand Hirachand,,
1963,Lalgudi Jayaraman,,
1964,Lalit Kumar,,
1965,Lalit Mohan Banerjee,,
1966,Lalit Pande,,
1967,Lalitha Chidambaram,,
1968,Lalji Singh,,
1969,Lallan Prasad Singh,,
1970,Lalsangzuali Sailo,,
1971,Lalsawma,,
1972,Lalthangfala Sailo,,
1973,Laltluangliana Khiangte,,
1974,Lalzuia Colney,,
1975,Lama Thup Phuntsok,,
1976,Lambert Mascarenhas,,
1977,Langpoklakpam Subadani Devi,,
1978,Lata Mangeshkar,,
1979,Laurie Baker,,
1980,Lavu Narendranath,,
1981,Laxma Goud,,
1982,Laxman Mahadeo Chitale,,
1983,Laxman Mane,,
1984,Laxman Pai,,
1985,Laxmanshastri Balaji Joshi,,
1986,Laxmi Chand Gupta,,
1987,Laxmi Mall Singhvi,,
1988,Laxmi Narayan Dubey,,
1989,Laxmi Prasad Sihare,,
1990,Laxminarayan Sahu,,
1991,Leander Paes,,
1992,Leela Joshi,,
1993,Leela Omchery,,
1994,Leela Samson,,
1995,Leela Sumant Moolgaokar,,
1996,Leeladhar Jagudi,,
1997,Leelavati Vinayak Pathak,,
1998,Lentina Ao Thakkar,,
1999,Leonarda Angela Casiraghi,,
2000,Leslie Claudius,,
2001,Leslie Denis Swindale,,
2002,Lhingioneng Gangte,,
2003,Lia Diskin,,
2004,Liarenmayum Damu Singh,,
2005,Lil Bahadur Chettri,,
2006,Lila Indrasen,,
2007,Lila Poonawalla,,
2008,Lila Ram,,
2009,Lila Ramkumar Bhargava,,
2010,Lilian G. Lutter,,
2011,Limba Ram,,
2012,Lloyd Rudolph,,
2013,Lokesh Chandra,,
2014,Lokesh Kumar Singhal,,
2015,Lothar Lutze,,
2016,Love Raj Singh Dharmshaktu,,
2017,Lovelin Kumar Gandhi,,
2018,Lucy Oommen,,
2019,Luis Jose De Souza,,
2020,M. A. Muthiah Chettiar,,
2021,M. A. Yousuf Ali,,
2022,M. Annamalai,,
2023,M. Aram,,
2024,M. B. Ramachandra Rao,,
2025,M. Balamuralikrishna,,
2026,M. Boyer,,
2027,M. C. Pant,,
2028,M. C. Setalvad,,
2029,M. D. Ramanathan,,
2030,M. D. Valsamma,,
2031,M. F. Husain,,
2032,M. G. Deo,,
2033,M. G. K. Menon,,
2034,M. J. Gopalan,,
2035,M. K. Binodini Devi,,
2036,M. K. Krishna Menon,,
2037,M. K. Kunjol,,
2038,M. K. Malik Mohammad,,
2039,M. K. Narayanan,,
2040,M. K. Radha,,
2041,M. K. Saroja,,
2042,M. Kirti Singh,,
2043,M. Krishnan Nair,,
2044,M. L. Soni,,
2045,M. L. Vasanthakumari,,
2046,M. Leelavathy,,
2047,M. M. Joshi,,
2048,M. M. S. Ahuja,,
2049,M. Mahadevappa,,
2050,M. N. Buch,,
2051,M. N. Krishnamani,,
2052,M. N. Passey,,
2053,M. N. Venkatachaliah,,
2054,M. Narasimham,,
2055,M. Night Shyamalan,,
2056,M. P. Ganesh,,
2057,M. P. Nachimuthu,,
2058,M. R. Acharekar,,
2059,M. R. Brahmam,,
2060,M. R. Kurup,,
2061,M. R. Rajagopal,,
2062,M. R. S. Rao,,
2063,M. R. Srinivasan,,
2064,M. S. Banga,"Vindi is the Chairman the Marie Curie Organisation in the UK, one of the leading charitable providers of palliative care services. He is also the Chair and Trustee of The Karta Initiative, a non profit organisation.","విండీ UKలోని మేరీ క్యూరీ ఆర్గనైజేషన్కు ఛైర్మన్గా ఉన్నారు, ఇది పాలియేటివ్ కేర్ సేవలను అందించే ప్రముఖ ఛారిటబుల్ ప్రొవైడర్లలో ఒకరు. ఇతను లాభాపేక్షలేని సంస్థ అయిన ది కర్తా ఇనిషియేటివ్కి చైర్, ట్రస్టీ కూడా. "
2065,M. S. Gill,,
2066,M. S. Gopalakrishnan,,
2067,M. S. Krishnan,,
2068,M. S. Narasimhan,,
2069,M. S. Raghunathan,,
2070,M. S. Ramakumar,,
2071,M. S. Sathyu,,
2072,M. S. Subbulakshmi,,
2073,M. S. Swaminathan,,
2074,M. S. Valiathan,,
2075,M. Sarada Menon,,
2076,M. Subhadra Nair,,
2077,M. T. Vasudevan Nair,,
2078,M. V. Mathur,,
2079,M. V. Padma Srivastava,,
2080,M. V. Pylee,,
2081,M. V. Rao,,
2082,M. V. Subbiah,,
2083,M. Vijayan,,
2084,M. Y. S. Prasad,,
2085,MS Dhoni,,
2086,Maadari Bhagya Gautam,,
2087,Machani Somappa,,
2088,Madan Lal Madhu,,
2089,Madan Madhav Godbole,,
2090,Madan Mohan,,
2091,Madan Mohan Sabharwal,,
2092,Madan Mohan Singh,,
2093,Madan Singh Chouhan,,
2094,Madanur Ahmed Ali,,
2095,Madapati Rao,,
2096,Madappa Mahadevappa,,
2097,Madaram Brahma,,
2098,Madavoor Vasudevan Nair,,
2099,Maddali Gopala Krishna,,
2100,Madeleine Herman de Blic,,
2101,Madhav Gadgil,,
2102,Madhav Kashinath Dalvi,,
2103,Madhav Sadashiv Gore,,
2104,Madhav Shrihari Aney,,
2105,Madhav Vittal Kamath,,
2106,Madhav Yeshwant Gadkari,,
2107,Madhava Ashish,,
2108,Madhavan Chandradathan,,
2109,Madhavan Nambiar,,
2110,Madhavi Mudgal,,
2111,Madhaviah Krishnan,,
2112,Madhavrao Bagal,,
2113,Madhu,,
2114,Madhu Mangesh Karnik,,
2115,Madhu Mansuri Hasmukh,,
2116,Madhu Pandit Dasa,,
2117,Madhu Sudan Kanungo,,
2118,Madhukar Keshav Dhavalikar,,
2119,Madhumita Bisht,,
2120,Madhup Mudgal,,
2121,Madhur Bhandarkar,,
