,Recipients,biography,biography Telugu
2799,Paul Pothen,,
2800,Paul Ratnasamy,"Paul Ratnasamy was born on 11 June 1942 in Chennai, in the Indian state of Tamil Nadu. He graduated (BSc) in chemistry from Loyola College, Chennai in 1961 and continued his studies at the same institution to secure MSc in 1963 and PhD on his thesis, Catalytic properties of alumina based materials in 1967. His post doctoral research was at the Clarkson College of Technology, New York from 1967 to 1969 under the guidance of Prof. D. Rosenthal and moved to Belgium for further research as a research associate of J. J. Friplat at the Catholic University of Leuven where he stayed till 1972. His professional career started at the Indian Institute of Petroleum (IIP) in 1972 where he worked till 1979. During this period, he secured a post graduate diploma in Industrial Administration and Management from the British Institute of Commerce in 1975 and had a stint at the Ludwig Maximilian University of Munich as the Senior Humboldt Fellow under H. Knozinger","పాల్ రత్నసామి భారతదేశంలోని తమిళనాడు రాష్ట్రంలోని చెన్నైలో 1942 జూన్ 11న జన్మించారు. ఇతను 1961లో చెన్నైలోని లయోలా కాలేజీ నుండి కెమిస్ట్రీలో (BSc) పట్టభద్రుడయ్యాడు, 1963లో MSc, 1967లో అల్యూమినా ఆధారిత పదార్థాల ఉత్ప్రేరక లక్షణాలపై తన థీసిస్పై PhD పొందేందుకు అదే సంస్థలో తన చదువును కొనసాగించాడు. అతని పోస్ట్ డాక్టరల్ పరిశోధన 1967 నుండి 1969 వరకు ప్రొఫెసర్ మార్గదర్శకత్వంలో న్యూయార్క్లోని క్లార్క్సన్ కాలేజ్ ఆఫ్ టెక్నాలజీలో జరిగింది. డి. రోసెంతల్, J, పరిశోధనా సహచరుడిగా తదుపరి పరిశోధన కోసం బెల్జియంకు వెళ్లారు. జె. క్యాథలిక్ యూనివర్శిటీ ఆఫ్ లెవెన్లో ఫ్రిప్లాట్ 1972 వరకు అక్కడే ఉన్నాడు. 1972లో ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ పెట్రోలియం (IIP)లో ప్రారంభమైన అతని వృత్తి జీవితం, అక్కడ ఇతను 1979 వరకు పనిచేశాడు. ఈ కాలంలో, ఇతను 1975లో బ్రిటిష్ ఇన్స్టిట్యూట్ ఆఫ్ కామర్స్ నుండి ఇండస్ట్రియల్ అడ్మినిస్ట్రేషన్ అండ్ మేనేజ్మెంట్లో పోస్ట్ గ్రాడ్యుయేట్ డిప్లొమా పొందాడు, లుడ్విగ్ మాక్సిమిలియన్ యూనివర్శిటీ ఆఫ్ మ్యూనిచ్లో హెచ్ కింద సీనియర్ హంబోల్ట్ ఫెలోగా పనిచేశాడు. నాజింజర్. "
2801,Pavaguda V. Indiresan,,
2802,Pavani Parameswara Rao,,
2803,Pawan Raj Goyal,"Pawan Raj Goyal, hailing from Haryana, graduated in medicine from Maulana Azad Medical College, New Delhi in 1974 and did his residency at the Irwin Hospital, New Delhi. He has worked in various hospitals and institutions including SRM Medical College Hospital and Research Centre, Chennai as the Professor and the Head of the Department of chest and pulmonary medicine where he holds the status of Professor Emeritus.Besides being the Chairman and Managing Director of PRG Medicares and Researches Limited, he also heads Osho Ceramics, a commercial entity manufacturing tableware, since 1990. He is a recipient of Udyog Gaurav and Samaj Shri awards.","హర్యానాకు చెందిన పవన్ రాజ్ గోయల్, 1974లో న్యూ ఢిల్లీలోని మౌలానా ఆజాద్ మెడికల్ కాలేజీ నుండి వైద్యశాస్త్రంలో పట్టభద్రుడయ్యాడు, న్యూ ఢిల్లీలోని ఇర్విన్ హాస్పిటల్లో రెసిడెన్సీ చేశాడు. ఇతను SRM మెడికల్ కాలేజ్ హాస్పిటల్, రీసెర్చ్ సెంటర్, చెన్నై సహా వివిధ ఆసుపత్రులు, సంస్థలలో ప్రొఫెసర్, ఛాతీ, పల్మనరీ మెడిసిన్ విభాగానికి అధిపతిగా పనిచేశాడు, అక్కడ ఇతను ప్రొఫెసర్ ఎమిరిటస్ హోదాను కలిగి ఉన్నాడు. PRG మెడికేర్స్ అండ్ రీసెర్సెస్ లిమిటెడ్ ఛైర్మన్, మేనేజింగ్ డైరెక్టర్గా ఉండటమే కాకుండా, ఇతను 1990 నుండి ఓషో సెరామిక్స్ అనే వాణిజ్య సంస్థ తయారీ టేబుల్వేర్కు అధిపతిగా ఉన్నారు. ఇతను ఉద్యోగ్ గౌరవ్, సమాజ్ శ్రీ అవార్డుల గ్రహీత. "
2804,Penaz Masani,,
2805,Penimangalore Appraya Bhatt,,
2806,Pepita Seth,"Pepita Seth was born in Suffolk, East of England, UK, in a family of farmers. Pepita's maternal great grandfather was a soldier who served in the army in the British India. As was the custom during those days, Pepita, being a girl, did not have any formal education. She, choosing a career in films, studied film editing and got opportunities to work under film directors like Ted Kotcheff and Stanley Donen. However, Pepita's life took a turn when she chanced upon the diary of her grandfather and decided to trace his trails with the British Army and document the movements and landed in Kolkata, in 1970.The journey from Kolkata ended in Guruvayur where she became fascinated by the temple arts and rituals of Kerala. For the next nine years, she visited Kerala several times and, in 1979, she found a home and settled in Guruvayur. Though, at first, she was denied entry to the Guruvayur Temple, her persistence made the Guruvayur Devaswom Board to relent and she remains the only foreigner to be granted entry to the Temple.Pepita was married to the Indian born British actor Roshan Seth but was estranged from her husband in the late 80s. The couple formally divorced in 2004","పెపిటా సేథ్ UKలోని తూర్పు ఇంగ్లాండ్లోని సఫోల్క్లో రైతుల కుటుంబంలో జన్మించారు. పెపిటా, ముత్తాత బ్రిటీష్ ఇండియాలో సైన్యంలో పనిచేసిన సైనికుడు. ఆ రోజుల్లో ఆచారం ప్రకారం, పెపిటా, అమ్మాయి అయినందున, అధికారిక విద్య లేదు. ఈమె, చలనచిత్రాలలో వృత్తిని ఎంచుకుని, ఫిల్మ్ ఎడిటింగ్ అభ్యసించి, టెడ్ కొట్చెఫ్, స్టాన్లీ డోనెన్ వంటి చిత్ర దర్శకుల వద్ద పనిచేసే అవకాశాలను పొందింది. అయినప్పటికీ, పెపిటా తన తాత డైరీని చూసి బ్రిటీష్ సైన్యంతో అతని జాడలను కనుగొని, కదలికలను డాక్యుమెంట్ చేయాలని నిర్ణయించుకున్నప్పుడు, 1970లో కోల్కతాలో అడుగుపెట్టినప్పుడు పెపిటా జీవితం మలుపు తిరిగింది. కోల్కతా నుండి ప్రయాణం గురువాయూర్లో ముగిసింది, అక్కడ ఈమె కేరళలోని ఆలయ కళలు, ఆచారాల పట్ల ఆకర్షితురాలైంది. ఆ తర్వాత తొమ్మిదేళ్లపాటు, ఈమె కేరళను చాలాసార్లు సందర్శించింది, 1979లో ఈమె గురువాయూర్లో నివాసం ఏర్పాటు చేసుకుంది. మొదట, ఈమెకు గురువాయూర్ ఆలయ ప్రవేశం నిరాకరించబడినప్పటికీ, ఈమె పట్టుదలతో గురువాయూర్ దేవస్వం బోర్డు పశ్చాత్తాపం చెందింది, ఆలయంలోకి ప్రవేశం పొందిన ఏకైక విదేశీయురాలు ఈమె. పెపిటా భారతదేశంలో జన్మించిన బ్రిటీష్ నటుడు రోషన్ సేథ్ను వివాహం చేసుకుంది, అయితే 80వ దశకం చివరిలో ఈమె భర్త నుండి విడిపోయింది. ఈ జంట 2004లో అధికారికంగా విడాకులు తీసుకున్నారు. "
2807,Perakath Verghese Benjamin,,
2808,Perin Captain,"Perin Ben was born on 12 October 1888 in Mandvi, in Kutch district, in the Indian state of Gujarat, in a Parsi family. Her father, Ardeshir, was a medical doctor and the eldest son of Dadabhai Naoroji, and her mother, Virbai Dadina, was a house wife. Born as the eldest of eight children, she lost her father in 1893 when she was only 5 years old and did her early education in Mumbai. Later, she joined University of Paris III: Sorbonne Nouvelle, from where she secured a degree in French. While in Paris, she came into the circle of Bhikaiji Cama and started participating in their activities. It is reported that she was involved with the plan to release Vinayak Damodar Savarkar after his arrest in London. During this time, she attended the Egyptian National Congress at Brussels in 1910 along with Savarkar and Bhikaiji Cama. She was also involved with the Polish émigré organisations based in Paris, which were revolting against the Czarist rule in Russia. After returning to India in 1911, Perin had an opportunity to meet Mahatma Gandhi and was influenced by his ideals. By 1919, she started working with him, and in 1920, she took to Swadeshi movement and started wearing Khadi","పెరిన్ బెన్ 1888 అక్టోబర్ 12న భారతదేశంలోని గుజరాత్ రాష్ట్రంలోని కచ్ జిల్లాలోని మాండ్విలో పార్సీ కుటుంబంలో జన్మించాడు. ఈమె తండ్రి, అర్దేషిర్, వైద్య వైద్యుడు, దాదాభాయ్ నౌరోజీ, పెద్ద కుమారుడు,, ఈమె తల్లి, విర్బాయి దాదినా, గృహిణి. ఎనిమిది మంది సంతానంలో పెద్దగా జన్మించిన ఈమె 1893లో 5 సంవత్సరాల వయస్సులో తన తండ్రిని కోల్పోయింది, ముంబైలో తన ప్రారంభ విద్యాభ్యాసం చేసింది. తరువాత, ఈమె యూనివర్శిటీ ఆఫ్ పారిస్ III: సోర్బోన్ నౌవెల్లేలో చేరారు, అక్కడ ఈమె ఫ్రెంచ్లో డిగ్రీని పొందింది. పారిస్లో ఉన్నప్పుడు, ఈమె భికైజీ కామా సర్కిల్లోకి వచ్చి వారి కార్యకలాపాల్లో పాల్గొనడం ప్రారంభించింది. వినాయక్ దామోదర్ సావర్కర్ను లండన్లో అరెస్టు చేసిన తర్వాత విడుదల చేయాలనే ఆలోచనలో ఈమె ఉన్నట్లు సమాచారం. ఈ సమయంలో, ఈమె 1910లో బ్రస్సెల్స్లో జరిగిన ఈజిప్టు జాతీయ కాంగ్రెస్కు సావర్కర్, భికైజీ కామాతో కలిసి హాజరయ్యారు. రష్యాలో జారిస్ట్ పాలనకు వ్యతిరేకంగా తిరుగుబాటు చేస్తున్న పారిస్లో ఉన్న పోలిష్ వలస సంస్థలతో కూడా ఈమె పాలుపంచుకుంది. 1911లో భారతదేశానికి తిరిగి వచ్చిన తర్వాత, పెరిన్కు మహాత్మా గాంధీని కలిసే అవకాశం వచ్చింది, అతని ఆదర్శాలచే ప్రభావితమైంది. 1919 నాటికి, ఈమె అతనితో కలిసి పనిచేయడం ప్రారంభించింది,, 1920లో, ఈమె స్వదేశీ ఉద్యమాన్ని చేపట్టింది, ఖాదీ ధరించడం ప్రారంభించింది. "
2809,Periyasaamy Thooran,,
2810,Perugu Siva Reddy,,
2811,Peruvanam Kuttan Marar,,
2812,Pessie Madan,,
2813,Peter Brook,,
2814,Phanishwar Nath Renu,,
2815,Philip Augustine,"Philip Augustine was born in Kaduthuruthy, a small hamlet in Kerala. Choosing medical profession, he secured his MD from the All India Institute of Medical Sciences, in 1975, with a Gold Medal.
Augustine started his professional career at a small clinic in the town of Koothattukulam. Later, he specialised in Gastroenterology and had advanced training in ultrasonography and endoscopy at various centres across the globe such as Wisconsin Medical College, Milwaukee, USA, Eppendorf University, Hamburg, Germany, Hospital Beuton, Paris and University of Marseilles, France, Bern University in Switzerland and ULM University, Munich, Germany. His career took a turn when he joined Devamatha Hospital, Koothattukulam where he established a speciality gastroenterology department which now serves as a referral centre in Kerala. Later, he moved to PVS Memorial Hospital in Ernakulam to address a wider canvass of patients.In 1996, Augustine joined hands with a group of doctors and launched the work on the Lakeshore Hospital and Research Centre. The hospital was opened to public in 2003.Augustine is married, has four children and presently lives in Palarivattom, Kochi, Kerala.","ఫిలిప్ అగస్టిన్ కేరళలోని కడుతురుతి అనే చిన్న కుగ్రామంలో జన్మించాడు. వైద్య వృత్తిని ఎంచుకుని, ఇతను ఆల్ ఇండియా ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ నుండి 1975లో గోల్డ్ మెడల్తో తన MDని పొందాడు. అగస్టిన్ కూత్తట్టుకులం పట్టణంలోని ఒక చిన్న క్లినిక్లో తన వృత్తి జీవితాన్ని ప్రారంభించాడు. తరువాత, ఇతను గ్యాస్ట్రోఎంటరాలజీలో నైపుణ్యం పొందాడు, విస్కాన్సిన్ మెడికల్ కాలేజ్, మిల్వాకీ, USA, ఎపెన్డార్ఫ్ విశ్వవిద్యాలయం, హాంబర్గ్, జర్మనీ, హాస్పిటల్ బ్యూటన్, పారిస్, యూనివర్శిటీ ఆఫ్ మార్సెయిల్స్, ఫ్రాన్స్, బెర్న్ విశ్వవిద్యాలయం వంటి ప్రపంచవ్యాప్తంగా వివిధ కేంద్రాలలో అల్ట్రాసోనోగ్రఫీ, ఎండోస్కోపీలో అధునాతన శిక్షణ పొందాడు. స్విట్జర్లాండ్, ULM యూనివర్సిటీ, మ్యూనిచ్, జర్మనీలో. ఇతను కూతట్టుకులంలోని దేవమాత హాస్పిటల్లో చేరడంతో అతని కెరీర్ మలుపు తిరిగింది, అక్కడ ఇతను స్పెషాలిటీ గ్యాస్ట్రోఎంటరాలజీ విభాగాన్ని స్థాపించాడు, అది ఇప్పుడు కేరళలో రెఫరల్ సెంటర్గా పనిచేస్తుంది. తరువాత, రోగుల విస్తృత కాన్వాస్ను ఉద్దేశించి ఎర్నాకులంలోని పివిఎస్ మెమోరియల్ ఆసుపత్రికి వెళ్లారు. 1996లో, అగస్టిన్ వైద్యుల బృందంతో చేతులు కలిపి లేక్షోర్ హాస్పిటల్, రీసెర్చ్ సెంటర్లో పనిని ప్రారంభించారు. ఈ ఆసుపత్రి 2003లో ప్రజలకు అందుబాటులోకి వచ్చింది. అగస్టిన్ వివాహితుడు, నలుగురు పిల్లలు ఉన్నారు, ప్రస్తుతం కేరళలోని కొచ్చిలోని పలరివట్టంలో నివసిస్తున్నారు. "
2816,Philipose Mar Chrysostom,,
2817,Phillips Talbot,,
2818,Phool Chand Chowdhary,,
2819,Phoolbasan Bai Yadav,"Phoolbasan Bai Yadav was born in a socially backward family with meagre financial resources on 5 December 1969 at Sukuldaihan, a remote hamlet in the Rajnandgaon district of the Indian state of Chhattisgarh. She got married in childhood when she was 10 and had education only up to the seventh standard.Yadav's social career started when she began taking part in the activities of the self-help groups in the district. Soon after, she formed groups of her own such as Pragya Mahila Samooh, Kiraya Bhandar, Bazar Theka and established ration shops for the distribution of food among the people below poverty line (BPL). Later, she consolidated the activities under one umbrella by forming the non governmental organization, Maa Bamleshwari Janhit Karya Samiti. The organization has since grown to cover 12000 women self help groups with a reported total strength of over 200,000 members. By collecting ₹ 2 per person, the organization has accumulated a corpus of ₹ 150 million, equivalent to US$ 3 million. The participating groups engage in activities such as health programs, education, sanitation and social reforms. They conduct regular polio vaccine clinics, have opened schools and anganwadis, organize food programs such as Bal Bhoj, set up livelihood earning programs such as sewing centres for women and campaign against child marriages. The organization, which has adopted 54 children, has a presence all over Chhattisgarh and 
has initiated social campaigns such as Sharab Bandh (Stop Liquor), a campaign through which tyey were reported to have succeeded in closing down 250 liquor shops in the state","ఫూల్బసన్ బాయి యాదవ్ భారతదేశంలోని ఛత్తీస్గఢ్ రాష్ట్రంలోని రాజ్నంద్గావ్ జిల్లాలో ఒక మారుమూల కుగ్రామమైన సుకుల్దైహాన్లో 5 డిసెంబర్ 1969న కొద్దిపాటి ఆర్థిక వనరులతో సామాజికంగా వెనుకబడిన కుటుంబంలో జన్మించారు. ఈమె 10 సంవత్సరాల వయస్సులో చిన్నతనంలో వివాహం చేసుకుంది, ఏడవ తరగతి వరకు మాత్రమే చదువుకుంది. జిల్లాలో స్వయం సహాయక సంఘాల కార్యకలాపాల్లో పాల్గొనడం ప్రారంభించినప్పటి నుండి యాదవ్ సామాజిక జీవితం ప్రారంభమైంది. వెంటనే, ఈమె ప్రజ్ఞా మహిళా సమూహ్, కిరాయా భండార్, బజార్ తేకా వంటి తన సొంత సమూహాలను ఏర్పాటు చేసింది, దారిద్య్ర రేఖకు దిగువన ఉన్న ప్రజలకు (BPL) ఆహార పంపిణీ కోసం రేషన్ దుకాణాలను ఏర్పాటు చేసింది. తరువాత, ఈమె మా బమలేశ్వరి జనహిత కార్య సమితి అనే ప్రభుత్వేతర సంస్థను ఏర్పాటు చేయడం ద్వారా కార్యకలాపాలను ఒక గొడుగు కింద ఏకీకృతం చేసింది. 200, 000 కంటే ఎక్కువ మంది సభ్యులతో నివేదించబడిన మొత్తం బలంతో 12000 మహిళా స్వయం సహాయక బృందాలను కవర్ చేయడానికి సంస్థ పెరిగింది. ప్రతి వ్యక్తికి ₹ 2 వసూలు చేయడం ద్వారా, సంస్థ ₹ 150 మిలియన్ల కార్పస్ను సేకరించింది, ఇది US$ 3 మిలియన్లకు సమానం. పాల్గొనే సమూహాలు ఆరోగ్య కార్యక్రమాలు, విద్య, పారిశుద్ధ్యం, సామాజిక సంస్కరణలు వంటి కార్యకలాపాలలో పాల్గొంటాయి. వారు క్రమం తప్పకుండా పోలియో వ్యాక్సిన్ క్లినిక్లను నిర్వహిస్తారు, పాఠశాలలు, అంగన్వాడీలను తెరిచారు, బాల్ భోజ్ వంటి ఆహార కార్యక్రమాలను నిర్వహిస్తారు, మహిళలకు కుట్టు కేంద్రాలు, బాల్య వివాహాలకు వ్యతిరేకంగా ప్రచారం వంటి జీవనోపాధి కార్యక్రమాలను ఏర్పాటు చేస్తారు. 54 మంది పిల్లలను దత్తత తీసుకున్న సంస్థ, ఛత్తీస్గఢ్ అంతటా ఉనికిని కలిగి ఉంది, షరబ్ బంద్ (మద్యం ఆపండి) వంటి సామాజిక ప్రచారాలను ప్రారంభించింది, దీని ద్వారా రాష్ట్రంలోని 250 మద్యం దుకాణాలను మూసివేయడంలో టై విజయవంతమైనట్లు నివేదించబడింది. "
2820,Phu Dorjee,,
2821,Phu Dorjee Sherpa,,
2822,Phul Chand,,
2823,Phulrenu Guha,,
2824,Pichu Sambamoorthi,"Born on 14 February 1901 at Bitragunta, a small village in the erstwhile Madras Presidency (presently in Guntur district, Andhra Pradesh), Sambamoorthi trained in vocals and violin under various teachers such as Boddu Krishniah, M. Doraiswami Iyer, S. A. Ramaswami Iyer and Krishnaswami Bhagavatar. He started his career, in 1928, as a member of faculty of music at Queen Mary's College but moved to Germany, in 1931, under a grant from Deutsche Akademie, and studied musicology at the academy, simultaneously learning Hochschule für Musik und Theater München, then known as Staatliche Akademie der Tonkunst. On his return to India, he joined Madras University as a lecturer and, later, a Reader in Music, and continued there till 1961 when he joined Sangita Vadyalaya, Chennai, as its director. In 1964, he was appointed as the Professor of Musicology at Sri Venkateswara University, Tirupati, a post he held for two years, till his return to Madras University in 1966.Sambamoorthi was associated with several universities in India, including Banaras Hindu University, under a University Grants Commission programme. He published over 50 books which included a six-volume treatise, South Indian Music and a two-volume biographical account, Great Composers. The Catalogue of Musical Instruments, in display at the Government Museum, Chennai, was prepared by him in 1962, which has since gone into several re-prints","1901 ఫిబ్రవరి 14న పూర్వ మద్రాసు ప్రెసిడెన్సీలోని (ప్రస్తుతం గుంటూరు జిల్లా, ఆంధ్ర ప్రదేశ్లో ఉన్న) ఒక చిన్న గ్రామమైన బిట్రగుంటలో జన్మించిన సాంబమూర్తి బొడ్డు కృష్ణయ్య, ఎం వంటి వివిధ ఉపాధ్యాయుల వద్ద గాత్రం, వయోలిన్లో శిక్షణ పొందారు. దొరైస్వామి అయ్యర్, ఎస్. ఎ. రామస్వామి అయ్యర్, కృష్ణస్వామి భాగవతార్. ఇతను 1928లో క్వీన్ మేరీ కళాశాలలో సంగీత ఫ్యాకల్టీ సభ్యునిగా తన వృత్తిని ప్రారంభించాడు, అయితే 1931లో డ్యుయిష్ అకాడెమీ నుండి మంజూరు చేయబడిన జర్మనీకి మారాడు, అకాడమీలో సంగీత శాస్త్రాన్ని అభ్యసించాడు, అదే సమయంలో హోచ్స్చులే ఫర్ మ్యూసిక్ అండ్ థియేటర్ ముంచెన్, అప్పుడు దీనిని స్టాట్లిచే అకాడమీ డెర్ టోన్కున్స్ట్ అని పిలుస్తారు. ఇతను భారతదేశానికి తిరిగి వచ్చిన తర్వాత, ఇతను మద్రాసు విశ్వవిద్యాలయంలో అధ్యాపకునిగా, తరువాత, సంగీతంలో రీడర్గా చేరాడు, 1961 వరకు అక్కడ కొనసాగాడు, ఇతను చెన్నైలోని సంగీత వాద్యాలయలో డైరెక్టర్గా చేరాడు. 1964లో తిరుపతిలోని శ్రీ వేంకటేశ్వర విశ్వవిద్యాలయంలో సంగీతశాస్త్ర ప్రొఫెసర్గా నియమితులయ్యారు, 1966లో మద్రాసు విశ్వవిద్యాలయానికి తిరిగి వచ్చే వరకు రెండేళ్లపాటు ఆ పదవిలో ఉన్నారు. సాంబమూర్తి యూనివర్సిటీ గ్రాంట్స్ కమీషన్ ప్రోగ్రాం కింద బనారస్ హిందూ యూనివర్శిటీతో సహా భారతదేశంలోని అనేక విశ్వవిద్యాలయాలతో అనుబంధం కలిగి ఉన్నారు. ఇతను 50కి పైగా పుస్తకాలను ప్రచురించాడు, ఇందులో ఆరు-వాల్యూమ్ల గ్రంథం, సౌత్ ఇండియన్ మ్యూజిక్, రెండు-వాల్యూమ్ల బయోగ్రాఫికల్ ఖాతా, గ్రేట్ కంపోజర్స్ ఉన్నాయి. చెన్నైలోని గవర్నమెంట్ మ్యూజియంలో ప్రదర్శనలో ఉంచబడిన సంగీత వాయిద్యాల జాబితా 1962లో అతనిచే తయారు చేయబడింది, ఇది అనేక రీ-ప్రింట్లలోకి వెళ్ళింది. "
2825,Pilloo Maneck Maneckiji,,
2826,Piloo Nowshir Jungalwalla,,
2827,Pisharoth Rama Pisharoty,,
2828,Pitambar Pant,"Pitamber Pant completed a master's degree in physics during which time he was involved in the Quit India movement and was imprisoned by the British. This gave him an opportunity to get acquainted with Jawaharlal Nehru, J. B. Kripalani and several other independence activists and he worked as a secretary to Nehru, while in jail. After the Indian independence, Nehru, who had been impressed by Pant's preoccupation with economic planning, asked him to meet Prasanta Chandra Mahalanobis, an applied statistician of repute, and the two became friends and long-time associates. Pant accompanied Mahalanobis in the latter's overseas trips. Later, he joined Indian civil service and was entrusted with the task of studying the system of measurement. After a detailed study, he submitted a report, proposing the metric system which was reported to have influenced the government's decision to adopt metric system. Later, he was entrusted with a study on statistical system and the report Pant prepared, along with N. T","పితాంబర్ పంత్ భౌతిక శాస్త్రంలో మాస్టర్స్ డిగ్రీ పూర్తి చేసాడు, ఆ సమయంలో ఇతను క్విట్ ఇండియా ఉద్యమంలో పాల్గొని బ్రిటిష్ వారిచే జైలు పాలయ్యాడు. ఇది అతనికి జవహర్లాల్ నెహ్రూ, జెతో పరిచయం పొందడానికి అవకాశం ఇచ్చింది. బి. కృపలానీ, అనేక ఇతర స్వాతంత్ర్య కార్యకర్తలు, ఇతను జైలులో ఉన్నప్పుడు నెహ్రూకి కార్యదర్శిగా పనిచేశాడు. భారత స్వాతంత్య్రానంతరం, ఆర్థిక ప్రణాళికపై పంత్కు ఉన్న శ్రద్ధకు ముగ్ధుడై నెహ్రూ, ప్రఖ్యాత గణాంక నిపుణుడు ప్రశాంత చంద్ర మహలనోబిస్ను కలవమని కోరాడు, ఇద్దరూ స్నేహితులు, దీర్ఘకాల సహచరులు అయ్యారు. పంత్ మహలనోబిస్, విదేశీ పర్యటనలలో అతనితో పాటు వెళ్ళాడు. తరువాత, ఇతను ఇండియన్ సివిల్ సర్వీస్లో చేరాడు, కొలత వ్యవస్థను అధ్యయనం చేసే పనిని అప్పగించాడు. వివరణాత్మక అధ్యయనం తర్వాత, ఇతను మెట్రిక్ విధానాన్ని ప్రతిపాదిస్తూ ఒక నివేదికను సమర్పించాడు, ఇది మెట్రిక్ విధానాన్ని అవలంబించాలనే ప్రభుత్వ నిర్ణయాన్ని ప్రభావితం చేసిందని నివేదించబడింది. తరువాత, అతనికి స్టాటిస్టికల్ సిస్టమ్పై అధ్యయనాన్ని అప్పగించారు, పంత్ తయారు చేసిన నివేదికతో పాటు ఎన్. టి. "
2829,Piyong Temjen Jamir,,
2830,Piyush Pandey,,
2831,Polly Umrigar,,
2832,Ponisseril Somasundaran,"Ponisseril Somasundaran hails from Kerala, India and did his graduate studies (BSc) in 1958 from the  University of Kerala. Opting to pursue a career in engineering, he joined the Indian Institute of Science, Bangalore and completed the degree of Bachelor of Engineering (BE) in 1961. Further studies were in the US where he passed MS in 1962 followed by  doctoral degree (PhD) in 1964 from the University of California, Berkeley.Somasundaran started his career by joining the National Chemical Laboratory, Pune, India as a Senior Laboratory Assistant in 1958 where he stayed only for one year. After migrating to the US, he joined the faculty of University of California, Berkeley as a research cum teaching assistant in 1961, a job which lasted till 1964, when he moved to Illinois to work for the International Minerals and Chemicals Corporation, Libertyville as a Research Engineer. The next move was to R. J. Reynolds Industries, Inc., Winston-Salem in 1967 as a Research Chemist.In 1970, Somasundaran returned to teaching as an Associate Professor of Mineral Engineering at the Columbia University, got promoted as the Professor in 1978, a post he held till 1983","పొనిస్సెరిల్ సోమసుందరన్ భారతదేశంలోని కేరళకు చెందినవారు, 1958లో కేరళ విశ్వవిద్యాలయం నుండి గ్రాడ్యుయేట్ స్టడీస్ (BSc) చేసారు. ఇంజనీరింగ్లో వృత్తిని కొనసాగించాలని ఎంచుకుని, ఇతను బెంగళూరులోని ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ సైన్స్లో చేరాడు, 1961లో బ్యాచిలర్ ఆఫ్ ఇంజనీరింగ్ (BE) డిగ్రీని పూర్తి చేశాడు. తదుపరి అధ్యయనాలు USలో ఉన్నాయి, అక్కడ ఇతను 1962లో MS ఉత్తీర్ణత సాధించాడు, తర్వాత 1964లో బర్కిలీలోని కాలిఫోర్నియా విశ్వవిద్యాలయం నుండి డాక్టరల్ డిగ్రీ (PhD) పొందాడు. సోమసుందరన్ 1958లో భారతదేశంలోని పూణేలోని నేషనల్ కెమికల్ లాబొరేటరీలో సీనియర్ లేబొరేటరీ అసిస్టెంట్గా చేరడం ద్వారా తన వృత్తిని ప్రారంభించాడు, అక్కడ ఇతను ఒక సంవత్సరం మాత్రమే ఉన్నాడు. యుఎస్కి వలస వచ్చిన తర్వాత, ఇతను 1961లో బర్కిలీలోని కాలిఫోర్నియా విశ్వవిద్యాలయంలోని ఫ్యాకల్టీలో రీసెర్చ్ కమ్ టీచింగ్ అసిస్టెంట్గా చేరాడు, ఈ ఉద్యోగం 1964 వరకు కొనసాగింది, ఇతను ఇంటర్నేషనల్ మినరల్స్ అండ్ కెమికల్స్ కార్పొరేషన్, లిబర్టీవిల్లేలో పని చేయడానికి ఇల్లినాయిస్కు వెళ్లాడు. రీసెర్చ్ ఇంజనీర్. తదుపరి కదలిక ఆర్. జె. రేనాల్డ్స్ ఇండస్ట్రీస్, ఇంక్., విన్స్టన్-సేలం 1967లో రీసెర్చ్ కెమిస్ట్గా. 1970లో, సోమసుందరన్ తిరిగి కొలంబియా యూనివర్సిటీలో మినరల్ ఇంజినీరింగ్ అసోసియేట్ ప్రొఫెసర్గా బోధించారు, 1978లో ప్రొఫెసర్గా పదోన్నతి పొందారు, ఆ పదవిలో 1983 వరకు కొనసాగారు. "
2833,Poola Tirupati Raju,,
2834,Poornima Arvind Pakvasa,,
2835,Popatrao Baguji Pawar,,
