,Recipients,early life and career,early life and career Telugu
1943,Lakhumal Hiranand Hiranandani,,
1944,Lakshman Dev,,
1945,Lakshman Shastri Joshi,,
1946,Lakshman Singh,,
1947,Lakshman Singh Jangpangi,,
1948,Lakshman Swarup Darbari,,
1949,Lakshmi Kumari Chundawat,,
1950,Lakshmi Mazumdar,,
1951,Lakshmi Menon,,
1952,Lakshmi Mittal,"Mittal was born in a Hindu Marwadi family. He studied at Shri Daulatram Nopany Vidyalaya, Calcutta from 1957 to 1964. He graduated from St. Xavier's College, affiliated to the University of Calcutta, with a B.Com degree in the first class.
Lakshmi's father, Mohanlal Mittal, ran a steel business, Nippon Denro Ispat. In 1976, due to the curb of steel production by the Indian government, the 26-year-old Mittal opened his first steel factory PT Ispat Indo in Sidoarjo, East Java, Indonesia.In 1989 Mittal purchased the state-owned steel works in Trinidad and Tobago, which were operating at an enormous loss. He turned them into profitable ventures in a year.Until the 1990s, the family's main assets in India were a cold-rolling mill for sheet steels in Nagpur and an alloy steels plant near Pune","మిట్టల్ హిందూ మార్వాడీ కుటుంబంలో జన్మించారు. ఇతను 1957 నుండి 1964 వరకు కలకత్తాలోని శ్రీ దౌలత్రం నోపానీ విద్యాలయంలో చదివాడు. ఇతను సెయింట్ నుండి పట్టభద్రుడయ్యాడు. జేవియర్స్ కాలేజ్, కలకత్తా విశ్వవిద్యాలయానికి అనుబంధంగా, బి. మొదటి తరగతిలో కామ్ డిగ్రీ. లక్ష్మి తండ్రి మోహన్లాల్ మిట్టల్ నిప్పన్ డెన్రో ఇస్పాత్ అనే ఉక్కు వ్యాపారం చేసేవారు. 1976లో, భారత ప్రభుత్వం ఉక్కు ఉత్పత్తిని అడ్డుకోవడంతో, 26 ఏళ్ల మిట్టల్ ఇండోనేషియాలోని తూర్పు జావాలోని సిడోర్జోలో తన మొదటి ఉక్కు ఫ్యాక్టరీ PT ఇస్పాత్ ఇండోను ప్రారంభించాడు. 1989లో మిట్టల్ ట్రినిడాడ్, టొబాగోలో ప్రభుత్వ యాజమాన్యంలోని స్టీల్ వర్క్స్ను కొనుగోలు చేసింది, అవి అపారమైన నష్టాన్ని చవిచూశాయి. ఏడాదిలో వాటిని లాభసాటి వెంచర్లుగా మార్చాడు. 1990ల వరకు, భారతదేశంలోని కుటుంబం, ప్రధాన ఆస్తులు నాగ్పూర్లో షీట్ స్టీల్స్ కోసం కోల్డ్-రోలింగ్ మిల్లు, పూణే సమీపంలో ఒక అల్లాయ్ స్టీల్స్ ప్లాంట్. "
1953,Lakshmi Nandan Bora,,
1954,Lakshmi Sahgal,,
1955,Lakshmikutty,,
1956,Lakshminarayana Pulram Ananthakrishnan Ramdas,,
1957,Lal Bahadur Singh Chauhan,,
1958,Lal Singh,,
1959,Lala Amarnath,,
1960,Lala Chand Verman,,
1961,Lala Hansraj Gupta,,
1962,Lalchand Hirachand,,
1963,Lalgudi Jayaraman,,
1964,Lalit Kumar,,
1965,Lalit Mohan Banerjee,,
1966,Lalit Pande,,
1967,Lalitha Chidambaram,,
1968,Lalji Singh,,
1969,Lallan Prasad Singh,,
1970,Lalsangzuali Sailo,,
1971,Lalsawma,,
1972,Lalthangfala Sailo,,
1973,Laltluangliana Khiangte,,
1974,Lalzuia Colney,,
1975,Lama Thup Phuntsok,,
1976,Lambert Mascarenhas,,
1977,Langpoklakpam Subadani Devi,,
1978,Lata Mangeshkar,,
1979,Laurie Baker,,
1980,Lavu Narendranath,,
1981,Laxma Goud,,
1982,Laxman Mahadeo Chitale,,
1983,Laxman Mane,,
1984,Laxman Pai,,
1985,Laxmanshastri Balaji Joshi,,
1986,Laxmi Chand Gupta,,
1987,Laxmi Mall Singhvi,,
1988,Laxmi Narayan Dubey,,
1989,Laxmi Prasad Sihare,,
1990,Laxminarayan Sahu,,
1991,Leander Paes,,
1992,Leela Joshi,,
1993,Leela Omchery,,
1994,Leela Samson,,
1995,Leela Sumant Moolgaokar,,
1996,Leeladhar Jagudi,,
1997,Leelavati Vinayak Pathak,,
1998,Lentina Ao Thakkar,,
1999,Leonarda Angela Casiraghi,,
2000,Leslie Claudius,,
2001,Leslie Denis Swindale,,
2002,Lhingioneng Gangte,,
2003,Lia Diskin,,
2004,Liarenmayum Damu Singh,,
2005,Lil Bahadur Chettri,,
2006,Lila Indrasen,,
2007,Lila Poonawalla,,
2008,Lila Ram,,
2009,Lila Ramkumar Bhargava,,
2010,Lilian G. Lutter,,
2011,Limba Ram,,
2012,Lloyd Rudolph,,
2013,Lokesh Chandra,,
2014,Lokesh Kumar Singhal,,
2015,Lothar Lutze,,
2016,Love Raj Singh Dharmshaktu,,
2017,Lovelin Kumar Gandhi,,
2018,Lucy Oommen,,
2019,Luis Jose De Souza,,
2020,M. A. Muthiah Chettiar,,
2021,M. A. Yousuf Ali,,
2022,M. Annamalai,,
2023,M. Aram,,
2024,M. B. Ramachandra Rao,,
2025,M. Balamuralikrishna,,
2026,M. Boyer,,
2027,M. C. Pant,,
2028,M. C. Setalvad,,
2029,M. D. Ramanathan,,
2030,M. D. Valsamma,,
2031,M. F. Husain,,
2032,M. G. Deo,,
2033,M. G. K. Menon,,
2034,M. J. Gopalan,,
2035,M. K. Binodini Devi,,
2036,M. K. Krishna Menon,,
2037,M. K. Kunjol,,
2038,M. K. Malik Mohammad,,
2039,M. K. Narayanan,,
2040,M. K. Radha,,
2041,M. K. Saroja,,
2042,M. Kirti Singh,,
2043,M. Krishnan Nair,,
2044,M. L. Soni,,
2045,M. L. Vasanthakumari,,
2046,M. Leelavathy,,
2047,M. M. Joshi,,
2048,M. M. S. Ahuja,,
2049,M. Mahadevappa,,
2050,M. N. Buch,,
2051,M. N. Krishnamani,,
2052,M. N. Passey,,
2053,M. N. Venkatachaliah,,
2054,M. Narasimham,,
2055,M. Night Shyamalan,,
2056,M. P. Ganesh,,
2057,M. P. Nachimuthu,,
2058,M. R. Acharekar,,
2059,M. R. Brahmam,,
2060,M. R. Kurup,,
2061,M. R. Rajagopal,,
2062,M. R. S. Rao,,
2063,M. R. Srinivasan,,
2064,M. S. Banga,,
2065,M. S. Gill,"Gill attended St. George's College in Mussoorie, India. In 1958, he joined the Indian Administrative Services and served in administration at various places in different capacities in the undivided Punjab until 1966 when Punjab was trifurcated to carve out separate states of Himachal Pradesh and Haryana. His various postings included as Sub-Divisional Magistrate in Mahendragarh, now in Haryana, Deputy Commissioner of the then Lahaul-Spiti district, now in Himachal Pradesh. He also served as the Agriculture Secretary of Punjab from 1985-1987 under Captain Amarinder Singh who was then the Agriculture Minister of Punjab.Gill served as the Chief Election Commissioner of India from 1996 to 2001 succeeding T. N. Seshan. His major achievement was introduction of Electronic Voting machines which curbed malpractices to a large extent. He was awarded the Padma Vibhushan for his work in this post","గిల్ St. భారతదేశంలోని ముస్సోరీలోని జార్జ్ కళాశాల. 1958లో, ఇతను ఇండియన్ అడ్మినిస్ట్రేటివ్ సర్వీసెస్లో చేరాడు, 1966లో హిమాచల్ ప్రదేశ్, హర్యానాల ప్రత్యేక రాష్ట్రాలను విభజించడానికి పంజాబ్ను విభజించే వరకు అవిభక్త పంజాబ్లో వివిధ హోదాలలో వివిధ ప్రదేశాలలో పరిపాలనలో పనిచేశాడు. ప్రస్తుతం హర్యానాలో ఉన్న మహేంద్రగఢ్లో సబ్-డివిజనల్ మేజిస్ట్రేట్గా, అప్పటి లాహౌల్-స్పితి జిల్లా డిప్యూటీ కమిషనర్గా, ఇప్పుడు హిమాచల్ ప్రదేశ్లో అతని వివిధ పోస్టింగ్లు ఉన్నాయి. ఇతను 1985-1987 వరకు పంజాబ్ వ్యవసాయ శాఖ మంత్రిగా ఉన్న కెప్టెన్ అమరీందర్ సింగ్ ఆధ్వర్యంలో పంజాబ్ వ్యవసాయ కార్యదర్శిగా కూడా పనిచేశాడు. గిల్ 1996 నుండి 2001 వరకు భారతదేశ ప్రధాన ఎన్నికల కమిషనర్గా పనిచేశారు. ఎన్. శేషన్. ఎలక్ట్రానిక్ ఓటింగ్ యంత్రాలను ప్రవేశపెట్టడం అతని ప్రధాన విజయం, ఇది చాలా వరకు అక్రమాలను అరికట్టడం. ఈ పదవిలో ఆయన చేసిన కృషికి పద్మవిభూషణ్ పురస్కారం లభించింది. "
2066,M. S. Gopalakrishnan,,
2067,M. S. Krishnan,,
2068,M. S. Narasimhan,,
2069,M. S. Raghunathan,,
2070,M. S. Ramakumar,,
2071,M. S. Sathyu,,
2072,M. S. Subbulakshmi,,
2073,M. S. Swaminathan,,
2074,M. S. Valiathan,,
2075,M. Sarada Menon,,
2076,M. Subhadra Nair,,
2077,M. T. Vasudevan Nair,,
2078,M. V. Mathur,,
2079,M. V. Padma Srivastava,,
2080,M. V. Pylee,,
2081,M. V. Rao,,
2082,M. V. Subbiah,,
2083,M. Vijayan,,
2084,M. Y. S. Prasad,,
2085,MS Dhoni,,
2086,Maadari Bhagya Gautam,,
2087,Machani Somappa,,
2088,Madan Lal Madhu,,
2089,Madan Madhav Godbole,,
2090,Madan Mohan,,
2091,Madan Mohan Sabharwal,,
2092,Madan Mohan Singh,,
2093,Madan Singh Chouhan,,
2094,Madanur Ahmed Ali,,
2095,Madapati Rao,,
2096,Madappa Mahadevappa,,
2097,Madaram Brahma,,
2098,Madavoor Vasudevan Nair,,
2099,Maddali Gopala Krishna,,
2100,Madeleine Herman de Blic,,
2101,Madhav Gadgil,,
2102,Madhav Kashinath Dalvi,,
2103,Madhav Sadashiv Gore,,
2104,Madhav Shrihari Aney,,
2105,Madhav Vittal Kamath,,
2106,Madhav Yeshwant Gadkari,,
2107,Madhava Ashish,,
2108,Madhavan Chandradathan,,
2109,Madhavan Nambiar,,
2110,Madhavi Mudgal,,
2111,Madhaviah Krishnan,,
2112,Madhavrao Bagal,,
2113,Madhu,,
2114,Madhu Mangesh Karnik,,
2115,Madhu Mansuri Hasmukh,,
2116,Madhu Pandit Dasa,,
2117,Madhu Sudan Kanungo,,
2118,Madhukar Keshav Dhavalikar,,
2119,Madhumita Bisht,,
2120,Madhup Mudgal,,
2121,Madhur Bhandarkar,,
2122,Madhuri Dixit,,
2123,Madhuri R. Shah,,
2124,Madhusudan Dhaky,,
2125,Madurai N. Krishnan,,
2126,Madurai Ponnusamy Sethuraman Natesan,,
2127,Mag Raj Jain,,
2128,Magan Lal Tribhuvandas Vyas,,
2129,Maganbhai Ramchhodbhai Patel,,
2130,Maguni Charan Das,,
2131,Maha Chakri Sirindhorn,,
2132,Mahadev Lalji Shahare,,
2133,Mahadev Prasad Pandey,,
2134,Mahadeva Iyer Ganapati,,
2135,Mahadevi Varma,,
2136,Mahamaya Prasad Dubey,,
2137,Mahankali Seetharama Rao,,
2138,Maharaj Kishan Bhan,,
2139,Maharaj Kr. Palden T Namgyal,,
2140,Maharaj Krishan Kumar,,
2141,Maharaja Krishna Rasgotra,,
2142,Maharajapuram Santhanam,,
2143,Maharao Raghuveer Singh,,
2144,Mahashay Dharampal Gulati,,
2145,Mahasundari Devi,,
2146,Mahasweta Devi,,
2147,Mahdi Hasan,,
2148,Mahendra Bhandari,,
2149,Mahendra Kapoor,,
2150,Mahendra Kumar Goel,,
2151,Mahendra Nath Kapur,,
2152,Mahendra Singh Sodha,,
2153,Mahesh Bhupathi,,
2154,Mahesh Chandra Mehta,,
2155,Mahesh Haribhai Mehta,,
2156,Mahesh Kanodia,,
2157,Mahesh Prasad Mehray,,
2158,Mahesh Raj Soni,,
2159,Mahesh Sharma,,
2160,Mahesh Verma,,
2161,Maheshwar Dayal,,
2162,Maheswar Neog,,
2163,Mahim Bora,,
2164,Mahipal S. Sachdev,,
2165,Mahipatrai Jadavji Shah,,
2166,Mahrukh Tarapor,,
2167,Maisnam Amubi Singh,,
2168,Maithili Sharan Gupt,,
2169,Maitreyi Devi,,
2170,Makar Dhwaja Darogha,,
2171,Makhala Jha,,
2172,Makhanlal Chaturvedi,,
2173,Malai Haji Abdullah Bin Malai Haji Othman,,
2174,Malathi Krishnamurthy Holla,,
2175,Malati Barua,,
2176,Malavika Sarukkai,,
2177,Malcolm Adiseshiah,,
2178,Mali,,
2179,Maligali Ram Krishna Girinath,,
2180,Malini Awasthi,,
2181,Mallappa Krishna Bhargava,,
2182,Mallika Sarabhai,,
2183,Mallika Srinivasan,,
2184,Mallikarjun Mansur,,
2185,Malti Joshi,,
2186,Malur Srinivasa Thirumale Iyengar,,
2187,Malvika Sabharwal,,
2188,Mamang Dai,,
2189,Mamidipudi Venkatarangayya,,
2190,Mammen Chandy,,
2191,Mammen Mathew,,
2192,Mammootty,,
2193,Mamraj Agrawal,,
2194,Mamta Chandrakar,,
2195,Mamta Sodha,,
2196,Man Mohan Sharma,,
2197,Man Mohan Suri,,
2198,Man Singh M. Rana,,
2199,Manak Jehangir Bhickaji Maneckji,,
2200,Manas Bihari Verma,,
2201,Manas Chaudhuri,,
2202,Manchar Balvant Diwan,,
2203,Mandan Mishra,,
2204,Maneklal Sankalchand Thacker,,
2205,Mangal Singh Hazowary,,
2206,Mangala Prasad Mohanty,,
2207,Mangesh Padgaonkar,,
2208,Mangru Ganu Uikey,,
2209,Mani Krishnaswami,,
2210,Mani Kumar Chetri,,
2211,Mani Lal Bhaumik,,
2212,Mani Madhava Chakyar,,
2213,Mani Narayan,,
2214,Mani Ratnam,,
2215,Maniben Kara,,
2216,Manibhai Desai,,
2217,Manibhai J. Patel,,
2218,Manickam Narayanan,,
2219,Manik Varma,,
2220,Manikonda Chalapathi Rau,,
2221,Manikya Lal Verma,,
2222,Manilal Nag,,
2223,Manindra Agrawal,,
2224,Manju Bharat Ram,,
2225,Manju Sharma,,
2226,Manjul Bhargava,,
2227,Manjula Anagani,,
2228,Manmohan Attavar,,
2229,Manmohan Mahapatra,,
2230,Manmohan Singh,,
2231,Manna Dey,,
2232,Mannathu Padmanabha Pillai,,
2233,Manohar Devadoss,,
2234,Manohar Lal Chibber,,
2235,Manohar Parrikar,,
2236,Manoj Bajpayee,,
2237,Manoj Das,,
2238,Manoj Joshi,,
2239,Manoj Kumar,,
2240,Manorama,,
2241,Manorama Jafa,,
2242,Manoranjan Das,,
2243,Mansoor Ali Khan Pataudi,,
2244,Mansoor Hasan,,
2245,Mansukhlal Atmaram Master,,
2246,Manthiram Natarajan,,
2247,Mantosh Sondhi,,
2248,Manu Parekh,,
2249,Manu Sharma,,
2250,Manubhai Pancholi,,
2251,Manzoor Ahtesham,,
2252,Maqbool Ahmed Lari,,
2253,Marachi Subburaman,"Subburaman was born in Inungur, Kulithalai. He was the first graduate from his village. After completing his graduation he started working with Village Reconstruction Organization in 1976 under the guidance of Father Michael Windey who inspired Subburaman to reder his service in the rural arears. In 1986 Subburaman founded an NGO, Society for Community Organisation and Peoples Education (SCOPE), to render his service to the rural areas in India by providing better sanitation. Subburaman through his NGO in association with UNICEF built more than 20000 EcoSan toilets throughout the courtry.","సుబ్బురామన్ కుళితలైలోని ఇనుంగూర్లో జన్మించారు. ఇతను తన గ్రామం నుండి మొదటి పట్టభద్రుడు. గ్రాడ్యుయేషన్ పూర్తి చేసిన తర్వాత ఇతను ఫాదర్ మైఖేల్ విండీ మార్గదర్శకత్వంలో 1976లో విలేజ్ రీకన్స్ట్రక్షన్ ఆర్గనైజేషన్తో కలిసి పనిచేయడం ప్రారంభించాడు, ఇతను గ్రామీణ ప్రాంతాల్లో తన సేవను తిరిగి పొందేలా సుబ్బురామన్ను ప్రేరేపించాడు. మెరుగైన పారిశుధ్యాన్ని అందించడం ద్వారా భారతదేశంలోని గ్రామీణ ప్రాంతాలకు తన సేవను అందించడానికి 1986లో సుబ్బురామన్ సొసైటీ ఫర్ కమ్యూనిటీ ఆర్గనైజేషన్ అండ్ పీపుల్స్ ఎడ్యుకేషన్ (స్కోప్) అనే NGOని స్థాపించారు. సుబ్బురామన్ తన NGO ద్వారా UNICEF సహకారంతో 20000 కంటే ఎక్కువ ఎకోసాన్ టాయిలెట్లను కోర్టులో నిర్మించారు. "
2254,Maria Aurora Couto,,
2255,Maria Renee Cura,,
2256,Mariadas Ruthnaswamy,,
2257,Marie Seton,,
2258,Mario Miranda,,
2259,Mariyappan Thangavelu,,
2260,Mark Tully,,
2261,Martand Singh,,
2262,Martha Chen,,
2263,Marthhand Ramchandra Jamdar,,
2264,Mary Clubwala Jadhav,,
2265,Mary Kom,,
2266,Mary Poonen Lukose,,
2267,Mary Ratnamma Issac,,
2268,Mary Theodosia,,
2269,Mary Verghese,,
2270,Maryam Begum,,
2271,Masud Hassan Rizvi,,
2272,Masuma Begum,,
2273,Mata Prasad,,
2274,Matha B. Manjamma Jogati,,
2275,Mathew Kalarickal,,
2276,Mathew Kandathil Mathulla,,
2277,Mathoor Krishnamurty,,
2278,Mathur Savani,,
2279,Mathura Das,,
2280,Mathura Nath Bhattacharyya,,
2281,Mattannoor Sankarankutty,,
2282,Mavelikara Krishnankutty Nair,,
2283,Mayadhar Mansingh,,
2284,Mayadhar Raut,,
2285,Mayangnokcha Ao,,
2286,Mayilvahanan Natarajan,,
2287,Mecca Rafeeque Ahmed,,
2288,Meena Shah,,
2289,Meenakshi Amma,,
2290,Meenakshi Chitharanjan,,
2291,Meenakshi Gopinath,,
2292,Meenakshi Jain,,
2293,Meenakshi Sargogi,,
2294,Meera Mukherjee,,
2295,Meetha Lal Mehta,,
2296,Meghnad Desai,,
2297,Mehboob Khan,,
2298,Mehdi Nawaz Jung,,
2299,Meher Jehangir Banaji,,
2300,Mehmood Dhaulpuri,,
2301,Mehmood-ur Rehman,,
2302,Mehmooda Ali Shah,,
2303,Mehrunnisa Parvez,,
2304,Melhupra Vero,,
2305,Melinda Gates,,
2306,Melville de Mellow,,
2307,Mian Bashir Ahmed,,
2308,Michael Ferreira,,
2309,Michael Postel,,
2310,Michel Danino,,
2311,Mihir Sen,,
2312,Milena Salvini,,
2313,Milind Kamble,,
2314,Milind Vasant Kirtane,,
2315,Milkha Singh,,
2316,Milon K. Banerji,,
2317,Minati Mishra,,
2318,Minoo Merwan Engineer,,
2319,Minoru Hara,,
2320,Mira Behn,,
2321,Mira Nair,,
2322,Mira Salganik,,
2323,Mirnamayee Ray,,
2324,Mirza Hameedullah Beg,,
2325,Mithali Raj,,
2326,Mithan Jamshed Lam,,
2327,Mithu Alur,,
2328,Mithuben Petit,,
2329,Mitrabhanu Gountia,,
2330,Mitraniketan Viswanathan,,
2331,Mogubai Kurdikar,,
2332,Mohamed Zainuddin Juvale,,
2333,Mohammad Ahmed Zaki,,
2334,Mohammad Ali Baig,,
2335,Mohammad Amin,"Amin was born at Qasba Mau-Aima, on the banks of River Ganges, in Allahabad district of the former United Provinces.Amin was married to Khurshid and the couple had a son, Shahid Amin, the historian and Rhodes Scholar, and a daughter, Ghazala, who is herself a media personality and a teacher.His school education started in Allahabad, from where he moved to Mughal Sarai and finally to Queens Collegiate School in Banares. Subsequently, he took a graduate degree in history from Allahabad University, in 1945, under the renowned historian, Sir Shafaat Ahmed Khan. He earned his master's degree from Aligarh Muslim University in 1949, in both history and law.


''' Academic '''
Mohammad Amin started his career, as a lawyer, in 1947, practising under a lawyer, Bachchan. However, his career as a lawyer was short-lived and he joined St. Stephen's College, Delhi, as a lecturer in 1949, although in between he studied at Cornell University where he secured a master's degree in 1952 and later at Stanford University (1962). He taught at St. Stephen's for 39 years till he retired in 1989 as the Head of the Department of History","అమీన్ మాజీ యునైటెడ్ ప్రావిన్సెస్లోని అలహాబాద్ జిల్లాలో గంగా నది ఒడ్డున ఉన్న కస్బా మౌ-ఐమాలో జన్మించాడు. అమీన్ ఖుర్షీద్ను వివాహం చేసుకున్నాడు, ఈ జంటకు ఒక కుమారుడు, షాహిద్ అమీన్, చరిత్రకారుడు, రోడ్స్ స్కాలర్,, ఒక కుమార్తె, గజాలా, ఈమె స్వయంగా మీడియా వ్యక్తి, ఉపాధ్యాయురాలు. అతని పాఠశాల విద్య అలహాబాద్లో ప్రారంభమైంది, అక్కడ నుండి ఇతను మొఘల్ సరాయ్కు, చివరకు బనారస్లోని క్వీన్స్ కాలేజియేట్ పాఠశాలకు మారాడు. తదనంతరం, ఇతను 1945లో ప్రఖ్యాత చరిత్రకారుడు సర్ షఫాత్ అహ్మద్ ఖాన్ వద్ద అలహాబాద్ విశ్వవిద్యాలయం నుండి చరిత్రలో పట్టభద్రుడయ్యాడు. ఇతను 1949లో అలీఘర్ ముస్లిం విశ్వవిద్యాలయం నుండి చరిత్ర, చట్టం రెండింటిలోనూ మాస్టర్స్ డిగ్రీని పొందాడు. ''' విద్యావేత్త '''మొహమ్మద్ అమీన్ 1947లో న్యాయవాదిగా, బచ్చన్ వద్ద ప్రాక్టీస్ చేస్తూ తన వృత్తిని ప్రారంభించాడు. అయినప్పటికీ, న్యాయవాదిగా అతని కెరీర్ స్వల్పకాలికం, ఇతను St. ఢిల్లీలోని స్టీఫెన్స్ కాలేజీ, 1949లో లెక్చరర్గా, మధ్యమధ్యలో ఇతను కార్నెల్ యూనివర్శిటీలో చదువుకున్నాడు, అక్కడ ఇతను 1952లో మాస్టర్స్ డిగ్రీని, తరువాత స్టాన్ఫోర్డ్ విశ్వవిద్యాలయంలో (1962) పొందాడు. ఇతను సెయింట్ వద్ద బోధించాడు. స్టీఫెన్ చరిత్ర విభాగానికి అధిపతిగా 1989లో పదవీ విరమణ చేసే వరకు 39 సంవత్సరాలు. "
2336,Mohammad Azharuddin,,
2337,Mohammad Hamid Ansari,,
2338,Mohammad Izhar Alam,,
2339,Mohammad Khalilullah,,
2340,Mohammad Mujeeb,,
2341,Mohammad Shafi,,
2342,Mohammad Shahid,,
2343,Mohammad Sharaf-e-Alam,,
2344,Mohammad Swaleh Ansari,,
2345,Mohammad Yousuf Taing,,
2346,Mohammad Yunus,,
2347,Mohammed Abdul Waheed,,
2348,Mohammed Din Jagir,,
2349,Mohammed Hanif Khan Shastri,,
2350,Mohammed Rafi,,
2351,Mohammed Sharif,,
2352,Mohammed Tayab Khan,,
2353,Mohammed Zahur Khayyam,,
2354,Mohan Agashe,,
2355,Mohan Babu,,
2356,Mohan Dharia,,
2357,Mohan Kameswaran,,
2358,Mohan Lal,,
2359,Mohan Mishra,,
2360,Mohan Naik,,
2361,Mohan Ranade,,
2362,Mohan Reddy Venkatrama Bodanapu,,
2363,Mohan Singh,,
2364,Mohan Singh Gunjyal,,
2365,Mohan Singh Kohli,,
2366,Mohan Singh Oberoi,,
2367,Mohan Sinha Mehta,,
2368,Mohan Swaroop Bhatia,,
2369,Mohanlal,,
2370,Mohanlal Chaturbhuj Kumhar,,
2371,Mohanlal Lallubhai Dantwala,,
2372,Mohanmullji Chordia,,
2373,Mohd. Abdul Hai,,
2374,Mohd. Fayazuddin Nizami,,
2375,Mohd. Hayath,,
2376,Mohd. Shafi Khan Bekal Utsahi,,
2377,Mohinder Singh Randhawa,,
2378,Mohmmed Khalilullah,,
2379,Mohsin Wali,,
2380,Moinuddin Khan,,
2381,Mona Chandravati Gupta,,
2382,Monindra Nath Chakravarti,,
2383,Montek Singh Ahluwalia,,
2384,Mool Chand Maheshwari,,
2385,Moosa Raza,,
2386,Moozhikkal Pankajakshi,,
2387,Moozhikkulam Kochukuttan Chakyar,,
2388,Moreshwar Mangesh Wagle,,
2389,Morup Namgyal,,
2390,Mother Teresa,,
2391,Moti Chandra,,
2392,Moti Lal Dhar,,
2393,Moti Lal Kemmu,,
2394,Moti Lal Saqi,,
2395,Motilal Jotwani,,
2396,Moturi Satyanarayana,,
2397,Mrinal Datta Chaudhuri,,
2398,Mrinal Miri,,
2399,Mrinal Pande,,
2400,Mrinal Sen,,
2401,Mrinalini Sarabhai,,
2402,Mritanjaya Vaidyanathan,,
2403,Mrityunjay Athreya,,
2404,Ms. Bijoya Chakravarty,,
2405,Ms. Birubala Rabha,,
2406,Ms. Chutni Devi,,
2407,Ms. Dulari Devi,,
2408,Ms. Jaswantiben Jamnadas Popat,,
2409,Ms. Lajwanti,,
2410,Ms. Mouma Das,,
2411,Ms. Mridula Sinha,,
2412,Ms. Niru Kumar,,
2413,Ms. Pappammal,,
2414,Ms. Prakash Kaur,,
2415,Ms. Purnamasi Jani,,
2416,Ms. Radhe Devi,,
2417,Ms. Sangkhumi Bualchhuak,,
2418,Ms. Shanti Devi,,
2419,Ms. Sindhutai Sapkal,,
2420,Ms. Sudha Hari Narayan Singh,,
2421,Ms. Usha Yadav,,
2422,Mudundi Ramakrishna Raju,,
2423,Mujtaba Hussain,,
2424,Mukesh Batra,,
2425,Mukesh Kumar,,
2426,Muktaben Pankajkumar Dagli,,
2427,Mukti Prasad Gogoi,,
2428,Mukul Chandra Goswami,,
2429,Mukund Lath,,
2430,Mukund Nayak,,
2431,Mukut Dhar Pandeya,,
2432,Mukut Minz,,
2433,Mulk Raj Anand,,
2434,Mulk Raj Chopra,,
2435,Mulk Raj Saraf,,
2436,Mungtu Ram Jaipuria,,
2437,Muni Inder Dev Sharma,,
2438,Munirathna Anandakrishnan,,
2439,Munna Master,,
2440,Murli Manohar Joshi,,
2441,Murlikant Petkar,,
2442,Murugappa Channaveerappa Modi,,
2443,Musafir Ram Bhardwaj,,
2444,Mushirul Hasan,,
2445,Mushtaq Ahmed,,
2446,Mushtaq Ali,,
2447,Mushtaq Hussain Khan,,
2448,Musiri Subramania Iyer,,
2449,Mustansir Barma,,
2450,Muthu Krishna Mani,,
2451,Muthu Muthiah Sthapathi,,
2452,Muthulakshmi Reddi,,
2453,Muzaffar Ali,,
2454,Muzaffar Hussain Baig,,
2455,Muzaffer Hussain,,
2456,Mylai Ponnuswamy Sivagnanam,,
2457,Mylswamy Annadurai,,
2458,Myneni Hariprasada Rao,,
2459,Mysore Narasimhachar Srinivas,,
2460,Mysore Shrikanta Pandit Nilkanta Rao,,
2461,N. Balakrishna Reddy,,
2462,N. Balakrishnan Nair,,
2463,N. Chandrasekharan Nair,,
2464,N. D. Sundaravadivelu,,
2465,N. G. Krishna Murti,,
2466,N. G. Ranga,,
2467,N. Gopalaswami,,
2468,N. H. Antia,,
2469,N. H. Wadia,,
2470,N. Kesava Panikkar,,
2471,N. Khelchandra Singh,,
2472,N. M. Wagle,,
2473,N. Mahalingam,,
2474,N. Prabhakar,,
2475,N. R. Madhava Menon,,
2476,N. R. Malkani,,
2477,N. R. Narayana Murthy,,
2478,N. Rajam,,
2479,N. Ram,,
