,Recipients,early life,early life Telugu
2871,Prakash Singh,,
2872,Pramathanath Bishi,,
2873,Pramod Kale,,
2874,Pramod Kumar Julka,,
2875,Pramod Tandon,,
2876,Pran,,
2877,Pran Kishore Kaul,,
2878,Pran Kumar Sharma,,
2879,Pran Nath Chhutani,,
2880,Pran Nath Luthra,,
2881,Prana Krushna Parija,,
2882,Pranab K. Sen,,
2883,Pranab Mukherjee,,
2884,Pranab Rehatriranjan Dastidar,,
2885,Prasad Sawkar,,
2886,Prasanta Chandra Mahalanobis,"Mahalanobis belonged to a family of Bengali landed gentry who lived in Bikrampur (now in Bangladesh). His grandfather Gurucharan (1833–1916) moved to Calcutta in 1854 and built up a business, starting a chemist shop in 1860. Gurucharan was influenced by Debendranath Tagore (1817–1905), father of the Nobel Prize-winning poet, Rabindranath Tagore. Gurucharan was actively involved in social movements such as the Brahmo Samaj, acting as its treasurer and president. His house on 210 Cornwallis Street was the centre of the Brahmo Samaj. Gurucharan married a widow, an action against social traditions.Gurucharan's elder son, Subodhchandra (1867–1953), became a distinguished educator after studying physiology at Edinburgh University. He was elected as a Fellow of the Royal Society of Edinburgh.[1] He was the Head of the Dept. of Physiology, University of Cardiff (the first Indian to occupy this post in a British university)","మహాలనోబిస్ బిక్రమ్పూర్లో (ప్రస్తుతం బంగ్లాదేశ్లో ఉంది) నివసించిన బెంగాలీ భూస్వామ్య పెద్ద కుటుంబానికి చెందినవారు. అతని తాత గురుచరణ్ (1833–1916) 1854లో కలకత్తాకు తరలివెళ్లారు, 1860లో రసాయన శాస్త్రవేత్త దుకాణాన్ని ప్రారంభించి వ్యాపారాన్ని నిర్మించారు. గురుచరణ్ నోబెల్ బహుమతి పొందిన కవి రవీంద్రనాథ్ ఠాగూర్ తండ్రి దేబేంద్రనాథ్ ఠాగూర్ (1817-1905)చే ప్రభావితమయ్యారు. గురుచరణ్ బ్రహ్మ సమాజం వంటి సామాజిక ఉద్యమాలలో చురుకుగా పాల్గొన్నారు, దాని కోశాధికారిగా, అధ్యక్షుడిగా ఉన్నారు. 210 కార్న్వాలిస్ స్ట్రీట్లోని అతని ఇల్లు బ్రహ్మ సమాజానికి కేంద్రంగా ఉంది. గురుచరణ్ ఒక వితంతువును వివాహం చేసుకున్నాడు, ఇది సామాజిక సంప్రదాయాలకు విరుద్ధమైన చర్య. గురుచరణ్ పెద్ద కుమారుడు, సుబోధచంద్ర (1867–1953), ఎడిన్బర్గ్ విశ్వవిద్యాలయంలో ఫిజియాలజీ చదివిన తర్వాత విశిష్ట విద్యావేత్త అయ్యాడు. ఇతను రాయల్ సొసైటీ ఆఫ్ ఎడిన్బర్గ్కి ఫెలోగా ఎన్నికయ్యాడు. [1] ఇతను డిపార్ట్మెంట్ హెడ్. ఫిజియాలజీ, యూనివర్శిటీ ఆఫ్ కార్డిఫ్ (బ్రిటీష్ విశ్వవిద్యాలయంలో ఈ పోస్ట్ను ఆక్రమించిన మొదటి భారతీయుడు). "
2887,Prasanta Kumar Pattanaik,,
2888,Prashanti Singh,,
2889,Prasoon Joshi,,
2890,Pratap Chandra Lal,,
2891,Pratap Govindrao Pawar,,
2892,Pratap Pawar,,
2893,Pratap Singh Hardia,,
2894,Pratapaditya Pal,,
2895,Pratapri Girdhari Lal Mehta,,
2896,Pratapsinh Jadhav,,
2897,Prathap C. Reddy,,
2898,Pratibha Prahlad,,
2899,Pratibha Ray,,
2900,Pratima Barua Pandey,"Barua Pandey was born on 3 October 1934, in Calcutta. She pursued her early education in the city's Gokhale Memorial School, after which she came to Assam to study at the Girls’ High School, Gauripur, home of the royal family. She mostly spent her early years in between the din of Calcutta and the soothing environments of riverside ""Gadadhar"" at hometown Gauripur. Although she learned Rabindrasangeet at school, but she never took any formal training or teaching in music except the encouraging words from her father Prakritesh Chandra Barua (Lalji). The most crucial point in her life came when Dr. Bhupen Hazarika visited Gauripur in 1955 and attended a jalsa organised on a social occasion, the shy young Pratima, though tongue-tied with fear, let her voice and the lyrics of the lokageet in Goalpariya dialect flow in tune with the strings and rhythms of the dhol, junuka, dotora, darinda, dhuluki and Bashi which are musical instruments in Goalpariya Culture culture. Dr. Hazarika was highly impressed and predicted that this voice would definitely take Goalpariya lokageet to great heights. Indeed, he first presented Goalpariya folk song in his film Era Bator Sur. Besides the mahout songs, Barua Pandey used to sing the evergreen hit We Are in the Same Boat, Brother in stage shows","బారువా పాండే 1934 అక్టోబర్ 3న కలకత్తాలో జన్మించారు. ఈమె తన ప్రారంభ విద్యను నగరంలోని గోఖలే మెమోరియల్ స్కూల్లో అభ్యసించింది, ఆ తర్వాత ఈమె రాజకుటుంబానికి చెందిన గౌరీపూర్లోని బాలికల ఉన్నత పాఠశాలలో చదువుకోవడానికి అస్సాం వచ్చింది. ఈమె తన ప్రారంభ సంవత్సరాలను ఎక్కువగా కలకత్తా, సందడి, స్వస్థలమైన గౌరీపూర్లోని ""గదాధర్"" నదీతీరంలోని ఓదార్పు వాతావరణాల మధ్య గడిపింది. ఈమె పాఠశాలలో రవీంద్రసంగీత్ నేర్చుకున్నప్పటికీ, ఈమె తన తండ్రి ప్రకృతిేష్ చంద్ర బారువా (లాల్జీ) నుండి ప్రోత్సాహకరమైన మాటలు తప్ప సంగీతంలో ఎటువంటి అధికారిక శిక్షణ లేదా బోధన తీసుకోలేదు. ఈమె జీవితంలో అత్యంత కీలకమైన అంశం డా. భూపేన్ హజారికా 1955లో గౌరీపూర్ని సందర్శించారు, ఒక సామాజిక సందర్భంలో ఏర్పాటు చేసిన జల్సాకు హాజరయ్యారు, పిరికి యువతి ప్రతిమ, భయంతో నాలుక ముడిచినప్పటికీ, గోల్పారియా మాండలికంలోని లోకగీతంలోని తన గాత్రం, సాహిత్యం, తీగలు, లయలకు అనుగుణంగా ప్రవహించేలా చేసింది. దోల్, జునుకా, దోటోరా, దరిండా, ధులుకి, బాషి గోల్పరియా సంస్కృతి సంస్కృతిలో సంగీత వాయిద్యాలు. డా. హజారికా బాగా ఆకట్టుకుంది, ఈ స్వరం గోల్పరియా లోకగీతను ఖచ్చితంగా గొప్ప ఎత్తుకు తీసుకెళ్తుందని అంచనా వేసింది. నిజానికి, ఇతను మొదట తన చిత్రం ఎరా బటోర్ సుర్లో గోల్పరియా జానపద పాటను అందించాడు. మహౌట్ పాటలతో పాటు, స్టేజ్ షోలలో బారువా పాండే ఎవర్గ్రీన్ హిట్ మేము ఒకే పడవలో ఉన్నాము బ్రదర్ అనే పాటను పాడేవారు. "
2901,Pratul Chandra Gupta,,
2902,Pratury Trirumala Rao,,
2903,Pravakara Maharana,,
2904,Praveen Chandra,,
2905,Pravin Darji,,
2906,Pravin Gordhan,,
2907,Pravin H. Parekh,,
2908,Pravinchandra Varjivan Gandhi,,
2909,Predhiman Krishan Kaw,,
2910,Predrag K. Nikic,,
2911,Prem Chand Sharma,,
2912,Prem Chandra Dhanda,,
2913,Prem Chandra Luthar,,
2914,Prem Dhawan,,
2915,Prem Kumar Kakar,,
2916,Prem Nath Dhawan,,
2917,Prem Nath Mehra,,
2918,Prem Nath Sahni,"Sahni was born on 9 August 1916 in Lahore, British India to Lala Gurdas Ram Sahni an agricultural land holder with substantial land holdings.  He was the oldest of three children of Lala Gurdas Ram sahni from his second wife who died within a month of giving birth to his sister, Nando (Nand Rani), eight years younger to him in 1924. P. N. Sahni completed a double Master of Arts degree in political Science as well as History from Government College at Lahore now known as the Government College University (Lahore).  He was an enthusiastic hockey player in college and this interest in sports lasted with him through life. Subsequent to college studies in Lahore, he proceeded for doctoral studies in UK but the program was interrupted because of the second world war.","సాహ్ని 1916 ఆగస్ట్ 9న బ్రిటిష్ ఇండియాలోని లాహోర్లో లాలా గురుదాస్ రామ్ సాహ్ని ఒక వ్యవసాయ భూమి యజమానిగా జన్మించాడు. ఇతను లాలా గురుదాస్ రామ్ సాహ్ని, ముగ్గురు పిల్లలలో పెద్దవాడు, అతని రెండవ భార్య నుండి ఇతను 1924లో తన సోదరి నాండో (నంద్ రాణి)కి జన్మనిచ్చిన ఒక నెలలోనే మరణించాడు. పి. ఎన్. సాహ్ని ఇప్పుడు ప్రభుత్వ కళాశాల విశ్వవిద్యాలయం (లాహోర్)గా పిలువబడే లాహోర్లోని ప్రభుత్వ కళాశాల నుండి రాజకీయ శాస్త్రం, చరిత్రలో డబుల్ మాస్టర్ ఆఫ్ ఆర్ట్స్ డిగ్రీని పూర్తి చేశారు. ఇతను కళాశాలలో ఉత్సాహభరితమైన హాకీ ఆటగాడు, క్రీడల పట్ల ఈ ఆసక్తి అతనితో జీవితాంతం కొనసాగింది. లాహోర్లోని కళాశాల చదువుల తర్వాత, ఇతను UKలో డాక్టరల్ అధ్యయనాల కోసం కొనసాగాడు, అయితే రెండవ ప్రపంచ యుద్ధం కారణంగా ప్రోగ్రామ్కు అంతరాయం కలిగింది. "
2919,Prem Nath Wahi,,
2920,Prem Nazir,"Nazir was born in Chirayinkeezhu in the princely state of Travancore (now part of Kerala), to Akkode Shahul Hamid and Asuma Beevi on 7 April 1927. He had two brothers - Prem Nawas (Abdul Wahab) - and Ashraf and six sisters - Sulekha, Arifa, Aneesa, Umaiba, Sunaisa and Suhara. His mother died when he was very young, and his father remarried a woman of the same name. He completed his formal education from Kadinamkulam Lower Primary School, Sri Chithiravilasam School, Trivandrum, SD College, Alappuzha, and St. Berchmans College, Changanassery. By the time he completed his education, he had become an experienced drama artist.","నజీర్ 1927 ఏప్రిల్ 7న ట్రావెన్కోర్ సంస్థానంలో (ప్రస్తుతం కేరళలో భాగమైన) చిరాయింకీజులో అక్కోడే షాహుల్ హమీద్, అసుమా బీవీ దంపతులకు జన్మించాడు. అతనికి ఇద్దరు సోదరులు - ప్రేమ్ నవాస్ (అబ్దుల్ వహాబ్) -, అష్రఫ్, ఆరుగురు సోదరీమణులు - సులేఖ, ఆరిఫా, అనీసా, ఉమైబా, సునైసా, సుహరా. ఇతను చాలా చిన్న వయస్సులోనే అతని తల్లి చనిపోయింది,, అతని తండ్రి అదే పేరుతో ఉన్న స్త్రీని తిరిగి వివాహం చేసుకున్నాడు. He completed his formal education from Kadinamkulam Lower Primary School, Sri Chithiravilasam School, Trivandrum, SD College, Alappuzha, and St. బెర్చ్మన్స్ కళాశాల, చంగనస్సేరి. విద్యాభ్యాసం పూర్తయ్యే సమయానికి నాటక కళాకారుడిగా అనుభవజ్ఞుడయ్యాడు. "
2921,Prem Prakash Sahni,,
2922,Prem Shanker Goel,,
2923,Prem Watsa,,
2924,Prema Narendra Purao,,
2925,Premchand Degra,,
2926,Premendra Mitra,,
2927,Premlata Agarwal,,
2928,Premlata Puri,,
2929,Premlila Vithaldas Thackersey,,
2930,Pritam Bhartwan,,
2931,Pritam Singh,,
2932,Prithipal Singh,,
2933,Prithipal Singh Maini,,
2934,Prithvi Nath Kaula,"Prithvi Nath Kaula was born in 1924 in Srinagar, Jammu and Kashmir, India. His family belonged to the lower middle class. He completed his higher education Faculty of Arts in the Banaras Hindu University in Varanasi. In 1947, he was employed as a Librarian with the Birla Education Trust in Pilani. He later on became the Librarian at Central Library, BHU, Head of Department of Library and Information Science, BHU and the Dean of Faculty of Arts in the Banaras Hindu University.","పృథ్వీ నాథ్ కౌలా భారతదేశంలోని జమ్మూ, కాశ్మీర్లోని శ్రీనగర్లో 1924లో జన్మించారు. అతని కుటుంబం దిగువ మధ్య తరగతికి చెందినది. వారణాసిలోని బనారస్ హిందూ యూనివర్శిటీలో ఉన్నత విద్య ఫ్యాకల్టీ ఆఫ్ ఆర్ట్స్ను పూర్తి చేశారు. 1947లో, ఇతను పిలానీలోని బిర్లా ఎడ్యుకేషన్ ట్రస్ట్లో లైబ్రేరియన్గా ఉద్యోగం పొందాడు. తర్వాత ఇతను BHUలోని సెంట్రల్ లైబ్రరీలో లైబ్రేరియన్గా, BHUలోని లైబ్రరీ అండ్ ఇన్ఫర్మేషన్ సైన్స్ విభాగాధిపతిగా, బనారస్ హిందూ విశ్వవిద్యాలయంలో ఫ్యాకల్టీ ఆఫ్ ఆర్ట్స్ డీన్ అయ్యాడు. "
2935,Prithvi Nath Khoshoo,,
2936,Prithvi Raj Singh Oberoi,,
2937,Prithvi Singh Azad,,
2938,Prithviraj Kapoor,,
2939,Prithwindra Mukherjee,"Prithwindra was born in Kolkata, India, in 1936, and educated at the Sri Aurobindo Ashram School (at present, the Sri Aurobindo International Centre of Education) in Pondicherry. He is the grandson of the Bengali revolutionary Jatindranath Mukherjee (Bagha Jatin).","పృథ్వీంద్ర భారతదేశంలోని కోల్కతాలో 1936లో జన్మించాడు, పాండిచ్చేరిలోని శ్రీ అరబిందో ఆశ్రమ పాఠశాలలో (ప్రస్తుతం, శ్రీ అరబిందో ఇంటర్నేషనల్ సెంటర్ ఆఫ్ ఎడ్యుకేషన్) చదువుకున్నాడు. ఇతను బెంగాలీ విప్లవకారుడు జతీంద్రనాథ్ ముఖర్జీ (బాఘా జతిన్) మనవడు. "
2940,Pritish Nandy,"Pritish Nandy was born in Bhagalpur in the state of Bihar in eastern India to a Bengali Christian family. He is the son of Satish Chandra Nandy and Prafulla Nalini Nandy, and brother of Ashis Nandy and Manish Nandy. His daughters Rangita Pritish-Nandy (born 1978) and Ishita Pritish-Nandy (born 1980) are film producers, creators and show runners and his son Kushan Nandy(born 1972) is a film producer, writer and director. Pritish Nandy was educated at La Martiniere College and, briefly, at Presidency College in Kolkata, where he spent the first 28 years of his life. Nandy's mother was a teacher at La Martiniere Calcutta and subsequently became the school's first Indian vice principal.","ప్రితీష్ నంది తూర్పు భారతదేశంలోని బీహార్ రాష్ట్రంలోని భాగల్పూర్లో బెంగాలీ క్రైస్తవ కుటుంబంలో జన్మించాడు. ఇతను సతీష్ చంద్ర నంది, ప్రఫుల్ల నళిని నంది కుమారుడు, ఆశిస్ నంది, మనీష్ నందిల సోదరుడు. అతని కుమార్తెలు రంగిత ప్రితీష్-నంది (జననం 1978), ఇషితా ప్రితీష్-నంది (జననం 1980) చలనచిత్ర నిర్మాతలు, సృష్టికర్తలు, షో రన్నర్లు, అతని కుమారుడు కుషన్ నంది (జననం 1972) సినీ నిర్మాత, రచయిత, దర్శకుడు. ప్రితీష్ నందిని లా మార్టినియర్ కాలేజీలో, క్లుప్తంగా కోల్కతాలోని ప్రెసిడెన్సీ కాలేజీలో విద్యనభ్యసించారు, అక్కడ ఇతను తన జీవితంలో మొదటి 28 సంవత్సరాలు గడిపాడు. నంది తల్లి లా మార్టినియర్ కలకత్తాలో ఉపాధ్యాయురాలు, ఆ తర్వాత పాఠశాలకు మొదటి భారతీయ వైస్ ప్రిన్సిపాల్ అయ్యారు. "
2941,Priya Paul,,
2942,Priya Ranjan Sen,,
2943,Priyadarshan,,
2944,Priyambada Mohanty Hejmadi,,
2945,Priyanka Chopra,"Priyanka Chopra was born on 18 July 1982 in Jamshedpur, Bihar (present-day Jharkhand), to Ashok and Madhu Chopra, both physicians in the Indian Army. Her father was a Punjabi Hindu from Ambala. Her mother, Madhu Chopra from Jharkhand is the eldest daughter of Dr. Manohar Kishan Akhouri, a former Congress veteran, and Madhu Jyotsna Akhouri, a former member of Bihar Legislative Assembly. Her late maternal grandmother, Mrs. Akhouri, was a Jacobite Syrian Christian originally named Mary John, belonging to the Kavalappara family of Kumarakom, Kottayam district, Kerala. Chopra has a brother, Siddharth, who is seven years her junior. Bollywood actresses Parineeti Chopra, Meera Chopra, and Mannara Chopra are cousins.Due to Chopra's parents' professions as military physicians, the family was posted in a number of places in India, including Delhi, Chandigarh, Ambala, Ladakh, Lucknow, Bareilly, and Pune. Among the schools she attended were La Martiniere Girls' School in Lucknow and St","ప్రియాంక చోప్రా 1982 జూలై 18న బీహార్లోని జంషెడ్పూర్లో (ప్రస్తుత జార్ఖండ్) భారతీయ సైన్యంలో వైద్యులు అశోక్, మధు చోప్రా దంపతులకు జన్మించింది. ఈమె తండ్రి అంబాలాకు చెందిన పంజాబీ హిందువు. ఈమె తల్లి, జార్ఖండ్కు చెందిన మధు చోప్రా పెద్ద కూతురు డా. మనోహర్ కిషన్ అఖౌరి, మాజీ కాంగ్రెస్ అనుభవజ్ఞుడు, మధు జ్యోత్స్నా అఖౌరి, బీహార్ శాసనసభ మాజీ సభ్యుడు. ఈమె దివంగత అమ్మమ్మ, శ్రీమతి. అఖౌరి, జాకోబైట్ సిరియన్ క్రిస్టియన్, వాస్తవానికి మేరీ జాన్ అనే పేరు పెట్టారు, కేరళలోని కొట్టాయం జిల్లా కుమరకోమ్లోని కవలప్పర కుటుంబానికి చెందినవారు. చోప్రాకు సిద్ధార్థ్ అనే సోదరుడు ఉన్నాడు, ఇతను తన కంటే ఏడేళ్లు చిన్నవాడు. బాలీవుడ్ నటీమణులు పరిణీతి చోప్రా, మీరా చోప్రా, మన్నారా చోప్రా బంధువులు. సైనిక వైద్యులుగా చోప్రా తల్లిదండ్రుల వృత్తి కారణంగా, కుటుంబం భారతదేశంలోని ఢిల్లీ, చండీగఢ్, అంబాలా, లడఖ్, లక్నో, బరేలీ, పూణెతో సహా అనేక ప్రదేశాలలో నియమించబడింది. ఈమె చదివిన పాఠశాలల్లో లక్నోలోని లా మార్టినియర్ బాలికల పాఠశాల, సెయింట్. "
2946,Pu Lalbiakthanga Pachuau,,
2947,Pucadyil Ittoop John,,
2948,Pukhraj Bafna,,
2949,Puliyur Krishnaswamy Duraiswami,,
2950,Pullela Gopichand,"Pullela Gopichand was born on 16 November 1973 near Chirala Town to Mr. Pullela Subash Chandra and Mrs. Pullela Subbaravamma, in Prakasam district, Andhra Pradesh. Initially, he was interested in playing cricket, but his elder brother encouraged him to take up badminton instead. His family settled in Nizamabad for a while. He did his schooling in St. Paul's High School, Hyderabad. He joined A. V. College, Hyderabad and graduated in public administration","పుల్లెల గోపీచంద్ 1973 నవంబర్ 16న చీరాల టౌన్ సమీపంలో శ్రీ. పుల్లెల సుభాష్ చంద్ర, శ్రీమతి. Pullela Subbaravamma, in Prakasam district, Andhra Pradesh. మొదట్లో క్రికెట్ ఆడాలనే ఆసక్తి ఉన్న అతడికి బదులు బ్యాడ్మింటన్ ఆడమని అన్నయ్య ప్రోత్సహించాడు. ఆయన కుటుంబం కొంతకాలం నిజామాబాద్లో స్థిరపడింది. ఇతను తన పాఠశాల విద్యను సెయింట్. పాల్స్ హై స్కూల్, హైదరాబాద్. ఇతను A లో చేరాడు. వి. కాలేజ్, హైదరాబాద్, పబ్లిక్ అడ్మినిస్ట్రేషన్లో పట్టభద్రుడయ్యాడు. "
2951,Pullella Srirama Chandrudu,,
2952,Punam Suri,,
2953,Punamalai Ekambaranathan,,
2954,Punaram Nishad,,
2955,Pupul Jayakar,,
2956,Puran Chand Wadali,"Their father, Thakur Das Wadali, compelled Puranchand to learn music. Puranchand studied music from celebrated masters such as Ustad Bade Ghulam Ali Khan of the Patiala Gharana. Pyarelal was trained by his elder brother, who he considered his guru and mentor up till his death.","వారి తండ్రి, ఠాకూర్ దాస్ వడాలి, పురంచంద్ని సంగీతం నేర్చుకోమని ఒత్తిడి చేశాడు. పురంచంద్ పాటియాలా ఘరానాకు చెందిన ఉస్తాద్ బడే గులాం అలీ ఖాన్ వంటి ప్రముఖుల వద్ద సంగీతాన్ని అభ్యసించారు. ప్యారేలాల్ తన అన్నయ్యచే శిక్షణ పొందాడు, ఇతను మరణించే వరకు తన గురువుగా, గురువుగా భావించాడు. "
2957,Puran Lal Batra,,
2958,Purna Das Baul,,
2959,Purshotam Lal,,
2960,Purshottam Das,,
2961,Purshottam Das Jalota,,
2962,Purshottam Lal Wahi,,
2963,Purshottam Pandurang Gokhale,,
2964,Purushottam Dadheech,,
2965,Purushottam Kashinath Kelkar,,
2966,Purushottam Laxman Deshpande,"Purushottam Laxman Deshpande was born in Gamdevi Street, Chowpati, Mumbai in a Gaud Saraswat Brahmin (GSB) family to Laxman Trimbak Deshpande and Laxmibai Laxman Deshpande. His maternal grandfather, Vaman Mangesh Dubhashi, was a Marathi poet and writer. He had translated Rabindranath Tagore's Gitanjali into Marathi, with the title, ""Abhang Gitanjali"".The family used to stay at Kenway House, Procter Road in the Grant Road locality in Mumbai. His family then moved to Jogeshwari. His first 8 years at the newly formed Saraswati Baug Colony are described in the story titled 'Balpanicha Kaal Sukhacha' or Bālpaṇicā Kāḷ Sukhācā (translation: the happy days of childhood) in his book Purchundi. The family then moved to Vile Parle.","పురుషోత్తం లక్ష్మణ్ దేశ్పాండే ముంబైలోని చౌపతిలోని గామ్దేవి స్ట్రీట్లో గౌడ్ సారస్వత్ బ్రాహ్మణ (GSB) కుటుంబంలో లక్ష్మణ్ త్రయంబక్ దేశ్పాండే, లక్ష్మీబాయి లక్ష్మణ్ దేశ్పాండే దంపతులకు జన్మించారు. అతని తల్లితండ్రులు వామన్ మంగేష్ దుభాషి మరాఠీ కవి, రచయిత. ఇతను రవీంద్రనాథ్ ఠాగూర్, గీతాంజలిని ""అభంగ్ గీతాంజలి"" పేరుతో మరాఠీలోకి అనువదించాడు. ముంబైలోని గ్రాంట్ రోడ్ ప్రాంతంలోని ప్రొక్టర్ రోడ్లోని కెన్వే హౌస్లో కుటుంబం ఉండేది. ఆ తర్వాత అతని కుటుంబం జోగేశ్వరికి మారింది. కొత్తగా ఏర్పడిన సరస్వతీ బాగ్ కాలనీలో అతని మొదటి 8 సంవత్సరాలు అతని పుస్తకం పర్చుండిలో 'బల్పనిచ కాల్ సుఖచా' లేదా బాల్పాణికా క సుఖాకా (అనువాదం: బాల్యంలోని సంతోషకరమైన రోజులు) అనే కథలో వివరించబడింది. ఆ తర్వాత కుటుంబం విలే పార్లేకి మారింది. "
2967,Purushottam Upadhyay,,
2968,Purushottama Lal,,
2969,Pushkar Bhan,,
2970,Pushpa Bhuyan,,
2971,Pushpa Hans,,
2972,Pushpa Mittra Bhargava,,
2973,Pushpalata Das,"Born on 27 March 1915 to Rameswar Saikia and Swarnalata in North Lakhimpur in Assam, Das did her schooling at Panbazar Girls High School. She started her political activities from school days and was the secretary of an organization by name,  Mukti Sangha. In 1931, she and her comrades organized a protest against the hanging of the revolutionary, Bhagat Singh by the British Raj and was expelled from school. She continued her studies as a private student and passed the matriculation examination in 1934, after which she joined Benaras Hindu University to complete her intermediate course. Later, she graduated from Andhra University and secured post-graduate degree from the same university in 1938. Subsequently, she enrolled herself for studies in Law at Earle Law College, Guwahati where continued her student politics; she was the secretary of the college union in 1940. It was during this time, Gandhiji called for Individual Satyagraha, as a part of civil disobedience movement and as a precursor to the Quit India Movement which would be launched two years later, and Das participated in the movement. She was incarcerated which effectively cut short her law studies.","అస్సాంలోని ఉత్తర లఖింపూర్లో రామేశ్వర్ సైకియా, స్వర్ణలత దంపతులకు 27 మార్చి 1915న జన్మించిన దాస్, పాన్బజార్ బాలికల ఉన్నత పాఠశాలలో పాఠశాల విద్యను అభ్యసించారు. పాఠశాల రోజుల నుంచే రాజకీయ కార్యకలాపాలు ప్రారంభించిన ఈమె ముక్తి సంఘ అనే సంస్థకు కార్యదర్శిగా పనిచేశారు. 1931లో, ఈమె, ఈమె సహచరులు విప్లవకారుడు భగత్ సింగ్ను బ్రిటిష్ రాజ్ ఉరితీసినందుకు వ్యతిరేకంగా నిరసనను నిర్వహించారు, పాఠశాల నుండి బహిష్కరించబడ్డారు. ఈమె ప్రైవేట్ విద్యార్థిగా తన చదువును కొనసాగించింది, 1934లో మెట్రిక్యులేషన్ పరీక్షలో ఉత్తీర్ణత సాధించింది, ఆ తర్వాత ఈమె ఇంటర్మీడియట్ కోర్సు పూర్తి చేయడానికి బెనారస్ హిందూ విశ్వవిద్యాలయంలో చేరింది. తరువాత, ఈమె ఆంధ్ర విశ్వవిద్యాలయం నుండి పట్టభద్రురాలైంది, 1938లో అదే విశ్వవిద్యాలయం నుండి పోస్ట్ గ్రాడ్యుయేట్ డిగ్రీని పొందింది. తదనంతరం, ఈమె తన విద్యార్థి రాజకీయాలను కొనసాగించిన గౌహతిలోని ఎర్లే లా కాలేజ్లో న్యాయశాస్త్రంలో చదువు కోసం తనను తాను నమోదు చేసుకుంది; ఈమె 1940లో కళాశాల యూనియన్కి కార్యదర్శి. ఈ సమయంలోనే గాంధీజీ శాసనోల్లంఘన ఉద్యమంలో భాగంగా వ్యక్తిగత సత్యాగ్రహానికి పిలుపునిచ్చాడు, రెండేళ్ళ తర్వాత క్విట్ ఇండియా ఉద్యమానికి నాంది పలికాడు, దాస్ ఉద్యమంలో పాల్గొన్నారు. ఈమె ఖైదు చేయబడింది, ఇది ఈమె న్యాయ అధ్యయనాలను సమర్థవంతంగా తగ్గించింది. "
2974,Pushpavati Janardenrai Mehta,,
2975,Pushpesh Pant,,
2976,Puthenpurayil Mathew Joseph,,
2977,Puttaparthi Narayanacharyulu,,
2978,Puttaraj Gawai,He was born into a poor Kannada Lingayat family in Devagiri in Haveri taluk of Dharwad district (now in Haveri district) of Karnataka. His parents were Revaiah Venkatapurmath and Siddamma. He lost his eyesight at the age of 6. He lost his parents when he was 10 months old. His maternal uncle Chandrashekharaiah took him under his wings and raised him.,"ఇతను కర్ణాటకలోని ధార్వాడ్ జిల్లా (ప్రస్తుతం హావేరి జిల్లా)లోని హవేరి తాలూకాలోని దేవగిరిలో ఒక పేద కన్నడ లింగాయత్ కుటుంబంలో జన్మించాడు. అతని తల్లిదండ్రులు రేవయ్య వెంకటపూర్మఠం, సిద్దమ్మ. ఇతను 6 సంవత్సరాల వయస్సులో కంటి చూపును కోల్పోయాడు. ఇతను 10 నెలల వయస్సులో తన తల్లిదండ్రులను కోల్పోయాడు. అతని మామ చంద్రశేఖరయ్య అతనిని తన రెక్కల క్రిందకు తీసుకుని పెంచాడు. "
2979,Qadri Ragi Aziz Ahmed Khan Warsi,,
2980,Qazi Abdul Sattar,,
2981,Quazi Sazzad Ali Zahir,"Zaheer was born in Chausai, Daudkandi Upazila, Comilla District on 11 April 1951. in East Pakistan now Bangladesh.","Zaheer was born in Chausai, Daudkandi Upazila, Comilla District on 11 April 1951. తూర్పు పాకిస్తాన్లో ఇప్పుడు బంగ్లాదేశ్లో ఉంది. "
2982,Queenie H. C. Captain,,
2983,Queenie Rynjah,,
2984,Qurratulain Hyder,,
2985,R Sathyanarayana,,
2986,R. Basappagowda Patil,,
2987,R. C. Mehta,,
2988,R. D. Pradhan,,
2989,R. Ganapati,,
2990,R. K. Krishna Kumar,,
2991,R. K. Laxman,,
2992,R. K. Lelhluna,,
2993,R. K. Narayan,,
2994,R. K. Srikantan,"Srikantan was born to a Sankethi Brahmin family in Rudrapatna, Hassan district of Karnataka, on Makara Sankranti day, 14 January 1920. His father R Krishnashastri was an orator, singer of Gamaka (storytelling), playwright, poet, and a harikatha vidwan. His grandfather, Narayanaswamy of Bettadapura, also known as Veena Narayanaswamy was a Veena instrumentalist and a contemporary of Veene Sheshanna and Veene Subbanna.","శ్రీకాంతన్ కర్ణాటకలోని హాసన్ జిల్లా రుద్రపట్నలో సంకేతి బ్రాహ్మణ కుటుంబంలో మకర సంక్రాంతి రోజు, 14 జనవరి 1920న జన్మించాడు. అతని తండ్రి ఆర్ కృష్ణశాస్త్రి వక్త, గమక గాయకుడు, నాటక రచయిత, కవి, హరికథా విద్వాన్. అతని తాత, బెట్టడపురానికి చెందిన నారాయణస్వామి, వీణా నారాయణస్వామి అని కూడా పిలుస్తారు, వీణ శేషన్న, వీణే సుబ్బన్నల సమకాలీనుడు. "
2995,R. Marthanda Varma,,
2996,R. N. Malhotra,,
2997,R. N. Tharanathan and R. N. Thyagarajan,,
2998,R. Nagarathnamma,,
