,Recipients,work,work Telugu
2311,Mihir Sen,,
2312,Milena Salvini,,
2313,Milind Kamble,,
2314,Milind Vasant Kirtane,,
2315,Milkha Singh,,
2316,Milon K. Banerji,,
2317,Minati Mishra,,
2318,Minoo Merwan Engineer,,
2319,Minoru Hara,,
2320,Mira Behn,,
2321,Mira Nair,,
2322,Mira Salganik,,
2323,Mirnamayee Ray,,
2324,Mirza Hameedullah Beg,,
2325,Mithali Raj,,
2326,Mithan Jamshed Lam,,
2327,Mithu Alur,,
2328,Mithuben Petit,,
2329,Mitrabhanu Gountia,,
2330,Mitraniketan Viswanathan,,
2331,Mogubai Kurdikar,,
2332,Mohamed Zainuddin Juvale,,
2333,Mohammad Ahmed Zaki,,
2334,Mohammad Ali Baig,,
2335,Mohammad Amin,,
2336,Mohammad Azharuddin,,
2337,Mohammad Hamid Ansari,,
2338,Mohammad Izhar Alam,,
2339,Mohammad Khalilullah,,
2340,Mohammad Mujeeb,,
2341,Mohammad Shafi,,
2342,Mohammad Shahid,,
2343,Mohammad Sharaf-e-Alam,,
2344,Mohammad Swaleh Ansari,,
2345,Mohammad Yousuf Taing,,
2346,Mohammad Yunus,,
2347,Mohammed Abdul Waheed,,
2348,Mohammed Din Jagir,,
2349,Mohammed Hanif Khan Shastri,,
2350,Mohammed Rafi,,
2351,Mohammed Sharif,,
2352,Mohammed Tayab Khan,,
2353,Mohammed Zahur Khayyam,,
2354,Mohan Agashe,,
2355,Mohan Babu,,
2356,Mohan Dharia,,
2357,Mohan Kameswaran,,
2358,Mohan Lal,,
2359,Mohan Mishra,,
2360,Mohan Naik,,
2361,Mohan Ranade,,
2362,Mohan Reddy Venkatrama Bodanapu,,
2363,Mohan Singh,,
2364,Mohan Singh Gunjyal,,
2365,Mohan Singh Kohli,,
2366,Mohan Singh Oberoi,,
2367,Mohan Sinha Mehta,,
2368,Mohan Swaroop Bhatia,,
2369,Mohanlal,,
2370,Mohanlal Chaturbhuj Kumhar,,
2371,Mohanlal Lallubhai Dantwala,,
2372,Mohanmullji Chordia,,
2373,Mohd. Abdul Hai,,
2374,Mohd. Fayazuddin Nizami,,
2375,Mohd. Hayath,,
2376,Mohd. Shafi Khan Bekal Utsahi,,
2377,Mohinder Singh Randhawa,,
2378,Mohmmed Khalilullah,,
2379,Mohsin Wali,,
2380,Moinuddin Khan,,
2381,Mona Chandravati Gupta,,
2382,Monindra Nath Chakravarti,,
2383,Montek Singh Ahluwalia,,
2384,Mool Chand Maheshwari,,
2385,Moosa Raza,,
2386,Moozhikkal Pankajakshi,,
2387,Moozhikkulam Kochukuttan Chakyar,,
2388,Moreshwar Mangesh Wagle,,
2389,Morup Namgyal,,
2390,Mother Teresa,,
2391,Moti Chandra,,
2392,Moti Lal Dhar,,
2393,Moti Lal Kemmu,,
2394,Moti Lal Saqi,,
2395,Motilal Jotwani,,
2396,Moturi Satyanarayana,,
2397,Mrinal Datta Chaudhuri,,
2398,Mrinal Miri,,
2399,Mrinal Pande,,
2400,Mrinal Sen,,
2401,Mrinalini Sarabhai,,
2402,Mritanjaya Vaidyanathan,,
2403,Mrityunjay Athreya,,
2404,Ms. Bijoya Chakravarty,,
2405,Ms. Birubala Rabha,,
2406,Ms. Chutni Devi,,
2407,Ms. Dulari Devi,,
2408,Ms. Jaswantiben Jamnadas Popat,,
2409,Ms. Lajwanti,,
2410,Ms. Mouma Das,,
2411,Ms. Mridula Sinha,,
2412,Ms. Niru Kumar,,
2413,Ms. Pappammal,,
2414,Ms. Prakash Kaur,,
2415,Ms. Purnamasi Jani,,
2416,Ms. Radhe Devi,,
2417,Ms. Sangkhumi Bualchhuak,,
2418,Ms. Shanti Devi,,
2419,Ms. Sindhutai Sapkal,,
2420,Ms. Sudha Hari Narayan Singh,,
2421,Ms. Usha Yadav,,
2422,Mudundi Ramakrishna Raju,,
2423,Mujtaba Hussain,,
2424,Mukesh Batra,,
2425,Mukesh Kumar,,
2426,Muktaben Pankajkumar Dagli,,
2427,Mukti Prasad Gogoi,,
2428,Mukul Chandra Goswami,,
2429,Mukund Lath,,
2430,Mukund Nayak,,
2431,Mukut Dhar Pandeya,,
2432,Mukut Minz,,
2433,Mulk Raj Anand,,
2434,Mulk Raj Chopra,,
2435,Mulk Raj Saraf,,
2436,Mungtu Ram Jaipuria,,
2437,Muni Inder Dev Sharma,,
2438,Munirathna Anandakrishnan,,
2439,Munna Master,,
2440,Murli Manohar Joshi,,
2441,Murlikant Petkar,,
2442,Murugappa Channaveerappa Modi,,
2443,Musafir Ram Bhardwaj,,
2444,Mushirul Hasan,,
2445,Mushtaq Ahmed,,
2446,Mushtaq Ali,,
2447,Mushtaq Hussain Khan,,
2448,Musiri Subramania Iyer,,
2449,Mustansir Barma,,
2450,Muthu Krishna Mani,,
2451,Muthu Muthiah Sthapathi,,
2452,Muthulakshmi Reddi,,
2453,Muzaffar Ali,,
2454,Muzaffar Hussain Baig,,
2455,Muzaffer Hussain,,
2456,Mylai Ponnuswamy Sivagnanam,,
2457,Mylswamy Annadurai,,
2458,Myneni Hariprasada Rao,,
2459,Mysore Narasimhachar Srinivas,,
2460,Mysore Shrikanta Pandit Nilkanta Rao,,
2461,N. Balakrishna Reddy,,
2462,N. Balakrishnan Nair,,
2463,N. Chandrasekharan Nair,,
2464,N. D. Sundaravadivelu,,
2465,N. G. Krishna Murti,,
2466,N. G. Ranga,,
2467,N. Gopalaswami,,
2468,N. H. Antia,,
2469,N. H. Wadia,,
2470,N. Kesava Panikkar,,
2471,N. Khelchandra Singh,,
2472,N. M. Wagle,,
2473,N. Mahalingam,,
2474,N. Prabhakar,,
2475,N. R. Madhava Menon,,
2476,N. R. Malkani,,
2477,N. R. Narayana Murthy,,
2478,N. Rajam,,
2479,N. Ram,,
2480,N. Ramaswami Ayyar,,
2481,N. S. Bendre,,
2482,N. S. Rajhans (Bal Gandharva),,
2483,N. S. Ramanuja Tatacharya,,
2484,N. S. Ramaswamy,,
2485,N. S. Venkatesan,,
2486,N. T. Rama Rao,,
2487,N. Vittal,,
2488,Na. Muthuswamy,,
2489,Nabakanta Barua,,
2490,Nabaneeta Dev Sen,,
2491,Nadarajan Raj Chetty,,
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,,
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,,
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,,
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
2520,Nand Kishore Verma,,
2521,Nand Kumar Avasthi,,
2522,Nanda Prusty,,
2523,Nandalal Bose,,
2524,Nandan Nilekani,,
2525,Nandkishore Shamrao Laud,,
2526,Nandlal Lachmilal Bordia,,
2527,Nani Chandra Bordoloi,,
2528,Naoroji Pirojsha Godrej,,
2529,Narain Karthikeyan,,
2530,Narain Singh Thapa,,
2531,Narasimhiah Seshagiri,,
2532,Narasinh Narayan Godbole,,
2533,Narayan Chaturvedi,,
2534,Narayan Das Maharaj,,
2535,Narayan Debnath,,
2536,Narayan Gangaram Surve,,
2537,Narayan Joshi Karayal,,
2538,Narayan Sadoba Kajrolkar,,
2539,Narayan Singh,,
2540,Narayan Singh Bhati Zipashni,,
2541,Narayan Singh Manaklao,,
2542,Narayan Sitaram Phadke,,
2543,Narayan Subarao Hardikar,,
2544,Narayan Swami Dharmarajan,,
2545,Narayana Panicker Kochupillai,,
2546,Narayana Purushothama Mallaya,,
2547,Narayana Raghvan Pillai,,
2548,Narayanan Srinivasan,,
2549,Narayanan Vaghul,,
2550,Narayanaswamy Balakrishnan,,
2551,Narendra Dabholkar,,
2552,Narendra Kohli,,
2553,Narendra Kumar (mountaineer),,
2554,Narendra Kumar (physicist),,
2555,Narendra Kumar Pandey,,
2556,Narendra Nath Bery,,
2557,Narendra Prasad,,
2558,Narendra Singh,,
2559,Narendra Singh Dev,,
2560,Narendra Singh Jain,,
2561,Naresh Bedi,,
2562,Naresh Chander Lal,,
2563,Naresh Chandra,,
2564,Naresh Kanodia,,
2565,Naresh Kumar Trehan,,
2566,Naresh Sohal,,
2567,Naresh Trehan,,
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,,
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,"Thakkar established the ""Nagaland Gandhi Ashram"" in the Chuchuyimlang village in Nagaland in 1955. At that time, the Naga rebels and the Indian army were constantly at ""war"" and hence the militants considered any ""Indian"" as a ""spy"" and they warned villagers not to shelter or aid Thakkar. Thakkar assisted residents in ""various development and income generating activities"", including beekeeping, gur production, oil ghanis, a biogas plant, a mechanised carpentry workshop, and Khadi sales outlets. Apart from popularising Khadi, he has also started a vocational training centre for school drop-outs and the physically handicapped children.During his stay in Nagaland, he was attacked and threatened by insurgents several times and warned to leave the state. Jawaharlal Nehru, the then Prime Minister of India, had encouraged Thakkar to stay in the village and to continue his work; Nehru also allotted funds to promote his initiatives. Thakkar acted as an intermediary between the army and villagers and tried to strengthen bonds by personal talks and discussions. Villagers also appealed to militants not to harm Thakkar.Due to Thakkar's efforts, an extension centre of National Institute of Electronics and Information Technology was started in Chuchuyimlang village in 2006. It is a government-funded institute equipped with the latest technology","ఠక్కర్ 1955లో నాగాలాండ్లోని చుచుయిమ్లాంగ్ గ్రామంలో ""నాగాలాండ్ గాంధీ ఆశ్రమాన్ని"" స్థాపించాడు. ఆ సమయంలో, నాగా తిరుగుబాటుదారులు, భారత సైన్యం నిరంతరం ""యుద్ధం""లో ఉన్నారు, అందువల్ల తీవ్రవాదులు ఏ ""భారతీయుడిని"" ""గూఢచారి""గా భావించారు, వారు గ్రామస్థులను ఠక్కర్కు ఆశ్రయం లేదా సహాయం చేయవద్దని హెచ్చరించారు. తేనెటీగల పెంపకం, గుర్ ఉత్పత్తి, చమురు ఘనీలు, బయోగ్యాస్ ప్లాంట్, యాంత్రిక కార్పెంటరీ వర్క్షాప్, ఖాదీ విక్రయ కేంద్రాలతో సహా ""వివిధ అభివృద్ధి, ఆదాయాన్ని సృష్టించే కార్యకలాపాలలో"" ఠక్కర్ నివాసితులకు సహాయం చేశాడు. ఖాదీని ప్రాచుర్యంలోకి తీసుకురావడమే కాకుండా, స్కూల్ డ్రాప్-అవుట్లు, శారీరక వికలాంగ పిల్లల కోసం వృత్తి శిక్షణా కేంద్రాన్ని కూడా ప్రారంభించాడు. ఇతను నాగాలాండ్లో ఉన్న సమయంలో, ఇతను అనేక సార్లు తిరుగుబాటుదారులు దాడి చేసి బెదిరించాడు, రాష్ట్రాన్ని విడిచిపెట్టమని హెచ్చరించాడు. అప్పటి భారత ప్రధాని జవహర్లాల్ నెహ్రూ, ఠక్కర్ను గ్రామంలోనే ఉండమని, అతని పనిని కొనసాగించమని ప్రోత్సహించారు; నెహ్రూ తన కార్యక్రమాలను ప్రోత్సహించడానికి నిధులు కూడా కేటాయించారు. ఠక్కర్ సైన్యం, గ్రామస్తుల మధ్య మధ్యవర్తిగా వ్యవహరించాడు, వ్యక్తిగత చర్చలు, చర్చల ద్వారా బంధాలను బలోపేతం చేయడానికి ప్రయత్నించాడు. గ్రామస్థులు కూడా ఠక్కర్కు హాని చేయవద్దని మిలిటెంట్లకు విజ్ఞప్తి చేశారు. థక్కర్ కృషి కారణంగా, 2006లో చుచుయిమ్లాంగ్ గ్రామంలో నేషనల్ ఇన్స్టిట్యూట్ ఆఫ్ ఎలక్ట్రానిక్స్ అండ్ ఇన్ఫర్మేషన్ టెక్నాలజీ, విస్తరణ కేంద్రం ప్రారంభించబడింది. ఇది అత్యాధునిక సాంకేతికతతో కూడిన ప్రభుత్వ-నిధుల సంస్థ. "
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,,
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,,
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,,
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,,
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,,
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,,
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,,
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,,
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
2658,Noboru Karashima,,
2659,Nokdenlemba,,
2660,Nomita Chandy,,
2661,Nookala Chinna Satyanarayana,,
2662,Norden Tshering,,
2663,Norma Alvares,,
2664,Norman Borlaug,,
2665,Noshir M. Shroff,,
2666,Nouf Marwaai,,
2667,Nripendra Misra,,
2668,Nuchhungi Renthlei,,
2669,Nuruddin Ahmed,,
2670,Nutan,,
2671,Nuthakki Bhanu Prasad,,
2672,O. N. V. Kurup,,
2673,O. P. Bahl,,
2674,O. P. Jain,,
2675,O. V. Vijayan,,
2676,Obaid Siddiqi,,
2677,Oinam Bembem Devi,,
2678,Om Agarwal,,
2679,Om P. Bahl,,
2680,Om Prakash Agrawal,,
2681,Om Prakash Mathur,,
2682,Om Prakash Mehra,,
2683,Om Prakash Mittal,,
2684,Om Prakash Upadhyaya,,
2685,Om Puri,,
2686,Omeo Kumar Das,,
2687,Omesh Kumar Bharti,,
2688,Omkarnath Thakur,,
2689,Onkar Nath Srivastava,,
2690,Onkar Srinivasa Murthy,,
2691,Osamu Suzuki,,
2692,Oudh Narayan Shrivastava,,
2693,P Subramanian,,
2694,P Tiruvillvamalai Seshan M. Iyer,,
2695,P. A. Sangma,,
2696,P. Anitha,,
2697,P. Ardeshir Narielwala,,
2698,P. B. Buckshey,,
2699,P. Balacharya Gajendragadkar,,
2700,P. Bhanumathi,,
2701,P. C. Sorcar,,
2702,P. Chandrasekhara Rao,,
2703,P. Gopinathan,,
2704,P. Gopinathan Nair,,
2705,P. K. Banerjee,,
2706,P. K. Gopal,,
2707,P. K. Narayanan Nambiar,,
2708,P. K. Rajagopalan,,
2709,P. K. Sethi,,
2710,P. K. Warrier,,
2711,P. Kalathil Kunju Kurup,,
2712,P. Kilemsungla,,
2713,P. Krishnagopala Iyengar,,
2714,P. Leela,,
2715,P. N. Bhagwati,,
2716,P. N. Bhaskaran Nair,,
2717,P. N. Dhar,,
2718,P. N. Pattabhirama Sastri,,
2719,P. N. V. Kurup,,
2720,P. Namperumalsamy,,
2721,P. Narasimhayya,,
2722,P. O. Dunn,,
2723,P. Parameswaran,,
2724,P. Prabhakar Kumaramangalam,,
2725,P. R. Dubhashi,,
2726,P. R. Krishna Kumar,,
2727,P. R. Shreejesh,,
2728,P. R. Thilagam,,
2729,P. Ramanathan Rajgopal,,
2730,P. S. Appu,,
2731,P. S. Bedi,,
2732,P. S. Chawngthu,,
2733,P. S. Narayanaswamy,,
2734,P. Susheela,,
2735,P. T. Narasimhachar,,
2736,P. T. Usha,,
2737,P. V. A. Mohandas,,
2738,P. V. R. Rao,,
2739,P. V. Rajaraman,,
2740,P. V. S. Rao,,
2741,P. V. Sindhu,,
2742,Pablo Bartholomew,,
2743,Padamanur Ananda Rau,,
2744,Padma Desai,,
2745,Padma Sachdev,,
2746,Padma Subrahmanyam,,
2747,Padmaja Naidu,,
2748,Padmaja Phenany Joglekar,,
2749,Padmanabhan Balaram,,
2750,Padmavathy Bandopadhyay,,
2751,Pakkiriswamy Chandra Sekharan,,
2752,Palahalli Sitaramiah,,
2753,Palaniandi Kandaswamy,,
2754,Palghat R. Raghu,,
2755,Palle Rama Rao,"Although, he remained associated with a large number of academic institutions all over India in a wide range of subjects, his research interests were centred on metallic behaviour and Mechanical Alloy Development.


''' Academic and research achievements '''
Rama Rao began his research career with X-ray diffraction study of structural imperfections including development of new methods of analysis of X-ray line-broadening and prediction and experimental verification of fault configurations in double hexagonal close – packed crystals. He then turned to high temperature mechanical behaviour of metallic materials (tensile, creep, fatigue and fracture characteristics) some of which were undertaken for the first time in the country. He became involved in research-based alloy development during his tenure at the Hyderabad defence laboratory. Notable among these efforts is the development of an ultrahigh strength high fracture toughness low alloy steel. His current research interest is in understanding the effects of solutes on mechanical properties of magnesium and its hot workability.  A major recent research programme addressed basic issue of fracture toughness in single phase and dilute alloys.
He has to his credit nearly 160 journal papers, 30 edited volumes and over 50 publications in conference proceedings.


''' Other contributions '''
Rama Rao contributed to setting up the Heavy Alloy Penetrator Plant, Tiruchirapalli, the first full-fledged ordnance factory to come up in India based on indigenous R&D, the International Advanced Research Center for Powder Metallurgy & New Materials, Hyderabad, Non-Ferrous Materials Technology Development Center, Hyderabad, National Institute of Ocean Technology, Chennai, Safety Research Institute, Kalpakkam and the Technology Development Board of DST. He was Editor of the Transactions of the Indian Institute of Metals and the Bulletin of Materials Science and served on the Editorial boards of Materials Science and Engineering (an international journal), International Journal of Fatigue and International Journal of Pressure Vessels and Piping","అయినప్పటికీ, ఇతను విస్తృత శ్రేణి విషయాలలో భారతదేశం అంతటా పెద్ద సంఖ్యలో విద్యా సంస్థలతో అనుబంధం కలిగి ఉన్నాడు, అతని పరిశోధనా అభిరుచులు లోహ ప్రవర్తన, మెకానికల్ మిశ్రమం అభివృద్ధిపై కేంద్రీకృతమై ఉన్నాయి. '''విద్యా, పరిశోధన విజయాలు '''రామారావు X-రే లైన్-విస్తృత విశ్లేషణ, కొత్త పద్ధతుల అభివృద్ధి, డబుల్ షట్కోణంలో తప్పు కాన్ఫిగరేషన్ల, ప్రయోగాత్మక ధృవీకరణతో సహా నిర్మాణపరమైన లోపాల, ఎక్స్-రే డిఫ్రాక్షన్ అధ్యయనంతో తన పరిశోధనా జీవితాన్ని ప్రారంభించాడు. దగ్గరగా ప్యాక్ చేయబడిన స్ఫటికాలు. ఇతను లోహ పదార్థాల (టెన్సైల్, క్రీప్, ఫెటీగ్, ఫ్రాక్చర్ లక్షణాలు), అధిక ఉష్ణోగ్రత యాంత్రిక ప్రవర్తనను ఆశ్రయించాడు, వీటిలో కొన్ని దేశంలో మొదటిసారిగా చేపట్టబడ్డాయి. ఇతను హైదరాబాద్ డిఫెన్స్ లేబొరేటరీలో పనిచేసిన సమయంలో పరిశోధన-ఆధారిత అల్లాయ్ డెవలప్మెంట్లో నిమగ్నమయ్యాడు. ఈ ప్రయత్నాలలో గుర్తించదగినది అల్ట్రాహై స్ట్రెంగ్త్ హై ఫ్రాక్చర్ టఫ్నెస్ తక్కువ అల్లాయ్ స్టీల్ను అభివృద్ధి చేయడం. మెగ్నీషియం, యాంత్రిక లక్షణాలు, దాని వేడి పని సామర్థ్యంపై ద్రావణాల ప్రభావాలను అర్థం చేసుకోవడం అతని ప్రస్తుత పరిశోధన ఆసక్తి. ఒక ప్రధాన ఇటీవలి పరిశోధన కార్యక్రమం సింగిల్ ఫేజ్లో ఫ్రాక్చర్ దృఢత్వం, పలుచన మిశ్రమాలలో ప్రాథమిక సమస్యను పరిష్కరించింది. దాదాపు 160 జర్నల్ పేపర్లు, 30 ఎడిట్ చేసిన సంపుటాలు, కాన్ఫరెన్స్ ప్రొసీడింగ్స్లో 50కి పైగా ప్రచురణలు ఆయన ఖాతాలో ఉన్నాయి. ''' ఇతర రచనలు '''భారీ అల్లాయ్ పెనెట్రేటర్ ప్లాంట్, తిరుచిరాపల్లి, స్వదేశీ R&D, ఇంటర్నేషనల్ అడ్వాన్స్డ్ రీసెర్చ్ సెంటర్ ఫర్ పౌడర్ మెటలర్జీ & న్యూ మెటీరియల్స్ ఆధారంగా భారతదేశంలో వచ్చిన మొట్టమొదటి పూర్తి స్థాయి ఆయుధ కర్మాగారం ఏర్పాటుకు రామారావు సహకరించారు., హైదరాబాద్, నాన్-ఫెర్రస్ మెటీరియల్స్ టెక్నాలజీ డెవలప్మెంట్ సెంటర్, హైదరాబాద్, నేషనల్ ఇన్స్టిట్యూట్ ఆఫ్ ఓషన్ టెక్నాలజీ, చెన్నై, సేఫ్టీ రీసెర్చ్ ఇన్స్టిట్యూట్, కల్పక్కం, DST, టెక్నాలజీ డెవలప్మెంట్ బోర్డ్. ఇతను ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ మెటల్స్, బులెటిన్ ఆఫ్ మెటీరియల్స్ సైన్స్, లావాదేవీలకు సంపాదకుడు, మెటీరియల్స్ సైన్స్ అండ్ ఇంజనీరింగ్ (అంతర్జాతీయ పత్రిక), ఇంటర్నేషనల్ జర్నల్ ఆఫ్ ఫెటీగ్, ఇంటర్నేషనల్ జర్నల్ ఆఫ్ ప్రెజర్ వెసెల్స్ అండ్ పైపింగ్ ఎడిటోరియల్ బోర్డులలో పనిచేశాడు. "
2756,Palligarnai Thirumalai Venugopal,,
2757,Pallonji Mistry,,
2758,Palpu Pushpangadan,,
2759,Pamela Cullen,,
2760,Pammal Sambandha Mudaliar,,
2761,Panangipalli Venugopal,,
2762,Panavelil Thomas Chandi,,
2763,Panchapakesa Jayaraman,,
2764,Pancheti Koteswaram,,
2765,Pandit Jasraj,,
2766,Pandit Surinder Singh,,
2767,Pandurang Dharmaji Jadhav,,
2768,Pandurang Rajaram Ghogrey,,
2769,Pandurang Shastri Athavale,,
2770,Pandurang Vasudeo Gadgil,,
2771,Pandurang Vasudeo Sukhatme,,
2772,Pandyala Satyanarayana Rau,,
2773,Pankaj Advani,,
2774,Pankaj Arjan Advani,,
2775,Pankaj Charan Das,,
2776,Pankaj M Shah,,
2777,Pankaj Mullick,,
2778,Pankaj Roy,,
2779,Pankaj Udhas,,
2780,Pannuru Sripathy,,
2781,Papanasam Sivan,,
2782,Paramananda Acharya,,
2783,Parameswaran Kuttapp Panikkar,,
2784,Paramsukh J. Pandya,,
2785,Parasaran Kesava Iyengar,,
2786,Parassala B. Ponnammal,,
2787,Parasu Ram Mishra,,
2788,Paresh Maity,,
2789,Paresh Rawal,,
2790,Pargat Singh,,
2791,Parixitalal Lallu Bhai Majumdar,,
2792,Parkash Singh Badal,,
2793,Parmeshwari Lal Verma,,
2794,Parshuram Atmaram Gangavane,,
2795,Parshuram Mishra,,
2796,Parveen Sultana,,
2797,Parveen Talha,,
2798,Patricia Mukhim,,
2799,Paul Pothen,,
2800,Paul Ratnasamy,,
2801,Pavaguda V. Indiresan,,
2802,Pavani Parameswara Rao,,
2803,Pawan Raj Goyal,,
2804,Penaz Masani,,
2805,Penimangalore Appraya Bhatt,,
2806,Pepita Seth,,
2807,Perakath Verghese Benjamin,,
2808,Perin Captain,,
2809,Periyasaamy Thooran,,
2810,Perugu Siva Reddy,,
2811,Peruvanam Kuttan Marar,,
2812,Pessie Madan,,
2813,Peter Brook,,
2814,Phanishwar Nath Renu,,
2815,Philip Augustine,,
2816,Philipose Mar Chrysostom,,
2817,Phillips Talbot,,
2818,Phool Chand Chowdhary,,
2819,Phoolbasan Bai Yadav,,
2820,Phu Dorjee,,
2821,Phu Dorjee Sherpa,,
2822,Phul Chand,,
2823,Phulrenu Guha,,
2824,Pichu Sambamoorthi,,
2825,Pilloo Maneck Maneckiji,,
2826,Piloo Nowshir Jungalwalla,,
2827,Pisharoth Rama Pisharoty,,
2828,Pitambar Pant,,
2829,Piyong Temjen Jamir,,
2830,Piyush Pandey,,
2831,Polly Umrigar,,
2832,Ponisseril Somasundaran,,
2833,Poola Tirupati Raju,,
2834,Poornima Arvind Pakvasa,,
2835,Popatrao Baguji Pawar,,
2836,Pothan Joseph,,
2837,Prabha Atre,,
2838,Prabhakar Bhikaji Chitnis,,
2839,Prabhakar Vaidya,,
2840,Prabhashankar Oghadbhai Sompura,,
2841,Prabhashankar Ramachandra Bhatt,,
2842,Prabhat Kumar Mukhopadhyaya,,
2843,Prabhu Chawla,,
2844,Prabhu Dayal Dabriwala,,
2845,Prabhu Dayal Nigam,,
2846,Prabhu Deva,,
2847,Prabhu Lal Bhatnagar,,
2848,Prabjot Kaur,,
2849,Pradeep Chowbey,,
2850,Pradeep Kumar Banerjee,,
2851,Pradeep Kumar Dave,,
2852,Pradhan Shambu Saran,,
2853,Pradip Kumar Banerjee,,
2854,Pradip Ranjan Roy,,
2855,Prafulla Baruah,,
2856,Prafulla Desai,,
2857,Prafulla Kar,,
2858,Prafulla Kumar Jena,,
2859,Prafulla Kumar Sen,,
2860,Prahlad Chandra Tasa,,
2861,Prahlad Kumar Sethi,,
2862,Prahlad Tipanya,,
2863,Prahlada,,
2864,Prakash Amte,,
2865,Prakash Chand Surana,,
2866,Prakash Chandra,,
2867,Prakash N. Dubey,,
2868,Prakash Nanalal Kothari,,
2869,Prakash Narain Tandon,,
2870,Prakash Padukone,,
2871,Prakash Singh,,
2872,Pramathanath Bishi,,
2873,Pramod Kale,,
2874,Pramod Kumar Julka,,
2875,Pramod Tandon,,
2876,Pran,,
2877,Pran Kishore Kaul,,
2878,Pran Kumar Sharma,,
2879,Pran Nath Chhutani,,
2880,Pran Nath Luthra,,
2881,Prana Krushna Parija,,
2882,Pranab K. Sen,,
2883,Pranab Mukherjee,,
2884,Pranab Rehatriranjan Dastidar,,
2885,Prasad Sawkar,,
2886,Prasanta Chandra Mahalanobis,,
2887,Prasanta Kumar Pattanaik,,
2888,Prashanti Singh,,
