,Recipients,political career,political career Telugu
2292,Meenakshi Jain,,
2293,Meenakshi Sargogi,,
2294,Meera Mukherjee,,
2295,Meetha Lal Mehta,,
2296,Meghnad Desai,"Desai has been active in the British Labour Party, becoming chairman between 1986 and 1992, and was made Honorary Lifetime and President of Islington South and Finsbury Constituency Labour Party in London. He was created a life peer as Baron Desai, of St Clement Danes in the City of Westminster, on 5 June 1991. He was a member of Labour Friends of Israel. Desai quit his Labour Party membership of 49 years over antisemitism concerns in November 2020, following the readmission of former Party Leader Jeremy Corbyn as a member.","దేశాయ్ బ్రిటీష్ లేబర్ పార్టీలో చురుకుగా ఉన్నారు, 1986, 1992 మధ్య చైర్మన్ అయ్యారు, గౌరవ జీవితకాలం, లండన్లోని ఇస్లింగ్టన్ సౌత్, ఫిన్స్బరీ నియోజకవర్గ లేబర్ పార్టీ అధ్యక్షుడిగా చేశారు. ఇతను 5 జూన్ 1991న వెస్ట్మినిస్టర్ నగరంలోని సెయింట్ క్లెమెంట్ డేన్స్కు చెందిన బారన్ దేశాయ్గా జీవిత సహచరుడిగా సృష్టించబడ్డాడు. ఇతను లేబర్ ఫ్రెండ్స్ ఆఫ్ ఇజ్రాయెల్ సభ్యుడు. 2020 నవంబర్లో, పార్టీ మాజీ నాయకుడు జెరెమీ కార్బిన్ను సభ్యునిగా చేర్చుకున్న తర్వాత, దేశాయ్ తన 49 సంవత్సరాల లేబర్ పార్టీ సభ్యత్వాన్ని నవంబర్ 2020లో విడిచిపెట్టారు. "
2297,Mehboob Khan,,
2298,Mehdi Nawaz Jung,,
2299,Meher Jehangir Banaji,,
2300,Mehmood Dhaulpuri,,
2301,Mehmood-ur Rehman,,
2302,Mehmooda Ali Shah,,
2303,Mehrunnisa Parvez,,
2304,Melhupra Vero,,
2305,Melinda Gates,,
2306,Melville de Mellow,,
2307,Mian Bashir Ahmed,"While on a pilgrimage to his ancestral (Sufi) saint's mausoleum in Hazara, Pakistan during the period of General Zia-ul-Haq, he was followed by a large group of people, Pakistani officials. In the wake of his influence in world, high security protocol was given and the Pakistani army was deployed. He was not allowed to go to his mausoleum due to security concerns and this was his reason for quitting politics.
He had been elected four times to the State Legislative Assembly of Jammu and Kashmir. He was closely associated with Sheikh Mohammad Abdullah, Mir Qasim and Bakshi Ghulam Mohammad, he was a minister in their cabinets. He had been closely associated with various top leaders in India including Mrs. Indira Gandhi, Rajiv Gandhi, Sheikh Mohammad Abdullah and Bakshi Ghulam Mohammad.
Mian Bashir Ahmed represented Kashmir issue in the United Nations to argue for peace. He had headed many delegations to international forums.","జనరల్ జియా-ఉల్-హక్ కాలంలో పాకిస్తాన్లోని హజారాలోని అతని పూర్వీకుల (సూఫీ) సన్యాసి సమాధికి తీర్థయాత్ర చేస్తున్నప్పుడు, అతనిని పెద్ద సమూహం ప్రజలు, పాకిస్తాన్ అధికారులు అనుసరించారు. ప్రపంచంలో అతని ప్రభావం ఉన్న నేపథ్యంలో, హై సెక్యూరిటీ ప్రోటోకాల్ ఇవ్వబడింది, పాకిస్తాన్ సైన్యం మోహరించింది. భద్రతా కారణాల దృష్ట్యా ఆయన సమాధి వద్దకు వెళ్లేందుకు అనుమతించలేదు, రాజకీయాల నుంచి తప్పుకోవడానికి ఇదే కారణం. జమ్మూ కాశ్మీర్ రాష్ట్ర శాసనసభకు నాలుగు సార్లు ఎన్నికయ్యారు. ఇతను షేక్ మొహమ్మద్ అబ్దుల్లా, మీర్ ఖాసిం, బక్షి గులాం మొహమ్మద్లతో సన్నిహితంగా ఉన్నాడు, ఇతను వారి మంత్రివర్గంలో మంత్రిగా ఉన్నాడు. ఇతను శ్రీమతి సహా భారతదేశంలోని వివిధ అగ్ర నాయకులతో సన్నిహితంగా ఉండేవాడు. Indira Gandhi, Rajiv Gandhi, Sheikh Mohammad Abdullah and Bakshi Ghulam Mohammad. మియాన్ బషీర్ అహ్మద్ శాంతి కోసం వాదించడానికి ఐక్యరాజ్యసమితిలో కాశ్మీర్ సమస్యకు ప్రాతినిధ్యం వహించాడు. ఇతను అంతర్జాతీయ ఫోరమ్లకు అనేక ప్రతినిధి బృందాలకు నాయకత్వం వహించాడు. "
2308,Michael Ferreira,,
2309,Michael Postel,,
2310,Michel Danino,,
2311,Mihir Sen,,
2312,Milena Salvini,,
2313,Milind Kamble,,
2314,Milind Vasant Kirtane,,
2315,Milkha Singh,,
2316,Milon K. Banerji,,
2317,Minati Mishra,,
2318,Minoo Merwan Engineer,,
2319,Minoru Hara,,
2320,Mira Behn,,
2321,Mira Nair,,
2322,Mira Salganik,,
2323,Mirnamayee Ray,,
2324,Mirza Hameedullah Beg,,
2325,Mithali Raj,,
2326,Mithan Jamshed Lam,,
2327,Mithu Alur,,
2328,Mithuben Petit,,
2329,Mitrabhanu Gountia,,
2330,Mitraniketan Viswanathan,,
2331,Mogubai Kurdikar,,
2332,Mohamed Zainuddin Juvale,,
2333,Mohammad Ahmed Zaki,,
2334,Mohammad Ali Baig,,
2335,Mohammad Amin,,
2336,Mohammad Azharuddin,Azharuddin formally joined the Indian National Congress party on 19 February 2009. He won the 2009 Indian general election from Moradabad in Uttar Pradesh to become Member of Parliament of India. Mohammed Azaharuddin had disclosed his intention to contest the 2019 elections from Secunderabad Parliamentary constituency in 2019.He is currently holding the position of Working President of Telangana Pradesh Congress Committee.,అజారుద్దీన్ అధికారికంగా 19 ఫిబ్రవరి 2009న భారత జాతీయ కాంగ్రెస్ పార్టీలో చేరారు. ఇతను 2009 భారత సార్వత్రిక ఎన్నికలలో ఉత్తర ప్రదేశ్లోని మొరాదాబాద్ నుండి భారత పార్లమెంటు సభ్యునిగా గెలిచాడు. 2019 ఎన్నికల్లో సికింద్రాబాద్ పార్లమెంట్ నియోజకవర్గం నుంచి 2019లో పోటీ చేస్తానని మహమ్మద్ అజహరుద్దీన్ వెల్లడించారు. ప్రస్తుతం ఆయన తెలంగాణ ప్రదేశ్ కాంగ్రెస్ కమిటీ వర్కింగ్ ప్రెసిడెంట్గా కొనసాగుతున్నారు. 
2337,Mohammad Hamid Ansari,,
2338,Mohammad Izhar Alam,,
2339,Mohammad Khalilullah,,
2340,Mohammad Mujeeb,,
2341,Mohammad Shafi,,
2342,Mohammad Shahid,,
2343,Mohammad Sharaf-e-Alam,,
2344,Mohammad Swaleh Ansari,,
2345,Mohammad Yousuf Taing,,
2346,Mohammad Yunus,,
2347,Mohammed Abdul Waheed,,
2348,Mohammed Din Jagir,,
2349,Mohammed Hanif Khan Shastri,,
2350,Mohammed Rafi,,
2351,Mohammed Sharif,,
2352,Mohammed Tayab Khan,,
2353,Mohammed Zahur Khayyam,,
2354,Mohan Agashe,,
2355,Mohan Babu,,
2356,Mohan Dharia,,
2357,Mohan Kameswaran,,
2358,Mohan Lal,,
2359,Mohan Mishra,,
2360,Mohan Naik,,
2361,Mohan Ranade,,
2362,Mohan Reddy Venkatrama Bodanapu,,
2363,Mohan Singh,,
2364,Mohan Singh Gunjyal,,
2365,Mohan Singh Kohli,,
2366,Mohan Singh Oberoi,,
2367,Mohan Sinha Mehta,,
2368,Mohan Swaroop Bhatia,,
2369,Mohanlal,,
2370,Mohanlal Chaturbhuj Kumhar,,
2371,Mohanlal Lallubhai Dantwala,,
2372,Mohanmullji Chordia,,
2373,Mohd. Abdul Hai,,
2374,Mohd. Fayazuddin Nizami,,
2375,Mohd. Hayath,,
2376,Mohd. Shafi Khan Bekal Utsahi,,
2377,Mohinder Singh Randhawa,,
2378,Mohmmed Khalilullah,,
2379,Mohsin Wali,,
2380,Moinuddin Khan,,
2381,Mona Chandravati Gupta,,
2382,Monindra Nath Chakravarti,,
2383,Montek Singh Ahluwalia,,
2384,Mool Chand Maheshwari,,
2385,Moosa Raza,,
2386,Moozhikkal Pankajakshi,,
2387,Moozhikkulam Kochukuttan Chakyar,,
2388,Moreshwar Mangesh Wagle,,
2389,Morup Namgyal,,
2390,Mother Teresa,,
2391,Moti Chandra,,
2392,Moti Lal Dhar,,
2393,Moti Lal Kemmu,,
2394,Moti Lal Saqi,,
2395,Motilal Jotwani,,
2396,Moturi Satyanarayana,,
2397,Mrinal Datta Chaudhuri,,
2398,Mrinal Miri,,
2399,Mrinal Pande,,
2400,Mrinal Sen,,
2401,Mrinalini Sarabhai,,
2402,Mritanjaya Vaidyanathan,,
2403,Mrityunjay Athreya,,
2404,Ms. Bijoya Chakravarty,,
2405,Ms. Birubala Rabha,,
2406,Ms. Chutni Devi,,
2407,Ms. Dulari Devi,,
2408,Ms. Jaswantiben Jamnadas Popat,,
2409,Ms. Lajwanti,,
2410,Ms. Mouma Das,,
2411,Ms. Mridula Sinha,,
2412,Ms. Niru Kumar,,
2413,Ms. Pappammal,,
2414,Ms. Prakash Kaur,,
2415,Ms. Purnamasi Jani,,
2416,Ms. Radhe Devi,,
2417,Ms. Sangkhumi Bualchhuak,,
2418,Ms. Shanti Devi,,
2419,Ms. Sindhutai Sapkal,,
2420,Ms. Sudha Hari Narayan Singh,,
2421,Ms. Usha Yadav,,
2422,Mudundi Ramakrishna Raju,,
2423,Mujtaba Hussain,,
2424,Mukesh Batra,,
2425,Mukesh Kumar,,
2426,Muktaben Pankajkumar Dagli,,
2427,Mukti Prasad Gogoi,,
2428,Mukul Chandra Goswami,,
2429,Mukund Lath,,
2430,Mukund Nayak,,
2431,Mukut Dhar Pandeya,,
2432,Mukut Minz,,
2433,Mulk Raj Anand,,
2434,Mulk Raj Chopra,,
2435,Mulk Raj Saraf,,
2436,Mungtu Ram Jaipuria,,
2437,Muni Inder Dev Sharma,,
2438,Munirathna Anandakrishnan,,
2439,Munna Master,,
2440,Murli Manohar Joshi,,
2441,Murlikant Petkar,,
2442,Murugappa Channaveerappa Modi,,
2443,Musafir Ram Bhardwaj,,
2444,Mushirul Hasan,,
2445,Mushtaq Ahmed,,
2446,Mushtaq Ali,,
2447,Mushtaq Hussain Khan,,
2448,Musiri Subramania Iyer,,
2449,Mustansir Barma,,
2450,Muthu Krishna Mani,,
2451,Muthu Muthiah Sthapathi,,
2452,Muthulakshmi Reddi,,
2453,Muzaffar Ali,,
2454,Muzaffar Hussain Baig,,
2455,Muzaffer Hussain,,
2456,Mylai Ponnuswamy Sivagnanam,,
2457,Mylswamy Annadurai,,
2458,Myneni Hariprasada Rao,,
2459,Mysore Narasimhachar Srinivas,,
2460,Mysore Shrikanta Pandit Nilkanta Rao,,
2461,N. Balakrishna Reddy,,
2462,N. Balakrishnan Nair,,
2463,N. Chandrasekharan Nair,,
2464,N. D. Sundaravadivelu,,
2465,N. G. Krishna Murti,,
2466,N. G. Ranga,"In 1951, in a closely contested election of president of the Andhra Pradesh Congress Committee, Ranga was defeated by Neelam Sanjiva Reddy. Due to ideological differences, Ranga along with Tanguturi Prakasam, resigned from Congress and organised Hyderabad State Praja Party, which was further split into Krishikar Lok Party (KLP) for peasants under the leadership of Ranga as the president. KLP contested the 1951 Lok Sabha elections, winning one seat. KLP also contested the 1952 Madras Legislative Assembly election and won 15 seats. In the 1955 Andhra State Legislative Assembly election, Congress, Praja Party and KLP formed an alliance and KLP won 22 seats. After the election, on the request of Nehru, he merged KLP in Congress party. He was elected in the 1957 general election from Tenali Lok Sabha constituency as a congressional candidate.


''' Swatantra Party '''
Ranga’s differences with Nehru were visible from the beginning. As part of the Kumarappa Committee on land reforms, he didn’t support land ceiling measures. Ranga was also opposed to the whole socialist apparatus of the Five-Year Plans and Planning Commission","1951లో ఆంధ్ర ప్రదేశ్ కాంగ్రెస్ కమిటీ అధ్యక్షునిగా జరిగిన ఎన్నికలలో రంగా నీలం సంజీవ రెడ్డి చేతిలో ఓడిపోయారు. సైద్ధాంతిక విభేదాల కారణంగా, రంగా, టంగుటూరి ప్రకాశంతో కలిసి, కాంగ్రెస్కు రాజీనామా చేసి, హైదరాబాద్ స్టేట్ ప్రజాపార్టీని స్థాపించారు, అది రంగా అధ్యక్షుడిగా రైతుల కోసం కృషికార్ లోక్ పార్టీ (కెఎల్పి)గా విభజించబడింది. KLP 1951 లోక్సభ ఎన్నికల్లో పోటీ చేసి ఒక స్థానంలో గెలిచింది. KLP కూడా 1952 మద్రాసు శాసనసభ ఎన్నికలలో పోటీ చేసి 15 సీట్లు గెలుచుకుంది. 1955 ఆంధ్ర రాష్ట్ర శాసనసభ ఎన్నికలలో కాంగ్రెస్, ప్రజా పార్టీ, KLP కూటమిగా ఏర్పడి KLP 22 స్థానాలను గెలుచుకుంది. ఎన్నికల అనంతరం నెహ్రూ అభ్యర్థన మేరకు కేఎల్పీని కాంగ్రెస్లో విలీనం చేశారు. 1957 సాధారణ ఎన్నికల్లో తెనాలి లోక్సభ నియోజకవర్గం నుంచి కాంగ్రెస్ అభ్యర్థిగా ఎన్నికయ్యారు. '''స్వతంత్ర పార్టీ '''నెహ్రూతో రంగా విభేదాలు మొదటి నుంచి కనిపిస్తున్నాయి. భూ సంస్కరణలపై కుమారప్ప కమిటీలో భాగంగా, ఇతను ల్యాండ్ సీలింగ్ చర్యలకు మద్దతు ఇవ్వలేదు. పంచవర్ష ప్రణాళికలు, ప్రణాళికా సంఘం, మొత్తం సోషలిస్టు యంత్రాంగాన్ని కూడా రంగా వ్యతిరేకించారు. "
2467,N. Gopalaswami,,
2468,N. H. Antia,,
2469,N. H. Wadia,,
2470,N. Kesava Panikkar,,
2471,N. Khelchandra Singh,,
2472,N. M. Wagle,,
2473,N. Mahalingam,,
2474,N. Prabhakar,,
2475,N. R. Madhava Menon,,
2476,N. R. Malkani,,
2477,N. R. Narayana Murthy,,
2478,N. Rajam,,
2479,N. Ram,,
2480,N. Ramaswami Ayyar,,
2481,N. S. Bendre,,
2482,N. S. Rajhans (Bal Gandharva),,
2483,N. S. Ramanuja Tatacharya,,
2484,N. S. Ramaswamy,,
2485,N. S. Venkatesan,,
2486,N. T. Rama Rao,"Naadendla Bhaskara Rao,a veteran politician joined Telugu Desam Party (TDP) founded by Rama Rao, on 29 March 1982 in Hyderabad. He said that this decision was based on a historic need to rid Andhra Pradesh of the corrupt and inept rule of the Indian National Congress, which had governed the state since its formation in 1956 and whose leadership had changed the Chief Minister five times in five years.


''' First term as Chief Minister, 1983 '''

In the elections, the TDP allied with the Sanjaya Vichara Manch party and decided to field educated candidates who had a good name in the society and were not indulging in corruption, which was an innovative political concept at the time. Rao himself decided to contest from two assembly constituencies, Gudivada and Tirupati. He used many innovative ways of campaigning, such as being the first politician in India to use rath yatras for campaigning. However, it was MGR who had started the open top van campaigning for elections, as it was felt that he can address the roadshows as an alternative to the mammoth meetings, which involves large amount of money as well as manpower. For this, he used a modified Chevrolet van which was given the name of Chaitanya Ratham. In this, Rao travelled across the state of Andhra Pradesh, crisscrossing all the districts. With his son Nandamuri Harikrishna, also a film actor, driving the van, Rao notched up over 75,000 kilometres during his campaign, a distinctive sight with the van's yellow party flags and banners and Rao sitting on top of the vehicle hailing the crowds. He campaigned for restoring the dignity of the Telugu people and advocated forming a closer bond between the government and the common people, going into the elections with the slogan, Telugu Vari Atma Gauravam (lit","ప్రముఖ రాజకీయ నాయకుడు నాదెండ్ల భాస్కరరావు 1982 మార్చి 29న హైదరాబాద్లో రామారావు స్థాపించిన తెలుగుదేశం పార్టీ (టీడీపీ)లో చేరారు. 1956లో ఏర్పాటైన నాటి నుంచి రాష్ట్రాన్ని పరిపాలించిన, ఐదేళ్లలో ఐదుసార్లు ముఖ్యమంత్రిని మార్చిన నాయకత్వంలోని భారత జాతీయ కాంగ్రెస్ అవినీతి, చేతకాని పాలన నుంచి ఆంధ్రప్రదేశ్ను విముక్తి చేయాలన్న చారిత్రక అవసరంపై ఈ నిర్ణయం తీసుకున్నట్లు తెలిపారు. '''మొదటిసారి ముఖ్యమంత్రిగా, 1983 '''ఎన్నికల్లో టీడీపీ సంజయ విచార మంచ్ పార్టీతో పొత్తు పెట్టుకుని, అవినీతికి పాల్పడని, సమాజంలో మంచి పేరు తెచ్చుకున్న విద్యావంతులైన అభ్యర్థులను బరిలోకి దింపాలని నిర్ణయించింది. ఆ సమయంలో వినూత్న రాజకీయ భావన. గుడివాడ, తిరుపతి అసెంబ్లీ నియోజకవర్గాల నుంచి పోటీ చేయాలని రావు స్వయంగా నిర్ణయించుకున్నారు. ప్రచారం కోసం రథయాత్రలను ఉపయోగించిన భారతదేశంలో మొట్టమొదటి రాజకీయ నాయకుడు వంటి అనేక వినూత్నమైన ప్రచార మార్గాలను ఇతను ఉపయోగించాడు. అయితే, పెద్ద మొత్తంలో డబ్బుతో పాటు అంగబలం ఉండే మహాసభలకు ప్రత్యామ్నాయంగా రోడ్షోలలో ప్రసంగించవచ్చని భావించిన ఎంజీఆర్ ఎన్నికల ప్రచారానికి ఓపెన్ టాప్ వ్యాన్ను ప్రారంభించారు. దీని కోసం, ఇతను చైతన్య రథం పేరుతో సవరించిన చెవర్లే వ్యాన్ను ఉపయోగించాడు. ఇందులో రావు ఆంధ్ర ప్రదేశ్ రాష్ట్రమంతటా పర్యటించి, అన్ని జిల్లాలను దాటారు. తన కుమారుడు నందమూరి హరికృష్ణ, సినీ నటుడు, వ్యాన్ను నడుపుతూ, రావు తన ప్రచార సమయంలో 75, 000 కిలోమీటర్లకు పైగా ప్రయాణించారు, వ్యాన్లో పసుపు పార్టీ జెండాలు, బ్యానర్లు, రావు వాహనంపై కూర్చొని జనాలను అభినందిస్తూ విలక్షణమైన దృశ్యం. తెలుగు వారి ఆత్మ గౌరవం (వెలిగే) నినాదంతో ఎన్నికలకు వెళ్లడంతోపాటు ప్రభుత్వం, సామాన్య ప్రజల మధ్య సన్నిహిత బంధాన్ని ఏర్పరచాలని, తెలుగు ప్రజల గౌరవాన్ని పునరుద్ధరించాలని ప్రచారం చేశారు. "
2487,N. Vittal,,
2488,Na. Muthuswamy,,
2489,Nabakanta Barua,,
2490,Nabaneeta Dev Sen,,
2491,Nadarajan Raj Chetty,,
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,,
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,,
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,,
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
2520,Nand Kishore Verma,,
2521,Nand Kumar Avasthi,,
2522,Nanda Prusty,,
2523,Nandalal Bose,,
2524,Nandan Nilekani,,
2525,Nandkishore Shamrao Laud,,
2526,Nandlal Lachmilal Bordia,,
2527,Nani Chandra Bordoloi,,
2528,Naoroji Pirojsha Godrej,,
2529,Narain Karthikeyan,,
2530,Narain Singh Thapa,,
2531,Narasimhiah Seshagiri,,
2532,Narasinh Narayan Godbole,,
2533,Narayan Chaturvedi,,
2534,Narayan Das Maharaj,,
2535,Narayan Debnath,,
2536,Narayan Gangaram Surve,,
2537,Narayan Joshi Karayal,,
2538,Narayan Sadoba Kajrolkar,,
2539,Narayan Singh,,
2540,Narayan Singh Bhati Zipashni,,
2541,Narayan Singh Manaklao,,
2542,Narayan Sitaram Phadke,,
2543,Narayan Subarao Hardikar,,
2544,Narayan Swami Dharmarajan,,
2545,Narayana Panicker Kochupillai,,
2546,Narayana Purushothama Mallaya,,
2547,Narayana Raghvan Pillai,,
2548,Narayanan Srinivasan,,
2549,Narayanan Vaghul,,
2550,Narayanaswamy Balakrishnan,,
2551,Narendra Dabholkar,,
2552,Narendra Kohli,,
2553,Narendra Kumar (mountaineer),,
2554,Narendra Kumar (physicist),,
2555,Narendra Kumar Pandey,,
2556,Narendra Nath Bery,,
2557,Narendra Prasad,,
2558,Narendra Singh,,
2559,Narendra Singh Dev,,
2560,Narendra Singh Jain,,
2561,Naresh Bedi,,
2562,Naresh Chander Lal,,
2563,Naresh Chandra,,
2564,Naresh Kanodia,,
2565,Naresh Kumar Trehan,,
2566,Naresh Sohal,,
2567,Naresh Trehan,,
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,,
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,,
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,,
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,"He was later sent as an emissary of the Nizam to negotiate terms of the merger of Hyderabad State with India.
He was granted the title of Nawab by the Nizam of Hyderabad. He received Padma Bhushan in 1956.","హైదరాబాద్ స్టేట్ను భారతదేశంలో విలీనానికి సంబంధించిన నిబంధనలను చర్చించడానికి ఇతను తరువాత నిజాం, దూతగా పంపబడ్డాడు. హైదరాబాద్ నిజాం ఆయనకు నవాబ్ బిరుదును అందించారు. 1956లో పద్మభూషణ్ అందుకున్నారు. "
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,,
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,,
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,,
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,,
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,,
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,,
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
2658,Noboru Karashima,,
2659,Nokdenlemba,,
2660,Nomita Chandy,,
2661,Nookala Chinna Satyanarayana,,
2662,Norden Tshering,,
2663,Norma Alvares,,
2664,Norman Borlaug,,
2665,Noshir M. Shroff,,
2666,Nouf Marwaai,,
2667,Nripendra Misra,,
2668,Nuchhungi Renthlei,,
2669,Nuruddin Ahmed,,
2670,Nutan,,
2671,Nuthakki Bhanu Prasad,,
2672,O. N. V. Kurup,,
2673,O. P. Bahl,,
2674,O. P. Jain,,
2675,O. V. Vijayan,,
2676,Obaid Siddiqi,,
2677,Oinam Bembem Devi,,
2678,Om Agarwal,,
2679,Om P. Bahl,,
2680,Om Prakash Agrawal,,
2681,Om Prakash Mathur,,
2682,Om Prakash Mehra,,
2683,Om Prakash Mittal,,
2684,Om Prakash Upadhyaya,,
2685,Om Puri,,
2686,Omeo Kumar Das,,
2687,Omesh Kumar Bharti,,
2688,Omkarnath Thakur,,
2689,Onkar Nath Srivastava,,
2690,Onkar Srinivasa Murthy,,
2691,Osamu Suzuki,,
2692,Oudh Narayan Shrivastava,,
2693,P Subramanian,,
2694,P Tiruvillvamalai Seshan M. Iyer,,
2695,P. A. Sangma,,
2696,P. Anitha,,
2697,P. Ardeshir Narielwala,,
2698,P. B. Buckshey,,
2699,P. Balacharya Gajendragadkar,,
2700,P. Bhanumathi,,
2701,P. C. Sorcar,,
2702,P. Chandrasekhara Rao,,
2703,P. Gopinathan,,
2704,P. Gopinathan Nair,,
2705,P. K. Banerjee,,
2706,P. K. Gopal,,
2707,P. K. Narayanan Nambiar,,
2708,P. K. Rajagopalan,,
2709,P. K. Sethi,,
2710,P. K. Warrier,,
2711,P. Kalathil Kunju Kurup,,
2712,P. Kilemsungla,,
2713,P. Krishnagopala Iyengar,,
2714,P. Leela,,
2715,P. N. Bhagwati,,
2716,P. N. Bhaskaran Nair,,
2717,P. N. Dhar,,
2718,P. N. Pattabhirama Sastri,,
2719,P. N. V. Kurup,,
2720,P. Namperumalsamy,,
2721,P. Narasimhayya,,
2722,P. O. Dunn,,
2723,P. Parameswaran,,
2724,P. Prabhakar Kumaramangalam,,
2725,P. R. Dubhashi,,
2726,P. R. Krishna Kumar,,
2727,P. R. Shreejesh,,
2728,P. R. Thilagam,,
2729,P. Ramanathan Rajgopal,,
2730,P. S. Appu,,
2731,P. S. Bedi,,
2732,P. S. Chawngthu,,
2733,P. S. Narayanaswamy,,
2734,P. Susheela,,
2735,P. T. Narasimhachar,,
2736,P. T. Usha,,
2737,P. V. A. Mohandas,,
2738,P. V. R. Rao,,
2739,P. V. Rajaraman,,
2740,P. V. S. Rao,,
2741,P. V. Sindhu,,
2742,Pablo Bartholomew,,
2743,Padamanur Ananda Rau,,
2744,Padma Desai,,
2745,Padma Sachdev,,
2746,Padma Subrahmanyam,,
2747,Padmaja Naidu,"At the age of 21, she co-founded the  Indian National Congress in the Nizam ruled princely state of Hyderabad. She was jailed for taking part in the ""Quit India"" movement in 1942. After Independence, she was elected to the Indian Parliament in 1950. In 1956 she was appointed  the Governor of West Bengal. She was also associated with the Red Cross and was the chair of the Indian Red Cross from 1971 to 1972.","21 సంవత్సరాల వయస్సులో, ఈమె నిజాం పాలించిన హైదరాబాద్ రాచరిక రాష్ట్రంలో భారత జాతీయ కాంగ్రెస్ను సహ-స్థాపన చేసింది. 1942లో ""క్విట్ ఇండియా"" ఉద్యమంలో పాల్గొన్నందుకు ఈమె జైలు పాలైంది. స్వాతంత్ర్యం తరువాత, ఈమె 1950లో భారత పార్లమెంటుకు ఎన్నికయ్యారు. 1956లో ఈమె పశ్చిమ బెంగాల్ గవర్నర్గా నియమితులయ్యారు. ఈమె రెడ్క్రాస్తో కూడా అనుబంధం కలిగి ఉంది, 1971 నుండి 1972 వరకు ఇండియన్ రెడ్క్రాస్ అధ్యక్షురాలిగా ఉంది. "
2748,Padmaja Phenany Joglekar,,
