,Recipients,recognition,recognition Telugu
2401,Mrinalini Sarabhai,,
2402,Mritanjaya Vaidyanathan,,
2403,Mrityunjay Athreya,,
2404,Ms. Bijoya Chakravarty,,
2405,Ms. Birubala Rabha,,
2406,Ms. Chutni Devi,,
2407,Ms. Dulari Devi,,
2408,Ms. Jaswantiben Jamnadas Popat,,
2409,Ms. Lajwanti,,
2410,Ms. Mouma Das,,
2411,Ms. Mridula Sinha,,
2412,Ms. Niru Kumar,,
2413,Ms. Pappammal,,
2414,Ms. Prakash Kaur,,
2415,Ms. Purnamasi Jani,,
2416,Ms. Radhe Devi,,
2417,Ms. Sangkhumi Bualchhuak,,
2418,Ms. Shanti Devi,,
2419,Ms. Sindhutai Sapkal,,
2420,Ms. Sudha Hari Narayan Singh,,
2421,Ms. Usha Yadav,,
2422,Mudundi Ramakrishna Raju,,
2423,Mujtaba Hussain,,
2424,Mukesh Batra,,
2425,Mukesh Kumar,,
2426,Muktaben Pankajkumar Dagli,Dagli was awarded the Padma Shri in 2019 by the Government of India for her social work. She was awarded the Gandhi Mitra award in 2015.,డాగ్లీ తన సామాజిక సేవకు గానూ 2019లో భారత ప్రభుత్వం ఈమెకు పద్మశ్రీ పురస్కారం అందించింది. ఈమెకు 2015లో గాంధీ మిత్ర అవార్డు లభించింది. 
2427,Mukti Prasad Gogoi,,
2428,Mukul Chandra Goswami,,
2429,Mukund Lath,,
2430,Mukund Nayak,,
2431,Mukut Dhar Pandeya,,
2432,Mukut Minz,,
2433,Mulk Raj Anand,,
2434,Mulk Raj Chopra,,
2435,Mulk Raj Saraf,,
2436,Mungtu Ram Jaipuria,,
2437,Muni Inder Dev Sharma,,
2438,Munirathna Anandakrishnan,,
2439,Munna Master,,
2440,Murli Manohar Joshi,,
2441,Murlikant Petkar,,
2442,Murugappa Channaveerappa Modi,,
2443,Musafir Ram Bhardwaj,,
2444,Mushirul Hasan,,
2445,Mushtaq Ahmed,,
2446,Mushtaq Ali,,
2447,Mushtaq Hussain Khan,,
2448,Musiri Subramania Iyer,,
2449,Mustansir Barma,,
2450,Muthu Krishna Mani,,
2451,Muthu Muthiah Sthapathi,,
2452,Muthulakshmi Reddi,,
2453,Muzaffar Ali,,
2454,Muzaffar Hussain Baig,,
2455,Muzaffer Hussain,,
2456,Mylai Ponnuswamy Sivagnanam,,
2457,Mylswamy Annadurai,,
2458,Myneni Hariprasada Rao,,
2459,Mysore Narasimhachar Srinivas,"He received many honours from the University of Bombay, the Royal Anthropological Institute, and the Government of France; in 1977, he has received the Padma Bhushan from the President of India; and he was the honorary foreign member of two academies: the British Academy and the American Academy of Arts and Sciences. National Translation Mission of the Ministry of Human Resource Development of Government of India has selected his works, Social Change in Modern India and Caste in Modern India for translation into Indian languages. The latter one has already been published in Maithili language.","ఇతను బొంబాయి విశ్వవిద్యాలయం, రాయల్ ఆంత్రోపోలాజికల్ ఇన్స్టిట్యూట్, ఫ్రాన్స్ ప్రభుత్వం నుండి అనేక గౌరవాలను పొందాడు; 1977లో, ఇతను భారత రాష్ట్రపతి నుండి పద్మ భూషణ్ అందుకున్నాడు;, ఇతను రెండు అకాడమీలలో గౌరవ విదేశీ సభ్యుడు: బ్రిటిష్ అకాడమీ, అమెరికన్ అకాడమీ ఆఫ్ ఆర్ట్స్ అండ్ సైన్సెస్. భారత ప్రభుత్వ మానవ వనరుల అభివృద్ధి మంత్రిత్వ శాఖ, జాతీయ అనువాద మిషన్ భారతీయ భాషల్లోకి అనువాదం కోసం అతని రచనలు, ఆధునిక భారతదేశంలో సామాజిక మార్పు, ఆధునిక భారతదేశంలో కులం ఎంపిక చేసింది. రెండోది ఇప్పటికే మైథిలీ భాషలో ప్రచురించబడింది. "
2460,Mysore Shrikanta Pandit Nilkanta Rao,,
2461,N. Balakrishna Reddy,,
2462,N. Balakrishnan Nair,,
2463,N. Chandrasekharan Nair,,
2464,N. D. Sundaravadivelu,,
2465,N. G. Krishna Murti,,
2466,N. G. Ranga,,
2467,N. Gopalaswami,,
2468,N. H. Antia,,
2469,N. H. Wadia,,
2470,N. Kesava Panikkar,,
2471,N. Khelchandra Singh,,
2472,N. M. Wagle,,
2473,N. Mahalingam,,
2474,N. Prabhakar,,
2475,N. R. Madhava Menon,,
2476,N. R. Malkani,,
2477,N. R. Narayana Murthy,,
2478,N. Rajam,,
2479,N. Ram,,
2480,N. Ramaswami Ayyar,,
2481,N. S. Bendre,,
2482,N. S. Rajhans (Bal Gandharva),,
2483,N. S. Ramanuja Tatacharya,,
2484,N. S. Ramaswamy,,
2485,N. S. Venkatesan,,
2486,N. T. Rama Rao,,
2487,N. Vittal,,
2488,Na. Muthuswamy,,
2489,Nabakanta Barua,,
2490,Nabaneeta Dev Sen,"Dev Sen received many national and international awards and honours, including: Gouridevi Memorial Award, Mahadevi Verma Award (1992), Celli Award from Rockefeller Foundation (1993), Sarat Award from Bhagalpur University of Bihar (1994), Prasad Puraskar, Sahitya Akademi Award (1999). She has also received Rabindra Puraskar, Kabir Samman, Samskriti Award, Kamal Kumari National Award (2004), Mystic Kalinga Literary Award (2017), and the Big Little Book Award for children's literature in 2017, when the award focused on Bengali writing. She was awarded the Padma Shri (2000), the fourth highest civilian award by the Government of India.","గౌరీదేవి స్మారక అవార్డు, మహాదేవి వర్మ అవార్డు (1992), రాక్ఫెల్లర్ ఫౌండేషన్ నుండి సెల్లి అవార్డు (1993), భాగల్పూర్ యూనివర్సిటీ ఆఫ్ బీహార్ నుండి శరత్ అవార్డు (1994), ప్రసాద్ పురస్కారం, సాహిత్య అకాడమీ అవార్డు వంటి అనేక జాతీయ, అంతర్జాతీయ అవార్డులు, గౌరవాలను దేవ్ సేన్ అందుకున్నారు. (1999). ఈమె రవీంద్ర పురస్కారం, కబీర్ సమ్మాన్, సంస్కృతి అవార్డు, కమల్ కుమారి జాతీయ అవార్డు (2004), మిస్టిక్ కళింగ లిటరరీ అవార్డు (2017),, 2017లో పిల్లల సాహిత్యానికి బిగ్ లిటిల్ బుక్ అవార్డును కూడా అందుకుంది, ఈ అవార్డు బెంగాలీ రచనపై దృష్టి సారించింది. ఈమెకు భారత ప్రభుత్వంచే నాల్గవ అత్యున్నత పౌర పురస్కారం పద్మశ్రీ (2000) లభించింది. "
2491,Nadarajan Raj Chetty,"In 2008, The Economist and The New York Times listed Chetty as one of the top eight young economists in the world. Chetty is among the most cited young economists in the world. In 2010, he received the Young Labor Economist Award from the Institute for the Study of Labor for his paper ""Moral Hazard Versus Liquidity and Optimal Unemployment Insurance"" in the Journal of Political Economy.In 2012, he was one of 23 fellows to receive $500,000 over the following five years from the John D. and Catherine T. MacArthur Foundation as a recipient of one of the Foundation's Genius Grants.Chetty was the recipient of the 2013 John Bates Clark Medal, awarded by the American Economic Association to ""that American economist under the age of forty who is adjudged to have made a significant contribution to economic thought and knowledge.""Chetty was awarded the Padma Shri, an award for distinguished service in any field, by the Government of India in 2015.George Mason University economist Tyler Cowen described Chetty in 2017 as ""the single most influential economist in the world today.""Research by Chetty was covered by The New York Times, The Atlantic, Our World in Data, and Vox","2008లో, ది ఎకనామిస్ట్, ది న్యూయార్క్ టైమ్స్ చెట్టిని ప్రపంచంలోని మొదటి ఎనిమిది మంది యువ ఆర్థికవేత్తలలో ఒకరిగా పేర్కొన్నాయి. ప్రపంచంలో అత్యధికంగా ఉదహరించబడిన యువ ఆర్థికవేత్తలలో చెట్టి ఒకరు. 2010లో, ఇతను జర్నల్ ఆఫ్ పొలిటికల్ ఎకానమీలో తన పేపర్ ""మోరల్ హజార్డ్ వర్సెస్ లిక్విడిటీ అండ్ ఆప్టిమల్ అన్ ఎంప్లాయిమెంట్ ఇన్సూరెన్స్"" కోసం ఇన్స్టిట్యూట్ ఫర్ స్టడీ ఆఫ్ లేబర్ నుండి యంగ్ లేబర్ ఎకనామిస్ట్ అవార్డును అందుకున్నాడు. 2012లో, జాన్ D నుండి తరువాతి ఐదు సంవత్సరాలలో $500, 000 అందుకున్న 23 మంది సభ్యులలో ఇతను ఒకడు., కేథరీన్ టి. మాక్ఆర్థర్ ఫౌండేషన్ ఫౌండేషన్, జీనియస్ గ్రాంట్లలో ఒకదాని గ్రహీతగా. చెట్టి 2013 జాన్ బేట్స్ క్లార్క్ పతకాన్ని అమెరికన్ ఎకనామిక్ అసోసియేషన్ ప్రదానం చేసింది, ""నలభై సంవత్సరాల కంటే తక్కువ వయస్సు ఉన్న అమెరికన్ ఆర్థికవేత్త ఆర్థిక ఆలోచన, విజ్ఞానానికి గణనీయమైన కృషి చేసినట్లుగా గుర్తించబడింది. ""చెట్టికి 2015లో భారత ప్రభుత్వంచే ఏ రంగంలోనైనా విశిష్ట సేవలందించినందుకు పద్మశ్రీ అవార్డు లభించింది. జార్జ్ మాసన్ యూనివర్శిటీ ఆర్థికవేత్త టైలర్ కోవెన్ 2017లో చెట్టిని ""ప్రపంచంలో అత్యంత ప్రభావవంతమైన ఏకైక ఆర్థికవేత్తగా అభివర్ణించారు. ""చెట్టి చేసిన పరిశోధనలను న్యూయార్క్ టైమ్స్, ది అట్లాంటిక్, అవర్ వరల్డ్ ఇన్ డేటా, వోక్స్ కవర్ చేశాయి. "
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,,
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,,
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,"Palkhivala received a great deal of recognition from academics, academic institutions and the government.
In 1963, Palkhivala was offered a seat in the Supreme Court, but declined.
In 1968, he was offered the position of Attorney-General by Govinda Menon, then the Law Minister in the Congress Government. Palkhivala recounts in his book We the Nation: ""After a great deal of hesitation I agreed. When I was in Delhi I conveyed my acceptance to him, and he told me that the announcement would be made the next day. I was happy that the agonising hours of indecision were over. Sound sleep is one of the blessings I have always enjoyed. That night I went to bed and looked forward to my usual quota of deep slumber. But suddenly and inexplicably, I became wide awake at three o'clock in the morning with the clear conviction, floating like a hook through my consciousness, that my decision was erroneous and that I should reverse it before it was too late. Early in the morning I profusely apologised to the Law Minister for changing my mind","పాల్ఖివాలా విద్యావేత్తలు, విద్యాసంస్థలు, ప్రభుత్వం నుండి గొప్ప గుర్తింపు పొందారు. 1963లో, పాల్కివాలాకు సుప్రీంకోర్టులో సీటు ప్రతిపాదించబడింది, కానీ తిరస్కరించింది. 1968లో, అప్పటి కాంగ్రెస్ ప్రభుత్వంలో న్యాయ మంత్రిగా ఉన్న గోవింద మీనన్ ఆయనకు అటార్నీ జనరల్ పదవిని ఆఫర్ చేశారు. పాల్కివాలా తన పుస్తకం వి ది నేషన్లో ఇలా వివరించాడు: ""చాలా సంశయాల తర్వాత నేను అంగీకరించాను. నేను ఢిల్లీలో ఉన్నప్పుడు నా అంగీకారాన్ని ఆయనకు తెలియజేశాను, మరుసటి రోజు ప్రకటన చేస్తానని ఆయన నాకు చెప్పారు. అనిశ్చితి, బాధాకరమైన గంటలు ముగిసినందుకు నేను సంతోషించాను. నేను ఎప్పుడూ ఆనందించే ఆశీర్వాదాలలో సౌండ్ స్లీప్ ఒకటి. ఆ రాత్రి నేను మంచానికి వెళ్లి నా సాధారణ గాఢ నిద్ర కోసం ఎదురుచూశాను. కానీ అకస్మాత్తుగా, అస్పష్టంగా, నేను తెల్లవారుజామున మూడు గంటలకు మెలకువగా ఉన్నాను, నా స్పృహలో ఒక కొక్కెంలా తేలుతూ, నా నిర్ణయం తప్పు అని, చాలా ఆలస్యం కాకముందే నేను దానిని తిప్పికొట్టాలి. తెల్లవారుజామున నేను నా మనసు మార్చుకున్నందుకు న్యాయ మంత్రికి క్షమాపణలు చెప్పాను. "
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
2520,Nand Kishore Verma,,
2521,Nand Kumar Avasthi,,
2522,Nanda Prusty,,
2523,Nandalal Bose,,
2524,Nandan Nilekani,,
2525,Nandkishore Shamrao Laud,,
2526,Nandlal Lachmilal Bordia,,
2527,Nani Chandra Bordoloi,,
2528,Naoroji Pirojsha Godrej,,
2529,Narain Karthikeyan,,
2530,Narain Singh Thapa,,
2531,Narasimhiah Seshagiri,,
2532,Narasinh Narayan Godbole,,
2533,Narayan Chaturvedi,,
2534,Narayan Das Maharaj,,
2535,Narayan Debnath,,
2536,Narayan Gangaram Surve,,
2537,Narayan Joshi Karayal,"Joshi was awarded the Padma Shri, the fourth highest civilian award of India, for his services in the field of literature and education in 2020.","జోషి 2020లో సాహిత్యం, విద్యా రంగంలో ఆయన చేసిన సేవలకు గాను భారతదేశపు నాల్గవ అత్యున్నత పౌర పురస్కారమైన పద్మశ్రీని అందుకున్నారు. "
2538,Narayan Sadoba Kajrolkar,,
2539,Narayan Singh,,
2540,Narayan Singh Bhati Zipashni,,
2541,Narayan Singh Manaklao,,
2542,Narayan Sitaram Phadke,,
2543,Narayan Subarao Hardikar,,
2544,Narayan Swami Dharmarajan,,
2545,Narayana Panicker Kochupillai,,
2546,Narayana Purushothama Mallaya,,
2547,Narayana Raghvan Pillai,,
2548,Narayanan Srinivasan,,
2549,Narayanan Vaghul,,
2550,Narayanaswamy Balakrishnan,,
2551,Narendra Dabholkar,,
2552,Narendra Kohli,,
2553,Narendra Kumar (mountaineer),,
2554,Narendra Kumar (physicist),,
2555,Narendra Kumar Pandey,,
2556,Narendra Nath Bery,,
2557,Narendra Prasad,,
2558,Narendra Singh,,
2559,Narendra Singh Dev,,
2560,Narendra Singh Jain,,
2561,Naresh Bedi,,
2562,Naresh Chander Lal,,
2563,Naresh Chandra,,
2564,Naresh Kanodia,,
2565,Naresh Kumar Trehan,,
2566,Naresh Sohal,,
2567,Naresh Trehan,,
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,,
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,,
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,,
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,,
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,,
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,,
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,"She received many awards and was celebrated in many sabhas. She received the Kendra Sangeet Natak Akademi award from the President of India in 2010—the only lady mridangam artist to receive it. She was honoured with ""Ugadi Puraskaram"" from the government of Andhra Pradesh in 2015.
The Government of India awarded her the ""Padma Shri"", India's fourth highest civilian award, in 2021.


''' Awards and honours '''
Best Mridangist Award from Madras Music Academy, twice in 1974,1976
Palani Subramania Pillai Memorial Prize from Music Academy in 1985
Best Mridangist Award from Indian Fine Arts Society,Chennai in 2005
Best Citizens of India Award from International Publishing House,New Delhi in 2008
Kendra Sangeet Natak Akademi Award for the year 2009
Guruvayur Dorai Trust Award from Guruvayur Dorai Trust,Chennai in 2013
Ugadi Puraskaram from the government of Andhra Pradesh in 2015
Palani Subramanya Pillai Memorial Award in 2016 from Percussive Arts Centre,Bangalore in 2016
Padma Shri in 2021


''' Honorary titles '''
Mridanga Siromani
Mridanga Maharani
Nadha Bhageeratha
Mridangalaya Vidyasagara
Mridanga Vinyasa Kalabharathi
Sunada Sudhanidhi
Srimukha Mridanga Vidwanmani
Gayathri Sangeetha Vidwanmani
Naadhalaya Samraagni","ఈమె అనేక అవార్డులను అందుకుంది, అనేక సభలలో జరుపుకుంది. ఈమె 2010లో భారత రాష్ట్రపతి నుండి కేంద్ర సంగీత నాటక అకాడమీ అవార్డును అందుకుంది-దీనిని అందుకున్న ఏకైక మహిళా మృదంగం కళాకారిణి. ఈమెను 2015లో ఆంధ్రప్రదేశ్ ప్రభుత్వం ""ఉగాది పురస్కారం""తో సత్కరించింది. భారత ప్రభుత్వం ఈమెకు 2021లో భారతదేశ నాల్గవ అత్యున్నత పౌర పురస్కారమైన ""పద్మశ్రీ""ని ప్రదానం చేసింది. '''అవార్డులు, సన్మానాలు''''మద్రాస్ మ్యూజిక్ అకాడమీ నుండి ఉత్తమ మృదంగిస్ట్ అవార్డు, 1974, 1976లో రెండుసార్లు మ్యూజిక్ అకాడమీ నుండి పళని సుబ్రమణ్య పిళ్లై మెమోరియల్ ప్రైజ్ 1985లో ఇండియన్ ఫైన్ ఆర్ట్స్ సొసైటీ నుండి బెస్ట్ మృడాంగిస్ట్ అవార్డు, చెన్నై నుండి 2005 బెస్ట్ సిటిజన్స్ ఆఫ్ ఇండియా అవార్డు హౌస్, న్యూ ఢిల్లీ 2008లో కేంద్ర సంగీత నాటక అకాడమీ అవార్డ్ 2009 గురువాయూర్ దొరై ట్రస్ట్ నుండి గురువాయూర్ దొరై ట్రస్ట్ అవార్డు, 2013లో ఆంధ్ర ప్రదేశ్ ప్రభుత్వం నుండి ఉగాది పురస్కారం 2021 '''గౌరవ బిరుదులు''''మృదంగ శిరోమణిమృదంగ మహారాణినాధ భగీరథమృదంగళయ విద్యాసాగరమృదంగ విన్యాస కళాభారతిసునద సుధానిధిశ్రీముఖ మృదంగ విద్వాన్మణిగాయత్రి సంగీత విద్వాన్మణినాధలయ సమరాగ్ని. "
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,,
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,,
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,,
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
2658,Noboru Karashima,,
2659,Nokdenlemba,,
2660,Nomita Chandy,,
2661,Nookala Chinna Satyanarayana,,
2662,Norden Tshering,,
2663,Norma Alvares,,
2664,Norman Borlaug,,
2665,Noshir M. Shroff,,
2666,Nouf Marwaai,,
2667,Nripendra Misra,,
2668,Nuchhungi Renthlei,,
2669,Nuruddin Ahmed,,
2670,Nutan,,
2671,Nuthakki Bhanu Prasad,,
2672,O. N. V. Kurup,,
2673,O. P. Bahl,,
2674,O. P. Jain,,
2675,O. V. Vijayan,,
2676,Obaid Siddiqi,,
2677,Oinam Bembem Devi,,
2678,Om Agarwal,,
2679,Om P. Bahl,,
2680,Om Prakash Agrawal,,
2681,Om Prakash Mathur,,
2682,Om Prakash Mehra,,
2683,Om Prakash Mittal,,
2684,Om Prakash Upadhyaya,,
2685,Om Puri,,
2686,Omeo Kumar Das,,
2687,Omesh Kumar Bharti,,
2688,Omkarnath Thakur,,
2689,Onkar Nath Srivastava,,
2690,Onkar Srinivasa Murthy,,
2691,Osamu Suzuki,,
2692,Oudh Narayan Shrivastava,,
2693,P Subramanian,,
2694,P Tiruvillvamalai Seshan M. Iyer,,
2695,P. A. Sangma,,
2696,P. Anitha,,
2697,P. Ardeshir Narielwala,,
2698,P. B. Buckshey,,
2699,P. Balacharya Gajendragadkar,,
2700,P. Bhanumathi,,
2701,P. C. Sorcar,,
2702,P. Chandrasekhara Rao,,
2703,P. Gopinathan,,
2704,P. Gopinathan Nair,,
2705,P. K. Banerjee,,
2706,P. K. Gopal,,
2707,P. K. Narayanan Nambiar,,
2708,P. K. Rajagopalan,,
2709,P. K. Sethi,,
2710,P. K. Warrier,,
2711,P. Kalathil Kunju Kurup,,
2712,P. Kilemsungla,,
2713,P. Krishnagopala Iyengar,,
2714,P. Leela,,
2715,P. N. Bhagwati,,
2716,P. N. Bhaskaran Nair,,
2717,P. N. Dhar,,
2718,P. N. Pattabhirama Sastri,,
2719,P. N. V. Kurup,,
2720,P. Namperumalsamy,,
2721,P. Narasimhayya,,
2722,P. O. Dunn,,
2723,P. Parameswaran,,
2724,P. Prabhakar Kumaramangalam,,
2725,P. R. Dubhashi,,
2726,P. R. Krishna Kumar,,
2727,P. R. Shreejesh,,
2728,P. R. Thilagam,,
2729,P. Ramanathan Rajgopal,,
2730,P. S. Appu,,
2731,P. S. Bedi,,
2732,P. S. Chawngthu,,
2733,P. S. Narayanaswamy,,
2734,P. Susheela,,
2735,P. T. Narasimhachar,,
2736,P. T. Usha,,
2737,P. V. A. Mohandas,,
2738,P. V. R. Rao,,
2739,P. V. Rajaraman,,
2740,P. V. S. Rao,,
2741,P. V. Sindhu,,
2742,Pablo Bartholomew,,
2743,Padamanur Ananda Rau,,
2744,Padma Desai,,
2745,Padma Sachdev,,
2746,Padma Subrahmanyam,,
2747,Padmaja Naidu,,
2748,Padmaja Phenany Joglekar,,
2749,Padmanabhan Balaram,,
2750,Padmavathy Bandopadhyay,,
2751,Pakkiriswamy Chandra Sekharan,,
2752,Palahalli Sitaramiah,,
2753,Palaniandi Kandaswamy,,
2754,Palghat R. Raghu,,
2755,Palle Rama Rao,"Professor Rama Rao was conferred the Shanti Swarup Bhatnagar Prize for Engineering Science in 1979, Homi J. Bhabha Award for Applied Sciences (1986), Padma Shri (1989), Prize for Materials Science by INSA (1989), Tata Gold Medal (1992) by Indian Institute of Metals (IIM), Platinum Medal (1994), National Metallurgist by the Union Ministry of Steel (1999), Jawaharlal Birth Centenary Award by the Indian Science Congress Association (ISCA) (1999), Padma Bhushan (2001), Sisir Kumar Mitra Memorial Lecture Award (2001), Meghnad Saha Medal (2004), Millennium Plaque of Honour (2003), Life Time Achievement Award"" instituted by the Ministry of Steel, Government of India, Ashutosh Mukherjee Memorial Award (2009), G. M. Modi Award For Innovative Science, 2011 & Technology and Padma Vibhushan, 2011. He was elected International Fellow of the Royal Academy of Engineering (UK), the Academy of Sciences for the Developing World, Ukrainian Academy of Sciences, Kyiv, Indian Academy of Sciences, Bangalore, US National Academy of Engineering (2012), National Academy of Sciences, India, Allahabad and Indian National Academy of Engineering. He has been President, Indian Academy of Sciences, Bangalore (1995–98), Indian National Academy of Engineering (2001–02), ISCA (General President) (1997–98), IIM (1990–91), Materials Research Society of India (1992–94), Indian Nuclear Society (2008–09), and International Congress on Fracture (1989–93); and Vice-President, International Union of Materials Research Societies (2002–03). American Society of Materials awarded him their Distinguished Life Membership in 2004.","ప్రొఫెసర్ రామారావు 1979లో ఇంజినీరింగ్ సైన్స్ కోసం శాంతి స్వరూప్ భట్నాగర్ బహుమతిని పొందారు, హోమి జె. అనువర్తిత శాస్త్రాలకు భాభా అవార్డు (1986), పద్మశ్రీ (1989), INSA ద్వారా మెటీరియల్స్ సైన్స్ బహుమతి (1989), ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ మెటల్స్ (IIM) ద్వారా టాటా గోల్డ్ మెడల్ (1992), ప్లాటినం మెడల్ (1994), నేషనల్ మెటలర్జిస్ట్ ద్వారా కేంద్ర ఉక్కు మంత్రిత్వ శాఖ (1999), ఇండియన్ సైన్స్ కాంగ్రెస్ అసోసియేషన్ (ISCA)చే జవహర్లాల్ బర్త్ సెంటెనరీ అవార్డు (1999), పద్మ భూషణ్ (2001), సిసిర్ కుమార్ మిత్రా మెమోరియల్ లెక్చర్ అవార్డు (2001), మేఘనాద్ సాహా మెడల్ (2004), మిలీనియం ప్లేక్ గౌరవం (2003), లైఫ్ టైమ్ అచీవ్మెంట్ అవార్డు"" భారత ప్రభుత్వం ఉక్కు మంత్రిత్వ శాఖ ద్వారా స్థాపించబడింది, అశుతోష్ ముఖర్జీ మెమోరియల్ అవార్డు (2009), జి. ఎం. ఇన్నోవేటివ్ సైన్స్, 2011 & టెక్నాలజీకి మోదీ అవార్డు, పద్మ విభూషణ్, 2011. ఇతను రాయల్ అకాడమీ ఆఫ్ ఇంజనీరింగ్ (UK), అకాడమీ ఆఫ్ సైన్సెస్ ఫర్ ది డెవలపింగ్ వరల్డ్, ఉక్రేనియన్ అకాడమీ ఆఫ్ సైన్సెస్, కైవ్, ఇండియన్ అకాడమీ ఆఫ్ సైన్సెస్, బెంగుళూరు, US నేషనల్ అకాడమీ ఆఫ్ ఇంజనీరింగ్ (2012), నేషనల్ అకాడమీ ఆఫ్ ది ఇంటర్నేషనల్ ఫెలోగా ఎన్నికయ్యాడు. సైన్సెస్, ఇండియా, అలహాబాద్, ఇండియన్ నేషనల్ అకాడమీ ఆఫ్ ఇంజనీరింగ్. ఇతను ఇండియన్ అకాడమీ ఆఫ్ సైన్సెస్, బెంగళూరు (1995–98), ఇండియన్ నేషనల్ అకాడమీ ఆఫ్ ఇంజనీరింగ్ (2001–02), ISCA (జనరల్ ప్రెసిడెంట్) (1997–98), IIM (1990–91), మెటీరియల్స్ రీసెర్చ్ సొసైటీకి అధ్యక్షుడిగా ఉన్నారు. భారతదేశం (1992–94), ఇండియన్ న్యూక్లియర్ సొసైటీ (2008–09),, ఇంటర్నేషనల్ కాంగ్రెస్ ఆన్ ఫ్రాక్చర్ (1989–93);, వైస్ ప్రెసిడెంట్, ఇంటర్నేషనల్ యూనియన్ ఆఫ్ మెటీరియల్స్ రీసెర్చ్ సొసైటీస్ (2002–03). అమెరికన్ సొసైటీ ఆఫ్ మెటీరియల్స్ అతనికి 2004లో వారి విశిష్ట జీవిత సభ్యత్వాన్ని ప్రదానం చేసింది. "
2756,Palligarnai Thirumalai Venugopal,,
2757,Pallonji Mistry,,
2758,Palpu Pushpangadan,,
2759,Pamela Cullen,,
2760,Pammal Sambandha Mudaliar,,
2761,Panangipalli Venugopal,,
