,Recipients,honours,honours Telugu
2490,Nabaneeta Dev Sen,,
2491,Nadarajan Raj Chetty,,
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,"Singh was awarded the Kama award in 1938, and in 1973 he received the Padma Vibhushan from the Government of India.","సింగ్కు 1938లో కామ అవార్డు లభించింది, 1973లో భారత ప్రభుత్వం నుంచి పద్మవిభూషణ్ను అందుకున్నారు. "
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,,
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,,
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
2520,Nand Kishore Verma,,
2521,Nand Kumar Avasthi,,
2522,Nanda Prusty,,
2523,Nandalal Bose,,
2524,Nandan Nilekani,,
2525,Nandkishore Shamrao Laud,,
2526,Nandlal Lachmilal Bordia,,
2527,Nani Chandra Bordoloi,,
2528,Naoroji Pirojsha Godrej,,
2529,Narain Karthikeyan,,
2530,Narain Singh Thapa,,
2531,Narasimhiah Seshagiri,,
2532,Narasinh Narayan Godbole,,
2533,Narayan Chaturvedi,,
2534,Narayan Das Maharaj,,
2535,Narayan Debnath,,
2536,Narayan Gangaram Surve,,
2537,Narayan Joshi Karayal,,
2538,Narayan Sadoba Kajrolkar,,
2539,Narayan Singh,,
2540,Narayan Singh Bhati Zipashni,,
2541,Narayan Singh Manaklao,,
2542,Narayan Sitaram Phadke,,
2543,Narayan Subarao Hardikar,,
2544,Narayan Swami Dharmarajan,,
2545,Narayana Panicker Kochupillai,,
2546,Narayana Purushothama Mallaya,,
2547,Narayana Raghvan Pillai,"He was appointed Commander of the Order of the British Empire (CBE) in 1937, Companion of the Order of the Indian Empire (CIE) in the 1939 Birthday Honours and Knight Commander of the Order of the Indian Empire (KCIE) in the 1946 Birthday Honours.Pillai was awarded the Padma Vibhushan by the Government of India in 1960 and was made an honorary Fellow of Trinity Hall, his old college, in 1970.","ఇతను 1937లో ఆర్డర్ ఆఫ్ ది బ్రిటిష్ ఎంపైర్ (CBE) కమాండర్గా, 1939 పుట్టినరోజు గౌరవాలలో కంపానియన్ ఆఫ్ ది ఆర్డర్ ఆఫ్ ది ఇండియన్ ఎంపైర్ (CIE), 1946 పుట్టినరోజులో నైట్ కమాండర్ ఆఫ్ ది ఇండియన్ ఎంపైర్ (KCIE)గా నియమించబడ్డాడు. సన్మానాలు. పిళ్లై 1960లో భారత ప్రభుత్వంచే పద్మవిభూషణ్తో సత్కరించారు, 1970లో ఆయన పాత కళాశాల అయిన ట్రినిటీ హాల్కు గౌరవ ఫెలోగా చేశారు. "
2548,Narayanan Srinivasan,,
2549,Narayanan Vaghul,,
2550,Narayanaswamy Balakrishnan,,
2551,Narendra Dabholkar,,
2552,Narendra Kohli,,
2553,Narendra Kumar (mountaineer),,
2554,Narendra Kumar (physicist),,
2555,Narendra Kumar Pandey,,
2556,Narendra Nath Bery,,
2557,Narendra Prasad,,
2558,Narendra Singh,,
2559,Narendra Singh Dev,,
2560,Narendra Singh Jain,,
2561,Naresh Bedi,,
2562,Naresh Chander Lal,,
2563,Naresh Chandra,,
2564,Naresh Kanodia,,
2565,Naresh Kumar Trehan,,
2566,Naresh Sohal,,
2567,Naresh Trehan,,
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,"Gupta was conferred Padma Shri by the President of India in 1991.

Professor Gupta is recipient of J.C. Bose Memorial Award, the O. P. Bhasin Award, the Millenium Plaques of Honour (ISCA) Award, the Erskine (New Zealand) Award, the Alexander von Humboldt (Germany) Research Award and several other honours and awards. He has been conferred Doctor Honoris Causa by the Russian Academy of Sciences and Mercator Professorship of DFG and DRDO Academy excellence award.
Gupta is Fellow of the Indian National Science Academy, Indian National Academy of Engineering, National Academy of Sciences, India and the Third World Academy of Sciences.The esteem that Gupta enjoys nationally and internationally is shown by the fact that conferences to honour his contributions were held on his 60th and 70th birthday in India in 2002 and 2012, On his 65th birthday in Bochum, Germany, in 2007, and was honoured on 70th in Singapore in 2012. Special issues of the International Journal of Impact Engineering, Proceedings of the Indian National Science Academy and Defence Science Journal were devoted to his birthdays","గుప్తా 1991లో భారత రాష్ట్రపతిచే పద్మశ్రీతో సత్కరించారు. ప్రొఫెసర్ గుప్తా జె. సి. బోస్ మెమోరియల్ అవార్డు, O. పి. భాసిన్ అవార్డు, మిలీనియం ప్లేక్స్ ఆఫ్ ఆనర్ (ISCA) అవార్డు, ఎర్స్కిన్ (న్యూజిలాండ్) అవార్డు, అలెగ్జాండర్ వాన్ హంబోల్ట్ (జర్మనీ) రీసెర్చ్ అవార్డు, అనేక ఇతర గౌరవాలు, అవార్డులు. ఇతను రష్యన్ అకాడమీ ఆఫ్ సైన్సెస్, మెర్కేటర్ ప్రొఫెసర్షిప్ ఆఫ్ DFG, DRDO అకాడమీ ఎక్సలెన్స్ అవార్డు ద్వారా డాక్టర్ హానోరిస్ కాసాను అందుకున్నాడు. గుప్తా ఇండియన్ నేషనల్ సైన్స్ అకాడమీ, ఇండియన్ నేషనల్ అకాడమీ ఆఫ్ ఇంజనీరింగ్, నేషనల్ అకాడమీ ఆఫ్ సైన్సెస్, ఇండియా, థర్డ్ వరల్డ్ అకాడమీ ఆఫ్ సైన్సెస్లో ఫెలో. 2002, 2012లో భారతదేశంలో అతని 60వ, 70వ జన్మదినోత్సవం సందర్భంగా, 2007లో జర్మనీలోని బోచుమ్లో అతని 65వ జన్మదినోత్సవం సందర్భంగా ఆయన చేసిన సేవలను గౌరవించే సమావేశాలు నిర్వహించడం ద్వారా గుప్తా జాతీయంగా, అంతర్జాతీయంగా పొందుతున్న గౌరవాన్ని తెలియజేస్తుంది. 2012లో సింగపూర్లో 70వ స్థానం. ఇంటర్నేషనల్ జర్నల్ ఆఫ్ ఇంపాక్ట్ ఇంజినీరింగ్, ప్రొసీడింగ్స్ ఆఫ్ ది ఇండియన్ నేషనల్ సైన్స్ అకాడమీ, డిఫెన్స్ సైన్స్ జర్నల్, ప్రత్యేక సంచికలు అతని పుట్టినరోజులకు అంకితం చేయబడ్డాయి. "
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,,
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,,
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,,
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,,
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,"Nongkynrih was awarded the Padma Shri (the fourth highest civilian award of India) in 2015 for his contribution in the field of arts through his music. Some of his other awards included:

Honorary doctorate for his contributions in the field of music, NIT Meghalaya, 2021
Padma Shri, 2015
U Tirot Sing Award, 2011
Forbes Person of the Year, 2010–11
Member, World Choir Council
Member, Central Board of Film Certification, India, 2017–2022","నాంగ్కిన్రిహ్ తన సంగీతం ద్వారా కళల రంగంలో చేసిన కృషికి 2015లో పద్మశ్రీ (భారతదేశపు నాల్గవ అత్యున్నత పౌర పురస్కారం) అందుకున్నారు. అతని ఇతర అవార్డులలో కొన్ని: సంగీత రంగంలో ఆయన చేసిన కృషికి గౌరవ డాక్టరేట్, NIT మేఘాలయ, 2021పద్మశ్రీ, 2015U టిరోట్ సింగ్ అవార్డు, 2011ఫోర్బ్స్ పర్సన్ ఆఫ్ ది ఇయర్, 2010–11సభ్యుడు, వరల్డ్ కోయిర్ కౌన్సిల్ సభ్యుడు, సెంట్రల్ బోర్డ్ ఆఫ్ ఫిల్మ్ సర్టిఫికేషన్, 2017–2022. "
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,,
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,,
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,,
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,,
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
2658,Noboru Karashima,,
2659,Nokdenlemba,,
2660,Nomita Chandy,,
2661,Nookala Chinna Satyanarayana,,
2662,Norden Tshering,,
2663,Norma Alvares,,
2664,Norman Borlaug,,
2665,Noshir M. Shroff,,
2666,Nouf Marwaai,,
2667,Nripendra Misra,"Order of the Rising Sun, 2nd Class, Gold and Silver Star: 2021","ఆర్డర్ ఆఫ్ ది రైజింగ్ సన్, 2వ తరగతి, గోల్డ్ అండ్ సిల్వర్ స్టార్: 2021. "
2668,Nuchhungi Renthlei,,
2669,Nuruddin Ahmed,,
2670,Nutan,,
2671,Nuthakki Bhanu Prasad,,
2672,O. N. V. Kurup,,
2673,O. P. Bahl,,
2674,O. P. Jain,"He was awarded the Padma Shri by Government of India, in 2003, for his contribution to the Arts.",కళలకు ఆయన చేసిన కృషికి గాను 2003లో భారత ప్రభుత్వం ఆయనకు పద్మశ్రీ పురస్కారాన్ని అందించింది. 
2675,O. V. Vijayan,,
2676,Obaid Siddiqi,,
2677,Oinam Bembem Devi,"''' International '''
IndiaSouth Asian GamesGold medal (2): 2010, 2016SAFF Women's Championship: (3): 2010, 2012, 2014


''' Club '''
Eastern Sporting UnionIndian Women's League: 2016–17


''' Individual '''
FAM Premier League Player of the Tournament: 2014–15
AIFF Women's Player of the Year (2): 2001, 2013
Arjuna Award: 2017
 Padma Shri: 2020","''' ఇంటర్నేషనల్ '''ఇండియా సౌత్ ఏషియన్ గేమ్స్ గోల్డ్ మెడల్ (2): 2010, 2016SAFF మహిళల ఛాంపియన్షిప్: (3): 2010, 2012, 2014''' క్లబ్ '''ఈస్టర్న్ స్పోర్టింగ్ యూనియన్ ఇండియన్ ఉమెన్స్ లీగ్: 2016–17''' ఇండివిజువల్ '''FAM ప్రీమియర్ లీగ్ ప్లేయర్ ఆఫ్ ది టోర్నమెంట్: 2014–15AIFF ఉమెన్స్ ప్లేయర్ ఆఫ్ ది ఇయర్ (2): 2001, 2013అర్జున అవార్డు: 2017 పద్మశ్రీ: 2020. "
2678,Om Agarwal,,
2679,Om P. Bahl,,
2680,Om Prakash Agrawal,,
2681,Om Prakash Mathur,,
2682,Om Prakash Mehra,,
2683,Om Prakash Mittal,,
2684,Om Prakash Upadhyaya,,
2685,Om Puri,,
2686,Omeo Kumar Das,,
2687,Omesh Kumar Bharti,,
2688,Omkarnath Thakur,,
2689,Onkar Nath Srivastava,,
2690,Onkar Srinivasa Murthy,,
2691,Osamu Suzuki,,
2692,Oudh Narayan Shrivastava,,
2693,P Subramanian,,
2694,P Tiruvillvamalai Seshan M. Iyer,,
2695,P. A. Sangma,,
2696,P. Anitha,,
2697,P. Ardeshir Narielwala,,
2698,P. B. Buckshey,,
2699,P. Balacharya Gajendragadkar,,
2700,P. Bhanumathi,,
2701,P. C. Sorcar,,
2702,P. Chandrasekhara Rao,,
2703,P. Gopinathan,,
2704,P. Gopinathan Nair,,
2705,P. K. Banerjee,,
2706,P. K. Gopal,,
2707,P. K. Narayanan Nambiar,,
2708,P. K. Rajagopalan,,
2709,P. K. Sethi,,
2710,P. K. Warrier,,
2711,P. Kalathil Kunju Kurup,,
2712,P. Kilemsungla,,
2713,P. Krishnagopala Iyengar,,
2714,P. Leela,,
2715,P. N. Bhagwati,,
2716,P. N. Bhaskaran Nair,,
2717,P. N. Dhar,,
2718,P. N. Pattabhirama Sastri,,
2719,P. N. V. Kurup,,
2720,P. Namperumalsamy,,
2721,P. Narasimhayya,,
2722,P. O. Dunn,,
2723,P. Parameswaran,,
2724,P. Prabhakar Kumaramangalam,,
2725,P. R. Dubhashi,,
2726,P. R. Krishna Kumar,"Padma Shri, Government of India (2009)
Dhanvantari Puraskar, Government of India (2016)Kumar was also a recipient of an honorary doctoral degree from the Kuvempu University.","పద్మశ్రీ, భారత ప్రభుత్వం (2009)ధన్వంతరి పురస్కారం, భారత ప్రభుత్వం (2016) కుమార్ కూడా కువెంపు విశ్వవిద్యాలయం నుండి గౌరవ డాక్టరల్ డిగ్రీని అందుకున్నారు. "
2727,P. R. Shreejesh,,
2728,P. R. Thilagam,,
2729,P. Ramanathan Rajgopal,,
2730,P. S. Appu,,
2731,P. S. Bedi,,
2732,P. S. Chawngthu,,
2733,P. S. Narayanaswamy,,
2734,P. Susheela,,
2735,P. T. Narasimhachar,,
2736,P. T. Usha,,
2737,P. V. A. Mohandas,,
2738,P. V. R. Rao,,
2739,P. V. Rajaraman,,
2740,P. V. S. Rao,,
2741,P. V. Sindhu,"Honoured with Padma Bhushan Award, the third-highest civilian award in India, in January 2020
Honoured with Padma Shri Award, the fourth-highest civilian award in India, in March 2015
Received Major Dhyan Chand Khel Ratna Award, the highest sporting honour of India, on 29 August 2016
Bestowed with Arjuna Award for badminton on 24 September 2013","2020 జనవరిలో భారతదేశంలో మూడవ అత్యున్నత పౌర పురస్కారమైన పద్మభూషణ్ అవార్డుతో సత్కరించబడింది, భారతదేశంలో నాల్గవ అత్యున్నత పౌర పురస్కారమైన పద్మశ్రీ అవార్డుతో గౌరవించబడింది, మార్చి 2015లో భారతదేశ అత్యున్నత క్రీడా గౌరవమైన మేజర్ ధ్యాన్ చంద్ ఖేల్ రత్న అవార్డును అందుకున్నారు. 29 ఆగస్టు 2016 24 సెప్టెంబర్ 2013న బ్యాడ్మింటన్కు అర్జున అవార్డును అందించారు. "
2742,Pablo Bartholomew,,
2743,Padamanur Ananda Rau,,
2744,Padma Desai,,
2745,Padma Sachdev,,
2746,Padma Subrahmanyam,,
2747,Padmaja Naidu,,
2748,Padmaja Phenany Joglekar,,
2749,Padmanabhan Balaram,,
2750,Padmavathy Bandopadhyay,,
2751,Pakkiriswamy Chandra Sekharan,,
2752,Palahalli Sitaramiah,,
2753,Palaniandi Kandaswamy,,
2754,Palghat R. Raghu,,
2755,Palle Rama Rao,,
2756,Palligarnai Thirumalai Venugopal,,
2757,Pallonji Mistry,,
2758,Palpu Pushpangadan,,
2759,Pamela Cullen,,
2760,Pammal Sambandha Mudaliar,,
2761,Panangipalli Venugopal,,
2762,Panavelil Thomas Chandi,,
2763,Panchapakesa Jayaraman,,
2764,Pancheti Koteswaram,,
2765,Pandit Jasraj,,
2766,Pandit Surinder Singh,,
2767,Pandurang Dharmaji Jadhav,,
2768,Pandurang Rajaram Ghogrey,,
2769,Pandurang Shastri Athavale,,
2770,Pandurang Vasudeo Gadgil,,
2771,Pandurang Vasudeo Sukhatme,,
2772,Pandyala Satyanarayana Rau,,
2773,Pankaj Advani,,
2774,Pankaj Arjan Advani,,
2775,Pankaj Charan Das,,
2776,Pankaj M Shah,,
2777,Pankaj Mullick,,
2778,Pankaj Roy,,
2779,Pankaj Udhas,,
2780,Pannuru Sripathy,,
2781,Papanasam Sivan,,
2782,Paramananda Acharya,,
2783,Parameswaran Kuttapp Panikkar,,
2784,Paramsukh J. Pandya,,
2785,Parasaran Kesava Iyengar,,
2786,Parassala B. Ponnammal,,
2787,Parasu Ram Mishra,,
2788,Paresh Maity,,
2789,Paresh Rawal,,
2790,Pargat Singh,He is vice-president of the Surjit Singh Memorial Hockey Tournament Society of Jalandhar.He is General Secretary of Hockey Punjab at present as nominated by CM of the state.,ఇతను జలంధర్లోని సుర్జిత్ సింగ్ మెమోరియల్ హాకీ టోర్నమెంట్ సొసైటీకి వైస్ ప్రెసిడెంట్. రాష్ట్ర ముఖ్యమంత్రిచే నామినేట్ చేయబడిన ఇతను ప్రస్తుతం హాకీ పంజాబ్ జనరల్ సెక్రటరీ. 
2791,Parixitalal Lallu Bhai Majumdar,,
2792,Parkash Singh Badal,,
2793,Parmeshwari Lal Verma,,
2794,Parshuram Atmaram Gangavane,,
2795,Parshuram Mishra,,
2796,Parveen Sultana,,
2797,Parveen Talha,,
2798,Patricia Mukhim,,
2799,Paul Pothen,,
2800,Paul Ratnasamy,,
2801,Pavaguda V. Indiresan,,
2802,Pavani Parameswara Rao,,
2803,Pawan Raj Goyal,,
2804,Penaz Masani,,
2805,Penimangalore Appraya Bhatt,,
2806,Pepita Seth,,
2807,Perakath Verghese Benjamin,,
2808,Perin Captain,,
2809,Periyasaamy Thooran,,
2810,Perugu Siva Reddy,,
2811,Peruvanam Kuttan Marar,,
2812,Pessie Madan,,
2813,Peter Brook,,
2814,Phanishwar Nath Renu,,
2815,Philip Augustine,,
2816,Philipose Mar Chrysostom,,
2817,Phillips Talbot,,
2818,Phool Chand Chowdhary,,
2819,Phoolbasan Bai Yadav,,
2820,Phu Dorjee,,
2821,Phu Dorjee Sherpa,,
2822,Phul Chand,,
2823,Phulrenu Guha,,
2824,Pichu Sambamoorthi,,
2825,Pilloo Maneck Maneckiji,,
2826,Piloo Nowshir Jungalwalla,,
2827,Pisharoth Rama Pisharoty,,
2828,Pitambar Pant,,
2829,Piyong Temjen Jamir,,
2830,Piyush Pandey,,
2831,Polly Umrigar,,
2832,Ponisseril Somasundaran,,
2833,Poola Tirupati Raju,,
2834,Poornima Arvind Pakvasa,,
2835,Popatrao Baguji Pawar,,
2836,Pothan Joseph,,
2837,Prabha Atre,,
2838,Prabhakar Bhikaji Chitnis,,
2839,Prabhakar Vaidya,,
2840,Prabhashankar Oghadbhai Sompura,,
2841,Prabhashankar Ramachandra Bhatt,,
2842,Prabhat Kumar Mukhopadhyaya,"In 1965, he was honoured with Deshikottama. Other universities conferred the honorary D.Lit. degree on him. He was honoured with a Padma Bhusan in 1981.",1965లో దేశికోత్తమతో సత్కరించారు. ఇతర విశ్వవిద్యాలయాలు గౌరవ డి. లిట్. అతనిపై డిగ్రీ. 1981లో పద్మభూషణ్తో సత్కరించారు. 
2843,Prabhu Chawla,,
2844,Prabhu Dayal Dabriwala,,
2845,Prabhu Dayal Nigam,,
2846,Prabhu Deva,,
2847,Prabhu Lal Bhatnagar,,
2848,Prabjot Kaur,,
2849,Pradeep Chowbey,,
2850,Pradeep Kumar Banerjee,,
2851,Pradeep Kumar Dave,,
2852,Pradhan Shambu Saran,,
2853,Pradip Kumar Banerjee,,
2854,Pradip Ranjan Roy,,
2855,Prafulla Baruah,,
2856,Prafulla Desai,,
2857,Prafulla Kar,,
2858,Prafulla Kumar Jena,,
2859,Prafulla Kumar Sen,,
2860,Prahlad Chandra Tasa,,
2861,Prahlad Kumar Sethi,,
2862,Prahlad Tipanya,,
2863,Prahlada,,
2864,Prakash Amte,,
2865,Prakash Chand Surana,,
2866,Prakash Chandra,,
2867,Prakash N. Dubey,,
2868,Prakash Nanalal Kothari,,
2869,Prakash Narain Tandon,,
2870,Prakash Padukone,,
2871,Prakash Singh,,
2872,Pramathanath Bishi,,
2873,Pramod Kale,,
2874,Pramod Kumar Julka,,
2875,Pramod Tandon,,
2876,Pran,,
2877,Pran Kishore Kaul,,
2878,Pran Kumar Sharma,,
2879,Pran Nath Chhutani,,
2880,Pran Nath Luthra,,
2881,Prana Krushna Parija,,
2882,Pranab K. Sen,,
2883,Pranab Mukherjee,,
2884,Pranab Rehatriranjan Dastidar,,
2885,Prasad Sawkar,,
2886,Prasanta Chandra Mahalanobis,,
2887,Prasanta Kumar Pattanaik,,
2888,Prashanti Singh,,
2889,Prasoon Joshi,,
2890,Pratap Chandra Lal,,
2891,Pratap Govindrao Pawar,,
2892,Pratap Pawar,,
2893,Pratap Singh Hardia,,
2894,Pratapaditya Pal,,
2895,Pratapri Girdhari Lal Mehta,,
2896,Pratapsinh Jadhav,,
2897,Prathap C. Reddy,,
2898,Pratibha Prahlad,,
2899,Pratibha Ray,,
2900,Pratima Barua Pandey,,
2901,Pratul Chandra Gupta,,
2902,Pratury Trirumala Rao,,
2903,Pravakara Maharana,,
2904,Praveen Chandra,,
2905,Pravin Darji,,
2906,Pravin Gordhan,,
2907,Pravin H. Parekh,,
2908,Pravinchandra Varjivan Gandhi,,
2909,Predhiman Krishan Kaw,,
2910,Predrag K. Nikic,,
2911,Prem Chand Sharma,,
2912,Prem Chandra Dhanda,,
2913,Prem Chandra Luthar,,
2914,Prem Dhawan,,
2915,Prem Kumar Kakar,,
2916,Prem Nath Dhawan,,
2917,Prem Nath Mehra,,
2918,Prem Nath Sahni,,
2919,Prem Nath Wahi,,
2920,Prem Nazir,,
2921,Prem Prakash Sahni,,
2922,Prem Shanker Goel,,
2923,Prem Watsa,,
2924,Prema Narendra Purao,,
2925,Premchand Degra,,
2926,Premendra Mitra,,
2927,Premlata Agarwal,,
2928,Premlata Puri,,
2929,Premlila Vithaldas Thackersey,,
2930,Pritam Bhartwan,,
2931,Pritam Singh,,
2932,Prithipal Singh,,
2933,Prithipal Singh Maini,,
2934,Prithvi Nath Kaula,,
2935,Prithvi Nath Khoshoo,,
2936,Prithvi Raj Singh Oberoi,,
2937,Prithvi Singh Azad,,
2938,Prithviraj Kapoor,,
2939,Prithwindra Mukherjee,,
2940,Pritish Nandy,,
2941,Priya Paul,,
2942,Priya Ranjan Sen,,
2943,Priyadarshan,,
2944,Priyambada Mohanty Hejmadi,,
2945,Priyanka Chopra,,
2946,Pu Lalbiakthanga Pachuau,,
2947,Pucadyil Ittoop John,,
2948,Pukhraj Bafna,,
2949,Puliyur Krishnaswamy Duraiswami,,
2950,Pullela Gopichand,,
2951,Pullella Srirama Chandrudu,,
2952,Punam Suri,,
2953,Punamalai Ekambaranathan,,
2954,Punaram Nishad,,
2955,Pupul Jayakar,,
2956,Puran Chand Wadali,,
2957,Puran Lal Batra,,
2958,Purna Das Baul,,
2959,Purshotam Lal,,
2960,Purshottam Das,,
2961,Purshottam Das Jalota,,
2962,Purshottam Lal Wahi,,
2963,Purshottam Pandurang Gokhale,,
2964,Purushottam Dadheech,,
2965,Purushottam Kashinath Kelkar,,
2966,Purushottam Laxman Deshpande,,
2967,Purushottam Upadhyay,,
2968,Purushottama Lal,,
2969,Pushkar Bhan,,
2970,Pushpa Bhuyan,,
2971,Pushpa Hans,,
2972,Pushpa Mittra Bhargava,,
2973,Pushpalata Das,,
2974,Pushpavati Janardenrai Mehta,,
2975,Pushpesh Pant,,
2976,Puthenpurayil Mathew Joseph,,
2977,Puttaparthi Narayanacharyulu,,
2978,Puttaraj Gawai,,
2979,Qadri Ragi Aziz Ahmed Khan Warsi,,
2980,Qazi Abdul Sattar,,
2981,Quazi Sazzad Ali Zahir,,
2982,Queenie H. C. Captain,,
2983,Queenie Rynjah,,
2984,Qurratulain Hyder,,
2985,R Sathyanarayana,,
2986,R. Basappagowda Patil,,
2987,R. C. Mehta,,
2988,R. D. Pradhan,,
2989,R. Ganapati,,
2990,R. K. Krishna Kumar,,
2991,R. K. Laxman,,
2992,R. K. Lelhluna,,
2993,R. K. Narayan,,
2994,R. K. Srikantan,,
2995,R. Marthanda Varma,,
2996,R. N. Malhotra,,
2997,R. N. Tharanathan and R. N. Thyagarajan,,
2998,R. Nagarathnamma,,
2999,R. Nagendra Rao,,
3000,R. R. Handa,,
3001,R. Ranchandra Vishwanath Wardekar,,
3002,R. S. Narayan Singh Deo,,
3003,R. S. Subbalakshmi,,
3004,R. Sivaraman,,
3005,R. V. Pandit,,
3006,R. V. Ramani,,
3007,R. V. Ramaswamy,,
3008,R. Vasudevan,,
3009,Raasacha Swami Ram Swaroop Sharma,,
3010,Rabi Narayan Bastia,,
3011,Rabinder Gokaldas Ahuja,,
3012,Rabindra Narain Singh,,
3013,Rabindra Nath Chaudhuri,,
3014,Rabindra Nath Upadhyay,,
3015,Rachel Thomas,,
3016,Radha Krishan Gupta,,
3017,Radha Kumud Mukherjee,,
3018,Radha Mohan Gadanayak,,
3019,Radhabinod Pal,,
3020,Radhakamal Mukerjee,,
3021,Radhamohan,,
3022,Radhanath Rath,,
3023,Radhe Shyam Barle,,
3024,Radhika Herzberger,,
3025,Rafael Iruzubieta Fernandez,,
3026,Rafiuddin Ahmed,,
3027,Raghavan Thirumulpad,,
3028,Raghu Rai,,
3029,Raghu Raj,,
3030,Raghu Ram Pillarisetti,,
3031,Raghubhai Morarji Nayak,,
3032,Raghubir Singh (equestrian),,
3033,Raghubir Singh (photographer),,
3034,Raghunath Anant Mashelkar,,
3035,Raghunath Krishna Phadke,,
3036,Raghunath Mohapatra,,
3037,Raghunath Panigrahi,,
3038,Raghunath Saran,,
3039,Raghunath Sharma,,
3040,Raghunath Singh Gahlot,,
3041,Raghupati Sahay,,
3042,Raghuvir Sharan Mitra,,
3043,Rahibai Soma Popere,,
3044,Rahim Fahimuddin Dagar,,
3045,Rahim-ud-in Khan Dagar,,
3046,Rahul Bajaj,,
3047,Rahul Dravid,,
3048,Rahul Jain,,
3049,Rahul Sankrityayan,,
3050,Rai Krishnadas,,
3051,Rai Krishnadasa,,
3052,Rais Ahmed,,
3053,Raj Baveja,,
3054,Raj Begum,,
