,Recipients,positions,positions Telugu
2167,Maisnam Amubi Singh,,
2168,Maithili Sharan Gupt,,
2169,Maitreyi Devi,,
2170,Makar Dhwaja Darogha,,
2171,Makhala Jha,,
2172,Makhanlal Chaturvedi,,
2173,Malai Haji Abdullah Bin Malai Haji Othman,,
2174,Malathi Krishnamurthy Holla,,
2175,Malati Barua,,
2176,Malavika Sarukkai,,
2177,Malcolm Adiseshiah,,
2178,Mali,,
2179,Maligali Ram Krishna Girinath,,
2180,Malini Awasthi,,
2181,Mallappa Krishna Bhargava,,
2182,Mallika Sarabhai,,
2183,Mallika Srinivasan,,
2184,Mallikarjun Mansur,,
2185,Malti Joshi,,
2186,Malur Srinivasa Thirumale Iyengar,,
2187,Malvika Sabharwal,,
2188,Mamang Dai,,
2189,Mamidipudi Venkatarangayya,,
2190,Mammen Chandy,,
2191,Mammen Mathew,,
2192,Mammootty,,
2193,Mamraj Agrawal,,
2194,Mamta Chandrakar,,
2195,Mamta Sodha,,
2196,Man Mohan Sharma,,
2197,Man Mohan Suri,,
2198,Man Singh M. Rana,,
2199,Manak Jehangir Bhickaji Maneckji,,
2200,Manas Bihari Verma,,
2201,Manas Chaudhuri,,
2202,Manchar Balvant Diwan,,
2203,Mandan Mishra,,
2204,Maneklal Sankalchand Thacker,,
2205,Mangal Singh Hazowary,,
2206,Mangala Prasad Mohanty,,
2207,Mangesh Padgaonkar,,
2208,Mangru Ganu Uikey,,
2209,Mani Krishnaswami,,
2210,Mani Kumar Chetri,,
2211,Mani Lal Bhaumik,,
2212,Mani Madhava Chakyar,,
2213,Mani Narayan,,
2214,Mani Ratnam,,
2215,Maniben Kara,,
2216,Manibhai Desai,,
2217,Manibhai J. Patel,,
2218,Manickam Narayanan,,
2219,Manik Varma,,
2220,Manikonda Chalapathi Rau,,
2221,Manikya Lal Verma,,
2222,Manilal Nag,,
2223,Manindra Agrawal,,
2224,Manju Bharat Ram,,
2225,Manju Sharma,,
2226,Manjul Bhargava,,
2227,Manjula Anagani,,
2228,Manmohan Attavar,,
2229,Manmohan Mahapatra,,
2230,Manmohan Singh,,
2231,Manna Dey,,
2232,Mannathu Padmanabha Pillai,,
2233,Manohar Devadoss,,
2234,Manohar Lal Chibber,,
2235,Manohar Parrikar,,
2236,Manoj Bajpayee,,
2237,Manoj Das,,
2238,Manoj Joshi,,
2239,Manoj Kumar,,
2240,Manorama,,
2241,Manorama Jafa,,
2242,Manoranjan Das,,
2243,Mansoor Ali Khan Pataudi,,
2244,Mansoor Hasan,,
2245,Mansukhlal Atmaram Master,,
2246,Manthiram Natarajan,,
2247,Mantosh Sondhi,,
2248,Manu Parekh,,
2249,Manu Sharma,,
2250,Manubhai Pancholi,,
2251,Manzoor Ahtesham,,
2252,Maqbool Ahmed Lari,,
2253,Marachi Subburaman,,
2254,Maria Aurora Couto,,
2255,Maria Renee Cura,,
2256,Mariadas Ruthnaswamy,,
2257,Marie Seton,,
2258,Mario Miranda,,
2259,Mariyappan Thangavelu,,
2260,Mark Tully,,
2261,Martand Singh,,
2262,Martha Chen,,
2263,Marthhand Ramchandra Jamdar,,
2264,Mary Clubwala Jadhav,,
2265,Mary Kom,,
2266,Mary Poonen Lukose,,
2267,Mary Ratnamma Issac,,
2268,Mary Theodosia,,
2269,Mary Verghese,,
2270,Maryam Begum,,
2271,Masud Hassan Rizvi,,
2272,Masuma Begum,,
2273,Mata Prasad,,
2274,Matha B. Manjamma Jogati,,
2275,Mathew Kalarickal,,
2276,Mathew Kandathil Mathulla,,
2277,Mathoor Krishnamurty,,
2278,Mathur Savani,,
2279,Mathura Das,,
2280,Mathura Nath Bhattacharyya,,
2281,Mattannoor Sankarankutty,,
2282,Mavelikara Krishnankutty Nair,,
2283,Mayadhar Mansingh,,
2284,Mayadhar Raut,,
2285,Mayangnokcha Ao,,
2286,Mayilvahanan Natarajan,,
2287,Mecca Rafeeque Ahmed,,
2288,Meena Shah,,
2289,Meenakshi Amma,,
2290,Meenakshi Chitharanjan,,
2291,Meenakshi Gopinath,,
2292,Meenakshi Jain,,
2293,Meenakshi Sargogi,,
2294,Meera Mukherjee,,
2295,Meetha Lal Mehta,,
2296,Meghnad Desai,,
2297,Mehboob Khan,,
2298,Mehdi Nawaz Jung,,
2299,Meher Jehangir Banaji,,
2300,Mehmood Dhaulpuri,,
2301,Mehmood-ur Rehman,,
2302,Mehmooda Ali Shah,,
2303,Mehrunnisa Parvez,,
2304,Melhupra Vero,,
2305,Melinda Gates,,
2306,Melville de Mellow,,
2307,Mian Bashir Ahmed,,
2308,Michael Ferreira,,
2309,Michael Postel,,
2310,Michel Danino,,
2311,Mihir Sen,,
2312,Milena Salvini,,
2313,Milind Kamble,,
2314,Milind Vasant Kirtane,,
2315,Milkha Singh,,
2316,Milon K. Banerji,,
2317,Minati Mishra,,
2318,Minoo Merwan Engineer,,
2319,Minoru Hara,,
2320,Mira Behn,,
2321,Mira Nair,,
2322,Mira Salganik,,
2323,Mirnamayee Ray,,
2324,Mirza Hameedullah Beg,,
2325,Mithali Raj,,
2326,Mithan Jamshed Lam,,
2327,Mithu Alur,,
2328,Mithuben Petit,,
2329,Mitrabhanu Gountia,,
2330,Mitraniketan Viswanathan,,
2331,Mogubai Kurdikar,,
2332,Mohamed Zainuddin Juvale,,
2333,Mohammad Ahmed Zaki,,
2334,Mohammad Ali Baig,,
2335,Mohammad Amin,,
2336,Mohammad Azharuddin,,
2337,Mohammad Hamid Ansari,,
2338,Mohammad Izhar Alam,,
2339,Mohammad Khalilullah,,
2340,Mohammad Mujeeb,,
2341,Mohammad Shafi,,
2342,Mohammad Shahid,,
2343,Mohammad Sharaf-e-Alam,,
2344,Mohammad Swaleh Ansari,,
2345,Mohammad Yousuf Taing,,
2346,Mohammad Yunus,,
2347,Mohammed Abdul Waheed,,
2348,Mohammed Din Jagir,,
2349,Mohammed Hanif Khan Shastri,,
2350,Mohammed Rafi,,
2351,Mohammed Sharif,,
2352,Mohammed Tayab Khan,,
2353,Mohammed Zahur Khayyam,,
2354,Mohan Agashe,,
2355,Mohan Babu,,
2356,Mohan Dharia,,
2357,Mohan Kameswaran,,
2358,Mohan Lal,,
2359,Mohan Mishra,"Mohan Mishra has served on two expert committees on Kala Azar set up by the Government of Bihar and the Government of India and has been an expert member of the Union Public Service Commission (UPSC). He has also served as the Inspector of the Medical Council of India for the master's degree examinations of Assam University, Silchar and Tamil University, Tanjavur. His research paper presentations at various national and international scientific conferences included the annual conferences of the Association of Physicians of India and the World Congress of Cardiology, held in 1986 at Washington DC.","మోహన్ మిశ్రా కాలా అజార్పై బీహార్ ప్రభుత్వం, భారత ప్రభుత్వం ఏర్పాటు చేసిన రెండు నిపుణుల కమిటీలలో పనిచేశారు, యూనియన్ పబ్లిక్ సర్వీస్ కమిషన్ (UPSC)లో నిపుణులైన సభ్యుడిగా ఉన్నారు. అస్సాం యూనివర్శిటీ, సిల్చార్, తమిళ యూనివర్శిటీ, తంజావూరులో మాస్టర్స్ డిగ్రీ పరీక్షలకు మెడికల్ కౌన్సిల్ ఆఫ్ ఇండియా ఇన్స్పెక్టర్గా కూడా పనిచేశారు. వివిధ జాతీయ, అంతర్జాతీయ శాస్త్రీయ సమావేశాలలో అతని పరిశోధనా పత్ర ప్రజెంటేషన్లలో అసోసియేషన్ ఆఫ్ ఫిజీషియన్స్ ఆఫ్ ఇండియా, వరల్డ్ కాంగ్రెస్ ఆఫ్ కార్డియాలజీ వార్షిక సమావేశాలు ఉన్నాయి, 1986లో వాషింగ్టన్ DCలో జరిగాయి. "
2360,Mohan Naik,,
2361,Mohan Ranade,,
2362,Mohan Reddy Venkatrama Bodanapu,,
2363,Mohan Singh,,
2364,Mohan Singh Gunjyal,,
2365,Mohan Singh Kohli,,
2366,Mohan Singh Oberoi,,
2367,Mohan Sinha Mehta,,
2368,Mohan Swaroop Bhatia,,
2369,Mohanlal,,
2370,Mohanlal Chaturbhuj Kumhar,,
2371,Mohanlal Lallubhai Dantwala,,
2372,Mohanmullji Chordia,,
2373,Mohd. Abdul Hai,,
2374,Mohd. Fayazuddin Nizami,,
2375,Mohd. Hayath,,
2376,Mohd. Shafi Khan Bekal Utsahi,,
2377,Mohinder Singh Randhawa,,
2378,Mohmmed Khalilullah,,
2379,Mohsin Wali,,
2380,Moinuddin Khan,,
2381,Mona Chandravati Gupta,,
2382,Monindra Nath Chakravarti,,
2383,Montek Singh Ahluwalia,,
2384,Mool Chand Maheshwari,,
2385,Moosa Raza,,
2386,Moozhikkal Pankajakshi,,
2387,Moozhikkulam Kochukuttan Chakyar,,
2388,Moreshwar Mangesh Wagle,,
2389,Morup Namgyal,,
2390,Mother Teresa,,
2391,Moti Chandra,,
2392,Moti Lal Dhar,,
2393,Moti Lal Kemmu,,
2394,Moti Lal Saqi,,
2395,Motilal Jotwani,,
2396,Moturi Satyanarayana,,
2397,Mrinal Datta Chaudhuri,,
2398,Mrinal Miri,,
2399,Mrinal Pande,,
2400,Mrinal Sen,,
2401,Mrinalini Sarabhai,,
2402,Mritanjaya Vaidyanathan,,
2403,Mrityunjay Athreya,,
2404,Ms. Bijoya Chakravarty,,
2405,Ms. Birubala Rabha,,
2406,Ms. Chutni Devi,,
2407,Ms. Dulari Devi,,
2408,Ms. Jaswantiben Jamnadas Popat,,
2409,Ms. Lajwanti,,
2410,Ms. Mouma Das,,
2411,Ms. Mridula Sinha,,
2412,Ms. Niru Kumar,,
2413,Ms. Pappammal,,
2414,Ms. Prakash Kaur,,
2415,Ms. Purnamasi Jani,,
2416,Ms. Radhe Devi,,
2417,Ms. Sangkhumi Bualchhuak,,
2418,Ms. Shanti Devi,,
2419,Ms. Sindhutai Sapkal,,
2420,Ms. Sudha Hari Narayan Singh,,
2421,Ms. Usha Yadav,,
2422,Mudundi Ramakrishna Raju,,
2423,Mujtaba Hussain,,
2424,Mukesh Batra,,
2425,Mukesh Kumar,,
2426,Muktaben Pankajkumar Dagli,,
2427,Mukti Prasad Gogoi,,
2428,Mukul Chandra Goswami,,
2429,Mukund Lath,,
2430,Mukund Nayak,,
2431,Mukut Dhar Pandeya,,
2432,Mukut Minz,,
2433,Mulk Raj Anand,,
2434,Mulk Raj Chopra,,
2435,Mulk Raj Saraf,,
2436,Mungtu Ram Jaipuria,,
2437,Muni Inder Dev Sharma,,
2438,Munirathna Anandakrishnan,"Post retirement, Anandakrishnan is known to have been active by involving himself with many institutions and organizations. He was the honorary chairman of the Board of Governors of the Indian Institute of Technology, Kanpur and held the chair of the Higher Education Committee of the Federation of Indian Chamber of Commerce and Industries (FICCI). He was a member of the executive councils of the University of Kerala, Central University of Haryana, Sikkim University and the National University of Educational Planning and Administration (NUEPA). He was a former chairman of Science City, Tamil Nadu, Madras Institute of Development Studies (MIDS), the High-Power Committee for the Review and Reorientation of the Undergraduate Engineering Education in India and the Board of Undergraduate Studies of the All India Council for Technical Education (AICTE), New Delhi.Anandakrishnan was the president of the Madras Science Association and Tamil Nadu Academy of Sciences and a member of the Indian Society for Technical Education and the Indian Society for Theoretical and Applied Mechanics. He was also associated as a member with organizations such as Madras School of Economics, A. M. M. Murugappa Chettiar Research Centre, C. P","పదవీ విరమణ తర్వాత, ఆనందకృష్ణన్ అనేక సంస్థలు, సంస్థలలో పాల్గొనడం ద్వారా క్రియాశీలకంగా వ్యవహరిస్తున్నారు. ఇతను కాన్పూర్లోని ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీకి బోర్డ్ ఆఫ్ గవర్నర్స్ గౌరవాధ్యక్షుడు, ఫెడరేషన్ ఆఫ్ ఇండియన్ ఛాంబర్ ఆఫ్ కామర్స్ అండ్ ఇండస్ట్రీస్ (FICCI), ఉన్నత విద్యా కమిటీకి అధ్యక్షుడిగా ఉన్నారు. ఇతను కేరళ విశ్వవిద్యాలయం, సెంట్రల్ యూనివర్శిటీ ఆఫ్ హర్యానా, సిక్కిం విశ్వవిద్యాలయం, నేషనల్ యూనివర్శిటీ ఆఫ్ ఎడ్యుకేషనల్ ప్లానింగ్ అండ్ అడ్మినిస్ట్రేషన్ (NUEPA) ఎగ్జిక్యూటివ్ కౌన్సిల్లలో సభ్యుడు. ఇతను తమిళనాడులోని సైన్స్ సిటీ, మద్రాస్ ఇన్స్టిట్యూట్ ఆఫ్ డెవలప్మెంట్ స్టడీస్ (MIDS), భారతదేశంలో అండర్ గ్రాడ్యుయేట్ ఇంజినీరింగ్ ఎడ్యుకేషన్, సమీక్ష, పునర్వ్యవస్థీకరణ కోసం హై-పవర్ కమిటీ, ఆల్ ఇండియా కౌన్సిల్, బోర్డ్ ఆఫ్ అండర్ గ్రాడ్యుయేట్ స్టడీస్కు మాజీ ఛైర్మన్గా ఉన్నారు. సాంకేతిక విద్య (AICTE), న్యూఢిల్లీ. ఆనందకృష్ణన్ మద్రాస్ సైన్స్ అసోసియేషన్, తమిళనాడు అకాడమీ ఆఫ్ సైన్సెస్ అధ్యక్షుడిగా, ఇండియన్ సొసైటీ ఫర్ టెక్నికల్ ఎడ్యుకేషన్, ఇండియన్ సొసైటీ ఫర్ థియరిటికల్ అండ్ అప్లైడ్ మెకానిక్స్లో సభ్యుడు. ఇతను మద్రాస్ స్కూల్ ఆఫ్ ఎకనామిక్స్, A వంటి సంస్థలతో సభ్యునిగా కూడా సంబంధం కలిగి ఉన్నాడు. ఎం. ఎం. మురుగప్ప చెట్టియార్ పరిశోధనా కేంద్రం, సి. పి. "
2439,Munna Master,,
2440,Murli Manohar Joshi,,
2441,Murlikant Petkar,,
2442,Murugappa Channaveerappa Modi,,
2443,Musafir Ram Bhardwaj,,
2444,Mushirul Hasan,,
2445,Mushtaq Ahmed,,
2446,Mushtaq Ali,,
2447,Mushtaq Hussain Khan,,
2448,Musiri Subramania Iyer,,
2449,Mustansir Barma,,
2450,Muthu Krishna Mani,,
2451,Muthu Muthiah Sthapathi,,
2452,Muthulakshmi Reddi,,
2453,Muzaffar Ali,,
2454,Muzaffar Hussain Baig,,
2455,Muzaffer Hussain,,
2456,Mylai Ponnuswamy Sivagnanam,,
2457,Mylswamy Annadurai,,
2458,Myneni Hariprasada Rao,,
2459,Mysore Narasimhachar Srinivas,,
2460,Mysore Shrikanta Pandit Nilkanta Rao,,
2461,N. Balakrishna Reddy,,
2462,N. Balakrishnan Nair,,
2463,N. Chandrasekharan Nair,,
2464,N. D. Sundaravadivelu,,
2465,N. G. Krishna Murti,,
2466,N. G. Ranga,,
2467,N. Gopalaswami,,
2468,N. H. Antia,,
2469,N. H. Wadia,,
2470,N. Kesava Panikkar,,
2471,N. Khelchandra Singh,,
2472,N. M. Wagle,,
2473,N. Mahalingam,,
2474,N. Prabhakar,,
2475,N. R. Madhava Menon,,
2476,N. R. Malkani,,
2477,N. R. Narayana Murthy,,
2478,N. Rajam,,
2479,N. Ram,,
2480,N. Ramaswami Ayyar,,
2481,N. S. Bendre,,
2482,N. S. Rajhans (Bal Gandharva),,
2483,N. S. Ramanuja Tatacharya,,
2484,N. S. Ramaswamy,,
2485,N. S. Venkatesan,,
2486,N. T. Rama Rao,,
2487,N. Vittal,,
2488,Na. Muthuswamy,,
2489,Nabakanta Barua,,
2490,Nabaneeta Dev Sen,,
2491,Nadarajan Raj Chetty,,
2492,Nagarajan Vedachalam,,
2493,Nagarur Gopinath,,
2494,Nagendra,,
2495,Nagendra Singh,,
2496,Nagindas Sanghavi,,
2497,Nagnath Naikwadi,,
2498,Naheed Abidi,,
2499,Naina Devi,,
2500,Naina Lal Kidwai,,
2501,Nalapat Balamani Amma,,
2502,Nalini Bala Devi,,
2503,Nalini Ranjan Mohanty,,
2504,Nalli Kuppuswami Chetti,,
2505,Namagiripettai Krishnan,,
2506,Namagundlu Venkata Krishnamurthy,,
2507,Nambi Narayanan,,
2508,Namdeo C Kamble,,
2509,Namdeo Dhasal,,
2510,Namdeo Dhondo Mahanor,,
2511,Nameirakpam Ibemni Devi,,
2512,Nampally Divakar,,
2513,Nana Chudasama,,
2514,Nana Patekar,,
2515,Nanabhai Bhatt,,
2516,Nanabhoy Palkhivala,,
2517,Nanadro B Marak,,
2518,Nanaji Deshmukh,,
2519,Nanasaheb Parulekar,,
2520,Nand Kishore Verma,,
2521,Nand Kumar Avasthi,,
2522,Nanda Prusty,,
2523,Nandalal Bose,,
2524,Nandan Nilekani,,
2525,Nandkishore Shamrao Laud,,
2526,Nandlal Lachmilal Bordia,,
2527,Nani Chandra Bordoloi,,
2528,Naoroji Pirojsha Godrej,,
2529,Narain Karthikeyan,,
2530,Narain Singh Thapa,,
2531,Narasimhiah Seshagiri,,
2532,Narasinh Narayan Godbole,,
2533,Narayan Chaturvedi,,
2534,Narayan Das Maharaj,,
2535,Narayan Debnath,,
2536,Narayan Gangaram Surve,,
2537,Narayan Joshi Karayal,,
2538,Narayan Sadoba Kajrolkar,,
2539,Narayan Singh,,
2540,Narayan Singh Bhati Zipashni,,
2541,Narayan Singh Manaklao,,
2542,Narayan Sitaram Phadke,,
2543,Narayan Subarao Hardikar,,
2544,Narayan Swami Dharmarajan,,
2545,Narayana Panicker Kochupillai,,
2546,Narayana Purushothama Mallaya,,
2547,Narayana Raghvan Pillai,,
2548,Narayanan Srinivasan,,
2549,Narayanan Vaghul,,
2550,Narayanaswamy Balakrishnan,,
2551,Narendra Dabholkar,,
2552,Narendra Kohli,,
2553,Narendra Kumar (mountaineer),,
2554,Narendra Kumar (physicist),,
2555,Narendra Kumar Pandey,"Pandey holds many positions of significance.

Chairman and Managing Director - Asian Institute of Medical Sciences
Vice President - International College of Surgeons, Chicago
Council Member - International College of Surgeons, Chicago
Joint Editor - Indian Journal of Surgery
Secretary - Indian Health care Federation
Secretary - Raj Nanda Pulmonary disease Trust
Former President - Association of Surgeons of IndiaPandey was an official examiner for MRCS and FRCS examinations of the Royal College of Surgeons of Edinburgh till 2000, and the National Board of Examinations (NBE) India. He is also a member of the National committee on Health of the Confederation of Indian Industry, Senate of the Teerthanker Mahaveer University and the Governing Council of the College of Surgeons of India. he also serves as the director of Lakhani India Ltd, Blue Sapphire Healthcare Pvt. Ltd., Escorts Employees Welfare Ltd., Turquoise House of Design and Trading Pvt. Ltd.","పాండే అనేక ముఖ్యమైన పదవులను కలిగి ఉన్నాడు. ఛైర్మన్, మేనేజింగ్ డైరెక్టర్ - ఏషియన్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ వైస్ ప్రెసిడెంట్ - ఇంటర్నేషనల్ కాలేజ్ ఆఫ్ సర్జన్స్, చికాగో కౌన్సిల్ సభ్యుడు - ఇంటర్నేషనల్ కాలేజ్ ఆఫ్ సర్జన్స్, చికాగో జాయింట్ ఎడిటర్ - ఇండియన్ జర్నల్ ఆఫ్ సర్జరీ సెక్రటరీ - ఇండియన్ హెల్త్ కేర్ ఫెడరేషన్ సెక్రటరీ - రాజ్ నంద పల్మనరీ డిసీజ్ ట్రస్ట్ మాజీ ప్రెసిడెంట్ - అసోసియేషన్ ఆఫ్ సర్జన్స్ ఆఫ్ ఇండియా 2000 వరకు ఎడిన్బర్గ్లోని రాయల్ కాలేజ్ ఆఫ్ సర్జన్స్, నేషనల్ బోర్డ్ ఆఫ్ ఎగ్జామినేషన్స్ (NBE) భారతదేశం, MRCS, FRCS పరీక్షలకు అధికారిక పరిశీలకుడు. ఇతను కాన్ఫెడరేషన్ ఆఫ్ ఇండియన్ ఇండస్ట్రీ ఆరోగ్యంపై జాతీయ కమిటీ, తీర్థంకర్ మహావీర్ విశ్వవిద్యాలయం సెనేట్, కాలేజ్ ఆఫ్ సర్జన్స్ ఆఫ్ ఇండియా, గవర్నింగ్ కౌన్సిల్ సభ్యుడు కూడా. ఇతను లఖానీ ఇండియా లిమిటెడ్, బ్లూ సఫైర్ హెల్త్కేర్ ప్రైవేట్ లిమిటెడ్ డైరెక్టర్గా కూడా పనిచేస్తున్నాడు. Ltd., ఎస్కార్ట్స్ ఎంప్లాయీస్ వెల్ఫేర్ లిమిటెడ్., టర్కోయిస్ హౌస్ ఆఫ్ డిజైన్ అండ్ ట్రేడింగ్ ప్రైవేట్. Ltd. "
2556,Narendra Nath Bery,,
2557,Narendra Prasad,,
2558,Narendra Singh,,
2559,Narendra Singh Dev,,
2560,Narendra Singh Jain,,
2561,Naresh Bedi,,
2562,Naresh Chander Lal,,
2563,Naresh Chandra,,
2564,Naresh Kanodia,,
2565,Naresh Kumar Trehan,,
2566,Naresh Sohal,,
2567,Naresh Trehan,,
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,,
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,,
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,,
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,,
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,"Nazir Ahmed has contributed to the propagation of the Persian language in more than one ways. He served in many academic committees and editorial boards of many Persian journals. He was a member of the editorial board of Ma-arif, a monthly journal published by the Darul Musannefin Shibli Academy Azamgarh. After taking part in the First International Conference on Amir Khusro held in Chicago in 1988, at the request of the Amir Khusro Society of America (AKSA), Professor Ahmed led a team of scholars in a project funded by the Smithsonian. This project was tasked with translating the works of Amir Khusro, with the support from Hakim Abdul Hameed, the founder of Jamia Hamdard of New Delhi and former Chancellor of Aligarh Muslim University. In connection with the UNESCO announcement declaring the year 1988 as the Year of Hafez, Professor Ahmed edited and published two old manuscripts by the 14th-century Persian mystic and poet.","నజీర్ అహ్మద్ పర్షియన్ భాష, ప్రచారానికి ఒకటి కంటే ఎక్కువ మార్గాల్లో సహకరించారు. ఇతను అనేక అకడమిక్ కమిటీలు, అనేక పెర్షియన్ పత్రికల సంపాదకీయ బోర్డులలో పనిచేశాడు. ఇతను దారుల్ ముసన్నెఫిన్ షిబ్లీ అకాడమీ అజంగఢ్ ప్రచురించిన మా-ఆరిఫ్, సంపాదకీయ మండలి సభ్యుడు. 1988లో చికాగోలో జరిగిన అమీర్ ఖుస్రోపై జరిగిన మొదటి అంతర్జాతీయ సదస్సులో పాల్గొన్న తర్వాత, అమీర్ ఖుస్రో సొసైటీ ఆఫ్ అమెరికా (AKSA) అభ్యర్థన మేరకు, ప్రొఫెసర్ అహ్మద్ స్మిత్సోనియన్ నిధులతో ఒక ప్రాజెక్ట్లో పండితుల బృందానికి నాయకత్వం వహించారు. న్యూ ఢిల్లీకి చెందిన జామియా హమ్దార్ద్ వ్యవస్థాపకుడు, అలీఘర్ ముస్లిం విశ్వవిద్యాలయం మాజీ ఛాన్సలర్ హకీమ్ అబ్దుల్ హమీద్ సహకారంతో అమీర్ ఖుస్రో రచనలను అనువదించే బాధ్యత ఈ ప్రాజెక్ట్ చేయబడింది. 1988 సంవత్సరాన్ని హఫీజ్ సంవత్సరంగా ప్రకటించే యునెస్కో ప్రకటనకు సంబంధించి, ప్రొఫెసర్ అహ్మద్ 14వ శతాబ్దపు పర్షియన్ ఆధ్యాత్మికవేత్త, కవి, రెండు పాత మాన్యుస్క్రిప్ట్లను సవరించి ప్రచురించారు. "
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,,
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,,
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,"Niranjan Pandya serves as a member of the Access Audit Committee of the Government of India and is associated with the Vision 2020, an initiative of the International Agency for Prevention of Blindness as a member. He is the vice president of the National Association for the Blind and a member of the Zonal Advisory Committee of the Rehabilitation Council of India, the district committee for the Prevention and Control of Blindness, a government initiative, and advisory committee of the Department of Social Service under the Ministry of Health and Family Welfare. A Paul Harris Fellow of Rotary International, Pandya has served as the chairman of the Eye Care Committee of Rotary Club in Pune. He is also a member of the Asian Blind Union, the World Blind Union and the board of governing councils for the National Societies for the Handicapped in India.","నిరంజన్ పాండ్యా భారత ప్రభుత్వం, యాక్సెస్ ఆడిట్ కమిటీలో సభ్యునిగా పనిచేస్తున్నారు, అంధత్వ నివారణ కోసం అంతర్జాతీయ ఏజెన్సీ సభ్యునిగా చేపట్టిన విజన్ 2020తో అనుబంధం కలిగి ఉన్నారు. ఇతను నేషనల్ అసోసియేషన్ ఫర్ ది బ్లైండ్ వైస్ ప్రెసిడెంట్, రీహాబిలిటేషన్ కౌన్సిల్ ఆఫ్ ఇండియా, జోనల్ అడ్వైజరీ కమిటీ సభ్యుడు, బ్లైండ్నెస్ నివారణ, నియంత్రణ కోసం జిల్లా కమిటీ, ప్రభుత్వ చొరవ, సామాజిక విభాగం, సలహా కమిటీ. ఆరోగ్య, కుటుంబ సంక్షేమ మంత్రిత్వ శాఖ క్రింద సేవ. రోటరీ ఇంటర్నేషనల్కు చెందిన పాల్ హారిస్ ఫెలో, పాండ్యా పూణేలోని రోటరీ క్లబ్కు ఐ కేర్ కమిటీ ఛైర్మన్గా పనిచేశారు. ఇతను ఆసియన్ బ్లైండ్ యూనియన్, వరల్డ్ బ్లైండ్ యూనియన్, భారతదేశంలోని నేషనల్ సొసైటీస్ ఫర్ ది హ్యాండిక్యాప్డ్ బోర్డ్ ఆఫ్ గవర్నింగ్ కౌన్సిల్లో సభ్యుడు కూడా. "
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,,
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,,
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
2658,Noboru Karashima,,
2659,Nokdenlemba,,
2660,Nomita Chandy,,
2661,Nookala Chinna Satyanarayana,,
2662,Norden Tshering,,
2663,Norma Alvares,,
2664,Norman Borlaug,,
2665,Noshir M. Shroff,,
