,Recipients,education and career,education and career Telugu
2566,Naresh Sohal,,
2567,Naresh Trehan,"In 1963 Dr. Trehan got admission in King George's Medical College in Lucknow. In November 1969 he moved to USA and became a first-year resident at the Thomas Jefferson University Hospital in Philadelphia.Trehan was the founder,
director and chief cardiovascular surgeon of Escorts Heart Institute and Research Center (EHIRC), which opened on Okhla Road, Delhi in 1988. Presently, Trehan is the Founder Chairman of Medanta - The Medicity one of the largest multi-specialty hospital at Gurgaon, Haryana established in 2009. Trehan has been president of the International Society for Minimally Invasive Cardiac Surgery.
As chairman of Global Health Private Ltd., Trehan has overseen the building of an integrated health care facility in Gurgaon, India, currently referred to as Medanta - The Medicity. Medicity is spread across 43 acres (170,000 m2) of land. Collaborating with Siemens and other financial partners, Medicity combines modern medicine with traditional medicine and holistic therapies","1963లో డా. ట్రెహాన్ లక్నోలోని కింగ్ జార్జ్ మెడికల్ కాలేజీలో అడ్మిషన్ పొందాడు. నవంబర్ 1969లో ఇతను USAకి వెళ్లి ఫిలడెల్ఫియాలోని థామస్ జెఫెర్సన్ యూనివర్శిటీ హాస్పిటల్లో మొదటి-సంవత్సరం నివాసి అయ్యాడు. ట్రెహాన్ 1988లో ఢిల్లీలోని ఓఖ్లా రోడ్లో ప్రారంభమైన ఎస్కార్ట్స్ హార్ట్ ఇన్స్టిట్యూట్ అండ్ రీసెర్చ్ సెంటర్ (EHIRC) వ్యవస్థాపకుడు, డైరెక్టర్, చీఫ్ కార్డియోవాస్కులర్ సర్జన్. ప్రస్తుతం, ట్రెహాన్ 2009లో స్థాపించబడిన హర్యానాలోని గుర్గావ్లో అతిపెద్ద మల్టీ-స్పెషాలిటీ హాస్పిటల్లో మెదంతా - ది మెడిసిటీ వ్యవస్థాపక చైర్మన్. ట్రెహాన్ ఇంటర్నేషనల్ సొసైటీ ఫర్ మినిమల్లీ ఇన్వాసివ్ కార్డియాక్ సర్జరీకి అధ్యక్షుడిగా ఉన్నారు. గ్లోబల్ హెల్త్ ప్రైవేట్ లిమిటెడ్ ఛైర్మన్గా., ట్రెహాన్ భారతదేశంలోని గుర్గావ్లో ఇంటిగ్రేటెడ్ హెల్త్ కేర్ ఫెసిలిటీ నిర్మాణాన్ని పర్యవేక్షించారు, ప్రస్తుతం దీనిని మెదాంత - ది మెడిసిటీగా సూచిస్తారు. మెడిసిటీ 43 ఎకరాల (170, 000 మీ2) భూమిలో విస్తరించి ఉంది. సిమెన్స్, ఇతర ఆర్థిక భాగస్వాములతో కలిసి మెడిసిటీ సాంప్రదాయ ఔషధం, సంపూర్ణ చికిత్సలతో ఆధునిక వైద్యాన్ని మిళితం చేస్తుంది. "
2568,Nargis,,
2569,Nari Contractor,,
2570,Narindar Nath Khanna,,
2571,Narinder Kumar Gupta,,
2572,Narinder Nath Mohan,,
2573,Narinder Nath Vohra,,
2574,Narinder Singh Kapany,,
2575,Narinder Singh Randhawa,,
2576,Narla Tata Rao,,
2577,Narmada Prasad Gupta,,
2578,Narpati Datta,,
2579,Narsingh Dev Jamwal,,
2580,Nartaki Natraj,,
2581,Naseeruddin Shah,,
2582,Nashir Framroz Suntook,,
2583,Nasir Aminuddin Daggar,,
2584,Nataraja Ramakrishna,,
2585,Natesan Ramani,,
2586,Natesan Rangabashyam,,
2587,Natteri Veeraraghavan,,
2588,Natthi Singh,,
2589,Natwar Thakkar,,
2590,Naushad,,
2591,Naushad Ismail Padamsee,,
2592,Nautam Bhatt,"Bhatt had his schooling in Bhavnagar and early college education at Samaldas College, Bhavnagar, Gujarat. He received his B.A. degree from the Gujarat College in Ahmedabad. He then received his MSc degree in physics under the Nobel Laureate, C. V. Raman, at the Indian Institute of Science (IISc), Bangalore. Following a year of teaching at Samaldas College, Bhatt was awarded a fellowship by the Maharaja of Bhavnagar to pursue the doctorate program at Massachusetts Institute of Technology where he earned his Ph.D. degree in physics in 1939","భట్ భావ్నగర్లో పాఠశాల విద్యను అభ్యసించారు, గుజరాత్లోని భావ్నగర్లోని సమదాస్ కళాశాలలో ప్రారంభ కళాశాల విద్యను అభ్యసించారు. ఇతను తన బి అందుకున్నాడు. ఎ. అహ్మదాబాద్లోని గుజరాత్ కాలేజీ నుండి డిగ్రీ. ఇతను నోబెల్ గ్రహీత, సి క్రింద భౌతికశాస్త్రంలో తన MSc డిగ్రీని పొందాడు. వి. రామన్, బెంగళూరులోని ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ సైన్స్ (IISc)లో ఉన్నారు. సమల్దాస్ కళాశాలలో ఒక సంవత్సరం బోధించిన తరువాత, భట్ మసాచుసెట్స్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీలో డాక్టరేట్ ప్రోగ్రామ్ను కొనసాగించడానికి భావ్నగర్ మహారాజా ఫెలోషిప్ను పొందాడు, అక్కడ ఇతను తన Ph సంపాదించాడు. డి. 1939లో భౌతిక శాస్త్రంలో పట్టా పొందారు. "
2593,Naval Tata,,
2594,Navalpakkam Parthasarthy,,
2595,Navaneetham Padmanabha Seshadri,,
2596,Naveen Khanna,,
2597,Nawab Zain Yar Jung,,
2598,Nawang Gombu Sherpa,,
2599,Nayana Apte Joshi,,
2600,Nazir Ahmed,,
2601,Neelam Kler,,
2602,Neelam Mansingh Chowdhry,,
2603,Neelamani Devi,,
2604,Neelkantha Anneppa Kalyani,,
2605,Neidonuo Angami,,
2606,Neil Nongkynrih,,
2607,Nek Chand Saini,,
2608,Nekibuz Zaman,,
2609,Nellie Sengupta,,
2610,Nelly Homi Sethna,,
2611,Nemai Ghosh,,
2612,Nemi Chandra Jain,,
2613,Nemnath Jain,,
2614,Nepal Mahato,,
2615,Nerella Venu Madhav,,
2616,Neyyattinkara Vasudevan,,
2617,Ngawang Samten,,
2618,Nguyen Tien Thien,,
2619,Niaz Fatehpuri,,
2620,Nicholas Kazanas,,
2621,Nida Fazli,,
2622,Nidumolu Sumathi,,
2623,Niharranjan Ray,,
2624,Nikhil Banerjee,,
2625,Nikhil Ghosh,,
2626,Nikhil Tandon,,
2627,Nila Madhab Panda,,
2628,Nilakanta Krishnan,,
2629,Nilakantha Das,,
2630,Nilamber Dev Sharma,,
2631,Nilamber Pant,,
2632,Nileema Mishra,,
2633,Nilkanth Yeshwant Khadilkar,,
2634,Nilmani Phookan,,
2635,Nima Namgyal Lama,,
2636,Nimai Charan Harichandan,,
2637,Niranjan Das Aggarwal,,
2638,Niranjan Das Gulhati,,
2639,Niranjan Goswami,,
2640,Niranjan Pranshankar Pandya,,
2641,Niranjanananda Saraswati,,
2642,Niren De,,
2643,Nirmal Chandra Sinha,,
2644,Nirmal Kumar Bose,,
2645,Nirmal Kumar Ganguly,,
2646,Nirmal Kumar Sidhanta,,
2647,Nirmal Singh Khalsa,,
2648,Nirmal Verma,,
2649,Nirmala Deshpande,,
2650,Nirupam Bajpai,"Bajpai, after graduating from Lucknow and securing a PhD in economics in 1988, moved to US in 1992 where he worked at the Massachusetts Institute of Technology before joining Harvard Institute for International Development of Harvard University in 1995. He worked at Harvard University till 2002 during which time he also worked at the Kennedy School of Government of the University and led the Harvard India Program. In 2002, he joined Columbia University and is associated with the institution since then, working in various capacities.","1988లో లక్నో నుండి పట్టభద్రుడై, ఆర్థికశాస్త్రంలో పీహెచ్డీ పట్టా పొందిన తర్వాత, 1995లో హార్వర్డ్ ఇన్స్టిట్యూట్ ఫర్ ఇంటర్నేషనల్ డెవలప్మెంట్ ఆఫ్ హార్వర్డ్ యూనివర్సిటీలో చేరడానికి ముందు బాజ్పాయ్ 1992లో అమెరికాకు వెళ్లారు. ఇతను 2002 వరకు హార్వర్డ్ విశ్వవిద్యాలయంలో పనిచేశాడు, ఆ సమయంలో ఇతను యూనివర్సిటీలోని కెన్నెడీ స్కూల్ ఆఫ్ గవర్నమెంట్లో కూడా పనిచేశాడు, హార్వర్డ్ ఇండియా ప్రోగ్రామ్కు నాయకత్వం వహించాడు. 2002లో, ఇతను కొలంబియా విశ్వవిద్యాలయంలో చేరాడు, అప్పటి నుండి సంస్థతో అనుబంధం కలిగి ఉన్నాడు, వివిధ హోదాల్లో పనిచేశాడు. "
2651,Nisith Ranjan Ray,,
2652,Nissar Hussain Khan,,
2653,Nissim Ezekiel,,
2654,Nitish Chandra Laharry,,
2655,Nitish Naik,,
2656,Nitya Anand,,
2657,Nivedita Raghunath Bhide,,
2658,Noboru Karashima,,
2659,Nokdenlemba,,
2660,Nomita Chandy,,
2661,Nookala Chinna Satyanarayana,,
2662,Norden Tshering,,
2663,Norma Alvares,,
2664,Norman Borlaug,,
2665,Noshir M. Shroff,,
2666,Nouf Marwaai,,
2667,Nripendra Misra,,
2668,Nuchhungi Renthlei,,
2669,Nuruddin Ahmed,,
2670,Nutan,,
2671,Nuthakki Bhanu Prasad,,
2672,O. N. V. Kurup,,
2673,O. P. Bahl,,
2674,O. P. Jain,,
2675,O. V. Vijayan,,
2676,Obaid Siddiqi,,
2677,Oinam Bembem Devi,,
2678,Om Agarwal,,
2679,Om P. Bahl,,
2680,Om Prakash Agrawal,,
2681,Om Prakash Mathur,,
2682,Om Prakash Mehra,,
2683,Om Prakash Mittal,,
2684,Om Prakash Upadhyaya,,
2685,Om Puri,,
2686,Omeo Kumar Das,,
2687,Omesh Kumar Bharti,,
2688,Omkarnath Thakur,,
2689,Onkar Nath Srivastava,,
2690,Onkar Srinivasa Murthy,,
2691,Osamu Suzuki,,
2692,Oudh Narayan Shrivastava,,
2693,P Subramanian,,
2694,P Tiruvillvamalai Seshan M. Iyer,,
2695,P. A. Sangma,,
2696,P. Anitha,,
2697,P. Ardeshir Narielwala,,
2698,P. B. Buckshey,,
2699,P. Balacharya Gajendragadkar,,
2700,P. Bhanumathi,,
2701,P. C. Sorcar,,
2702,P. Chandrasekhara Rao,,
2703,P. Gopinathan,,
2704,P. Gopinathan Nair,,
2705,P. K. Banerjee,,
2706,P. K. Gopal,,
2707,P. K. Narayanan Nambiar,,
2708,P. K. Rajagopalan,,
2709,P. K. Sethi,,
2710,P. K. Warrier,,
2711,P. Kalathil Kunju Kurup,,
2712,P. Kilemsungla,,
2713,P. Krishnagopala Iyengar,,
2714,P. Leela,,
2715,P. N. Bhagwati,,
2716,P. N. Bhaskaran Nair,,
2717,P. N. Dhar,,
2718,P. N. Pattabhirama Sastri,,
2719,P. N. V. Kurup,,
2720,P. Namperumalsamy,,
2721,P. Narasimhayya,,
2722,P. O. Dunn,,
2723,P. Parameswaran,,
2724,P. Prabhakar Kumaramangalam,,
2725,P. R. Dubhashi,,
2726,P. R. Krishna Kumar,,
2727,P. R. Shreejesh,,
2728,P. R. Thilagam,,
2729,P. Ramanathan Rajgopal,,
2730,P. S. Appu,,
2731,P. S. Bedi,,
2732,P. S. Chawngthu,,
2733,P. S. Narayanaswamy,,
2734,P. Susheela,,
2735,P. T. Narasimhachar,,
2736,P. T. Usha,,
2737,P. V. A. Mohandas,,
2738,P. V. R. Rao,,
2739,P. V. Rajaraman,,
2740,P. V. S. Rao,,
2741,P. V. Sindhu,,
2742,Pablo Bartholomew,,
2743,Padamanur Ananda Rau,,
2744,Padma Desai,,
2745,Padma Sachdev,,
2746,Padma Subrahmanyam,,
2747,Padmaja Naidu,,
2748,Padmaja Phenany Joglekar,,
2749,Padmanabhan Balaram,,
2750,Padmavathy Bandopadhyay,,
2751,Pakkiriswamy Chandra Sekharan,,
2752,Palahalli Sitaramiah,,
2753,Palaniandi Kandaswamy,,
2754,Palghat R. Raghu,,
2755,Palle Rama Rao,,
2756,Palligarnai Thirumalai Venugopal,,
2757,Pallonji Mistry,,
2758,Palpu Pushpangadan,,
2759,Pamela Cullen,,
2760,Pammal Sambandha Mudaliar,,
2761,Panangipalli Venugopal,,
2762,Panavelil Thomas Chandi,,
2763,Panchapakesa Jayaraman,,
2764,Pancheti Koteswaram,,
2765,Pandit Jasraj,,
2766,Pandit Surinder Singh,,
2767,Pandurang Dharmaji Jadhav,,
2768,Pandurang Rajaram Ghogrey,,
2769,Pandurang Shastri Athavale,,
2770,Pandurang Vasudeo Gadgil,,
2771,Pandurang Vasudeo Sukhatme,,
2772,Pandyala Satyanarayana Rau,,
2773,Pankaj Advani,,
2774,Pankaj Arjan Advani,,
2775,Pankaj Charan Das,,
2776,Pankaj M Shah,,
2777,Pankaj Mullick,,
2778,Pankaj Roy,,
2779,Pankaj Udhas,,
2780,Pannuru Sripathy,,
2781,Papanasam Sivan,,
2782,Paramananda Acharya,,
2783,Parameswaran Kuttapp Panikkar,,
2784,Paramsukh J. Pandya,,
2785,Parasaran Kesava Iyengar,,
2786,Parassala B. Ponnammal,,
2787,Parasu Ram Mishra,,
2788,Paresh Maity,,
2789,Paresh Rawal,,
2790,Pargat Singh,,
2791,Parixitalal Lallu Bhai Majumdar,,
2792,Parkash Singh Badal,,
2793,Parmeshwari Lal Verma,,
2794,Parshuram Atmaram Gangavane,,
2795,Parshuram Mishra,,
2796,Parveen Sultana,,
2797,Parveen Talha,,
2798,Patricia Mukhim,,
2799,Paul Pothen,,
2800,Paul Ratnasamy,,
2801,Pavaguda V. Indiresan,,
2802,Pavani Parameswara Rao,,
2803,Pawan Raj Goyal,,
2804,Penaz Masani,,
2805,Penimangalore Appraya Bhatt,,
2806,Pepita Seth,,
2807,Perakath Verghese Benjamin,,
2808,Perin Captain,,
2809,Periyasaamy Thooran,,
2810,Perugu Siva Reddy,,
2811,Peruvanam Kuttan Marar,,
2812,Pessie Madan,,
2813,Peter Brook,,
2814,Phanishwar Nath Renu,,
2815,Philip Augustine,,
2816,Philipose Mar Chrysostom,,
2817,Phillips Talbot,,
2818,Phool Chand Chowdhary,,
2819,Phoolbasan Bai Yadav,,
2820,Phu Dorjee,,
2821,Phu Dorjee Sherpa,,
2822,Phul Chand,,
2823,Phulrenu Guha,,
2824,Pichu Sambamoorthi,,
2825,Pilloo Maneck Maneckiji,,
2826,Piloo Nowshir Jungalwalla,,
2827,Pisharoth Rama Pisharoty,,
2828,Pitambar Pant,,
2829,Piyong Temjen Jamir,,
2830,Piyush Pandey,,
2831,Polly Umrigar,,
2832,Ponisseril Somasundaran,,
2833,Poola Tirupati Raju,,
2834,Poornima Arvind Pakvasa,,
2835,Popatrao Baguji Pawar,,
2836,Pothan Joseph,,
2837,Prabha Atre,,
2838,Prabhakar Bhikaji Chitnis,,
2839,Prabhakar Vaidya,,
2840,Prabhashankar Oghadbhai Sompura,,
2841,Prabhashankar Ramachandra Bhatt,,
2842,Prabhat Kumar Mukhopadhyaya,,
2843,Prabhu Chawla,,
2844,Prabhu Dayal Dabriwala,,
2845,Prabhu Dayal Nigam,,
2846,Prabhu Deva,,
2847,Prabhu Lal Bhatnagar,,
2848,Prabjot Kaur,,
2849,Pradeep Chowbey,,
2850,Pradeep Kumar Banerjee,,
2851,Pradeep Kumar Dave,,
2852,Pradhan Shambu Saran,,
2853,Pradip Kumar Banerjee,,
2854,Pradip Ranjan Roy,,
2855,Prafulla Baruah,,
2856,Prafulla Desai,,
2857,Prafulla Kar,,
2858,Prafulla Kumar Jena,,
2859,Prafulla Kumar Sen,,
2860,Prahlad Chandra Tasa,,
2861,Prahlad Kumar Sethi,,
2862,Prahlad Tipanya,,
2863,Prahlada,,
2864,Prakash Amte,,
2865,Prakash Chand Surana,,
2866,Prakash Chandra,,
2867,Prakash N. Dubey,,
2868,Prakash Nanalal Kothari,,
2869,Prakash Narain Tandon,,
2870,Prakash Padukone,,
2871,Prakash Singh,,
2872,Pramathanath Bishi,,
2873,Pramod Kale,,
2874,Pramod Kumar Julka,,
2875,Pramod Tandon,,
2876,Pran,,
2877,Pran Kishore Kaul,,
2878,Pran Kumar Sharma,,
2879,Pran Nath Chhutani,,
2880,Pran Nath Luthra,,
2881,Prana Krushna Parija,,
2882,Pranab K. Sen,,
2883,Pranab Mukherjee,,
2884,Pranab Rehatriranjan Dastidar,,
2885,Prasad Sawkar,,
2886,Prasanta Chandra Mahalanobis,,
2887,Prasanta Kumar Pattanaik,,
2888,Prashanti Singh,,
2889,Prasoon Joshi,,
2890,Pratap Chandra Lal,,
2891,Pratap Govindrao Pawar,,
2892,Pratap Pawar,,
2893,Pratap Singh Hardia,,
2894,Pratapaditya Pal,,
2895,Pratapri Girdhari Lal Mehta,,
2896,Pratapsinh Jadhav,,
2897,Prathap C. Reddy,,
2898,Pratibha Prahlad,,
2899,Pratibha Ray,,
2900,Pratima Barua Pandey,,
2901,Pratul Chandra Gupta,,
2902,Pratury Trirumala Rao,,
2903,Pravakara Maharana,,
2904,Praveen Chandra,,
2905,Pravin Darji,,
2906,Pravin Gordhan,,
2907,Pravin H. Parekh,,
2908,Pravinchandra Varjivan Gandhi,,
2909,Predhiman Krishan Kaw,,
2910,Predrag K. Nikic,,
2911,Prem Chand Sharma,,
2912,Prem Chandra Dhanda,,
2913,Prem Chandra Luthar,,
2914,Prem Dhawan,,
2915,Prem Kumar Kakar,,
2916,Prem Nath Dhawan,,
2917,Prem Nath Mehra,,
2918,Prem Nath Sahni,,
2919,Prem Nath Wahi,,
2920,Prem Nazir,,
2921,Prem Prakash Sahni,,
2922,Prem Shanker Goel,,
2923,Prem Watsa,,
2924,Prema Narendra Purao,,
2925,Premchand Degra,,
2926,Premendra Mitra,,
2927,Premlata Agarwal,,
2928,Premlata Puri,,
2929,Premlila Vithaldas Thackersey,,
2930,Pritam Bhartwan,,
2931,Pritam Singh,,
2932,Prithipal Singh,,
2933,Prithipal Singh Maini,,
2934,Prithvi Nath Kaula,,
2935,Prithvi Nath Khoshoo,,
2936,Prithvi Raj Singh Oberoi,,
2937,Prithvi Singh Azad,,
2938,Prithviraj Kapoor,,
2939,Prithwindra Mukherjee,,
2940,Pritish Nandy,,
2941,Priya Paul,,
2942,Priya Ranjan Sen,,
2943,Priyadarshan,,
2944,Priyambada Mohanty Hejmadi,,
2945,Priyanka Chopra,,
2946,Pu Lalbiakthanga Pachuau,,
2947,Pucadyil Ittoop John,,
2948,Pukhraj Bafna,,
2949,Puliyur Krishnaswamy Duraiswami,,
2950,Pullela Gopichand,,
2951,Pullella Srirama Chandrudu,,
2952,Punam Suri,,
2953,Punamalai Ekambaranathan,,
2954,Punaram Nishad,,
2955,Pupul Jayakar,,
2956,Puran Chand Wadali,,
2957,Puran Lal Batra,,
2958,Purna Das Baul,,
2959,Purshotam Lal,,
2960,Purshottam Das,,
2961,Purshottam Das Jalota,,
2962,Purshottam Lal Wahi,,
2963,Purshottam Pandurang Gokhale,,
2964,Purushottam Dadheech,,
2965,Purushottam Kashinath Kelkar,,
2966,Purushottam Laxman Deshpande,,
2967,Purushottam Upadhyay,,
2968,Purushottama Lal,,
2969,Pushkar Bhan,,
2970,Pushpa Bhuyan,,
2971,Pushpa Hans,,
2972,Pushpa Mittra Bhargava,,
2973,Pushpalata Das,,
2974,Pushpavati Janardenrai Mehta,,
2975,Pushpesh Pant,,
2976,Puthenpurayil Mathew Joseph,,
2977,Puttaparthi Narayanacharyulu,,
2978,Puttaraj Gawai,,
2979,Qadri Ragi Aziz Ahmed Khan Warsi,,
2980,Qazi Abdul Sattar,,
2981,Quazi Sazzad Ali Zahir,,
2982,Queenie H. C. Captain,,
2983,Queenie Rynjah,,
2984,Qurratulain Hyder,,
2985,R Sathyanarayana,,
2986,R. Basappagowda Patil,,
2987,R. C. Mehta,,
2988,R. D. Pradhan,,
2989,R. Ganapati,,
2990,R. K. Krishna Kumar,,
2991,R. K. Laxman,,
2992,R. K. Lelhluna,,
2993,R. K. Narayan,,
2994,R. K. Srikantan,,
2995,R. Marthanda Varma,,
2996,R. N. Malhotra,,
2997,R. N. Tharanathan and R. N. Thyagarajan,,
2998,R. Nagarathnamma,,
2999,R. Nagendra Rao,,
3000,R. R. Handa,,
3001,R. Ranchandra Vishwanath Wardekar,,
3002,R. S. Narayan Singh Deo,,
3003,R. S. Subbalakshmi,,
3004,R. Sivaraman,,
3005,R. V. Pandit,,
3006,R. V. Ramani,,
3007,R. V. Ramaswamy,,
3008,R. Vasudevan,,
3009,Raasacha Swami Ram Swaroop Sharma,,
3010,Rabi Narayan Bastia,,
3011,Rabinder Gokaldas Ahuja,,
3012,Rabindra Narain Singh,,
3013,Rabindra Nath Chaudhuri,,
3014,Rabindra Nath Upadhyay,,
3015,Rachel Thomas,,
3016,Radha Krishan Gupta,,
3017,Radha Kumud Mukherjee,,
3018,Radha Mohan Gadanayak,,
3019,Radhabinod Pal,,
3020,Radhakamal Mukerjee,,
3021,Radhamohan,,
3022,Radhanath Rath,,
3023,Radhe Shyam Barle,,
3024,Radhika Herzberger,,
3025,Rafael Iruzubieta Fernandez,,
3026,Rafiuddin Ahmed,,
3027,Raghavan Thirumulpad,,
3028,Raghu Rai,,
3029,Raghu Raj,,
3030,Raghu Ram Pillarisetti,,
3031,Raghubhai Morarji Nayak,,
3032,Raghubir Singh (equestrian),,
3033,Raghubir Singh (photographer),,
3034,Raghunath Anant Mashelkar,,
3035,Raghunath Krishna Phadke,,
3036,Raghunath Mohapatra,,
3037,Raghunath Panigrahi,,
3038,Raghunath Saran,,
3039,Raghunath Sharma,,
3040,Raghunath Singh Gahlot,,
3041,Raghupati Sahay,,
3042,Raghuvir Sharan Mitra,,
3043,Rahibai Soma Popere,,
3044,Rahim Fahimuddin Dagar,,
3045,Rahim-ud-in Khan Dagar,,
3046,Rahul Bajaj,,
3047,Rahul Dravid,,
3048,Rahul Jain,,
3049,Rahul Sankrityayan,,
3050,Rai Krishnadas,,
3051,Rai Krishnadasa,,
3052,Rais Ahmed,,
3053,Raj Baveja,,
3054,Raj Begum,,
3055,Raj Bisaria,,
3056,Raj Bothra,,
3057,Raj Kapoor,,
3058,Raj Kumar Khanna,,
3059,Raj Raj Kumar Khanna,,
3060,Raj Reddy,,
3061,Raj Vir Singh Yadav,,
3062,Raja Chelliah,,
3063,Raja Radhika Raman Sinha,,
3064,Raja Ramanna,,
3065,Raja Rao,,
3066,Raja and Radha Reddy,,
3067,Rajagopala Chidambaram,,
3068,Rajagopalan Krishnan,,
3069,Rajagopalan Vasudevan,,
3070,Rajalakshmi Parthasarathy,,
3071,Rajam Ramaswamy,,
3072,Rajammal P. Devadas,,
3073,Rajan Devadas,,
3074,Rajan Misra,,
3075,Rajan Saxena,,
3076,Rajani Kant,,
3077,Rajanikant Arole,,
3078,Rajaram Shastri,,
3079,Rajashree Birla,,
3080,Rajat Kumar Kar,,
3081,Rajat Sharma,,
3082,Rajdeep Sardesai,,
3083,Rajeev Sethi,,
3084,Rajeev Taranath,,
3085,Rajendra Achyut Badwe,,
3086,Rajendra K. Pachauri,,
3087,Rajendra Kumar,,
3088,Rajendra Kumar Saboo,,
3089,Rajendra Singh Paroda,,
3090,Rajendra Singh Pawar,,
3091,Rajendra Tansukh Vyas,,
3092,Rajendra Tikku,,
3093,Rajendra Vir Singh,,
3094,Rajesh Khanna,,
3095,Rajesh Kotecha,,
3096,Rajesh Kumar Grover,,
3097,Rajesh Saraiya,,
3098,Rajeshwar Acharya,,
3099,Rajeshwar Dayal,,
3100,Rajeshwar Nath Zutshi,,
3101,Rajeshwar Shastri Dravid,,
3102,Rajinder Gupta,,
3103,Rajinder Kumar,,
3104,Rajinder Singh Bedi,,
3105,Rajinikanth,,
3106,Rajkavi Inderjeet Singh Tulsi,,
3107,Rajkumar,,
3108,Rajkumar Achouba Singh,,
3109,Rajkumar Jhalajit Singh,,
3110,Rajkumar Singhajit Singh,,
3111,Rajkumar Sumitra Devi,,
3112,Rajkumari Devi,,
3113,Rajmohini Devi,,
3114,Rajni Bector,,
3115,Rajni Kumar,,
3116,Rajnikant Shroff,,
3117,Rajpal Singh Sirohi,,
3118,Rajshekhar Basu,,
3119,Rajshree Pathy,,
3120,Rajyavardhan Singh Rathore,,
3121,Rakesh Bakshi,,
3122,Rakesh Kumar Jain,,
3123,Rakhaldas Sengupta,,
3124,Rakhee Gulzar,,
3125,Ralengnao Khathing,,
3126,Ralte L. Thanmawia,,
3127,Ralte Vanlawma,,
3128,Ram Badan Singh,,
3129,Ram Bahadur Rai,,
3130,Ram Chandra Varma,,
3131,Ram Chatur Mallick,,
3132,Ram Dayal Munda,"Munda got an opportunity for getting higher education in linguistics in an interdisciplinary atmosphere, from an ambitious research project of the University of Chicago, on the Indic group of the Austroasiatic languages under the guidance of Norman Zide. Munda received his PhD from the University of Chicago and was subsequently appointed in the faculty of Department of South Asian Studies. Later, at the request of then Vice-Chancellor, Kumar Suresh Singh, he started a Department of Tribal and Regional Languages. The department was the rallying point for all social politico activists engaged in finding out ways to change the internal colonial situation the people of Jharkhand were faced with. Many students passed out from the department and formed a body ""All Jharkhand Students Union"" (AJSU) pushing for formation of an intellectual base for the maintenance of the Jharkhand Movement which was already going at that time. This indirectly contributed to Munda's appointment as Vice-Chancellor of Ranchi University in 1985. As a result, he became a medium of political dialogue between the state and the movement of the people. Therefore, the Committee on Jharkhand Matters was formed to initiate the formation of the new state of Jharkhand.","నార్మన్ జైడ్ మార్గదర్శకత్వంలో ఆస్ట్రోయాసియాటిక్ భాషల ఇండిక్ గ్రూప్పై చికాగో విశ్వవిద్యాలయం, ప్రతిష్టాత్మక పరిశోధన ప్రాజెక్ట్ నుండి ఇంటర్ డిసిప్లినరీ వాతావరణంలో భాషాశాస్త్రంలో ఉన్నత విద్యను పొందే అవకాశాన్ని ముండా పొందారు. ముండా చికాగో విశ్వవిద్యాలయం నుండి పిహెచ్డిని పొందాడు, తరువాత దక్షిణాసియా అధ్యయనాల విభాగంలో అధ్యాపకులుగా నియమించబడ్డాడు. తరువాత, అప్పటి వైస్-ఛాన్సలర్ కుమార్ సురేష్ సింగ్ అభ్యర్థన మేరకు, ఇతను గిరిజన, ప్రాంతీయ భాషల శాఖను ప్రారంభించాడు. జార్ఖండ్ ప్రజలు ఎదుర్కొంటున్న అంతర్గత వలస పరిస్థితిని మార్చడానికి మార్గాలను అన్వేషించడంలో నిమగ్నమైన సామాజిక రాజకీయ కార్యకర్తలందరికీ ఈ విభాగం ర్యాలీ పాయింట్. చాలా మంది విద్యార్థులు డిపార్ట్మెంట్ నుండి ఉత్తీర్ణులయ్యారు, ""ఆల్ జార్ఖండ్ స్టూడెంట్స్ యూనియన్"" (AJSU) అనే సంస్థను స్థాపించారు, ఆ సమయంలో ఇప్పటికే కొనసాగుతున్న జార్ఖండ్ ఉద్యమ నిర్వహణ కోసం మేధో స్థావరం ఏర్పాటు కోసం ఒత్తిడి తెచ్చారు. ఇది 1985లో రాంచీ యూనివర్సిటీ వైస్-ఛాన్సలర్గా ముండా నియామకానికి పరోక్షంగా దోహదపడింది. ఫలితంగా, ఇతను రాష్ట్రం, ప్రజల ఉద్యమం మధ్య రాజకీయ సంభాషణల మాధ్యమంగా మారాడు. అందువల్ల, కొత్త జార్ఖండ్ రాష్ట్ర ఏర్పాటును ప్రారంభించడానికి జార్ఖండ్ విషయాలపై కమిటీని ఏర్పాటు చేశారు. "
3133,Ram Ganpati,,
3134,Ram Gopal Bajaj,,
3135,Ram Gopal Vijayvargiya,,
3136,Ram Harsh Singh,,
3137,Ram Kinkar Upadhyay,,
3138,Ram Kishore Chhipa,,
3139,Ram Krishan,,
3140,Ram Krishna Trivedi,,
3141,Ram Kumar (artist),,
3142,Ram Kumar Caroli,,
3143,Ram Lal Mehta,,
3144,Ram Lal Rajgarhia,,
3145,Ram Mohan,,
3146,Ram Narain Agarwal,,
3147,Ram Narain Bagley,,
3148,Ram Narain Nagu,,
3149,Ram Narayan,,
3150,Ram Narayan Chakravarti,,
3151,Ram Nath Shastri,,
