,Recipients,in popular culture,in popular culture Telugu
1381,Ismat Chughtai,"''' Publications on Ismat Chughtai '''
Ismat: Her Life, Her Times. Sukrita Paul Kumar, Katha, New Delhi, 2000. ISBN 81-85586-97-7.
Ismat Chughtai, A Fearless Voice. Manjulaa Negi, Rupa and Co, 2003.81-29101-53-X.
""Torchbearer of a literary revolution"". The Hindu, Sunday, 21 May 2000.[1][Usurped!]
Kashmir Uzma Urdu weekly, Srinagar, 27 December 2004, 2 January 2005.[2]
""Ismat Chughtai – Pakistan-India (1915–1991)"", World People, 5 May 2006","''' ఇస్మత్ చుగ్తాయ్ పై ప్రచురణలు '''ఇస్మత్: హర్ లైఫ్, హర్ టైమ్స్. సుకృత పాల్ కుమార్, కథ, న్యూఢిల్లీ, 2000. ISBN 81-85586-97-7. ఇస్మత్ చుగ్తాయ్, ఎ ఫియర్లెస్ వాయిస్. మంజులా నేగి, రూపా అండ్ కో, 2003. 81-29101-53-X. ""సాహిత్య విప్లవ జ్యోతులు"". ది హిందూ, ఆదివారం, 21 మే 2000. [1][Usurped!]Kashmir Uzma Urdu weekly, Srinagar, 27 December 2004, 2 January 2005. [2]""ఇస్మత్ చుగ్తాయ్ – పాకిస్తాన్-ఇండియా (1915–1991)"", వరల్డ్ పీపుల్, 5 మే 2006. "
1382,Ismaïl Omar Guelleh,,
1383,Ivy Khan,,
1384,Iyyanki Venkata Ramanayya,,
1385,J. A. K. Tareen,,
1386,J. Hareendran Nair,,
1387,J. L. Kaul,,
1388,J. Malsawma,,
1389,J. N. Chaudhry,,
1390,J. N. Saksena,,
1391,J. R. D. Tata,,
1392,J. R. Gangaramani,,
1393,J. S. Grewal,,
1394,J. S. Guleria,,
1395,J. S. Mahashabde,,
1396,J. S. Rajput,,
1397,J. S. Titiyal,,
1398,Jabbar Patel,,
1399,Jack Gibson,,
1400,Jacob Chandy,,
1401,Jacob Cherian,,
1402,Jacques Blamont,,
1403,Jadav Payeng,"Payeng has been the subject of a number of documentaries in the recent years . His character was the basis for a fictional film made by  a Tamil director Prabhu solaman casting Rana Daggubati released in Tamil, Telugu, Hindi as Kaadan, Aranya and Hathi mera sathi. A locally made documentary film, produced by Jitu Kalita in 2012, The Molai Forest, was screened at the Jawaharlal Nehru University. Jitu Kalita, who lives near Payeng's house, has also been featured and given recognition for good reporting by projecting the life of Payeng through his documentary.
The 2013 film documentary Foresting life, directed by the Indian documentary filmmaker Aarti Shrivastava, celebrates the life and work of Jadav Payeng in the Molai forest. These are also the focus of William Douglas McMaster's 2013 film documentary Forest Man. With US$8,327 pledged on its Kickstarter campaign, the film was brought to completion and taken to a number of film festivals. It was awarded the Best Documentary prize at the Emerging Filmmaker Showcase in the American Pavilion at the 2014 Cannes Film Festival.

Payeng is also the subject of the children's book Jadav and the Tree-Place, written and illustrated by Vinayak Varma. The book was published by the open-source children's publishing platform StoryWeaver, and its production was funded by a grant from the Oracle Giving Initiative","పేయెంగ్ ఇటీవలి సంవత్సరాలలో అనేక డాక్యుమెంటరీలకు సంబంధించినది. His character was the basis for a fictional film made by a Tamil director Prabhu solaman casting Rana Daggubati released in Tamil, Telugu, Hindi as Kaadan, Aranya and Hathi mera sathi. 2012లో జితు కలిత నిర్మించిన స్థానికంగా రూపొందించబడిన డాక్యుమెంటరీ చిత్రం, ది మొలాయి ఫారెస్ట్, జవహర్లాల్ నెహ్రూ విశ్వవిద్యాలయంలో ప్రదర్శించబడింది. పాయెంగ్ ఇంటికి సమీపంలో నివసించే జితు కలితా కూడా తన డాక్యుమెంటరీ ద్వారా పాయెంగ్ జీవితాన్ని ప్రదర్శించడం ద్వారా మంచి రిపోర్టింగ్కు గుర్తింపు పొందారు. భారతీయ డాక్యుమెంటరీ చిత్రనిర్మాత ఆర్తి శ్రీవాస్తవ దర్శకత్వం వహించిన 2013 చలనచిత్ర డాక్యుమెంటరీ ఫారెస్టింగ్ లైఫ్, మొలాయి అడవిలో జాదవ్ పాయెంగ్ జీవితం, పనిని జరుపుకుంటుంది. విలియం డగ్లస్ మెక్మాస్టర్, 2013 ఫిల్మ్ డాక్యుమెంటరీ ఫారెస్ట్ మ్యాన్లో కూడా ఇవి దృష్టి సారించాయి. దాని కిక్స్టార్టర్ ప్రచారానికి US$8, 327 ప్రతిజ్ఞ చేయడంతో, చిత్రం పూర్తయింది, అనేక చలనచిత్రోత్సవాలకు తీసుకువెళ్లబడింది. ఇది 2014 కేన్స్ ఫిల్మ్ ఫెస్టివల్లో అమెరికన్ పెవిలియన్లోని ఎమర్జింగ్ ఫిల్మ్ మేకర్ షోకేస్లో ఉత్తమ డాక్యుమెంటరీ బహుమతిని అందుకుంది. వినాయక్ వర్మ వ్రాసిన, చిత్రించిన పిల్లల పుస్తకం జాదవ్ అండ్ ది ట్రీ-ప్లేస్, అంశం కూడా పాయెంగ్. ఈ పుస్తకాన్ని ఓపెన్-సోర్స్ చిల్డ్రన్స్ పబ్లిషింగ్ ప్లాట్ఫాం స్టోరీవీవర్ ప్రచురించింది, దాని ఉత్పత్తికి ఒరాకిల్ గివింగ్ ఇనిషియేటివ్ నుండి మంజూరు చేయబడింది. "
1404,Jadeng Buana,,
1405,Jadunath Supakar,,
1406,Jafar Ali Khan,,
1407,Jag Parvesh Chandra,,
1408,Jagadish Chandra Halder,,
1409,Jagadish Shukla,,
1410,Jagan Nath Kaul,,
1411,Jagannath Krishna Kate,,
1412,Jagat Ram,,
1413,Jagat Singh Mehta,,
1414,Jagdamba Devi,,
1415,Jagdish Bhagwati,,
1416,Jagdish Chandra Kapur,,
1417,Jagdish Chandra Mittal,,
1418,Jagdish Chaturvedi,,
1419,Jagdish Chaudhary,,
1420,Jagdish Kashibhai Patel,,
1421,Jagdish Lal,,
1422,Jagdish Lal Ahuja,,
1423,Jagdish Mitra Pahwa,,
1424,Jagdish Prasad Parikh,,
1425,Jagdish Prasad Singh,,
1426,Jagdish Sheth,,
1427,Jaggayya,,
1428,Jaggi Vasudev,,
1429,Jagjit Singh,,
1430,Jagjit Singh Aurora,,
1431,Jagjit Singh Chopra,,
1432,Jagjit Singh Hara,,
1433,Jagmohan,,
1434,Jagmohan Lal Karoli,,
1435,Jagmohan Sursagar,,
1436,Jahnu Barua,,
1437,Jai Bhagwan Chaudhary,,
1438,Jai Bhagwan Goyal,,
1439,Jai Hormusjee Vakil,,
1440,Jai Krishna,,
1441,Jai Pal Mittal,,
1442,Jai Pal Singh,,
1443,Jai Prakash Agarwal,,
1444,Jai Prakash Lekhiwal,,
1445,Jai Rattan Bhalla,,
1446,Jai Singh Pal Yadav,,
1447,Jaikishan Dahyabhai Panchal,,
1448,Jainendra Kumar Jain,,
1449,Jaishankar Bhojak,,
1450,Jaiveer Agarwal,,
1451,Jal Gawashaw Paymaster,,
1452,Jal Minocher Mehta,,
1453,Jal R. Patel,,
1454,Jalakantapuram Ramaswamy Krishnamoorthy,,
1455,Jaman Lal Sharma,,
1456,Jamesh Dokhuma,,
1457,Jamini Roy,,
1458,Jamshed Jiji Irani,,
1459,Jamshed Vazifdar,,
1460,Jamshyd Godrej,,
1461,Jamuna Tudu,,
1462,Janak Palta McGilligan,,
1463,Janaki Ammal,,
1464,Janaky Athi Nahappan,,
1465,Jankibai Bajaj,,
1466,Jasbir Singh Bajaj,,
1467,Jasdev Singh,,
1468,Jashbhai Shankarbhaiu Patel,,
1469,Jasjit Singh,,
1470,Jaspal Bhatti,,
1471,Jaspal Rana,,
1472,Jasraj,,
1473,Jasraj Motiram,,
1474,Jasu Patel,,
1475,Jaswantrai Jayantilal Anjaria,,
1476,Jatin Das,,
1477,Jatin Goswami,,
1478,Jatindra Mohan Dutta,,
1479,Jatish Chandra Bhattacharyya,,
1480,Javare Gowda,,
1481,Javed Ahmed Tak,,
1482,Javed Akhtar,,
1483,Jawahar Lal Kaul,,
1484,Jawahar Wattal,,
1485,Jaya Arunachalam,,
1486,Jaya Bachchan,,
1487,Jayakanthan,,
1488,Jayakumari Chikkala,,
1489,Jayalakhshmi K. S.,,
1490,Jayant Narlikar,,
1491,Jayant Pandurang Naik,,
1492,Jayanta Kumar Ghosh,,
1493,Jayanta Mahapatra,,
1494,Jayantha Kumar Bagchi,,
1495,Jayanto Nath Chaudhuri,,
1496,Jayaram,,
1497,Jayaraman Gowrishankar,,
1498,Jaymala Shiledar,,
1499,Jeahangir Ghandy,,
1500,Jean Riboud,,
1501,Jean-Claude Carrière,,
1502,Jeelani Bano,,
1503,Jeev Milkha Singh,,
1504,Jeffrey Sachs,,
1505,Jehangir Sabavala,,
1506,Jehangir Shapurji Bhownagary,,
1507,Jerusha Jhirad,,
1508,Jhabarmal Sharma,,
1509,Jharna Dhara Chowdhury,,
1510,Jhulan Goswami,,
1511,Ji Xianlin,,
1512,Jigme Dorji Wangchuck,,
1513,Jinvijay,,
1514,Jitender Singh Shunty,,
1515,Jitendra Abhisheki,,
1516,Jitendra Haripal,,
1517,Jitendra Kumar Singh,,
1518,Jitendra Mohan Hans,,
1519,Jitendra Nath Goswami,,
1520,Jitendra Udhampuri,,
1521,Jitu Rai,,
1522,Jivanlal Moti Lal Thakore,,
1523,Jivraj Narayan Mehta,,
1524,Jivya Soma Mashe,,
1525,Jiwan Lal Jairamdas,,
1526,Jiwan Singh Umranangal,,
1527,Jnan Chandra Ghosh,,
1528,Jnan Prakash Ghosh,,
1529,Jnanendra Nath Mukherjee,,
1530,Jockin Arputham,,
1531,Jodh Singh,,
1532,Jogendra Nath Phukan,,
1533,Jogesh Chandra Banerjee,,
1534,Jogesh Chandra De,,
1535,Jogesh Pati,,
1536,Joginder Paul Birdi,,
1537,Joginder Singh,,
1538,Joginder Singh Dhillon,,
1539,Jogindra Lal Gupta,,
1540,John Arthur King Martyn,,
1541,John Ebnezar,,
1542,John Kenneth Galbraith,,
1543,John Martin Nelson,,
1544,John Mathai,,
1545,John Ralston Marr,,
1546,John Richardson (bishop of Car Nicobar),,
1547,John T. Chambers,,
1548,Jonnalagadda Gurappa Chetty,,
1549,Joravarsinh Jadav,,
1550,Jose Chacko Periappuram,,
1551,Jose Ma Joey Concepcion III,,
1552,Joseph Allen Stein,,
1553,Joseph Durai Raj,,
1554,Joseph H. Hulse,,
1555,Joseph H. Pereira,,
1556,Joseph Harold,,
1557,Josh Malihabadi,,
1558,Josh Malsiyani,,
1559,José Pereira,,
1560,Jothi Venkatachalam,,
1561,Joy Michael,,
1562,Joyasree Goswami Mahanta,,
1563,Jugal Kishore,,
1564,Jugal Kishore Choudhury,,
1565,Julio Ribeiro,,
1566,Julius Silverman,,
1567,Juthika Roy,,
1568,Jyeshtharaj Joshi,,
1569,Jyoti Bhatt,,
1570,Jyoti Bhushan Banerji,,
1571,Jyoti Kumar Sinha,,
1572,Jyotindra Nath Dixit,,
1573,Jyotirmoyee Sikdar,,
1574,Jyotish Chandra Ray,,
1575,K K Ramachandra Pulavar,,
1576,K Kesavasamy,,
1577,K. A. Abraham,,
1578,K. A. Nilakanta Sastri,,
1579,K. Asungba Sangtam,,
1580,K. B. Lall,,
1581,K. B. Sundarambal,,
1582,K. Balachander,,
1583,K. C. Banerjee,,
1584,K. C. Johorey,,
1585,K. C. Reddy,,
1586,K. C. Sengupta,,
1587,K. C. Sivasankaran,,
1588,K. Covilagam Kutti Ettan Raja,,
1589,K. G. Jayan,,
1590,K. G. Ramanathan,,
1591,K. G. Subramanyan,,
1592,K. I. Varaprasad Reddy,,
1593,K. Ibomcha Sharma,,
1594,K. J. Yesudas,,
1595,K. K. Aggarwal,,
1596,K. K. Muhammed,,
1597,K. K. Talwar,,
1598,K. K. Venugopal,,
1599,K. Kripal Singh,,
1600,K. M. Beenamol,,
1601,K. M. Cherian,,
1602,K. M. Cherian (journalist),,
1603,K. M. George,,
1604,K. M. Mammen Mappillai,,
1605,K. M. Mathew,,
1606,K. N. Dandayudhapani Pillai,,
1607,K. N. Raj,,
1608,K. N. Shankara,,
1609,K. Narayanan,,
1610,K. P. Haridas,,
1611,K. P. Kesava Menon,,
1612,K. P. Mathur,,
1613,K. P. P. Nambiar,,
1614,K. P. Saxena,,
1615,K. P. Udayabhanu,,
1616,K. Paddayya,,
1617,K. Padmanabhaiah,,
1618,K. Parasaran,,
1619,K. R. Chakravorty,,
1620,K. R. Palaniswamy,,
1621,K. R. Ramanathan,,
1622,K. Radhakrishnan,,
1623,K. Raghavan,,
1624,K. S. Chandrasekharan,,
1625,K. S. Chithra,,
1626,K. S. Narayanaswamy,,
1627,K. S. Nissar Ahmed,,
1628,K. Sankaran Nair,,
1629,K. Shankar Pillai,,
1630,K. Shivaram Karanth,,
1631,K. Srinath Reddy,,
1632,K. Sukumaran,,
1633,K. T. Dholakia,,
1634,K. T. Thomas,,
1635,K. Ullas Karanth,,
1636,K. V. Kamath,,
1637,K. V. Narayanaswamy,,
1638,K. V. S. J. Peter,,
1639,K. V. Sampath Kumar,,
1640,K. Vardachari Thiruvengadam,,
1641,K. Venkatalakshamma,,
1642,K. Venkataraman,,
1643,K. VijayRaghavan,,
1644,K. Viswanath,,
1645,K. Y. Venkatesh,,
1646,K.S.A. Khader Ghulam Mohideen,,
1647,Kader Khan,,
1648,Kadiyala Ramachandra,,
1649,Kadri Gopalnath,,
1650,Kaifi Azmi,,
1651,Kaikhushru Ruttonji Shroff,,
1652,Kailas Nath Kaul,,
1653,Kailasam Raghavendra Rao,,
1654,Kailash Chand,,
1655,Kailash Chandra Agrawal,,
1656,Kailash Chandra Meher,,
1657,Kailash Kher,,
1658,Kailash Madbaiya,,
1659,Kailash Sankhala,,
1660,Kaithapram Damodaran Namboothiri,,
1661,Kajol,,
1662,Kaka Hathrasi,,
1663,Kakarla Subba Rao,,
1664,Kalabati Devi,,
1665,Kalamandalam Gopi,,
1666,Kalamandalam Krishnan Nair,,
1667,Kalamandalam Kshemavathy,,
1668,Kalamandalam Satyabhama,,
1669,Kalamandalam Sivan Namboodiri,,
1670,Kalanidhi Narayanan,,
1671,Kalbe Sadiq,,
1672,Kalee Shabi Mahaboob,,
1673,Kaleem Ullah Khan,,
1674,Kalidas Gupta Riza,,
1675,Kalim Aajiz,,
1676,Kalindi Charan Panigrahi,,
1677,Kallam Anji Reddy,,
1678,Kallur Subba Rao,,
1679,Kalluri Gopal Rao,,
1680,Kaloji Narayana Rao,,
1681,Kalpana Saroj,,
1682,Kalpathy Ram Iyer Doraiswamy,,
1683,Kalu Lal Shrimali,,
1684,Kalyan Banerjee,,
1685,Kalyan Dev,,
1686,Kalyan Singh Gupta,,
1687,Kalyan Singh Rawat,,
1688,Kalyan Sundaram,,
1689,Kalyanam Raghuramaiah,,
1690,Kalyanji Virji Shah,,
1691,Kalyanji Vithalbhai Mehta,,
1692,Kamal Haasan,,
1693,Kamal Krishna Sinha,,
1694,Kamal Kumar Sethi,,
1695,Kamal Manti Naskar,,
1696,Kamal Ranadive,,
1697,Kamala Pujhari,,
1698,Kamalabai Hospet,,
1699,Kamaladevi Chattopadhyay,,
1700,Kamalendumati Shah,,
1701,Kamaljit Sandhu,,
1702,Kamaljit Singh Paul,,
1703,Kameshwar Brahma,,
1704,Kameshwar Prasad,,
1705,Kamini A. Rao,,
1706,Kamleshwar,,
1707,Kanak Rele,,
1708,Kanaka Raju,,
1709,Kanaka Srinivasan,,
1710,Kandathil Mammen Philip,,
1711,Kangana Ranaut,,
1712,Kanhai Chitrakar,,
1713,Kanhaiya Lal Nandan,,
1714,Kanhaiyalal Sethia,,
1715,Kanhaya Lal Pokhriyal,,
1716,Kanhiyalal Prabhakar Mishra,,
1717,Kanika Banerjee,,
1718,Kankanhalli Vasudevachary,,
1719,Kanta Saroop Krishen,,
1720,Kanta Tyagi,,
1721,Kantibhai Baldevbhai Patel,,
1722,Kantilal Hastimal Sancheti,,
1723,Kanubhai Hasmukhbhai Tailor,,
1724,Kanuri Lakshmana Rao,,
1725,Kanwal Sibal,,
1726,Kanwal Singh Chauhan,,
1727,Kanwaljit Singh Bains,,
1728,Kanwar Natwar Singh,,
1729,Kanwar Pal Singh Gill,,
1730,Kanwar Sain,,
1731,Kapil Dev,"Dev made cameo appearances in the films Dillagi... Yeh Dillagi, Iqbal, Chain Khuli ki Main Khuli and Mujhse Shaadi Karogi among others. He has also released a song ""One India My India"" with Shailendra Singh.The 2016 Indian film Azhar, directed by Tony D'Souza, revolves around Match fixing scandals in late 90s and 2000. In the film Dev's character was played by Varun Badola. Indian filmmaker Kabir Khan directed a biopic film, titled 83, about India's first world cup win in 1983. The film features Ranveer Singh as Dev and is produced by Anurag Kashyap and Kapil Dev has a cameo as a spectator.","దేవ్ దిల్లగి సినిమాల్లో అతిధి పాత్రల్లో కనిపించాడు. యే దిల్లాగి, ఇక్బాల్, చైన్ ఖులీ కి మైన్ ఖులీ, ముజ్సే షాదీ కరోగి తదితరులు. శైలేంద్ర సింగ్తో కలిసి ""వన్ ఇండియా మై ఇండియా"" అనే పాటను కూడా విడుదల చేశాడు. టోనీ డిసౌజా దర్శకత్వం వహించిన 2016 భారతీయ చలనచిత్రం అజార్, 90ల చివరలో, 2000లో జరిగిన మ్యాచ్ ఫిక్సింగ్ కుంభకోణాల చుట్టూ తిరుగుతుంది. ఈ చిత్రంలో దేవ్ పాత్రను వరుణ్ బడోలా పోషించాడు. భారతీయ చలనచిత్ర నిర్మాత కబీర్ ఖాన్ 1983లో భారతదేశం, మొదటి ప్రపంచ కప్ విజయం గురించి 83 అనే బయోపిక్ చిత్రానికి దర్శకత్వం వహించాడు. ఈ చిత్రంలో రణవీర్ సింగ్ దేవ్గా నటించారు, అనురాగ్ కశ్యప్ నిర్మించారు, కపిల్ దేవ్ ఒక ప్రేక్షకుడిగా నటించారు. "
1732,Kapil Deva Dvivedi,,
1733,Kapil Mohan,,
1734,Kapil Tiwari,,
1735,Kapila Vatsyayan,,
1736,Karachur Lingappa Nanjappa,,
1737,Karamshi Jethabhai Somaiya,,
1738,Karan Johar,,
1739,Karan Singh,,
1740,Kariamanickam Srinivasa Krishnan,,
1741,Karim Al Hussaini Aga Khan,,
1742,Karimpat Mathangi Ramakrishnan,,
1743,Karimpumannil Mathai George,,
1744,Karimul Haque,,
1745,Kariya Munda,,
1746,Karl Harrington Potter,,
1747,Karl Jamshed Khandalavala,,
1748,Karnam Malleswari,,
1749,Karsanbhai Patel,,
1750,Kartar Paras Ram Singh,,
1751,Kartar Singh Dewana,,
1752,Kartar Singh Duggal,,
1753,Kartikeya V. Sarabhai,,
1754,Karuna Mary Braganza,,
1755,Kashi Nath Pandita,,
1756,Kashi Prasad Pandey,,
1757,Kashmir Singh Katoch,,
1758,Kashmiri Lal Zakir,,
1759,Kasturbhai Lalbhai,,
1760,Kasturi Lal Chopra,,
1761,Kasturi Lal Vij,,
1762,Kasturi Srinivasan,,
1763,Kasturiswami Sreenivasan,,
1764,Kattingeri Krishna Hebbar,,
1765,Kattungal Subramaniam Manilal,,
1766,Katty Venkataswami Naidu,,
1767,Katuru Narayana,,
1768,Kaur Singh,,
1769,Kaushik Basu,,
1770,Kavalam Narayana Panicker,,
1771,Kaviraj Ashuthosh Majumdar,,
1772,Kavita Krishnamurthy,,
1773,Kavungal Chathunni Panicker,,
1774,Kayalath Pothen Philip,,
1775,Kazi Lhendup Dorjee,,
1776,Kazi Masum Akhtar,,
1777,Kazi Nazrul Islam,,
1778,Kedar Ghosh,,
1779,Kedar Gurung,,
1780,Kedar Nath Mookerjee,,
1781,Kedar Nath Sahoo,,
1782,Keepu Tsering Lepcha,,
1783,Keezhpadam Kumaran Nair,,
1784,Keiki R. Mehta,,
1785,Keki Byramjee Grant[i]#,,
1786,Keki Hormusji Gharda,,
1787,Keki N. Daruwalla,"J. P. Dutta's Bollywood film Refugee is attributed to have been inspired by the story of Keki N. Daruwalla based around the Great Rann of Kutch titled ""Love Across the Salt Desert""  which is also included as one of the short stories in the School Standard XII syllabus English textbook of NCERT in India.","జె. పి. దత్తా, బాలీవుడ్ చిత్రం రెఫ్యూజీ కేకి ఎన్ కథ నుండి ప్రేరణ పొందింది. భారతదేశంలోని NCERT, స్కూల్ స్టాండర్డ్ XII సిలబస్ ఇంగ్లీష్ పాఠ్యపుస్తకంలో చిన్న కథలలో ఒకటిగా చేర్చబడిన ""లవ్ ఎక్రాస్ ది సాల్ట్ డెసర్ట్"" పేరుతో గ్రేట్ రాన్ ఆఫ్ కచ్ చుట్టూ ఆధారపడిన దారువల్ల. "
1788,Kekoo Gandhy,,
1789,Kelucharan Mohapatra,,
1790,Kershasp Tehmurasp Satarawala,,
1791,Kesarbai Kerkar,,
1792,Keshav Malik,,
1793,Keshav Prasad Goenka,,
1794,Keshav Rao Musalgaonkar,,
1795,Keshavram Kashiram Shastri,,
1796,Keshavrao Krishnarao Datey,,
1797,Keshubhai Patel,,
1798,Ketayun Ardeshir Dinshaw,,
1799,Kewal Singh Choudhary,,
1800,Khadg Singh Valdiya,,
1801,Khadim Hussain Khan,,
1802,Khailshanker Durlabhji,,
1803,Khaled Choudhury,,
1804,Khalid A. H. Ansari,,
1805,"Khalid Hameed, Baron Hameed",,
1806,Khalid Zaheer,,
1807,Khangembam Mangi Singh,,
1808,Kharag Singh Valdiya,,
1809,Khawlkungi,,
1810,Khem Karan Singh,,
1811,Khem Singh Gill,,
1812,Khushdeva Singh,,
1813,Khushwant Lal Wig,,
1814,Khushwant Singh,,
1815,Khusro Faramurz Rustamji,,
1816,Khwaja Ahmad Abbas,,
1817,Khwaja Ghulam Saiyidain,,
1818,Kim Yang-shik,,
1819,Kiran Karnik,,
1820,Kiran Martin,,
1821,Kiran Mazumdar,,
1822,Kiran Mazumdar-Shaw,,
1823,Kiran Segal,,
1824,Kiran Seth,,
1825,Kirit Parikh,,
1826,Kiritkumar Mansukhlal Acharya,,
1827,Kirpal Singh,,
1828,Kirpal Singh Chugh,,
1829,Kirpal Singh Narang,,
1830,Kishan Lal,,
1831,Kishan Maharaj,,
1832,Kishandas Bhagwandas Kapadia,,
1833,Kishorebhai Ratilal Zaveri,,
1834,Kishori Amonkar,,
1835,Kodaganur S. Gopinath,,
1836,Kodandera Subayya Thimayya,,
1837,Koka Simhadri Babu,,
1838,Kolakaluri Enoch,,
1839,Komal Kothari,,
1840,Komala Varadan,,
1841,Koneru Ramakrishna Rao,,
1842,Kooram Chakravarthy Kannan,,
1843,Kota Harinarayana,,
1844,Kota Srinivasa Rao,,
1845,Kotha Satchidananda Murthy,,
1846,Kotha Satchidanda Murthy,,
1847,Kothamangalam Subbu,,
1848,Kotti Narasimha Udupa,,
1849,Kranti Shah,,
1850,Kripal Singh Shekhawat,,
1851,Kris Gopalakrishnan,,
1852,Krishan Dev Bali,,
1853,Krishan Dev Dewan,,
1854,Krishan Dutta Bharadwaj,,
1855,Krishan Swarup Pathak,,
1856,Krishen Khanna,,
1857,Krishn Kanhai,,
1858,Krishna Bihari Mishra,,
1859,Krishna Chaithanya,,
1860,Krishna Chandar,,
1861,Krishna Chandra Chunekar,,
1862,Krishna Chandra Panigrahi,,
1863,Krishna Chandra Shukla,,
1864,Krishna Gopal Saxena,,
1865,Krishna Joshi,,
1866,Krishna Kanta Handique,,
1867,Krishna Kumar,,
1868,Krishna Lal Chadha,,
1869,Krishna Murari Tiwari,,
1870,Krishna Pai Pai,,
1871,Krishna Poonia,,
1872,Krishna Prasad Dar,,
1873,Krishna Prasad Singh Varma,,
1874,Krishna Ram Chaudhary,,
1875,Krishna Ramchand Kriplani,,
1876,Krishna Reddy,,
1877,Krishna Srinivas,,
1878,Krishna Swaroop Mullick,,
1879,Krishnammal Jagannathan,,
1880,Krishnamurthy Santhanam,,
1881,Krishnan Raghavachari,,
1882,Krishnarao Phulambrikar,,
1883,Krishnarao Shankar Pandit,,
1884,Krishnarao Shripat Mhaskar,,
1885,Krishnaswami Balasubramania Iyer,,
1886,Krishnaswami Ramiah,,
1887,Krishnaswami Srinivas Sanjivi,,
1888,Krishnaswami Swaminathan,,
1889,Krishnaswamy Kasturirangan,,
1890,Kruthartha Acharya,,
1891,Kshama Metre,,
1892,Kshem Suman Chandra,,
1893,Kshetrimayum Ongbi Thouranisabi Devi,,
1894,Kudrat Singh,,
1895,Kuldip Nayar,,
1896,Kuldip Singh Virk,,
1897,Kum Subasini Jhunu Dasgupta,,
1898,Kum Uma Sharma,,
1899,Kumar Gandharva,"The last in the series of four movies in the Kabir Project by Shabnam Virmani features the life of Gandharva and his disciples, his career, and his journey into ""Nirgun"" singing. His song 'Sunta Hai' forms the title of the movie 'Koi Sunta Hai'.'Hans Akela' is a 78 minutes documentary on Kumar Gandharva made by Films Division of the Government of India, with interviews with various people – wife, friends, students.'Mukkam Vashi' is a book made on notes collected during a two-day workshop of the same name. It collected together the thoughts of Gandharva on the nature of music at a fundamental level.","కబీర్ ప్రాజెక్ట్లో షబ్నం వీరమణి రూపొందించిన నాలుగు సినిమాల సిరీస్లో చివరిది గంధర్వ, అతని శిష్యుల జీవితం, అతని కెరీర్, ""నిర్గుణ్"" గానంలోకి అతని ప్రయాణం. అతని పాట 'సుంతా హై' చిత్రం 'కోయి సుంతా హై' టైటిల్గా రూపొందింది. 'హన్స్ అకేలా' అనేది కుమార్ గంధర్వపై భారత ప్రభుత్వ చలనచిత్ర విభాగం రూపొందించిన 78 నిమిషాల డాక్యుమెంటరీ, వివిధ వ్యక్తులతో - భార్య, స్నేహితులు, విద్యార్థులతో ముఖాముఖి. 'ముక్కం వాషి' అదే పేరుతో రెండు రోజుల వర్క్షాప్లో సేకరించిన నోట్లపై రూపొందించిన పుస్తకం. ఇది ప్రాథమిక స్థాయిలో సంగీతం, స్వభావంపై గాంధర్వ ఆలోచనలను సేకరించింది. "
1900,Kumar Ketkar,,
1901,Kumar Nandan Prasad,,
1902,Kumar Padma Siva Shankara Menon,,
1903,Kumar Sanu,,
1904,Kumari Codanda Rohini Poovaiah,,
1905,Kumari Kamala,,
1906,Kumarpal Desai,,
1907,Kumkum Mohanty,,
1908,Kumud Ranjan Mullick,,
1909,Kumudini Lakhia,,
1910,Kundal Lal Bery,,
1911,Kunhiraman Palat Candeth,,
1912,Kunja Bihari Meher,,
1913,Kunjarani Devi,,
1914,Kunji Lal Dubey,,
1915,Kunnakudi Vaidyanathan,,
1916,Kunnenkeril K. Jacob,,
1917,Kunwar Digvijai Singh,"In the Indian sports-drama film Gold (2018), set in the 1948 Summer Olympics, Amit Sadh played the role of vice captain of the Indian field hockey team - a character based on K.D. Singh.","1948 సమ్మర్ ఒలింపిక్స్ నేపథ్యంలో సాగే ఇండియన్ స్పోర్ట్స్-డ్రామా చిత్రం గోల్డ్ (2018)లో, అమిత్ సాద్ భారత ఫీల్డ్ హాకీ జట్టు వైస్ కెప్టెన్ పాత్రను పోషించాడు - ఇది K ఆధారంగా రూపొందించబడిన పాత్ర. డి. సింగ్. "
1918,Kunwar Narayan,,
1919,Kunwar Singh Negi,,
1920,Kuppali Venkatappagowda Puttappa,,
1921,Kurian John Melamparambil,,
1922,Kushal Konwar Sarma,,
1923,Kushal Pal Singh,,
1924,Kushok Bakula,,
1925,Kuthur Ramakrishnan Srinivasan,,
1926,Kutikuppala Surya Rao,,
1927,Kuvempu,,
1928,Kuzhivelil Mathew,,
1929,Kuzhur Narayana Marar,,
1930,L. A. Krishna Iyer,,
1931,L. K. Advani,,
1932,L. K. Doraiswamy,,
1933,L. Kijungluba AO,,
1934,L. S. N. Prasad,,
1935,L. Subramaniam,,
1936,L. Venkatakrishna Iyer,,
1937,L. Z. Sailo,,
1938,Laila Tyabji,,
1939,Laishram Birendrakumar Singh,,
1940,Laishram Nabakishore Singh,,
1941,Lakha Khan,,
1942,Lakhimi Baruah,,
1943,Lakhumal Hiranand Hiranandani,,
1944,Lakshman Dev,,
1945,Lakshman Shastri Joshi,,
1946,Lakshman Singh,,
