,Recipients,later life,later life Telugu
1423,Jagdish Mitra Pahwa,,
1424,Jagdish Prasad Parikh,,
1425,Jagdish Prasad Singh,,
1426,Jagdish Sheth,,
1427,Jaggayya,,
1428,Jaggi Vasudev,,
1429,Jagjit Singh,,
1430,Jagjit Singh Aurora,"Aurora was honoured with the Param Vishisht Seva Medal,  the Padma Bhushan and the Bir Protik  for his role in the war. He retired from the Indian Army in 1973. Lt Gen JFR Jacob has written in his book An Odyssey in War And Peace that Gen. Aurora approached then Prime Minister Indira Gandhi for governorship of a state but she declined. Jacob also writes that Gen Aurora and Mrs. Aurora were a regular part of the social life of Calcutta.In 1984, Aurora  fiercely criticised the Indian National Congress leadership following Operation Blue Star, which was an operation by the then government of flushing out armed Sikh militants who had taken up positions inside the Golden Temple in Amritsar but also caused extensive damage to the holiest shrine of Sikhism. Subsequently, he spent several years as a member of parliament in the Rajya Sabha, the upper House of the Indian Parliament, for the Akali Dal, a political party.
Aurora was also an active member of the Citizen's Justice Committee which provided pro bono assistance to Sikh victims of the 1984 anti-Sikh riots.","అరోరా యుద్ధంలో అతని పాత్రకు పరమ విశిష్ట సేవా పతకం, పద్మ భూషణ్, బిర్ ప్రోటిక్లతో సత్కరించారు. ఇతను 1973లో ఇండియన్ ఆర్మీ నుండి రిటైర్ అయ్యాడు. లెఫ్టినెంట్ జనరల్ JFR జాకబ్ తన పుస్తకం యాన్ ఒడిస్సీ ఇన్ వార్ అండ్ పీస్లో రాశారు. అరోరా ఒక రాష్ట్రానికి గవర్నర్ పదవి కోసం అప్పటి ప్రధాని ఇందిరా గాంధీని సంప్రదించారు కానీ ఈమె తిరస్కరించింది. జాకబ్ జనరల్ అరోరా, Mrs. కలకత్తా సామాజిక జీవితంలో అరోరా ఒక సాధారణ భాగం. 1984లో, అరోరా అమృత్సర్లోని గోల్డెన్ టెంపుల్ లోపల స్థానాలను ఆక్రమించిన సాయుధ సిక్కు మిలిటెంట్లను తరిమికొట్టడానికి అప్పటి ప్రభుత్వం చేసిన ఆపరేషన్ బ్లూ స్టార్ ఆపరేషన్ను అనుసరించి భారత జాతీయ కాంగ్రెస్ నాయకత్వాన్ని తీవ్రంగా విమర్శించారు. సిక్కు మతం. తదనంతరం, ఇతను రాజకీయ పార్టీ అయిన అకాలీదళ్ కోసం భారత పార్లమెంటు ఎగువ సభ అయిన రాజ్యసభలో అనేక సంవత్సరాలు పార్లమెంటు సభ్యునిగా గడిపాడు. 1984 సిక్కు వ్యతిరేక అల్లర్లలో సిక్కు బాధితులకు ప్రో బోనో సహాయం అందించిన సిటిజన్స్ జస్టిస్ కమిటీలో అరోరా క్రియాశీల సభ్యుడు కూడా. "
1431,Jagjit Singh Chopra,,
1432,Jagjit Singh Hara,,
1433,Jagmohan,,
1434,Jagmohan Lal Karoli,,
1435,Jagmohan Sursagar,,
1436,Jahnu Barua,,
1437,Jai Bhagwan Chaudhary,,
1438,Jai Bhagwan Goyal,,
1439,Jai Hormusjee Vakil,,
1440,Jai Krishna,,
1441,Jai Pal Mittal,,
1442,Jai Pal Singh,,
1443,Jai Prakash Agarwal,,
1444,Jai Prakash Lekhiwal,,
1445,Jai Rattan Bhalla,,
1446,Jai Singh Pal Yadav,,
1447,Jaikishan Dahyabhai Panchal,,
1448,Jainendra Kumar Jain,,
1449,Jaishankar Bhojak,,
1450,Jaiveer Agarwal,,
1451,Jal Gawashaw Paymaster,,
1452,Jal Minocher Mehta,,
1453,Jal R. Patel,,
1454,Jalakantapuram Ramaswamy Krishnamoorthy,,
1455,Jaman Lal Sharma,,
1456,Jamesh Dokhuma,,
1457,Jamini Roy,,
1458,Jamshed Jiji Irani,,
1459,Jamshed Vazifdar,,
1460,Jamshyd Godrej,,
1461,Jamuna Tudu,,
1462,Janak Palta McGilligan,,
1463,Janaki Ammal,,
1464,Janaky Athi Nahappan,,
1465,Jankibai Bajaj,,
1466,Jasbir Singh Bajaj,,
1467,Jasdev Singh,,
1468,Jashbhai Shankarbhaiu Patel,,
1469,Jasjit Singh,,
1470,Jaspal Bhatti,,
1471,Jaspal Rana,,
1472,Jasraj,,
1473,Jasraj Motiram,,
1474,Jasu Patel,,
1475,Jaswantrai Jayantilal Anjaria,,
1476,Jatin Das,,
1477,Jatin Goswami,,
1478,Jatindra Mohan Dutta,,
1479,Jatish Chandra Bhattacharyya,,
1480,Javare Gowda,,
1481,Javed Ahmed Tak,,
1482,Javed Akhtar,,
1483,Jawahar Lal Kaul,,
1484,Jawahar Wattal,,
1485,Jaya Arunachalam,,
1486,Jaya Bachchan,,
1487,Jayakanthan,,
1488,Jayakumari Chikkala,,
1489,Jayalakhshmi K. S.,,
1490,Jayant Narlikar,,
1491,Jayant Pandurang Naik,,
1492,Jayanta Kumar Ghosh,,
1493,Jayanta Mahapatra,,
1494,Jayantha Kumar Bagchi,,
1495,Jayanto Nath Chaudhuri,,
1496,Jayaram,,
1497,Jayaraman Gowrishankar,,
1498,Jaymala Shiledar,,
1499,Jeahangir Ghandy,,
1500,Jean Riboud,,
1501,Jean-Claude Carrière,,
1502,Jeelani Bano,,
1503,Jeev Milkha Singh,,
1504,Jeffrey Sachs,,
1505,Jehangir Sabavala,,
1506,Jehangir Shapurji Bhownagary,,
1507,Jerusha Jhirad,,
1508,Jhabarmal Sharma,,
1509,Jharna Dhara Chowdhury,,
1510,Jhulan Goswami,,
1511,Ji Xianlin,,
1512,Jigme Dorji Wangchuck,,
1513,Jinvijay,,
1514,Jitender Singh Shunty,,
1515,Jitendra Abhisheki,,
1516,Jitendra Haripal,,
1517,Jitendra Kumar Singh,,
1518,Jitendra Mohan Hans,,
1519,Jitendra Nath Goswami,,
1520,Jitendra Udhampuri,,
1521,Jitu Rai,,
1522,Jivanlal Moti Lal Thakore,,
1523,Jivraj Narayan Mehta,,
1524,Jivya Soma Mashe,,
1525,Jiwan Lal Jairamdas,,
1526,Jiwan Singh Umranangal,,
1527,Jnan Chandra Ghosh,,
1528,Jnan Prakash Ghosh,,
1529,Jnanendra Nath Mukherjee,,
1530,Jockin Arputham,,
1531,Jodh Singh,,
1532,Jogendra Nath Phukan,,
1533,Jogesh Chandra Banerjee,,
1534,Jogesh Chandra De,,
1535,Jogesh Pati,,
1536,Joginder Paul Birdi,,
1537,Joginder Singh,,
1538,Joginder Singh Dhillon,,
1539,Jogindra Lal Gupta,,
1540,John Arthur King Martyn,,
1541,John Ebnezar,,
1542,John Kenneth Galbraith,,
1543,John Martin Nelson,,
1544,John Mathai,,
1545,John Ralston Marr,,
1546,John Richardson (bishop of Car Nicobar),,
1547,John T. Chambers,,
1548,Jonnalagadda Gurappa Chetty,,
1549,Joravarsinh Jadav,,
1550,Jose Chacko Periappuram,,
1551,Jose Ma Joey Concepcion III,,
1552,Joseph Allen Stein,,
1553,Joseph Durai Raj,,
1554,Joseph H. Hulse,,
1555,Joseph H. Pereira,,
1556,Joseph Harold,,
1557,Josh Malihabadi,,
1558,Josh Malsiyani,,
1559,José Pereira,,
1560,Jothi Venkatachalam,,
1561,Joy Michael,,
1562,Joyasree Goswami Mahanta,,
1563,Jugal Kishore,,
1564,Jugal Kishore Choudhury,,
1565,Julio Ribeiro,,
1566,Julius Silverman,,
1567,Juthika Roy,,
1568,Jyeshtharaj Joshi,,
1569,Jyoti Bhatt,,
1570,Jyoti Bhushan Banerji,,
1571,Jyoti Kumar Sinha,,
1572,Jyotindra Nath Dixit,,
1573,Jyotirmoyee Sikdar,,
1574,Jyotish Chandra Ray,,
1575,K K Ramachandra Pulavar,,
1576,K Kesavasamy,,
1577,K. A. Abraham,,
1578,K. A. Nilakanta Sastri,,
1579,K. Asungba Sangtam,,
1580,K. B. Lall,,
1581,K. B. Sundarambal,,
1582,K. Balachander,,
1583,K. C. Banerjee,,
1584,K. C. Johorey,,
1585,K. C. Reddy,,
1586,K. C. Sengupta,,
1587,K. C. Sivasankaran,,
1588,K. Covilagam Kutti Ettan Raja,,
1589,K. G. Jayan,,
1590,K. G. Ramanathan,,
1591,K. G. Subramanyan,,
1592,K. I. Varaprasad Reddy,,
1593,K. Ibomcha Sharma,,
1594,K. J. Yesudas,,
1595,K. K. Aggarwal,,
1596,K. K. Muhammed,,
1597,K. K. Talwar,,
1598,K. K. Venugopal,,
1599,K. Kripal Singh,,
1600,K. M. Beenamol,,
1601,K. M. Cherian,,
1602,K. M. Cherian (journalist),,
1603,K. M. George,,
1604,K. M. Mammen Mappillai,,
1605,K. M. Mathew,,
1606,K. N. Dandayudhapani Pillai,,
1607,K. N. Raj,,
1608,K. N. Shankara,,
1609,K. Narayanan,,
1610,K. P. Haridas,,
1611,K. P. Kesava Menon,,
1612,K. P. Mathur,,
1613,K. P. P. Nambiar,,
1614,K. P. Saxena,,
1615,K. P. Udayabhanu,,
1616,K. Paddayya,,
1617,K. Padmanabhaiah,,
1618,K. Parasaran,,
1619,K. R. Chakravorty,,
1620,K. R. Palaniswamy,,
1621,K. R. Ramanathan,,
1622,K. Radhakrishnan,,
1623,K. Raghavan,,
1624,K. S. Chandrasekharan,,
1625,K. S. Chithra,,
1626,K. S. Narayanaswamy,,
1627,K. S. Nissar Ahmed,,
1628,K. Sankaran Nair,,
1629,K. Shankar Pillai,,
1630,K. Shivaram Karanth,,
1631,K. Srinath Reddy,,
1632,K. Sukumaran,,
1633,K. T. Dholakia,,
1634,K. T. Thomas,,
1635,K. Ullas Karanth,,
1636,K. V. Kamath,,
1637,K. V. Narayanaswamy,,
1638,K. V. S. J. Peter,,
1639,K. V. Sampath Kumar,,
1640,K. Vardachari Thiruvengadam,,
1641,K. Venkatalakshamma,,
1642,K. Venkataraman,,
1643,K. VijayRaghavan,,
1644,K. Viswanath,,
1645,K. Y. Venkatesh,,
1646,K.S.A. Khader Ghulam Mohideen,,
1647,Kader Khan,,
1648,Kadiyala Ramachandra,,
1649,Kadri Gopalnath,,
1650,Kaifi Azmi,,
1651,Kaikhushru Ruttonji Shroff,,
1652,Kailas Nath Kaul,,
1653,Kailasam Raghavendra Rao,,
1654,Kailash Chand,,
1655,Kailash Chandra Agrawal,,
1656,Kailash Chandra Meher,,
1657,Kailash Kher,,
1658,Kailash Madbaiya,,
1659,Kailash Sankhala,,
1660,Kaithapram Damodaran Namboothiri,,
1661,Kajol,,
1662,Kaka Hathrasi,,
1663,Kakarla Subba Rao,,
1664,Kalabati Devi,,
1665,Kalamandalam Gopi,,
1666,Kalamandalam Krishnan Nair,,
1667,Kalamandalam Kshemavathy,,
1668,Kalamandalam Satyabhama,,
1669,Kalamandalam Sivan Namboodiri,,
1670,Kalanidhi Narayanan,,
1671,Kalbe Sadiq,,
1672,Kalee Shabi Mahaboob,,
1673,Kaleem Ullah Khan,,
1674,Kalidas Gupta Riza,,
1675,Kalim Aajiz,,
1676,Kalindi Charan Panigrahi,,
1677,Kallam Anji Reddy,,
1678,Kallur Subba Rao,,
1679,Kalluri Gopal Rao,,
1680,Kaloji Narayana Rao,,
1681,Kalpana Saroj,,
1682,Kalpathy Ram Iyer Doraiswamy,,
1683,Kalu Lal Shrimali,,
1684,Kalyan Banerjee,,
1685,Kalyan Dev,,
1686,Kalyan Singh Gupta,,
1687,Kalyan Singh Rawat,,
1688,Kalyan Sundaram,,
1689,Kalyanam Raghuramaiah,,
1690,Kalyanji Virji Shah,,
1691,Kalyanji Vithalbhai Mehta,,
1692,Kamal Haasan,,
1693,Kamal Krishna Sinha,,
1694,Kamal Kumar Sethi,,
1695,Kamal Manti Naskar,,
1696,Kamal Ranadive,,
1697,Kamala Pujhari,,
1698,Kamalabai Hospet,"For further education she was sent to Hingana, Pune at the institute founded by Maharshi Dhondo Keshav Karve. She did not complete her education here however, to avoid the financial burden of her education on her brothers' families. With  the thought of becoming financially independent, she joined a nursing course at the Dufferin Hospital in Nagpur. She was a student here from 1918–1920.
While undergoing training at the Dufferin Hospital she was reprimanded by a British doctor for offering a bed pan to a poor Indian patient. This incident made a deep impact on her and she decided to start a maternity home which would serve all Indian women without discrimination. As a result she founded such a maternity home called Matru Sewa Sangh at Sitabuldi, Nagpur as soon as she completed her training. This maternity home started with four beds in one location and during her lifetime had expanded to 21 branches across multiple states such as Maharashtra, Madhya Pradesh and Rajasthan. She paid personal care and attention to her patients as well as their families. Apart from running the maternity home, she started a Nurses Training School, and Institute of Social Work, a school for the mentally challenged: Nandanwan, a senior citizen home: Panchavati, a foundling home & an orphanage all under the aegis of Matru Sewa Sangh","తదుపరి విద్య కోసం ఈమెను పూణేలోని హింగానాకు మహర్షి ధోండో కేశవ్ కర్వే స్థాపించిన ఇన్స్టిట్యూట్లో పంపారు. అయితే తన సోదరుల కుటుంబాలపై తన చదువు ఆర్థిక భారం పడకుండా ఉండేందుకు ఈమె ఇక్కడ చదువు పూర్తి చేయలేదు. ఆర్థికంగా స్వతంత్రం కావాలనే ఆలోచనతో ఈమె నాగ్పూర్లోని డఫెరిన్ హాస్పిటల్లో నర్సింగ్ కోర్సులో చేరింది. ఈమె 1918-1920 వరకు ఇక్కడ విద్యార్థి. డఫెరిన్ హాస్పిటల్లో శిక్షణ పొందుతున్నప్పుడు పేద భారతీయ రోగికి బెడ్ పాన్ అందించినందుకు బ్రిటిష్ వైద్యుడు ఈమెను మందలించాడు. ఈ సంఘటన ఈమెపై తీవ్ర ప్రభావం చూపింది, వివక్ష లేకుండా భారతీయ మహిళలందరికీ సేవ చేసే ప్రసూతి గృహాన్ని ప్రారంభించాలని నిర్ణయించుకుంది. ఫలితంగా ఈమె శిక్షణ పూర్తయిన వెంటనే నాగ్పూర్లోని సీతాబుల్డిలో మాతృ సేవా సంఘ్ అనే మాతృత్వ గృహాన్ని స్థాపించింది. ఈ ప్రసూతి గృహం ఒకే ప్రదేశంలో నాలుగు పడకలతో ప్రారంభమైంది, ఈమె జీవితకాలంలో మహారాష్ట్ర, మధ్యప్రదేశ్, రాజస్థాన్ వంటి బహుళ రాష్ట్రాలలో 21 శాఖలకు విస్తరించింది. ఈమె తన రోగులతో పాటు వారి కుటుంబాలకు వ్యక్తిగత సంరక్షణ, శ్రద్ధను ఇచ్చింది. ప్రసూతి గృహాన్ని నిర్వహించడమే కాకుండా, ఈమె మానసిక వికలాంగుల కోసం నర్సుల శిక్షణా పాఠశాల, ఇన్స్టిట్యూట్ ఆఫ్ సోషల్ వర్క్ను ప్రారంభించింది: నందనవన్, సీనియర్ సిటిజన్ హోమ్: పంచవటి, మాతృ సేవా సంఘ్ ఆధ్వర్యంలో ఒక అనాథాశ్రమం. "
1699,Kamaladevi Chattopadhyay,,
1700,Kamalendumati Shah,,
1701,Kamaljit Sandhu,,
1702,Kamaljit Singh Paul,,
1703,Kameshwar Brahma,,
1704,Kameshwar Prasad,,
1705,Kamini A. Rao,,
1706,Kamleshwar,,
1707,Kanak Rele,,
1708,Kanaka Raju,,
1709,Kanaka Srinivasan,,
1710,Kandathil Mammen Philip,,
1711,Kangana Ranaut,,
1712,Kanhai Chitrakar,,
1713,Kanhaiya Lal Nandan,,
1714,Kanhaiyalal Sethia,,
1715,Kanhaya Lal Pokhriyal,,
1716,Kanhiyalal Prabhakar Mishra,,
1717,Kanika Banerjee,,
1718,Kankanhalli Vasudevachary,,
1719,Kanta Saroop Krishen,,
1720,Kanta Tyagi,,
1721,Kantibhai Baldevbhai Patel,,
1722,Kantilal Hastimal Sancheti,,
1723,Kanubhai Hasmukhbhai Tailor,,
1724,Kanuri Lakshmana Rao,,
1725,Kanwal Sibal,,
1726,Kanwal Singh Chauhan,,
1727,Kanwaljit Singh Bains,,
1728,Kanwar Natwar Singh,,
1729,Kanwar Pal Singh Gill,,
1730,Kanwar Sain,,
1731,Kapil Dev,,
1732,Kapil Deva Dvivedi,,
1733,Kapil Mohan,,
1734,Kapil Tiwari,,
1735,Kapila Vatsyayan,,
1736,Karachur Lingappa Nanjappa,,
1737,Karamshi Jethabhai Somaiya,,
1738,Karan Johar,,
1739,Karan Singh,,
1740,Kariamanickam Srinivasa Krishnan,,
1741,Karim Al Hussaini Aga Khan,,
1742,Karimpat Mathangi Ramakrishnan,,
1743,Karimpumannil Mathai George,,
1744,Karimul Haque,,
1745,Kariya Munda,,
1746,Karl Harrington Potter,,
1747,Karl Jamshed Khandalavala,,
1748,Karnam Malleswari,,
1749,Karsanbhai Patel,,
1750,Kartar Paras Ram Singh,,
1751,Kartar Singh Dewana,,
1752,Kartar Singh Duggal,,
1753,Kartikeya V. Sarabhai,,
1754,Karuna Mary Braganza,,
1755,Kashi Nath Pandita,,
1756,Kashi Prasad Pandey,,
1757,Kashmir Singh Katoch,,
1758,Kashmiri Lal Zakir,,
1759,Kasturbhai Lalbhai,"With time, Kasturbhai started handing over the operations of his businesses to his family in the 1960s. He devoted more time to public activities.  He retired from business in January 1977. He died on 20 January 1980 in Ahmedabad.","కాలక్రమేణా, కస్తూర్భాయ్ 1960లలో తన వ్యాపార కార్యకలాపాలను తన కుటుంబానికి అప్పగించడం ప్రారంభించాడు. ప్రజా కార్యక్రమాలకు ఎక్కువ సమయం కేటాయించారు. ఇతను జనవరి 1977లో వ్యాపారం నుండి రిటైర్ అయ్యాడు. ఇతను 20 జనవరి 1980న అహ్మదాబాద్లో మరణించాడు. "
1760,Kasturi Lal Chopra,,
1761,Kasturi Lal Vij,,
1762,Kasturi Srinivasan,,
1763,Kasturiswami Sreenivasan,,
1764,Kattingeri Krishna Hebbar,,
1765,Kattungal Subramaniam Manilal,,
1766,Katty Venkataswami Naidu,,
1767,Katuru Narayana,,
1768,Kaur Singh,,
1769,Kaushik Basu,,
1770,Kavalam Narayana Panicker,,
1771,Kaviraj Ashuthosh Majumdar,,
1772,Kavita Krishnamurthy,,
1773,Kavungal Chathunni Panicker,,
1774,Kayalath Pothen Philip,,
1775,Kazi Lhendup Dorjee,,
1776,Kazi Masum Akhtar,,
1777,Kazi Nazrul Islam,"In 1930, his book Pralayshikha was banned and he faced charges of sedition by the British Indian colonial government. He was sent to jail and released in 1931, after the Gandhi–Irwin Pact was signed. In 1933, Nazrul published a collection of essays titled ""Modern World Literature"", in which he analyses different styles and themes of literature. Between 1928 and 1935, he published 10 volumes containing 800 songs, of which more than 600 were based on classical ragas. Almost 100 were folk tunes after kirtans, and some 30 were patriotic songs. From the time of his return to Kolkata until he fell ill in 1941, Nazrul composed more than 2,600 songs, many of which have been lost. His songs based on baul, jhumur, Santhali folksongs, jhanpan, or the folk songs of snake charmers, bhatiali, and bhaoaia consist of tunes of folk-songs on the one hand and a refined lyric with poetic beauty on the other. Nazrul also wrote and published poems for children.Nazrul's success soon brought him into Indian theatre and the then-nascent film industry. His first film as a director was Dhruva Bhakta, which made him the first Muslim director of a Bengali film","1930లో, అతని పుస్తకం ప్రలయశిఖ నిషేధించబడింది, ఇతను బ్రిటీష్ ఇండియన్ వలస ప్రభుత్వంచే దేశద్రోహ ఆరోపణలను ఎదుర్కొన్నాడు. గాంధీ-ఇర్విన్ ఒప్పందంపై సంతకం చేసిన తర్వాత 1931లో జైలుకు పంపబడ్డాడు, విడుదలయ్యాడు. 1933లో, నజ్రుల్ ""ఆధునిక ప్రపంచ సాహిత్యం"" అనే శీర్షికతో వ్యాసాల సంకలనాన్ని ప్రచురించాడు, ఇందులో ఇతను సాహిత్యం, విభిన్న శైలులు, ఇతివృత్తాలను విశ్లేషిస్తాడు. 1928, 1935 మధ్య, ఇతను 800 పాటలను కలిగి ఉన్న 10 సంపుటాలను ప్రచురించాడు, వాటిలో 600 కంటే ఎక్కువ పాటలు శాస్త్రీయ రాగాలపై ఆధారపడి ఉన్నాయి. కీర్తనల తర్వాత దాదాపు 100 జానపద రాగాలు, కొన్ని 30 దేశభక్తి గీతాలు. ఇతను కోల్కతాకు తిరిగి వచ్చినప్పటి నుండి 1941లో అనారోగ్యానికి గురయ్యే వరకు, నజ్రుల్ 2, 600 కంటే ఎక్కువ పాటలను కంపోజ్ చేశాడు, వాటిలో చాలా వరకు కోల్పోయాయి. బౌల్, ఝుమూర్, సంతాలి జానపద గీతాలు, ఝన్పన్ లేదా పాము మంత్రుల జానపద పాటలు, భటియాలీ, భావోయా ఆధారంగా అతని పాటలు ఒక వైపు జానపద-పాటల రాగాలను కలిగి ఉంటాయి, మరోవైపు కవితా సౌందర్యంతో శుద్ధి చేసిన సాహిత్యాన్ని కలిగి ఉంటాయి. నజ్రుల్ పిల్లల కోసం కవితలు కూడా రాసి ప్రచురించాడు. నజ్రుల్, విజయం త్వరలో అతనిని భారతీయ నాటకరంగంలోకి, అప్పటికి ప్రారంభమైన చలనచిత్ర పరిశ్రమలోకి తీసుకువచ్చింది. దర్శకుడిగా అతని మొదటి చిత్రం ధృవ భక్త, ఇది అతన్ని బెంగాలీ చిత్రానికి మొదటి ముస్లిం దర్శకుడిగా చేసింది. "
1778,Kedar Ghosh,,
1779,Kedar Gurung,,
1780,Kedar Nath Mookerjee,,
1781,Kedar Nath Sahoo,,
1782,Keepu Tsering Lepcha,,
1783,Keezhpadam Kumaran Nair,,
1784,Keiki R. Mehta,,
1785,Keki Byramjee Grant[i]#,,
1786,Keki Hormusji Gharda,,
1787,Keki N. Daruwalla,,
1788,Kekoo Gandhy,,
1789,Kelucharan Mohapatra,,
1790,Kershasp Tehmurasp Satarawala,,
1791,Kesarbai Kerkar,,
1792,Keshav Malik,,
1793,Keshav Prasad Goenka,,
1794,Keshav Rao Musalgaonkar,,
1795,Keshavram Kashiram Shastri,,
1796,Keshavrao Krishnarao Datey,,
1797,Keshubhai Patel,,
1798,Ketayun Ardeshir Dinshaw,,
1799,Kewal Singh Choudhary,,
1800,Khadg Singh Valdiya,,
1801,Khadim Hussain Khan,,
1802,Khailshanker Durlabhji,,
1803,Khaled Choudhury,,
1804,Khalid A. H. Ansari,,
1805,"Khalid Hameed, Baron Hameed",,
1806,Khalid Zaheer,,
1807,Khangembam Mangi Singh,,
1808,Kharag Singh Valdiya,,
1809,Khawlkungi,,
1810,Khem Karan Singh,,
1811,Khem Singh Gill,,
1812,Khushdeva Singh,,
1813,Khushwant Lal Wig,,
1814,Khushwant Singh,,
1815,Khusro Faramurz Rustamji,,
1816,Khwaja Ahmad Abbas,,
1817,Khwaja Ghulam Saiyidain,,
1818,Kim Yang-shik,,
1819,Kiran Karnik,,
1820,Kiran Martin,,
1821,Kiran Mazumdar,,
1822,Kiran Mazumdar-Shaw,,
1823,Kiran Segal,,
1824,Kiran Seth,,
1825,Kirit Parikh,,
1826,Kiritkumar Mansukhlal Acharya,,
1827,Kirpal Singh,,
1828,Kirpal Singh Chugh,,
1829,Kirpal Singh Narang,,
1830,Kishan Lal,,
1831,Kishan Maharaj,,
1832,Kishandas Bhagwandas Kapadia,,
1833,Kishorebhai Ratilal Zaveri,,
1834,Kishori Amonkar,,
1835,Kodaganur S. Gopinath,,
1836,Kodandera Subayya Thimayya,,
1837,Koka Simhadri Babu,,
1838,Kolakaluri Enoch,,
1839,Komal Kothari,,
1840,Komala Varadan,,
1841,Koneru Ramakrishna Rao,,
1842,Kooram Chakravarthy Kannan,,
1843,Kota Harinarayana,,
1844,Kota Srinivasa Rao,,
1845,Kotha Satchidananda Murthy,,
1846,Kotha Satchidanda Murthy,,
1847,Kothamangalam Subbu,,
1848,Kotti Narasimha Udupa,,
1849,Kranti Shah,,
1850,Kripal Singh Shekhawat,,
1851,Kris Gopalakrishnan,,
1852,Krishan Dev Bali,,
1853,Krishan Dev Dewan,,
1854,Krishan Dutta Bharadwaj,,
1855,Krishan Swarup Pathak,,
1856,Krishen Khanna,,
1857,Krishn Kanhai,,
1858,Krishna Bihari Mishra,,
1859,Krishna Chaithanya,,
1860,Krishna Chandar,,
1861,Krishna Chandra Chunekar,,
1862,Krishna Chandra Panigrahi,,
1863,Krishna Chandra Shukla,,
1864,Krishna Gopal Saxena,,
1865,Krishna Joshi,,
1866,Krishna Kanta Handique,,
1867,Krishna Kumar,,
1868,Krishna Lal Chadha,,
1869,Krishna Murari Tiwari,,
1870,Krishna Pai Pai,,
1871,Krishna Poonia,,
1872,Krishna Prasad Dar,,
1873,Krishna Prasad Singh Varma,,
1874,Krishna Ram Chaudhary,,
1875,Krishna Ramchand Kriplani,,
1876,Krishna Reddy,,
1877,Krishna Srinivas,,
1878,Krishna Swaroop Mullick,,
1879,Krishnammal Jagannathan,,
1880,Krishnamurthy Santhanam,,
1881,Krishnan Raghavachari,,
1882,Krishnarao Phulambrikar,,
1883,Krishnarao Shankar Pandit,,
1884,Krishnarao Shripat Mhaskar,,
1885,Krishnaswami Balasubramania Iyer,,
1886,Krishnaswami Ramiah,,
1887,Krishnaswami Srinivas Sanjivi,,
1888,Krishnaswami Swaminathan,,
1889,Krishnaswamy Kasturirangan,,
1890,Kruthartha Acharya,,
1891,Kshama Metre,,
1892,Kshem Suman Chandra,,
1893,Kshetrimayum Ongbi Thouranisabi Devi,,
1894,Kudrat Singh,,
1895,Kuldip Nayar,,
1896,Kuldip Singh Virk,,
1897,Kum Subasini Jhunu Dasgupta,,
1898,Kum Uma Sharma,,
1899,Kumar Gandharva,,
1900,Kumar Ketkar,,
1901,Kumar Nandan Prasad,,
1902,Kumar Padma Siva Shankara Menon,,
1903,Kumar Sanu,,
1904,Kumari Codanda Rohini Poovaiah,,
1905,Kumari Kamala,,
1906,Kumarpal Desai,,
1907,Kumkum Mohanty,,
1908,Kumud Ranjan Mullick,,
1909,Kumudini Lakhia,,
1910,Kundal Lal Bery,,
1911,Kunhiraman Palat Candeth,,
1912,Kunja Bihari Meher,,
1913,Kunjarani Devi,,
1914,Kunji Lal Dubey,,
1915,Kunnakudi Vaidyanathan,,
1916,Kunnenkeril K. Jacob,,
1917,Kunwar Digvijai Singh,,
1918,Kunwar Narayan,,
1919,Kunwar Singh Negi,,
1920,Kuppali Venkatappagowda Puttappa,,
1921,Kurian John Melamparambil,,
1922,Kushal Konwar Sarma,,
1923,Kushal Pal Singh,,
1924,Kushok Bakula,,
1925,Kuthur Ramakrishnan Srinivasan,,
1926,Kutikuppala Surya Rao,,
1927,Kuvempu,,
1928,Kuzhivelil Mathew,,
1929,Kuzhur Narayana Marar,,
1930,L. A. Krishna Iyer,,
1931,L. K. Advani,,
1932,L. K. Doraiswamy,,
1933,L. Kijungluba AO,,
1934,L. S. N. Prasad,,
1935,L. Subramaniam,,
1936,L. Venkatakrishna Iyer,,
1937,L. Z. Sailo,,
1938,Laila Tyabji,,
1939,Laishram Birendrakumar Singh,,
1940,Laishram Nabakishore Singh,,
1941,Lakha Khan,,
1942,Lakhimi Baruah,,
1943,Lakhumal Hiranand Hiranandani,,
1944,Lakshman Dev,,
1945,Lakshman Shastri Joshi,,
1946,Lakshman Singh,,
1947,Lakshman Singh Jangpangi,,
1948,Lakshman Swarup Darbari,,
1949,Lakshmi Kumari Chundawat,,
1950,Lakshmi Mazumdar,,
1951,Lakshmi Menon,,
1952,Lakshmi Mittal,,
1953,Lakshmi Nandan Bora,,
1954,Lakshmi Sahgal,,
1955,Lakshmikutty,,
1956,Lakshminarayana Pulram Ananthakrishnan Ramdas,,
1957,Lal Bahadur Singh Chauhan,,
1958,Lal Singh,,
1959,Lala Amarnath,,
1960,Lala Chand Verman,,
1961,Lala Hansraj Gupta,,
1962,Lalchand Hirachand,,
1963,Lalgudi Jayaraman,,
1964,Lalit Kumar,,
1965,Lalit Mohan Banerjee,,
1966,Lalit Pande,,
1967,Lalitha Chidambaram,,
1968,Lalji Singh,,
1969,Lallan Prasad Singh,,
1970,Lalsangzuali Sailo,,
1971,Lalsawma,,
1972,Lalthangfala Sailo,,
1973,Laltluangliana Khiangte,,
1974,Lalzuia Colney,,
1975,Lama Thup Phuntsok,,
1976,Lambert Mascarenhas,,
1977,Langpoklakpam Subadani Devi,,
1978,Lata Mangeshkar,,
1979,Laurie Baker,,
1980,Lavu Narendranath,,
