,Recipients,WikiLink,Padma Shri Year,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan Year,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan Year,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Occupation,Election Year,Posthumus
2609,Habibullo Rajabov,https://en.wikipedia.org/wiki/Habibullo_Rajabov,2018.0,,Literature and Education,Ram Nath Kovind,,,,,,,,,Tajikistan,nan,nan,nan,nan,nan,,,,,Padma Sri(2018),Indologist,No,No
2610,M. R. Rajagopal,https://en.wikipedia.org/wiki/M._R._Rajagopal,2018.0,"Kerala, India",Medicine,Ram Nath Kovind,,,,,,,,,"(1947-09-23)23 September 1947(age 74)
Trivandrum, Kerala, India.",(1947-09-23)23 September 1947(age 74),"Trivandrum, Kerala, India.",nan,nan,nan,Indian,,,"Medical College, Trivandrum; Medical College, Calicut; Pain and Palliative Care Society, Calicut; Trivandrum Institute of Palliative Sciences, Trivandrum",,,No,No
2611,Sampat Ramteke,https://en.wikipedia.org/wiki/Sampat_Ramteke,2018.0,"Maharashtra, India",Social work,Ram Nath Kovind,,,,,,,,,"1950
Chandrapur,Maharashtra,India",1950.0,"Chandrapur,Maharashtra,India","17 November 2017
Nagpur,Maharashtra,India",2017-11-17 00:00:00,"Nagpur,Maharashtra,India",Indian,,,,Padma Shri(2018),Engineer,No,Yes
2612,Chandra Sekhar Rath,,2018.0,"Odisha, India",Literature and Education,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2613,S. S. Rathore,https://en.wikipedia.org/wiki/S._S._Rathore,2018.0,"Gujarat, India",Civil Service,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2614,Amitava Roy,https://en.wikipedia.org/wiki/Amitava_Roy,2018.0,"West Bengal, India",Science and Engineering,Ram Nath Kovind,,,,,,,,,"Amitava Roy
(1953-03-01)1 March 1953(age 68)
Dibrugarh,Assam, India",(1953-03-01)1 March 1953(age 68),nan,nan,nan,nan,Indian,,"Dibrugarh University,Dibrugarh",,,,No,No
2615,Sanduk Ruit,https://en.wikipedia.org/wiki/Sanduk_Ruit,2018.0,Nepal,Medicine,Ram Nath Kovind,,,,,,,,,"(1954-09-04)September 4, 1954(age 67)
Olangchung Gola,Taplejung District,Nepal","(1954-09-04)September 4, 1954(age 67)","Olangchung Gola,Taplejung District,Nepal",nan,nan,nan,Nepalese,,,,"Honorary Officer of the Order of Australia
Ramon Magsaysay Award
Padma Shri",Ophthalmologist,No,No
2616,Vagish Shastri,https://en.wikipedia.org/wiki/Vagish_Shastri,2018.0,"Uttar Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,,,,"Bhagirath Prasad Tripathi
(1935-07-15)15 July 1935(age 86)
Khurai,Central Provinces and Berar,British India",(1935-07-15)15 July 1935(age 86),nan,nan,nan,nan,,Rekha Tripathi,,,,"Sanskrit grammarian,linguist,yogi.",No,No
2617,R Sathyanarayana,https://en.wikipedia.org/wiki/R_Sathyanarayana,2018.0,"Karnataka, India",Arts,Ram Nath Kovind,,,,,,,,,"(1927-05-09)9 May 1927
Mysore, India",(1927-05-09)9 May 1927,"Mysore, India","16 January 2020(2020-01-16)(aged 92)
Mysore",16 January 2020(2020-01-16)(aged 92),Mysore,Indian,,,,Padma Sri(2018),"Musicologist,Indologist&Dancescholar",No,No
2618,Pankaj M Shah,,2018.0,"Gujarat, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2619,Bhajju Shyam,https://en.wikipedia.org/wiki/Bhajju_Shyam,2018.0,"Madhya Pradesh, India",Arts,Ram Nath Kovind,,,,,,,,,"1971 (age 49–50)
Patangarh Village, Madhya Pradesh, India",1971 (age 49–50),"Patangarh Village, Madhya Pradesh, India",nan,nan,nan,,,,,Padma Shri(2018),Artist,No,No
2620,Maharao Raghuveer Singh,https://en.wikipedia.org/wiki/Maharao_Raghuveer_Singh,2018.0,"Rajasthan, India",Literature and Education,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2621,Srikanth Kidambi,https://en.wikipedia.org/wiki/Srikanth_Kidambi,2018.0,"Andhra Pradesh, India",Sports,Ram Nath Kovind,,,,,,,,,"(1993-02-07)7 February 1993(age 28)
Ravulapalem,Andhra Pradesh, India",(1993-02-07)7 February 1993(age 28),"Ravulapalem,Andhra Pradesh, India",nan,nan,nan,,,,,,,No,No
2622,Ibrahim Sutar,https://en.wikipedia.org/wiki/Ibrahim_Sutar,2018.0,"Karnataka, India",Arts,Ram Nath Kovind,,,,,,,,,"(1940-05-10)10 May 1940(age 81)
Mahalingpur[1]",(1940-05-10)10 May 1940(age 81),Mahalingpur[1],nan,nan,nan,,Marembi[1],,,,Weaver[1],No,No
2623,Lentina Ao Thakkar,,2018.0,"Nagaland, India",Social Work,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2624,Vikram Chandra Thakur,https://en.wikipedia.org/wiki/Vikram_Chandra_Thakur,2018.0,"Uttarakhand, India",Science and Engineering,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2625,R. N. Tharanathan and R. N. Thyagarajan,https://en.wikipedia.org/wiki/Rudrapatnam_Brothers,2018.0,"Karnataka, India",Arts,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2626,Nguyen Tien Thien,https://en.wikipedia.org#cite_note-VN-52,2018.0,,Others,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2627,Rajagopalan Vasudevan,https://en.wikipedia.org/wiki/Rajagopalan_Vasudevan,2018.0,"Tamil Nadu, India",Science and Engineering,Ram Nath Kovind,,,,,,,,,Tamil Nadu,nan,nan,nan,nan,nan,Indian,,,Thiagarajar College of Engineering,Padma Shri,,No,No
2628,Manas Bihari Verma,https://en.wikipedia.org/wiki/Manas_Bihari_Verma,2018.0,"Bihar, India",Science and Engineering,Ram Nath Kovind,,,,,,,,,"(1943-07-29)29 July 1943
Darbhanga,British India",(1943-07-29)29 July 1943,"Darbhanga,British India","4 May 2021(2021-05-04)(aged 77)
Darbhanga, India",4 May 2021(2021-05-04)(aged 77),"Darbhanga, India",,,,,Padma Shri,,No,No
2629,Gangadhar Pantawane,https://en.wikipedia.org/wiki/Gangadhar_Pantawane,2018.0,"Maharashtra, India",Literature and Education,Ram Nath Kovind,,,,,,,,,"28 June 1937
Nagpur,British India
(now inMaharashtra, India)",1937-06-28 00:00:00,"Nagpur,British India
(now inMaharashtra, India)","March 27, 2018(2018-03-27)(aged 80)
Aurangabad, Maharashtra, India","March 27, 2018(2018-03-27)(aged 80)","Aurangabad, Maharashtra, India",Indian,,,,,"Writer, social activist",No,No
2630,Romulus Whitaker,https://en.wikipedia.org/wiki/Romulus_Whitaker,2018.0,"Tamil Nadu, India",Others,Ram Nath Kovind,,,,,,,,,"(1943-05-23)23 May 1943(age 78)
New York City, United States",(1943-05-23)23 May 1943(age 78),"New York City, United States",nan,nan,nan,,"Zai Whitaker (m. 1974; divorced)
Janaki Lenin",,,,"Herpetologist,Conservationist",No,No
2631,Baba Yogendra,,2018.0,"Madhya Pradesh, India",Arts,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2632,A Zakia,https://en.wikipedia.org/wiki/A_Zakia,2018.0,"Mizoram, India",Literature and Education,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
2633,Rajeshwar Acharya,https://en.wikipedia.org/wiki/Rajeshwar_Acharya,2019.0,"Uttar Pradesh, India",Arts,Ram Nath Kovind,,,,,,,,,"Varanasi, India",nan,nan,nan,nan,nan,,,,,Padma Sri(2019),Classical music vocalist,Yes,No
2634,Bangaru Adigalar,https://en.wikipedia.org/wiki/Bangaru_Adigalar,2019.0,"Tamil Nadu, India",Others,Ram Nath Kovind,,,,,,,,,"(1940-03-03)March 3, 1940(age 81)
Melmaruvathur,Tamil Nadu,India","(1940-03-03)March 3, 1940(age 81)","Melmaruvathur,Tamil Nadu,India",nan,nan,nan,,,,,,,Yes,No
2635,Illias Ali,https://en.wikipedia.org/wiki/Illias_Ali,2019.0,"Assam, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2636,Manoj Bajpayee,https://en.wikipedia.org/wiki/Manoj_Bajpayee,2019.0,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,,,,,"(1969-04-23)23 April 1969(age 52)
Belwa,West Champaran,Bihar, India",(1969-04-23)23 April 1969(age 52),"Belwa,West Champaran,Bihar, India",nan,nan,nan,,Shabana Raza​(m.2006)​,,,,Actor,Yes,No
2637,Uddhab Bharali,https://en.wikipedia.org/wiki/Uddhab_Bharali,2019.0,"Assam, India",Science and Engineering,Ram Nath Kovind,,,,,,,,,"(1962-04-07)7 April 1962(age 59)
North Lakhimpur,Assam,India",(1962-04-07)7 April 1962(age 59),"North Lakhimpur,Assam,India",nan,nan,nan,Indian,,,,"President’s Grassroots Innovation Award
Shristi Samman Award
NASA TechCreate the Future Design Contest(2012, 2013)
Rashtriya Ekta Samman
Padma Shri(2019)",,Yes,No
2638,Omesh Kumar Bharti,https://en.wikipedia.org/wiki/Omesh_Kumar_Bharti,2019.0,"Himachal Pradesh, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2639,Pritam Bhartwan,https://en.wikipedia.org/wiki/Pritam_Bhartwan,2019.0,"Uttarakhand, India",Arts,Ram Nath Kovind,,,,,,,,,"(1970-09-17)17 September 1970(age 51)
Silla,Dehradun,Uttar Pradesh
(nowUttarakhand,India)",(1970-09-17)17 September 1970(age 51),"Silla,Dehradun,Uttar Pradesh
(nowUttarakhand,India)",nan,nan,nan,,,,,,Folk singer,Yes,No
2640,Jyoti Bhatt,https://en.wikipedia.org/wiki/Jyoti_Bhatt,2019.0,"Gujarat, India",Arts,Ram Nath Kovind,,,,,,,,,"Jyotindra Manshankar Bhatt
(1934-03-12)12 March 1934(age 87)
Bhavnagar,Gujarat",(1934-03-12)12 March 1934(age 87),nan,nan,nan,nan,,Jyotsna Bhatt,,,Padma Shri(2019)[2],,Yes,No
2641,Dilip Chakravarty,,2019.0,Delhi/India,Others,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2642,Mammen Chandy,https://en.wikipedia.org/wiki/Mammen_Chandy,2019.0,"West Bengal, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2643,Swapan Chaudhuri,https://en.wikipedia.org/wiki/Swapan_Chaudhuri,2019.0,"West Bengal, India",Arts,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2644,Kanwal Singh Chauhan,https://en.wikipedia.org/wiki/Kanwal_Singh_Chauhan,2019.0,"Haryana, India",Others,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,Indian,,,,Padma Shri(2019),"Farmer, Entrepreneur",Yes,No
2645,Sunil Chhetri,https://en.wikipedia.org/wiki/Sunil_Chhetri,2019.0,"Telangana, India",Sports,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2646,Dinyar Contractor,https://en.wikipedia.org/wiki/Dinyar_Contractor,2019.0,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,,,,,1941-01-23 00:00:00,1941-01-23 00:00:00,nan,"5 June 2019(aged 79)
Mumbai, Maharashtra, India",5 June 2019(aged 79),"Mumbai, Maharashtra, India",,,,,,"Actor, writer, director, comedian",Yes,No
2647,Muktaben Pankajkumar Dagli,https://en.wikipedia.org/wiki/Muktaben_Pankajkumar_Dagli,2019.0,"Gujarat, India",Social Work,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2648,Babulal Dahiya,https://en.wikipedia.org/wiki/Babulal_Dahiya,2019.0,"Madhya Pradesh, India",Others,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2649,Thanga Darlong,https://en.wikipedia.org/wiki/Thanga_Darlong,2019.0,"Tripura, India",Arts,Ram Nath Kovind,,,,,,,,,"(1920-07-20)July 20, 1920(age 101)
India","(1920-07-20)July 20, 1920(age 101)",India,nan,nan,nan,,,,,,,Yes,No
2650,Prabhu Deva,https://en.wikipedia.org/wiki/Prabhu_Deva,2019.0,"Karnataka, India",Arts,Ram Nath Kovind,,,,,,,,,"3 April 1973(1973-04-03)(age48)[1][2]
Mysore,Mysore State, India",3 April 1973(1973-04-03)(age48)[1][2],"Mysore,Mysore State, India",nan,nan,nan,,"Ramlath​​(m.1995;div.2011)​
Dr. Himani Singh​(m.2020)​",,,Padma Shri,Actordirectordance choreographerproducer,Yes,No
2651,Rajkumari Devi,https://en.wikipedia.org/wiki/Rajkumari_Devi,2019.0,"Bihar, India",Others,Ram Nath Kovind,,,,,,,,,"Muzaffarpur, Bihar, India",nan,nan,nan,nan,nan,,,,,"Padma Shri, Kisan Shri","Farmer,agriculturist",Yes,No
2652,Bhagirathi Devi,https://en.wikipedia.org/wiki/Bhagirathi_Devi,2019.0,"Bihar, India",Public Affairs,Ram Nath Kovind,,,,,,,,,"(1950-05-01)1 May 1950(age 71)
Narkatiaganj,West Champaran district,Bihar",(1950-05-01)1 May 1950(age 71),"Narkatiaganj,West Champaran district,Bihar",nan,nan,nan,Indian,Mamikhan Raut,,,,"Politician
Social worker",Yes,No
2653,Baldev Singh Dhillon,https://en.wikipedia.org/wiki/Baldev_Singh_Dhillon,2019.0,"Punjab, India",Science and Engineering,Ram Nath Kovind,,,,,,,,,"1947[1]
Amritsar,Punjab,British India",1947[1],"Amritsar,Punjab,British India",nan,nan,nan,Indian,,,"Punjab Agricultural University.
Indian Council of Agricultural Research
National Bureau of Plant Genetic Resources.
Guru Nanak Dev University.
University of Hohenheim.
University of Birmingham.
International Maize and Wheat Improvement Center, Mexico","DAAD Post-Doc. Fellowship.
Alexander von Humboldt (AvH) Post-Doc. Fellowship.
University of Hohenheim Post-Doc. Fellowship.
Fellow:Indian National Science Academy(FNA).
Fellow: National Academy of Agricultural Sciences, India (FNAAS).).[1]
Fellow: National Academy of Sciences of India (FNASc).
NAAS Dr B.P. Pal Memorial Prize.
Rafi Ahmed Kidwai Memorial Prize ofICAR.
Om Prakash Bhasin Award.",,Yes,No
2654,Harika Dronavalli,https://en.wikipedia.org/wiki/Harika_Dronavalli,2019.0,"Andhra Pradesh, India",Sports,Ram Nath Kovind,,,,,,,,,"(1991-01-12)12 January 1991(age 30)
Gorantla,Guntur,Andhra Pradesh, India",(1991-01-12)12 January 1991(age 30),"Gorantla,Guntur,Andhra Pradesh, India",nan,nan,nan,,,,,,,Yes,No
2655,Godawari Dutta,https://en.wikipedia.org/wiki/Godawari_Dutta,2019.0,"Bihar, India",Arts,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2656,Gautam Gambhir,https://en.wikipedia.org/wiki/Gautam_Gambhir,2019.0,Delhi/India,Sports,Ram Nath Kovind,,,,,,,,,"(1981-10-14)14 October 1981(age 40)
New Delhi, India",(1981-10-14)14 October 1981(age 40),"New Delhi, India",nan,nan,nan,,,University of Delhi,,Padma Shri(2019),"Cricketer,Politician",Yes,No
2657,Draupadi Ghimiray,https://en.wikipedia.org/wiki/Draupadi_Ghimiray,2019.0,"Sikkim, India",Social Work,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2658,Rohini Godbole,https://en.wikipedia.org/wiki/Rohini_Godbole,2019.0,"Karnataka, India",Science and Engineering,Ram Nath Kovind,,,,,,,,,1952.0,1952.0,nan,nan,nan,nan,Indian,,,,"National Order of Merit[1][2]Padma Shri(2019),Government of India[3][4]IIT Bombay, 1974 Batch, Silver medallist[5]",,Yes,No
2659,Sandeep Guleria,https://en.wikipedia.org/wiki/Sandeep_Guleria_(surgeon),2019.0,Delhi/India,Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2660,Pratap Singh Hardia,,2019.0,"Madhya Pradesh, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2661,Bulu Imam,https://en.wikipedia.org/wiki/Bulu_Imam,2019.0,"Jharkhand, India",Social Work,Ram Nath Kovind,,,,,,,,,"(1942-08-31)31 August 1942(age 79)
Hazaribagh,Jharkhand,India",(1942-08-31)31 August 1942(age 79),"Hazaribagh,Jharkhand,India",nan,nan,nan,Indian,,,,Padma Shri(2019),"Environmentalist, writer",Yes,No
2662,Friederike Irina,https://en.wikipedia.org/wiki/Friederike_Irina,2019.0,,Social Work,Ram Nath Kovind,,,,,,,,,"Friederike Irina Bruning
1957/1958 (age 63–64)[1]
Berlin, Germany",1957/1958 (age 63–64)[1],nan,nan,nan,nan,,,,,Padma Shri(2019),Animal rights activist,Yes,No
2663,Joravarsinh Jadav,https://en.wikipedia.org/wiki/Joravarsinh_Jadav,2019.0,"Gujarat, India",Arts,Ram Nath Kovind,,,,,,,,,"(1940-01-10)10 January 1940(age 81)
Akru,Dhandhuka, British India",(1940-01-10)10 January 1940(age 81),"Akru,Dhandhuka, British India",nan,nan,nan,Indian,Sajjankunwarba​​(m.1963; died 1968)​Hemkunwarba​(m.1969)​,,,Padma Shri(2019),Folklorist,Yes,No
2664,S. Jaishankar,https://en.wikipedia.org/wiki/S._Jaishankar,2019.0,Delhi/India,Civil Service,Ram Nath Kovind,,,,,,,,,"Subrahmanyam Jaishankar
(1955-01-09)9 January 1955(age 66)
New Delhi,India",(1955-01-09)9 January 1955(age 66),nan,nan,nan,nan,,Kyoko Jaishankar,"University of Delhi(BA,MA)
Jawaharlal Nehru University(MA,MPhil,PhD)",,Padma Shri(2019),Diplomat(IFS)Politician,Yes,No
2665,Narsingh Dev Jamwal,https://en.wikipedia.org/wiki/Narsingh_Dev_Jamwal,2019.0,Jammu & Kashmir/India,Literature and Education,Ram Nath Kovind,,,,,,,,,1931.0,1931.0,nan,nan,nan,nan,Indian,,,,"Padma Shri(2019)
Sahitya Akademi Award",,Yes,No
2666,Fayaz Ahmad Jan,https://en.wikipedia.org/wiki/Fayaz_Ahmad_Jan,2019.0,Jammu & Kashmir/India,Arts,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2667,K. G. Jayan,https://en.wikipedia.org/wiki/K._G._Jayan,2019.0,"Kerala, India",Arts,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2668,Subhash Kak,https://en.wikipedia.org/wiki/Subhash_Kak,2019.0,Jammu and Kashmir/India,Science and Engineering,Ram Nath Kovind,,,,,,,,,"Srinagar,Jammu and Kashmir,British India",1947-03-26 00:00:00,nan,nan,nan,nan,,,"NIT Srinagar,IIT Delhi",Oklahoma State University–Stillwater,,,Yes,No
2669,Sharath Kamal,https://en.wikipedia.org/wiki/Sharath_Kamal,2019.0,"Tamil Nadu, India",Sports,Ram Nath Kovind,,,,,,,,,"(1982-07-12)12 July 1982(age 39)
Chennai,Tamil Nadu, India",(1982-07-12)12 July 1982(age 39),"Chennai,Tamil Nadu, India",nan,nan,nan,Indian,,,,,,Yes,No
2670,Rajani Kant,,2019.0,"Uttar Pradesh, India",Social Work,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2671,Sudam Kate,https://en.wikipedia.org/wiki/Sudam_Kate,2019.0,"Maharashtra, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2672,Waman Kendre,https://en.wikipedia.org/wiki/Waman_Kendre,2019.0,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,,,,,"Daradwadi,Beeddistrict,Maharashtra",nan,nan,nan,nan,nan,Indian,Gauri Kendre,,,,Theatre Director & Academicain,Yes,No
2673,Kader Khan,https://en.wikipedia.org/wiki/Kader_Khan,2019.0,Afghanistan,Arts,Ram Nath Kovind,,,,,,,,,"(1937-10-22)22 October 1937
Kabul,Kingdom of Afghanistan",(1937-10-22)22 October 1937,"Kabul,Kingdom of Afghanistan","31 December 2018(2018-12-31)(aged 81)
Toronto,Ontario, Canada",31 December 2018(2018-12-31)(aged 81),"Toronto,Ontario, Canada",Indian,Azra Khan,,,,Film actorscreenwritercomedianfilm director,Yes,Yes
2674,Abdul Gafur Khatri,https://en.wikipedia.org/wiki/Abdul_Gafur_Khatri,2019.0,"Gujarat, India",Arts,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2675,Ravindra and Smita Kolhe,https://en.wikipedia.org/wiki/Ravindra_and_Smita_Kolhe,2019.0,"Maharashtra, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2676,Bombayla Devi Laishram,https://en.wikipedia.org/wiki/Bombayla_Devi_Laishram,2019.0,"Manipur, India",Sports,Ram Nath Kovind,,,,,,,,,"(1985-02-22)22 February 1985(age 36)
Imphal East,Manipur",(1985-02-22)22 February 1985(age 36),"Imphal East,Manipur",nan,nan,nan,,,,,,,Yes,No
2677,Kailash Madbaiya,,2019.0,"Madhya Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2678,Ramesh Babaji Maharaj,,2019.0,"Uttar Pradesh, India",Social Work,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2679,Vallabhbhai Vasrambhai Marvaniya,,2019.0,"Gujarat, India",Others,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2680,Shadab Mohammad,,2019.0,"Uttar Pradesh, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2681,K. K. Muhammed,https://en.wikipedia.org/wiki/K._K._Muhammed,2019.0,"Kerala, India",Others,Ram Nath Kovind,,,,,,,,,"(1952-07-01)1 July 1952(age 69)
Calicut,Kerala",(1952-07-01)1 July 1952(age 69),"Calicut,Kerala",nan,nan,nan,Indian,Rabiya Muhammad,Aligarh Muslim University,,Padma Shri(2019),,Yes,No
2682,Shyama Prasad Mukherjee,,2019.0,"Jharkhand, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2683,Daitari Naik,,2019.0,"Odisha, India",Social Work,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2684,Shankar Mahadevan,https://en.wikipedia.org/wiki/Shankar_Mahadevan,2019.0,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,,,,,"(1967-03-03)3 March 1967(age 54)
Mumbai,Maharashtra, India[1]",(1967-03-03)3 March 1967(age 54),"Mumbai,Maharashtra, India[1]",nan,nan,nan,,,,,,,Yes,No
2685,Shantanu Narayen,https://en.wikipedia.org/wiki/Shantanu_Narayen,2019.0,"Telangana, India",Trade and Industry,Ram Nath Kovind,,,,,,,,,"(1963-05-27)May 27, 1963(age 58)[1]
Hyderabad,Andhra Pradesh, India","(1963-05-27)May 27, 1963(age 58)[1]","Hyderabad,Andhra Pradesh, India",nan,nan,nan,,,,,,,Yes,No
2686,Nartaki Natraj,https://en.wikipedia.org/wiki/Nartaki_Natraj,2019.0,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,,,,"(1964-07-06)6 July 1964[1]
Madurai, Tamil Nadu, India",(1964-07-06)6 July 1964[1],"Madurai, Tamil Nadu, India",nan,nan,nan,,,,,,Dancer,Yes,No
2687,Tsering Norboo,,2019.0,Jammu & Kashmir/India,Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2688,Anup Ranjan Pandey,,2019.0,"Chhattisgarh, India",Arts,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2689,Jagdish Prasad Parikh,,2019.0,"Rajasthan, India",Others,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2690,Ganpatbhai Patel,https://en.wikipedia.org#cite_note-USA-5,2019.0,"Gujarat, India, India",Literature and Education,Ram Nath Kovind,,,,,,,,,1945-01-12 00:00:00,nan,nan,nan,nan,nan,Indian,,,,,,Yes,No
2691,Bimal Patel,https://en.wikipedia.org/wiki/Bimal_Patel_(architect),2019.0,"Gujarat, India",Others,Ram Nath Kovind,,,,,,,,,(1961-08-31)31 August 1961(age 60),(1961-08-31)31 August 1961(age 60),nan,nan,nan,nan,Indian,,,,"Padma Shri(2019)
Aga Khan Award for Architecture(1992)","Architect, Urban Planner, Academician",Yes,No
2692,Hukumchand Patidar,,2019.0,"Rajasthan, India",Others,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2693,Harvinder Singh Phoolka,,2019.0,"Punjab, India",Public Affairs,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2694,Chinna Pillai,https://en.wikipedia.org/wiki/Chinna_Pillai,2019.0,"Tamil Nadu, India",Social Work,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2695,Tao Porchon-Lynch,https://en.wikipedia.org/wiki/Tao_Porchon-Lynch,2019.0,,Others,Ram Nath Kovind,,,,,,,,,"Täo Andrée Porchon
(1918-08-13)August 13, 1918
The English Channel","(1918-08-13)August 13, 1918",nan,"February 21, 2020(2020-02-21)(aged 101)","February 21, 2020(2020-02-21)(aged 101)",nan,French-Indian,Bill Lynch​​(m.1962; died 1982)​,,,,Yogi and competitive dancer,Yes,No
2696,Kamala Pujhari,https://en.wikipedia.org/wiki/Kamala_Pujhari,2019.0,"Odisha, India",Others,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2697,Bajrang Punia,https://en.wikipedia.org/wiki/Bajrang_Punia,2019.0,"Haryana, India",Sports,Ram Nath Kovind,,,,,,,,,"(1994-02-26)26 February 1994(age 27)
Khudan,Jhajjar,Haryana, India",(1994-02-26)26 February 1994(age 27),"Khudan,Jhajjar,Haryana, India",nan,nan,nan,Indian,Sangita Phogat(m. 2020),,,,Wrestler,Yes,No
2698,Jagat Ram,https://en.wikipedia.org/wiki/Jagat_Ram,2019.0,Chandigarh/India,Medicine,Ram Nath Kovind,,,,,,,,,"Pabiana village,Sirmaur district,Himachal Pradesh",nan,nan,nan,nan,nan,,,,,Padma Shri,ophthalmologist,Yes,No
2699,R. V. Ramani,,2019.0,"Tamil Nadu, India",Medicine,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2700,Devarapalli Prakash Rao,,2019.0,"Odisha, India",Social Work,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
2701,Anup Shah,,2019.0,"Uttarakhand, India",Arts,Ram Nath Kovind,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
